Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
Li,0.38225368,0.07527364,-0.2194989,0.40270877,0.16107595,0.131854,0.37071586,-0.36347827,0.043773502,-0.33348227,0.11593078,0.0023426525,-0.14653516,0.06856113,-0.14156897,-0.18674108,0.0029260498,-0.09989305,0.022256382,-0.027347453,-0.113763966,-0.014607355,-0.08500532,-0.12330083,0.28494158,-0.6950647,-0.17994551,0.10143557,0.20839663,0.0024079103,-0.009595564,-0.20332067,-0.07725413,0.04269868,0.17088003,-0.2993648,-0.36596912,0.049167234,-0.10595192,-0.07286403,-0.16872391,-0.23025541,0.045929857,0.07800994,-0.11685938,0.12856083,0.17205316,-0.31434757,-0.49635217,-0.48230392,-0.019529855,-0.35769957,-0.37353054,-0.0122795105,-0.16755286,0.12499875,0.33380857,-0.27619964,0.035267383,-0.1921649,-0.17282563,0.081707716,-0.09643397,-0.12416296
Be,-0.066955715,-0.2087988,-0.09183285,0.018515596,0.021313999,0.17274882,0.26723987,-0.36982366,0.11707613,-0.08989153,-0.07233907,0.15242878,-0.21485992,0.12634939,-0.49984547,-0.2081058,-0.041064985,0.15293193,-0.13403547,-0.33382505,0.15127848,0.03165239,0.07224468,-0.14544594,0.3050556,-0.6543505,-0.25378475,-0.087328255,0.16565152,-0.4802127,-0.4338181,-0.3020531,-0.13776843,0.27155083,-0.14864095,-0.009464487,-0.035103664,0.09160015,0.045489416,0.3156494,-0.038224258,-0.07347755,0.07948289,0.049663223,0.028400674,-0.31330597,0.4723523,-0.28329736,0.016879313,-0.011630591,-0.03759402,-0.0019413307,0.2712091,-0.2831235,0.30784574,-0.09253853,-0.0765329,-0.28554666,0.14316535,0.15359588,-0.2958297,-0.1682824,-0.20523544,-0.10810587
B,-0.034794103,-0.43890423,-0.04273884,-0.13886584,0.0716438,0.27929115,0.29747808,0.0055913366,0.072374664,0.13041462,0.02187227,0.30303836,-0.22852735,-0.10696576,-0.15191442,-0.22619966,0.042626902,0.19084251,-0.23300251,-0.49194562,0.32533243,0.14303131,0.16627449,-0.40505657,0.23478621,-0.64514863,0.03904734,0.104669064,0.377728,-0.14490281,-0.45861968,-0.039085697,-0.03629355,0.13807823,-0.26959008,-0.3891421,-0.18945754,-0.32972106,-0.074959815,0.03237377,-0.084369235,-0.01344071,0.20661974,0.28083116,0.17035182,-0.26148143,0.22727042,-0.35004854,-0.1569001,0.12035628,-0.018614972,0.30830714,0.064406276,0.18351619,0.19980979,-0.000106537715,-0.29311305,-0.4136824,0.2354458,0.26426965,-0.26540372,0.074568644,-0.23307295,-0.23324084
N,-0.40805125,-0.17366585,0.20301408,0.049311742,0.14475542,0.047489066,0.065587975,-0.08886391,-0.05846703,-0.025993228,0.018075671,0.008035686,-0.21500827,-0.25734755,-0.053502865,-0.033149995,-0.089356296,0.10715826,-0.2920104,0.00066084415,-0.07218016,0.29363275,-0.03017847,-0.36300957,-0.04200626,-0.20124519,-0.29529294,-0.025023133,-0.03206386,0.35633597,-0.021064298,-0.08906093,-0.13362212,-0.22204618,-0.42424625,-0.2684834,-0.38914678,-0.044944737,0.20197658,-0.18947297,-0.38459384,0.18995821,-0.0643202,-0.115896724,-0.17757481,-0.172804,-0.34487575,0.0004047379,0.01364889,-0.1806807,0.13820054,0.13098142,0.10163901,-0.16623305,-0.09148364,0.026161743,0.007402624,-0.150534,-0.03607277,-0.03413911,-0.29133818,-0.16791044,-0.04992272,0.079597175
O,-0.24457656,-0.06285273,0.12987939,-0.05273684,0.19026372,-0.2642895,-0.32112664,0.019843977,0.06744502,0.054054186,-0.113606334,-0.065647915,-0.33195138,-0.20393047,-0.16544415,-0.23831859,-0.059524715,-0.06687668,-0.16387552,0.18014127,-0.07731382,0.36267376,-0.28318557,0.022988766,0.4467402,-0.033466768,-0.09213847,-0.14388423,-0.0036901496,0.24027506,0.02841548,0.01853102,-0.0069017857,-0.11297338,-0.52848244,-0.26749593,-0.14977258,-0.19127344,-0.37643814,-0.25865683,-0.41577172,0.16685818,-0.19975558,0.10930211,0.20343684,0.046308864,-0.1488636,-0.011882007,-0.14726482,0.003018964,0.07051751,0.07323501,0.09977583,-0.21051052,-0.22322202,0.16823864,0.3659541,-0.33480042,-0.079432614,-0.11424425,-0.039053198,0.11553708,-0.08573632,-0.08710662
F,-0.3417293,0.14312053,-0.39330387,-0.1063666,0.0796086,-0.12063314,-0.25078127,0.061986405,-0.028574517,-0.05534997,0.18506083,-0.23567857,0.022945873,-0.29526827,-0.026414119,0.012152441,-0.10485851,0.09863451,0.20416749,0.045256592,-0.31448573,0.41144496,0.3003788,-0.09191942,0.25067562,-0.2271687,-0.1021304,-0.2041663,0.17114918,0.27682567,-0.12609586,-0.1135847,0.023481354,0.17488481,-0.3436941,-0.38890082,-0.17364195,-0.15558326,-0.049921237,0.2725502,-0.1194039,0.10931145,-0.7925484,0.34746093,0.14468029,-0.29432836,-0.022397596,-0.14323321,-0.02977413,-0.0063736625,0.07208527,-0.045827128,0.37841144,-0.40238965,-0.069562584,0.096262716,0.13484798,-0.12149082,-0.03792438,-0.00010043383,0.048928145,0.42188895,-0.45299244,-0.30460358
Na,0.56198424,0.17531848,-0.19003803,0.31401333,-0.08161214,0.15505947,0.11699786,-0.045930248,-0.049086526,-0.17631434,-0.045150973,-0.21837287,-0.034136154,0.00972794,0.05993876,-0.18741986,0.13030012,-0.05075955,-0.09136372,0.11137793,-0.30006114,-0.20023653,-0.2728103,-0.15290546,0.27288345,-0.57317376,-0.02730481,-0.029489294,-0.02188668,-0.025482422,0.11568243,-0.1575196,0.015483126,0.12060337,0.09600107,-0.14824621,-0.23233129,0.14990783,-0.19416203,-0.09232757,0.05537483,-0.2449583,0.18704373,-0.07199501,-0.2702662,0.0686855,0.108045734,-0.047560737,-0.35686997,-0.38756567,-0.01508181,-0.3612028,-0.21837994,0.14915197,-0.26996017,0.24471265,0.48872828,-0.20101044,-0.09900413,-0.1232069,-0.14354321,-0.088702604,-0.060510367,0.05930662
Mg,0.14249805,-0.009526022,-0.29207882,-0.00708876,-0.11750358,0.26472723,-0.27658868,-0.3036284,-0.11061526,0.24232763,0.048895914,-0.16878588,-0.24594884,-0.17407928,-0.08858171,-0.07378938,-0.021900697,-0.28744283,-0.41592208,-0.31635442,-0.15464184,-0.07146448,-0.29357308,-0.34698266,0.19129378,-0.22496007,0.01729703,-0.20450516,-0.05449963,-0.053301893,0.07912256,-0.14754729,0.043432474,0.22087254,0.11004901,-0.0034688711,-0.31386176,0.034919757,0.005826995,0.23120153,0.10683498,0.078351244,-0.07951566,0.09757685,-0.22453609,-0.34506175,0.22070652,-0.16949834,-0.05483678,-0.013662349,-0.20708136,-0.07204844,0.13159767,-0.379098,-0.09472695,0.21025273,-0.013471377,-0.36839718,0.05255858,0.03408119,-0.20493114,0.09470834,0.01764707,0.027854934
Al,-0.19854143,-0.077530906,-0.21693599,-0.04067556,0.052805625,0.5338246,0.13147432,0.016184602,-0.17331272,-0.072233796,-0.053452827,0.1648969,0.12488034,-0.28828368,0.19780366,-0.19894493,0.09142027,0.017801397,-0.05324707,-0.13024852,0.11568178,0.20381556,0.016591588,-0.2941678,0.14105529,-0.3680519,0.06919569,-0.12492916,0.07819414,-0.12356817,-0.23523964,-0.0737191,0.19611356,-0.090101995,-0.0955151,-0.26303482,-0.22356176,0.016582597,-0.22712047,-0.0678946,0.118951246,0.090436354,-0.3498845,0.09154575,0.081549734,-0.33520523,0.15181974,-0.14386727,-0.14794017,-0.266572,-0.013284,0.13944256,-0.29660678,-0.26600868,-0.1772079,0.0688586,-0.073069714,-0.3816946,0.19185284,0.102752015,-0.3561821,-0.3444593,-0.23285682,-0.06311953
Si,0.023369335,-0.03179662,0.24458486,-0.21676433,0.053516477,0.4179612,0.34117833,-0.18239176,-0.12268613,-0.21182628,-0.028004766,0.24572125,0.24280657,-0.2953384,0.013959218,-0.14703989,-0.2764033,0.058731243,-0.28416544,-0.026876055,0.058539502,-0.05340661,-0.09223979,-0.46232197,0.1834841,-0.23702575,-0.060132828,-0.108609766,0.047006983,-0.015911726,-0.3240624,-0.16579066,-0.06907013,-0.4152406,-0.31352365,-0.17510189,-0.18251073,0.008056726,-0.24233383,0.42944607,-0.19072008,-0.00617503,-0.48889083,0.18305025,0.15404895,-0.23684841,0.21856305,-0.008177556,-0.0033814865,-0.038079944,0.116225034,-0.17042708,-0.120787434,-0.46469033,-0.42301953,0.12438254,0.008531812,-0.10945095,-0.13601634,0.44136584,-0.070574,0.11936855,-0.28211,-0.13504083
