Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
Li,-0.098198086,0.47140235,-0.054565314,0.7461838,0.1671574,0.85657835,0.46356267,-0.6006037,-0.4001422,0.0019206703,-0.101843596,-0.07042197,0.17584255,0.2690939,0.042966854,-0.443073
Be,0.018430114,0.14517424,-0.27209684,0.4087333,0.19646938,0.5305777,0.50201833,0.1941086,-0.07440615,-0.3769688,-0.011839002,0.19353952,0.082721315,0.39090052,-0.6912663,-0.06675494
B,0.4072591,-0.08009212,-0.16808459,0.78602356,-0.3312778,0.10511246,0.28236982,-0.1472022,-0.39208037,-0.62086725,-0.21724018,-0.039402917,0.2744227,0.5381599,-0.6797701,-0.1482704
N,-0.08431204,-0.13190952,0.45261455,0.79912746,0.19043194,-0.14768909,0.3579174,0.35216218,-0.067694925,-0.048351645,-0.14640889,0.032559484,-0.44038558,0.15156405,0.16367196,-0.37619534
O,-0.37199068,-0.5113775,-0.18366316,0.53343594,0.47876307,-0.092309475,0.42244256,-0.06917493,-0.46412253,0.083991155,0.42204946,-0.21655285,-0.5989967,0.15793945,0.29232112,0.10198637
F,-0.72031695,0.2705235,0.6379042,-0.28837466,-0.050313585,-0.03557226,0.72848266,-0.13542897,-0.33316422,-0.21693815,0.32789508,-0.5878791,-0.29671204,0.3795108,0.28763843,0.084967114
Na,-0.22764608,0.33259356,0.12466818,0.6421252,0.31841284,0.9101746,0.4149033,-0.55997586,-0.28003913,0.1658397,0.073290214,-0.28599212,0.18802303,0.19931203,-0.12922205,-0.47427797
Mg,0.11411145,-0.13041721,-0.31176004,0.09435304,0.29493734,0.7067983,0.56072414,0.111971244,0.10655074,0.07803384,0.26883957,0.0756718,0.15624633,0.29307276,-0.3181138,-0.47462386
Al,0.22872058,-0.21970314,-0.37275165,0.35361725,-0.15946715,0.3041275,-0.11076486,0.2088424,0.13142368,-0.21103303,0.2155557,0.15914011,-0.18685317,0.66587526,-0.39261907,-0.0834272
Si,0.5175438,-0.15033375,-0.22656788,0.20092776,0.33840588,0.14805162,0.15331751,0.25596112,-0.34859914,-0.0028559193,0.045573488,-0.072520435,-0.5888161,0.92977357,-0.28634164,-0.27814868
S,0.33961618,0.1830026,-0.05002377,0.17984425,-0.18373857,0.44556695,0.6591974,0.16692302,-0.4079544,0.12273892,0.1971745,-0.22822158,-1.2790003,0.2565681,-0.17124587,0.18708166
