Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
Li,0.110223934,0.056778245,0.599141,-0.42541522,-0.055932105,-0.18420123,-0.013888134,-0.36409378,-0.036136143,0.12677506,-0.12662292,-0.45791727,-0.49645764,-0.114562996,0.19332416,-0.2858942,0.17685048,0.36243057,0.15739068,-0.18293409,0.18705057,0.08347338,-0.07795271,0.00031027943,-0.41038138,0.3929277,-0.19812085,-0.0363702,0.24578342,-0.35407218,0.113319755,-0.67148644
Be,0.26279944,0.29751524,0.20897949,-0.4896844,0.19864008,0.22372398,0.15075132,0.18276027,-0.087267905,-0.16059528,-0.12449688,0.14342846,-0.47044173,-0.21036693,-0.47240278,-0.07364737,0.2743531,-0.36533615,-0.24711815,-0.035328206,0.07966478,0.19076398,-0.18906951,-0.3782648,-0.48515195,-0.070599645,0.122691005,-0.35252702,0.12182669,-0.16726263,0.036368918,-0.38349628
B,-0.28650308,0.12897497,0.3129761,-0.79888,0.26226968,0.7357696,0.31183025,-0.01145868,-0.18511121,0.112126835,0.19486645,0.13745432,-0.27371553,-0.33476672,0.10790309,-0.5166343,0.055178426,-0.47188157,-0.13547598,0.05696005,-0.20554535,0.017328367,0.011192411,-0.5414937,-0.35969722,-0.6476249,-0.0713633,-0.43190175,-0.12549552,0.023277616,0.19893186,-0.2768788
N,-0.07313602,0.14153224,0.26388788,0.0018458292,-0.054051533,0.34610763,-0.06810983,0.026036195,-0.009827979,0.41006297,-0.12772758,-0.07933295,-0.069178134,-0.10589825,-0.30000982,-0.3785256,0.13074808,-0.18930882,-0.3602425,0.036823574,-0.087389484,0.4517022,-0.72016776,-0.28017324,-0.015609056,0.09439032,-0.38928694,-0.2967255,-0.060537603,-0.03872799,0.074481666,-0.018133685
O,-0.20407335,-0.21656224,-0.3978768,-0.1571867,-0.3414008,0.1872222,-0.24033043,0.113681264,0.072533354,0.22509229,-0.19420846,0.0055964068,0.051719867,0.031836398,0.056097995,-0.27335888,-0.12738739,0.2849055,-0.2521042,-0.11854516,-0.13701323,0.11050726,-0.5269096,-0.64558405,-0.46770763,0.007608447,0.21847008,-0.1301673,-0.1885825,-0.08438616,0.14613995,-0.19441935
F,-0.40789244,-0.5371571,0.17448992,0.10564513,0.057740062,-0.20791656,-0.060462438,0.33919555,0.040746465,0.6684749,-0.072154984,0.09560867,0.22935745,0.19134241,-0.19563863,-0.15543012,-0.44929054,-0.28224504,0.34792244,-0.16324681,0.444714,0.15010712,0.21544813,-0.7821351,-0.3961466,-0.027072225,-0.012719583,0.083129294,0.08955954,0.14784792,0.3234572,-0.02589313
Na,0.32505438,0.023694482,0.46256316,-0.30924731,0.10254945,-0.26273128,-0.15375248,0.035159767,0.10403045,-0.027831018,0.035017017,-0.37182927,-0.44209254,0.21407467,0.21788928,-0.033040855,-0.13016555,0.54513747,0.26482204,-0.050664615,-0.015174776,0.0657878,-0.12584017,0.35747313,-0.25234962,0.57052916,-0.14569993,-0.26444834,0.10750216,-0.2573366,0.020172201,-0.51203334
Mg,0.38449264,0.19586891,0.2431559,-0.07820352,-0.0040436983,0.035737753,-0.22343245,0.24383324,-0.13847533,0.030895472,0.0061527826,-0.08591062,-0.32780722,0.19918005,-0.15551887,0.07647326,-0.062284652,-0.16080701,0.105873,-0.044978913,-0.02941719,-0.054472096,-0.1569278,0.050246455,-0.031658083,0.07625894,0.4071007,-0.06722653,0.36864007,-0.1564144,0.03356937,-0.09147871
Al,0.3071398,-0.11334207,0.14459124,-0.70611054,-0.038195446,0.44859663,0.10152222,0.002551347,-0.14215522,0.15154734,0.08337331,-0.18756422,-0.057082333,0.3610193,0.13520758,-0.1698064,0.3684065,-0.35455987,-0.06364688,-0.18812314,0.11294994,0.09506695,0.08776255,-0.3914241,-0.15873724,-0.20544516,-0.037647415,-0.3546803,0.09429504,0.061312668,0.0693863,-0.21906164
Si,0.07848973,-0.07074129,0.19321989,-0.69685894,-0.4150685,0.44728208,0.1844708,-0.36471012,-0.112865224,0.14624815,-0.14391536,-0.030189112,-0.047225088,0.42460904,-0.12680738,-0.15271936,0.12792741,-0.20966822,-0.03792131,0.2617214,0.198321,0.5121117,-0.16506794,-0.46040478,-0.27012718,0.055061426,0.24513529,-0.09479482,-0.05237942,0.3164126,-0.23765846,-0.23611426
S,-0.16166024,-0.39847952,-0.08617984,-0.27587637,-0.098596856,0.44559813,-0.40229777,-0.072548606,0.20313136,0.6230925,-0.19805032,0.16206552,-0.07332315,0.4240808,-0.19928586,-0.28379628,0.19291641,-0.3784629,-0.3572381,-0.002505865,-0.2339714,0.35927525,-0.025031522,0.21457678,-0.05123113,0.10738547,-0.10452059,-0.40334666,-0.09900606,-0.014024133,-0.07485455,-0.15140611
