Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
Li,0.2188707,0.35879725,0.9796865,-0.12788776,-0.5380039,-0.71963274,1.7365832,0.3300184
Be,0.8648907,1.3384031,0.79237175,-0.034087904,-0.2099404,-1.0393431,1.1187915,0.48089886
B,1.1538095,1.8955275,0.78618956,-0.16070655,-0.18452308,-1.0477417,1.2877128,0.8949093
N,1.4544463,0.6684487,0.24390426,-1.4697728,-0.7281039,-0.1555839,2.5958319,0.49395725
O,0.109583735,0.40524906,0.21954343,-1.0061396,-0.46864036,-0.36528423,1.2834238,0.03483296
F,0.9028835,0.6790804,-0.027792871,-0.24950376,0.26293576,-0.80742675,1.069615,-0.32793912
Na,0.027496845,0.19257413,0.99849904,0.05979196,-0.11531265,0.1777295,1.7188153,-0.16352047
Mg,0.13198453,0.51766455,0.71721625,0.5758112,0.57343006,0.0008498216,0.58478963,0.06601233
Al,0.5097838,0.97366536,0.36954483,0.5980736,0.27376637,-0.5119875,0.27549917,0.33491287
Si,0.34756202,0.92138785,0.5378604,0.5346432,0.54313815,-0.072044775,-0.5380198,0.43938097
S,1.2592263,0.25183758,1.1441422,-1.2419508,-0.3230233,-0.4591956,0.20829749,0.8004947
K,-0.0032776594,0.10402192,1.0556142,-0.18017879,0.20416448,0.43498328,2.3345013,-0.4954397
Ca,0.06422299,0.073736176,0.53530765,0.54146874,0.6626283,0.05368807,0.7348125,-0.12749228
Sc,0.33706927,0.36570162,0.37227648,0.7625114,0.39373195,-0.17507222,-0.2167609,-0.05788099
Ti,0.3558926,0.41063276,0.35899526,0.91139066,0.24270156,-0.1198333,-0.6637999,0.23799336
V,0.33692405,0.20557119,0.62433106,0.8920189,0.3284897,0.0267568,-0.17515036,0.61392295
Cr,0.14536858,0.34287548,0.524819,1.1071223,0.40098727,0.17792451,-0.20027718,0.6143953
Mn,0.2282221,0.3917001,0.6332412,1.0445148,0.5401752,0.31672952,-0.026788712,0.3531154
Fe,0.7884211,0.41523534,0.6467992,0.6924436,-0.034576714,-0.16527773,0.48524278,0.5270784
Co,0.8121258,0.57956505,0.44675595,0.6239937,-0.20324242,-0.26002508,0.43958038,0.5455241
Ni,0.73563045,0.55238664,0.4128341,0.52217007,-0.35420522,-0.28484502,0.41519845,0.5633472
Cu,0.71935356,0.6235586,0.11421037,0.6264725,-0.44570652,-0.26728323,0.4883136,0.53571606
Zn,0.4733932,0.5683341,0.38327962,0.53741235,0.0019533038,-0.09236335,0.60340023,0.3170328
Ga,0.2546954,0.5996871,-0.05929324,1.0714304,0.3298108,-0.13077562,0.07662678,0.4753555
Ge,0.11471897,0.39561862,0.2802918,1.0084925,0.37402475,0.36872682,-0.3986456,0.4552986
As,0.5415169,0.21449347,0.6558379,0.43638015,0.09874967,0.22061335,-0.09910369,0.46035317
Rb,0.006216407,0.24227858,0.964219,-0.27632794,0.10722485,0.41735205,2.408723,-0.5138772
Sr,-0.1981427,-0.08828591,0.4603319,0.6387979,1.1559815,-0.0058338707,0.78603566,-0.13851003
Y,0.29530135,0.113143995,0.28114223,0.88625216,0.5693575,-0.08798397,-0.24405798,-0.23667918
Zr,0.4255669,0.124687545,0.1496405,0.84727645,0.6549661,-0.12256468,-0.66793895,0.10012051
Nb,0.3136742,0.052846923,0.31664658,1.0122707,0.83824897,0.16551241,-0.52153707,0.4457574
Mo,0.35179433,0.21364222,0.35763776,0.8596034,0.6380061,0.21051885,-0.4345362,0.63342637
Ru,0.97096,0.47784752,0.3717283,0.54439384,-0.094843775,-0.16745763,0.28302404,0.6438397
Rh,0.8848899,0.4557724,0.384858,0.38490057,-0.25957075,-0.11680593,0.2517879,0.5695629
Pd,0.8863153,0.44117075,0.20142193,0.40502393,-0.45881853,-0.11854676,0.47186,0.5323437
Ag,0.85715896,0.550682,-0.036331475,0.62706065,-0.5755911,0.005662714,0.4489784,0.37889075
Cd,0.5320153,0.44841224,0.020583943,0.724777,0.2583103,-0.05048173,0.43051958,0.14354672
In,0.28369462,0.11522065,-0.16349483,0.99336886,0.6303557,-0.21572594,0.23912191,0.51062596
Sn,0.08212234,0.079048485,0.09862115,1.034527,0.6503738,0.47435465,-0.2302517,0.4327091
Sb,0.39897594,-0.084481254,0.52655804,0.67726266,0.50541246,0.61556107,-0.21430883,0.36429942
Te,0.7334917,-0.059065267,0.4060682,0.24517262,0.24058138,0.2103773,0.19870242,0.47353947
Cs,0.12177971,0.17209095,0.76835465,-0.4917517,-0.27224243,-0.09900407,2.4222262,-0.17924024
Ba,-0.1468271,-0.482269,0.2453169,0.47104213,0.66865873,-0.37047306,0.80023605,-0.24327452
La,0.34198272,-0.46113747,0.2389687,0.71881634,0.43358305,-0.17137997,0.086195916,-0.2932138
Hf,0.5696099,0.14000016,0.16045599,0.6893584,0.6970546,-0.22500026,-0.5745542,0.16207826
Ta,0.48564112,-0.026665851,0.44950765,0.7642259,0.84533584,-0.0204308,-0.4238964,0.5461028
W,0.648388,0.2803273,0.24050237,0.5839397,0.5543555,-0.18983743,-0.16364458,0.8448815
Re,0.7980965,0.40023917,0.4142658,0.46248558,0.5117458,-0.15397732,-0.042135507,0.8327677
Os,1.3546562,0.5241262,0.4377858,-0.01883366,-0.04547192,-0.5702418,0.63181293,0.8817889
Ir,1.2894645,0.5441138,0.38686216,-0.010385349,-0.30344298,-0.5183418,0.6016696,0.78755873
Pt,1.1048136,0.47508007,0.3268953,0.0024755672,-0.40373817,-0.2958823,0.6341405,0.6958569
Au,1.1241465,0.36877257,0.12890868,0.014882453,-0.5371082,-0.16936475,0.9599638,0.51791835
Hg,0.89350855,0.075726405,0.2376808,0.097397335,-0.3384531,0.18226086,0.9050504,0.2504209
Tl,0.4933086,0.18158275,-0.2665043,0.8307345,0.6407987,-0.21842594,0.5962074,0.49928072
Pb,0.27522552,0.14823309,0.039706588,1.050078,0.98981476,0.71714926,-0.12173611,0.25419897
Bi,0.5453743,-0.1895582,0.34824532,0.70272285,0.6801189,0.6500633,0.03283909,0.22872989
