Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,-0.011190921,0.39528322,-0.03339912,0.18588316,-0.6427173,-0.26416653,-0.5527592,0.37983343
Li,0.026249722,0.16628118,-0.09257834,0.03291034,-0.22955295,-0.21201414,-0.08596216,-0.011475876
Be,0.16868189,0.051073637,0.18904471,-0.109350525,-0.2650114,-0.17639455,0.09660712,0.4231549
B,-0.11849632,-0.2042855,0.27988875,0.22762299,-0.15747708,-0.17180094,-0.24752793,0.611746
C,-0.42800343,0.0434776,0.30455112,0.1616826,-0.23396438,-0.48516586,-0.16492425,0.7033229
N,-0.47193906,0.36166897,-0.1734666,-0.041818924,-0.094776005,-0.16580424,-0.13716131,0.2785655
O,0.13498819,0.4034036,0.4029943,-0.107691415,-0.12100569,0.02951747,-0.47286695,0.3171744
F,-0.0727319,0.103160426,0.33759215,0.21850035,-0.16143945,-0.0023824312,-0.4333187,-0.041043036
Na,0.21112213,-0.076853275,-0.17617226,0.20452079,-0.098156884,-0.32184336,-0.24999702,-0.103049226
Mg,0.06506509,-0.1713425,0.2014095,0.20803502,-0.13488832,0.08245216,0.2413519,0.11384357
Al,0.07803006,-0.07911639,0.38203418,0.38364354,-0.32888913,-0.058548257,0.18055591,0.012588777
Si,-0.2668168,-0.08261821,0.32015935,0.2965629,-0.024007522,0.06351252,0.0537163,0.25250772
P,-0.13436449,0.007909153,0.28620216,0.4744686,0.0024918541,-0.096895255,-0.34869847,0.21009174
S,-0.074266486,-0.121457666,0.27917954,0.36434862,-0.117006734,-0.15061477,-0.34732956,-0.005182132
Cl,-0.14865127,0.093645036,-0.17478332,0.15775704,0.1285077,0.07664491,-0.35662943,-0.08210463
K,0.008475877,0.23141687,0.06852456,0.1851848,-0.11660643,0.11481831,-0.15216535,-0.52347714
Ca,0.25372034,0.035452742,-0.08601409,-0.14259861,-0.51494807,0.08331159,0.082819834,-0.14103192
Sc,0.072611906,-0.069822036,0.057697754,0.3119536,-0.34124762,0.19720435,-0.08795972,-0.21259585
Ti,-0.34820428,-0.18303247,-0.09594001,0.1920402,0.003580369,0.1818882,0.11950794,0.35738432
V,-0.3970809,0.0054102913,0.38153398,0.099040635,-0.18070768,-0.10944051,-0.26248074,0.014016114
Cr,0.051936723,0.05015919,0.4173533,0.122538246,-0.15079394,0.19583955,-0.31097344,0.096305676
Fe,-0.13179234,-0.12509537,0.22308964,0.26934946,-0.2437836,0.1219834,-0.3075282,-0.044970162
Co,0.02713696,-0.013061084,0.3965343,0.18395633,-0.036351703,0.26259595,-0.040550273,-0.12275084
Ni,0.100685544,0.027923416,0.33973005,0.24626291,-0.06450806,0.3091367,-0.36769882,-0.2002677
Cu,0.002697505,0.11364873,0.37258673,0.07309372,-0.033995233,0.18864554,-0.103916734,-0.1829373
Zn,0.08218018,-0.17580846,0.17565283,-0.017899945,-0.1916948,-0.026837744,0.070084035,-0.15984592
Ga,-0.06419395,0.043107744,0.26877946,0.17830756,-0.09719991,0.14856848,0.1753639,-0.09117792
Ge,-0.2250782,-0.010856338,0.24395329,0.28045696,0.15057701,0.14092219,-0.20991202,0.05792383
As,-0.21324691,-0.059274487,0.1352976,0.2794946,0.17285049,0.15116036,-0.3111522,0.22705442
Se,0.02380526,-0.15146832,0.18741669,0.30817628,-0.018443495,-0.03482549,-0.4341268,-0.09573052
Br,-0.21419534,0.118842036,-0.122111976,0.0514929,0.14627936,0.024153091,-0.39397794,-0.2852215
Rb,0.032657124,0.15865207,0.16195917,0.16511628,-0.41908377,-0.063285924,-0.074877486,-0.6582378
Sr,0.24440962,-0.11696085,-0.18736681,-0.19014442,-0.49809095,0.012754194,0.057840522,-0.23673439
Y,0.21073803,-0.016976122,-0.28919253,0.32606557,-0.6927838,0.15091345,0.19926977,-0.1203639
Zr,0.05839265,-0.095440656,-0.019142024,0.42660043,-0.094383,-0.29995382,0.17020746,0.07157125
Nb,-0.48024184,-0.13066712,0.33870384,0.04516601,-0.03445922,-0.16797107,-0.08859356,-0.0093062
Mo,0.2032884,-0.20457584,0.3519374,0.23981717,-0.13970196,-0.18583298,-0.3159397,-0.14382681
Tc,-0.049340013,-0.101116866,0.24642983,0.3805132,-0.14422624,-0.22848374,-0.17187265,-0.13577414
Ru,0.08021828,-0.16564228,0.16852045,0.3416596,-0.29843146,-0.23073438,-0.2527499,-0.3651382
Rh,-0.010112267,-0.2347057,0.30485994,0.12919194,-0.4259014,-0.063121475,0.15978293,-0.32021937
Pd,0.24100727,-0.20015483,0.21594554,0.3299589,-0.34857318,-0.18694466,-0.05690163,-0.16244048
Ag,0.046391822,-0.09251479,0.28262457,0.21364498,-0.25486732,-0.10891668,-0.08440982,-0.32085297
Cd,-0.0037440956,-0.22599547,0.08318756,-0.031987604,-0.19730699,0.01058108,0.29330885,-0.1420981
In,0.11530728,-0.14744797,0.29460156,0.2751982,-0.31877065,-0.1385692,0.10353993,-0.27709827
Sn,0.017614849,-0.10877061,0.30734405,0.44523835,0.07342983,-0.22939935,-0.23048851,-0.15187478
Sb,0.07459193,-0.13463226,0.038632758,0.2527736,0.061782904,-0.18981752,-0.37684894,0.003671296
Te,0.21287012,-0.16262758,-0.016312793,0.37775627,-0.040898755,-0.11943241,-0.5069687,-0.11097958
I,-0.25061637,0.06037971,0.07679695,0.09415593,-0.06380077,-0.056379728,-0.17246741,-0.38126
Cs,0.24984562,0.27661487,0.2024251,0.17429346,-0.18409494,-0.040044688,-0.0826489,-0.5666326
Ba,0.20759553,-0.07249689,-0.21774438,-0.31633145,-0.12650743,-0.1911223,-0.029011462,-0.15359452
La,0.3575335,-0.09799904,-0.0957222,0.19802815,-0.34966874,-0.27694964,0.10085574,-0.19901082
Hf,-0.21663073,-0.22909613,-0.038684934,0.21977475,0.10677364,-0.15238133,0.1656226,0.25763986
Ta,-0.46606377,-0.1436152,0.20527156,0.077972576,-0.057713144,-0.034333073,-0.10538134,0.14426225
W,0.23129696,0.021790586,0.36533877,0.17198327,-0.27751315,-0.23591548,-0.13593833,-0.08836169
Re,-0.08175997,-0.053282317,0.27189773,0.2050016,-0.27460027,-0.2913318,-0.092456385,-0.09750091
Os,0.26058376,-0.10261583,0.21642803,0.26008624,-0.20123976,-0.35886416,-0.40334237,-0.18670726
