Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,0.010580115,0.2725841,0.4278133,-0.2653271,0.1380974,0.31674048,-0.37533554,-0.17288524,-0.53329813,-0.5271739,-0.5069611,-0.043589897,-0.013127215,-0.21419576,-0.038773924,-0.007142704,-0.251977,0.3607332,-0.16050354,-0.15633543,-0.044243008,0.17302579,0.250595,0.028954156,-0.102022804,0.12817694,0.32101464,-0.03296272,0.13475548,0.033610847,0.24875307,0.11957908,0.5538513,0.24391343,-0.17947766,0.22520314,-0.025362916,0.20007232,-0.1033444,-0.27386755,0.2091363,0.2499838,0.3799497,0.0046196915,0.077671334,-0.21796414,0.10946375,0.0065317582,-0.30738464,0.11941794,0.1399539,-0.27429408,0.036852427,-0.0408135,0.44463027,-0.03037753,0.17320964,0.09924349,0.13385141,-0.1256851,0.14943255,0.3367966,-0.26586673,0.092472784
Li,-0.25653094,0.014063859,0.038495086,-0.035135813,0.09259262,0.24702366,0.025918804,0.09357989,-0.13402948,0.26213592,-0.21134955,-0.25954306,0.20582134,-0.19292733,-0.083234355,0.12843776,0.06403521,-0.054828264,0.020060845,0.11754353,-0.06066732,0.081635825,0.32595682,0.045448277,0.21316707,-0.05226651,-0.08236784,0.09510778,0.31829482,0.2034333,0.058404922,0.0003363937,-0.0059516802,-0.13164656,-0.18738839,-0.09707345,-0.040627263,0.27856824,0.06858468,-0.3120194,-0.049203433,0.035866693,0.20547014,-0.021514788,-0.23706523,-0.12179328,0.09868747,0.23083942,0.014897555,0.2613622,-0.12781817,-0.06623586,-0.033959605,-0.029271156,0.07660598,0.042933546,-0.1600244,0.10904619,0.087602325,-0.15634555,-0.30971092,0.03844552,0.16386656,0.048645854
Be,0.13576034,0.30158737,0.134966,-0.19673866,0.15931456,-0.09641735,-0.07820825,0.009334475,0.13631316,0.018008828,-0.17842494,-0.35547197,0.08844663,0.20389909,0.2594122,0.16695179,0.12777942,-0.11579813,0.03236819,0.20569208,-0.18116415,-0.03728827,0.2230964,-0.12732017,0.2583845,0.42345864,-0.13639066,-0.008105669,0.01368543,0.22990331,0.03746827,-0.17598571,-0.32680398,0.044984594,0.040792927,-0.14617704,-0.18651427,-0.042038746,0.058166035,-0.38856345,0.03377229,-0.29269993,0.007376395,-0.09984143,0.1447609,-0.19970784,-0.17533505,0.23628275,0.056838773,-0.2916062,-0.13932906,-0.12111986,-0.1630533,-0.0672267,0.0443032,0.111003175,0.21059746,0.39320228,0.5166113,-0.02672036,-0.36251444,-0.07558862,-0.29394698,-0.061729454
B,-0.27230692,0.0023766477,0.23084295,-0.18823488,0.3282748,0.10707107,-0.26005226,0.02850008,-0.22779416,0.021580487,-0.07096459,-0.14546382,-0.121964246,0.1007624,-0.40476447,0.024468169,-0.06527827,0.090571985,-0.3857563,-0.09908506,-0.23182192,-0.22723761,0.0105161555,-0.10006169,0.15802728,-0.014286175,0.21438769,-0.2195052,0.044920597,0.22964624,-0.048817106,0.011245862,-0.4454312,0.16895987,-0.29468396,0.04980638,-0.19504482,-0.19955173,0.2183432,-0.48574147,-0.22467676,-0.17587641,0.4805207,-0.040920362,0.15692164,0.03553313,-0.16129787,0.03251732,-0.07534656,0.039947324,0.18058631,-0.12899488,0.13665146,0.21290565,0.20036963,-0.076911,0.36906305,0.15099072,0.26619935,-0.23176324,-0.26112348,0.21658026,-0.11875187,-0.23136163
C,-0.1671297,-0.07345201,0.075127296,-0.10774213,0.07108315,0.18604888,-0.58807194,-0.26669484,-0.59694904,-0.051274486,0.19151296,0.26561916,-0.3500899,0.45031944,-0.41216153,0.11460671,-0.0018395558,-0.040565707,-0.2073856,-0.04524009,0.10503644,-0.42284888,0.07753858,0.08442787,0.0098945275,0.17486411,0.29044467,-0.101520404,0.1560306,0.25603682,0.05327615,-0.24683665,-0.19078046,-0.13243462,-0.22603351,0.054798484,0.041588843,-0.27377686,0.12875825,-0.3315504,-0.3474823,-0.34145892,0.052845113,-0.21119548,0.14410794,-0.082179464,0.07004855,0.319234,-0.06613569,0.0037269145,0.06210899,-0.0049970597,0.07094637,0.41299883,0.12975854,0.20486623,0.50593907,0.16942169,-0.17708674,0.10714205,-0.0006369706,0.51222384,0.022281583,-0.105517976
N,-0.123488605,0.009429513,0.18032357,-0.1508422,-0.06982619,0.12566663,-0.4291009,0.012092568,-0.5813305,0.0066711605,-0.16033044,0.19699688,-0.2067941,0.13749349,-0.2444324,0.04159615,-0.3102414,-0.0091576055,-0.19693467,0.036457732,0.16372992,-0.18566483,-0.1180557,0.14687598,0.17177168,0.08261095,0.2696722,0.24444291,-0.08202668,0.22919601,0.0032267477,0.02355899,0.00024380535,-0.1481314,-0.33340454,0.019973278,0.16366352,-0.006503664,0.24518433,-0.20305678,-0.13624686,-0.12395258,0.38564098,0.11828892,-0.007244494,-0.07165363,0.32223004,0.3078593,-0.27853748,-0.09929923,0.13378045,0.14010487,0.26328817,0.30094993,0.027945109,0.123692505,0.4386306,0.09749898,0.032465324,-0.33799854,0.05641245,0.656895,0.0024239682,-0.2509088
O,-0.013076596,0.22386883,0.45880347,-0.42308632,-0.036560208,0.13882552,-0.14232565,-0.20131256,-0.687404,-0.045232683,-0.00025816634,0.4965946,-0.0749186,0.28134114,-0.20784913,-0.25784975,-0.07170712,0.1438107,-0.053002648,-0.18064423,0.16641147,0.45521036,0.1450642,-0.06986359,0.22291434,0.1374525,0.5516803,0.461507,0.19234486,0.038410004,-0.12713785,0.11235921,-0.10659119,-0.09917449,-0.5283983,-0.07931736,0.13208292,-0.15973371,-0.010780342,-0.21085551,-0.15120646,0.24979277,0.46629226,0.15605812,0.06549238,-0.30351973,0.03345196,0.1839218,-0.1035386,-0.30087972,0.20629926,0.07114552,0.16094692,0.25282338,0.34221604,0.06555337,0.58537436,0.092598975,-0.09667529,-0.11810016,0.32371828,0.45446426,0.003127437,-0.0374085
F,-0.24062046,0.40310997,0.33284006,-0.043501534,-0.086362004,0.0101360865,-0.16188765,-0.17225939,-0.35703552,0.11993655,-0.29726052,0.18662529,0.014161587,0.046654753,-0.27328402,-0.112404004,-0.09860696,0.06462447,0.08741314,0.109569326,-0.025282301,0.13876708,-0.09919475,-0.070585415,-0.1587638,0.14553571,0.30911976,0.29744285,0.051689323,0.019188222,-0.022274261,0.1977098,-0.21043324,-0.13699873,-0.13941377,0.15941775,0.16979337,0.21942025,0.14101419,-0.15744397,-0.119784854,0.10713102,0.1556947,0.29416886,-0.06948144,-0.08080005,-0.2182709,0.35033,0.1353215,-0.16387033,-0.07643476,0.03528036,0.16573066,0.30376527,0.10346645,0.06448546,0.15660077,0.08526993,-0.04583025,-0.05788087,-0.01077584,0.12253635,0.32152146,0.16430384
Na,-0.29488078,-0.2263576,0.12956648,-0.033489145,0.09136306,0.06389165,-0.041087918,-0.18291183,-0.04478319,0.009181064,-0.48549742,-0.5423875,0.2511255,-0.23118797,0.043767214,-0.023750808,0.16649634,0.10126172,-0.06532066,0.021471951,-0.11745039,0.03190467,0.14544784,0.121646464,0.37805507,-0.19278415,-0.25036007,0.054473873,0.21410374,0.15003875,0.10546783,0.174039,0.0007549599,-0.3018127,0.039401285,0.20220439,-0.06581356,0.32862413,0.111687355,-0.048923492,-0.040312476,0.05126427,0.29218572,0.061160218,-0.19538626,0.016177572,-0.079765245,0.09679099,0.14057247,0.18979499,-0.17497788,-0.017096952,0.09520103,-0.07200258,0.08365455,-0.18951511,-0.31567982,-0.05304457,-0.070248134,-0.1492734,-0.13613741,-0.2796173,0.12926817,0.0731283
Mg,-0.0664828,-0.05275327,0.2355794,-0.18369204,-8.2786195e-05,-0.12667364,0.18502375,-0.2407568,-0.08317348,-0.119593695,-0.21649766,-0.33284014,0.17001173,0.05314163,0.119349,0.13406748,0.12030402,0.14596476,-0.015427902,-0.09317537,0.043636985,0.17166322,0.49847302,0.15706584,0.345204,-0.16849527,-0.16371024,0.118448496,0.2556607,0.17283666,-0.13824789,-0.012521148,-0.22167608,-0.15445077,-0.07067736,-0.06397489,-0.10231052,0.25795618,-0.12247951,-0.1511406,0.065172195,-0.12260251,0.21852353,-0.010392267,-0.1830793,-0.09023758,0.07334573,0.17386927,0.03461302,-0.29001373,-0.25635123,-0.010097399,0.00793796,-0.4047125,-0.12898692,0.10808851,-0.08016939,0.15699935,0.0026486572,0.11818194,-0.16459125,-0.2640524,-0.1221827,-0.011618108
