Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,-0.67314434,-0.20524669,0.08798045,0.40417495,0.38410813,0.45908687,-0.17008843,0.5468732,-0.05456361,0.17779174,0.22462961,-0.6522357,-0.6207771,-0.31015,0.16098717,0.28550863
Li,-0.4638989,0.17761913,-0.05762336,-0.06510207,0.2503582,0.22866309,0.41598833,0.052890487,-0.00946188,0.013391592,-0.1595929,-0.19367427,0.049717296,-0.44015276,-0.2684818,0.24427143
Be,-0.267062,0.5510702,-0.091505915,-0.1344292,0.07361671,-0.20033911,0.023927703,0.060615905,0.03213247,0.099773,-0.2403441,-0.56573623,-0.29711634,-0.2211284,-0.07701598,0.059228867
B,-0.055818595,0.19399294,-0.20190074,0.52000576,0.27677757,-0.26199895,-0.23843247,0.5926836,-0.083095506,-0.11398523,0.2471677,-0.74952966,-0.33966783,-0.37462628,0.44539154,0.25363183
C,-0.05935794,0.72027165,0.029038444,0.39484227,0.34637988,0.013284288,-0.122237906,0.4616044,0.2372551,0.062059585,0.5351968,-0.79412913,-0.55818325,0.11017477,0.5625914,0.2949025
N,-0.12683274,0.27373004,0.0859078,0.51991045,-0.089729175,0.13055328,0.06078768,0.6406671,-0.051828653,-0.07056077,0.07261642,-0.41641676,-0.26487473,0.16471183,0.79328746,0.3571857
O,-0.22429794,0.070676774,0.07886312,0.64842755,-0.1291718,0.057499245,0.10905337,0.4317208,-0.22982714,-0.02407182,0.08042834,-0.5686793,-0.26959753,0.4588798,1.0386895,0.2884316
F,-0.1379656,0.32922435,0.04185758,0.40234765,-0.08899002,0.19803849,-0.16572744,-0.101213485,-0.13104513,0.22946441,-0.14045367,-0.35870776,-0.109671146,-0.057507895,0.5431631,0.15501922
Na,-0.37229195,0.19260538,0.2037072,0.06411679,0.07831122,0.25587317,0.39344287,-0.22083955,-0.22123799,-0.1495224,-0.13513064,0.11076438,0.20908958,-0.30589917,-0.15244073,0.12639502
Mg,-0.3070134,-0.21066955,0.2236558,0.098056465,0.24990165,-0.0392195,0.29375795,-0.2933208,-0.19684684,-0.030594446,0.010362793,0.05768024,-0.20155104,-0.040903743,-0.06861982,0.13218752
Al,-0.18054034,-0.05768191,-0.117654994,0.2840362,0.053605333,0.034113243,0.07734902,-0.16453338,-0.4316751,0.055296563,0.16367814,-0.2518272,0.013947632,0.044339757,0.052951243,0.13413951
Si,0.014409475,0.28749338,-0.3101414,0.033215325,0.33791327,0.014706701,0.17135559,0.1941831,-0.457615,0.12178694,0.08455808,-0.1518813,-0.34413207,0.16501135,0.12962535,-0.1479419
P,0.08187187,0.5280721,0.086794525,0.65922934,0.2446859,-0.0034688935,0.038673263,-0.038540073,-0.3666587,-0.23212573,-0.107444316,-0.43129134,-0.18228441,-0.018446159,0.30535546,-0.24323323
S,-0.005884189,0.41561067,0.25863862,0.34967962,0.33268458,0.01751664,-0.22410302,-0.035080478,-0.31271374,0.08878747,-0.04890018,-0.21827784,-0.045629416,0.02422819,0.47226608,-0.045112386
Cl,-0.080295496,0.4934409,0.19813831,0.110762134,0.11121033,0.38851124,-0.18123308,0.0589965,-0.35984823,0.11710162,-0.44963092,-0.2221572,0.21382792,-0.093630105,0.633512,-0.10038066
K,-0.6152905,0.05020336,0.00639862,-0.035896886,-0.016167955,0.3104345,0.101009905,-0.04146929,0.032240003,-0.09214083,-0.19665316,-0.06415605,0.11918154,-0.19265088,0.18446498,-0.10526048
Ca,-0.2680818,-0.13770801,0.13865288,-0.21449782,-0.07165181,0.21945037,0.26101157,-0.17475595,-0.08674016,-0.106244974,-0.11689862,0.10530927,-0.028828248,-0.31020358,0.17844844,-0.024875753
Sc,-0.18740678,-0.36470288,0.12936355,-0.15183942,0.032280922,0.07968582,-0.008051936,-0.254711,0.013309494,0.07857859,0.09655734,-0.026228778,0.13459416,0.020330604,-0.18014419,0.18830097
Ti,-0.013640232,-0.17204261,-0.14711681,-0.24583901,0.20794973,0.07951385,-0.026967566,0.1469164,0.09123599,0.11027799,0.24259776,0.01657585,-0.21670443,-0.18976124,-0.10259174,-0.058412038
V,-0.17979673,0.27817506,-0.21656716,-0.07848428,-0.14162363,-0.044021748,-0.091555,0.050140686,-0.04961115,-0.26975328,0.055659004,-0.00607796,-0.14840099,0.09473217,-0.14943887,-0.17046338
Cr,-0.29933512,0.13328737,-0.21698737,-0.079374656,-0.04744628,-0.14512417,-0.29979056,-0.010613082,-0.19583198,0.07663624,0.26460096,0.09337037,-0.10529375,0.22927547,-0.098404795,-0.119863346
Mn,-0.11013622,0.14521623,-0.14586246,-0.22781928,0.2994479,-0.1800229,-0.2285451,0.039876647,-0.19247848,0.1344825,-0.06840854,0.00016144663,-0.008788995,0.034598555,-0.09495334,0.036102653
Fe,-0.13009258,0.010106094,-0.36016977,-0.30616888,0.21005914,-0.21919712,-0.22039175,0.2419524,-0.15530878,0.22483003,0.04513265,0.000144355,-0.003343951,-0.011663515,-0.14925346,0.054978766
Co,-0.070642725,0.3221098,-0.2338122,-0.4775742,0.09119363,-0.23104897,-0.17034958,0.057401143,-0.21466377,0.15755758,-0.018467851,0.055256538,0.16899236,0.23180965,-0.17808706,-0.17356446
Ni,0.0016230494,0.11512738,-0.2945355,-0.24800654,0.44045782,-0.23977283,-0.24254139,0.0588635,-0.2789861,-0.10361255,-0.08277511,-0.25322688,-0.08975151,0.09165106,0.26547688,-0.12099317
Cu,-0.22644553,0.46612352,-0.27442303,-0.31063432,0.12567276,-0.25480184,-0.43323272,-0.0053625572,-0.3395606,0.07946831,-0.36555716,-0.04484786,0.093811035,0.08712939,0.06733569,-0.08975887
Zn,-0.008288696,0.07475445,-0.17022097,-0.15177895,-0.005884668,-0.049020186,-0.0034111291,-0.16224447,-0.13628626,-0.04248303,0.18029514,0.033070676,0.14517877,-0.07017308,-0.11302653,-0.13953513
Ga,-0.10455209,-0.11348533,-0.34723237,0.16608687,0.024190089,0.061933465,-0.019474883,-0.16993329,-0.44276342,0.052587427,0.0727072,-0.022172436,-0.0019913279,-0.10290867,0.045178544,-0.016222686
Ge,0.06916131,0.20027915,-0.41465226,0.14043677,0.32309002,0.006429307,0.063572526,0.20576157,-0.36354807,-0.25097147,0.17610598,-0.11063179,-0.49847955,-0.010484058,0.18080193,-0.1809583
As,0.21866313,0.3428716,-0.1645171,0.43396673,0.021616803,-0.030835338,-0.04113038,-0.0011317749,-0.30161867,-0.42837876,0.022174817,-0.14317693,-0.15643914,-0.10583975,0.045385804,-0.15859261
Se,0.057429068,0.17727607,0.079181515,0.3128176,0.07095023,0.0095487535,-0.39218676,-0.09449229,-0.2863557,-0.0877121,0.19819102,0.033473365,-0.0758796,0.04975911,0.2603518,0.14282405
Br,0.1340154,0.7117625,0.1292335,0.06017311,0.088723704,0.3781987,-0.31989133,-0.252485,-0.18758753,-0.089963146,-0.24921268,-0.035142086,0.17210801,-0.19290878,0.42687133,-0.2733037
Rb,-0.51946366,-0.16386217,-0.05201305,-0.18874799,-0.09091829,0.17878969,0.08494404,-0.106024496,0.18610284,0.017537817,-0.1605401,-0.25760314,0.14290754,-0.14298882,0.16860618,-0.15409541
Sr,-0.5373498,-0.315607,0.10209924,-0.13057922,0.05807998,0.21319938,0.21987703,-0.37597772,0.2167171,0.049532108,-0.2299299,0.06270432,0.079117596,-0.08271255,-0.043662537,0.1093328
Y,-0.32279962,-0.19681334,0.036143478,-0.17079835,0.03675358,0.12478307,-0.124059975,-0.4019924,-0.012579352,0.21613142,-0.20816371,0.028297447,0.16487634,-0.24094601,-0.081155986,0.13890141
Zr,-0.25895104,-0.3666973,0.15471081,0.09606151,-0.18472953,0.12752835,0.07196163,-0.52170205,0.062378854,0.093146734,0.2520588,-0.007342644,-0.009493452,0.21977367,-0.20821679,0.3200851
Nb,-0.24178252,0.08050061,-0.18667974,-0.05607293,-0.13832615,-0.19833663,-0.007588934,-0.1674196,-0.1355398,-0.22548217,-0.22483763,0.19150096,0.007367093,0.18230502,-0.28664845,-0.15822707
Mo,-0.42626998,-0.058607228,-0.056367684,0.17660646,-0.16040288,-0.20883939,-0.11069316,-0.25576743,-0.054017104,-0.4434935,0.24157426,0.10969009,-0.19318615,0.2093604,-0.14610568,-0.051045552
Tc,-0.37085158,-0.0135192275,-0.15049197,0.048782125,0.19940461,-0.15323308,-0.09291568,-0.2082912,-0.04315322,-0.22553265,0.02394431,-0.12926835,-0.16778745,-0.14275701,-0.18024811,0.103139214
Ru,-0.41134796,-0.056943662,-0.399896,-0.03493115,0.2169312,-0.28925288,-0.109612495,-0.05656118,-0.070567995,-0.28545535,-0.010432638,-0.23824853,-0.098773465,-0.05295518,-0.020746175,0.10088721
Rh,-0.34916142,0.018558089,-0.09747431,-0.26358932,0.2529419,-0.27729398,-0.2662593,-0.22405954,0.09500391,-0.14162436,0.26124927,-0.0927355,0.09148298,0.3632702,-0.12688947,0.16445434
Pd,-0.06958562,-0.13783917,-0.14174272,0.0024544485,0.13801165,-0.11910209,-0.10275419,-0.30447444,0.016220529,-0.24335203,0.20009735,-0.20415756,-0.07548234,-0.093863435,-0.14738296,0.097755834
Ag,-0.44382313,0.101692386,-0.30947122,0.0816686,0.14092578,-0.28950462,-0.35573977,-0.21053638,-0.1776352,-0.3186574,-0.16324434,-0.15548272,-0.109280676,0.017040242,-0.044164535,0.1429232
Cd,-0.12833881,-0.1051031,-0.28857931,-0.15205635,0.12189713,-0.18870237,-0.026058655,-0.296952,-0.22766635,0.15426627,-0.1012236,0.07067155,0.25083813,-0.10917041,-0.24148297,-0.12810193
In,-0.17871404,-0.42893943,-0.11430691,0.30884412,0.005161943,-0.065521345,-0.11674006,-0.33927748,-0.41308588,0.030306652,0.047040403,0.03986966,-0.017645866,0.16970064,0.0030867942,0.18078795
Sn,-0.08767844,0.0066079795,-0.1986205,0.3836758,0.17359729,-0.09867619,0.039969895,-0.13941197,-0.3794863,-0.32719135,0.18048188,-0.012860633,-0.4565733,0.30362874,0.080261335,0.02860071
Sb,0.11112772,0.29064655,0.0076397173,0.59078455,-0.1043482,-0.1312348,-0.13374466,-0.34248444,-0.31845385,-0.6352864,-0.12115303,-0.015077643,-0.08941242,0.13148513,0.22210203,-0.068267554
Te,0.026448414,0.13512257,-0.14014803,0.43686408,-0.038360372,-0.08407438,-0.32973185,-0.17988527,-0.41770265,-0.26083875,-0.14103532,0.07531495,-0.12844844,-0.15396044,0.23506802,0.023713483
I,0.030443996,0.24485263,-0.0011680312,0.25550362,0.12547651,-0.008734956,-0.30651113,-0.2520118,-0.15728945,-0.05288837,-0.1481156,-0.09489433,0.04349296,0.07554382,0.081099555,-0.14789979
Cs,-0.5393696,-0.0058745816,-0.21021037,-0.25644025,0.055638418,0.33638433,0.14423177,-0.10453416,0.27180436,-0.076739766,-0.16814816,-0.17819506,0.029945273,-0.25634384,-0.031033251,-0.15073901
Ba,-0.56784475,-0.062504016,-0.0018505566,-0.23396976,0.2128701,0.16356204,0.34405842,-0.3071738,0.2579712,-0.046731167,-0.24356139,0.20771274,-0.032066207,-0.12845367,-0.17688116,0.0023100823
La,-0.35353133,0.11811841,-0.15296812,-0.2457967,-0.23538093,0.3708239,0.10535163,-0.4056351,-0.066414684,-0.12616715,-0.1527082,0.32046366,-0.033955112,-0.14733705,-0.1621943,-0.21555558
Hf,-0.12854815,-0.18102556,-0.020384043,-0.25633857,0.17090985,0.026325457,0.12522878,-0.03490954,0.16941753,-0.0097236745,0.17069498,0.19154939,-0.17588677,0.016396195,-0.23998225,-0.048984356
Ta,-0.09773071,-0.057970732,-0.003579013,-0.2094698,0.18455262,-0.1314763,0.14169215,-0.0060250293,0.14572453,-0.26927936,-0.119773634,0.1229093,-0.06489965,0.025386803,-0.22132051,-0.1365743
W,-0.51602006,0.17931202,-0.23283462,-0.10416399,-0.09084791,-0.056982607,-0.13811731,-0.15415882,-0.0005136728,-0.08523879,0.26662716,0.11551189,-0.21983667,0.22962175,-0.19648272,-0.17200306
Re,-0.31985953,0.084800184,-0.16181947,-0.30978137,0.27493986,-0.038358286,-0.0873888,-0.013705881,0.061417498,0.034182925,0.019976627,0.00080248713,-0.20189004,-0.037428983,-0.18092944,-0.029563606
Os,-0.2990008,0.13460228,-0.2648463,-0.05824553,0.21830542,-0.21380821,-0.0848785,-0.06432361,0.04511132,-0.27169383,0.024635665,-0.4016483,-0.059332754,-0.08035449,-0.042029124,0.13709779
Ir,-0.18925154,0.13446958,-0.16901712,-0.17112209,0.23362987,-0.23362961,-0.1134897,-0.1159176,0.056934156,-0.31550133,0.15735415,-0.3492417,-0.009647865,0.19801125,-0.08496636,0.060673535
Pt,-0.023389421,0.052241392,-0.19395196,-0.07639632,0.28488356,-0.18153998,-0.12167671,-0.1887758,-0.08919132,-0.20947692,0.0073982924,-0.21633537,-0.16774826,-0.009680949,-0.11975852,0.14073989
Au,-0.2988811,0.39032376,0.04352982,-0.062062,0.11950175,-0.23069713,-0.43207422,-0.3211346,0.0004661642,-0.06856238,-0.121301964,-0.039810635,0.0757436,-0.018205393,-0.31077012,0.3352845
Hg,-0.27444232,0.022632122,-0.21742183,0.081356525,0.27893895,-0.018009454,0.020160522,-0.34689802,-0.11412253,0.15306324,0.11314189,0.022630014,0.029012863,0.025955435,-0.06201941,-0.201246
Tl,-0.292938,-0.17560235,-0.14864506,0.34398785,-0.051515058,0.02814366,0.04444136,-0.44857934,-0.40326387,-0.04766079,0.1182765,0.116437934,-0.017269168,0.21617328,-0.04415657,0.096500814
Pb,-0.04290306,0.39766642,-0.20030369,0.16424571,-0.10942224,0.12989901,0.14088184,-0.19607009,-0.3094147,-0.07471315,0.18197143,0.44419456,-0.3780163,0.24629225,-0.15341978,-0.14147836
Bi,-0.05087293,0.4655121,-0.13786916,0.35321555,-0.21267313,0.04518286,0.05359671,-0.28905603,-0.31373364,-0.378605,-0.02739378,0.48542482,-0.14758982,0.24699505,-0.030443568,-0.2868134
