Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,0.2676886,0.09733953,0.079622984,-0.18129192,-0.34498692,0.048534207,-0.19163023,0.12394091,0.24957824,-0.37218103,0.1543165,-0.3991859,-0.028902717,0.38614994,0.4939843,0.11078176,0.0861821,-0.471127,-0.3763499,0.11316776,0.05941617,0.34132546,-0.17373066,-0.103525616,0.07338877,0.2894206,-0.018664116,0.49712297,-0.40686768,-0.15939593,-0.34645492,0.32051125
Li,0.030128822,0.1608361,0.10985896,-0.038006276,0.097059,-0.062030144,-0.0499216,-0.3818056,-0.1378485,-0.3342262,-0.0458058,-0.14086077,0.21481127,0.36231214,-0.010357283,-0.033666212,-0.011453487,0.2340844,-0.10042907,0.2196585,0.14485341,0.03426154,0.1690249,-0.14450036,-0.4247405,-0.0586797,0.1982935,0.2648836,-0.31099597,-0.11801292,-0.14457935,-0.26656726
Be,0.058435053,-0.08949701,0.11040917,-0.025112243,-0.3113699,0.32960635,-0.08589016,-0.24022329,0.17629188,-0.21935664,-0.18853743,-0.313617,-0.005315654,0.21953353,-0.07090644,-0.017360281,0.01927127,0.07299739,0.058823258,-0.1793765,0.14435261,-0.28955102,-0.402608,-0.3146701,-0.49668917,-0.33759922,-0.06459842,-0.04259708,-0.017852835,-0.25760865,-0.44054428,-0.16768712
B,0.36210993,0.09485192,0.29183632,-0.08454373,-0.39654148,0.037852526,-0.02774484,-0.08078298,0.019038616,-0.16094093,0.020406399,-0.53788733,0.21944663,-0.11275508,0.13122012,0.18247218,-0.19664933,-0.31682128,-0.2155573,-0.07595933,-0.15662436,-0.07341849,-0.19314447,-0.22136182,-0.101660505,0.021344962,0.001152562,-0.15425768,0.0838228,0.06882183,-0.45891032,-0.18171199
C,0.19260171,-0.07608897,0.00618029,-0.21586904,-0.61155045,0.090023264,0.42383158,-0.22846034,0.32933462,-0.009923573,-0.19257978,-0.19449726,0.53171116,-0.021842934,0.040051244,0.16607063,-0.31915003,-0.12996392,-0.0025489815,-0.14473106,-0.01447,0.072588935,-0.14561975,-0.13493764,-0.27756396,-0.14361468,-0.11341531,0.036865428,-0.11934829,0.29692525,-0.1261552,-0.16506776
N,0.13448787,-0.14208773,-0.12936145,-0.07200804,-0.7040101,0.34634084,0.033440445,0.06201165,0.20352055,-0.25829917,-0.010981556,-0.022087693,0.31010133,-0.10195152,0.058136404,0.12700583,-0.19637331,0.08317379,0.19948518,-0.23113345,0.21144849,0.30573004,-0.1946798,0.0002605226,-0.24730116,0.13546266,-0.15437447,0.39821646,-0.24444607,0.20243533,-0.026731797,0.10187939
O,-0.034235723,-0.14786738,-0.16151051,-0.30068997,-0.59673226,0.4554005,0.1904544,-0.34289995,0.090053275,0.016027767,-0.29977572,-0.15636726,0.059146248,0.12766774,0.04908806,-0.009557925,-0.0050109774,-0.03583481,-0.014102742,-0.21492414,-0.054026168,0.27403837,-0.38913518,-0.29796153,-0.15612084,0.25880846,-0.029878536,0.41101983,-0.4024029,0.15358815,-0.070765086,-0.017826583
F,-0.13524505,-0.049535494,0.16188699,-0.28596947,0.10351877,0.32397127,0.120216474,-0.13901672,0.04575579,-0.080367215,-0.074507065,-0.2745876,0.075429924,0.077372216,-0.1558541,0.10129857,-0.21896793,-0.11548846,0.01530727,0.27339613,-0.15652154,-0.0077493936,-0.102449104,-0.17026375,-0.38243738,0.036643997,-0.08363277,0.35331056,-0.06680463,0.1081115,0.13979863,0.15334682
Na,-0.09314413,0.060737304,-0.12556906,-0.24052764,0.107870415,-0.40253994,-0.37806264,-0.015030839,-0.074459106,-0.27178004,-0.15695688,-0.12929922,0.2547109,0.13008389,0.17051798,-0.35472888,-0.1473257,-0.1734067,0.020878538,0.090297215,-0.16134669,0.15299064,0.34665167,0.2765475,-0.5944763,0.06273098,0.48528612,0.32136634,-0.054777347,-0.36580074,-0.11329021,-0.08226593
Mg,0.040748164,-0.16133434,0.17529564,-0.09181765,-0.0610835,0.19465795,-0.62248915,-0.26151034,0.19220886,0.010989978,-0.20090425,-0.2256141,0.017238148,0.22790745,0.05794934,-0.1380762,-0.3497147,-0.07080631,-0.12577309,0.030121356,-0.1448625,-0.11418402,-0.09402178,-0.14428166,-0.46001282,0.00025518984,0.428134,0.33204558,-0.08096197,-0.47288173,-0.09893904,0.040794414
Al,0.20729437,0.16126573,0.5613979,-0.31770077,-0.100625776,-0.31027073,-0.29274833,-0.09485614,0.015718391,0.007776833,0.024933118,-0.2675073,0.24416739,0.037286498,-0.038844757,-0.24452119,-0.32144654,-0.15206957,-0.05577188,0.10213745,-0.02981608,-0.04761038,-0.048335798,-0.2626135,-0.23653999,0.0024155006,0.23016883,-0.09273523,-0.104045525,-0.15620911,0.029197901,-0.2670751
