Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,0.79705286,0.5683896,0.017775122,2.5220554,1.3768821,1.6184472,1.0738846,1.3997849,1.2855098,0.9011717,-1.1118765,-0.62378234,-0.5542616,-0.16059747,1.661994,-2.1138158,1.2623552,0.68719566,-2.0277026,0.22301371,-0.47169563,-0.5979731,1.811755,0.38550162,0.63591164,-0.5197863,0.5729962,-0.55932665,-1.0233943,0.7053511,-0.5723873,0.21666133,0.7300727,0.9536855,0.30487913,0.39035365,0.96446925,0.13371004,0.87251663,-0.63170224,0.725744,-1.3520174,-0.7736567,-0.2931435,0.3706497,1.8552557,-0.09968285,2.0317807,-1.048637,-0.69580436,1.4824722,0.12952477,0.59035647,-1.0752364,0.4702202,0.7190761,0.32558316,-0.21744412,0.47195476,0.9430232,-2.6732757,0.76127297,-0.7385087,1.5594834
Li,-1.0288888,1.0348775,-0.30787966,1.0257429,0.6740171,1.4656585,-0.03908482,-0.95969534,-0.5095894,1.5017399,0.92995965,-0.74857885,0.36698908,0.81292474,0.71076435,0.2447134,1.3585668,0.16628948,-0.77189523,1.0616134,1.4779139,0.96926886,0.24469355,0.10511822,1.1210948,-0.72842234,-0.5431832,-0.29615247,1.3036016,-0.280423,-0.3591551,0.1775333,1.5201194,0.12745176,0.7450845,0.5824661,0.6329815,2.0864215,1.4978622,0.44769824,0.8781575,-0.03175776,-0.03403645,-0.4078336,1.6037399,1.7235774,-0.6489135,0.5880226,-0.93788,-1.4166493,-0.32197392,-2.1804464,-1.2426842,-0.5199134,0.3911325,-1.0970742,1.2231581,1.098594,0.4172987,0.6451868,-0.99314743,0.93256146,1.0506936,-0.7187855
Be,-0.7668329,-0.0060782987,-0.7034376,1.0502331,-0.7876715,0.7328333,-0.21527655,0.47728676,-0.9089038,1.7250074,-0.7974169,0.00080708915,2.4902422,0.77735865,-0.24746723,-0.9641053,0.026415952,-2.4729433,-0.9685968,2.160625,0.12908885,0.49027622,0.54776555,-0.8713707,-0.23028149,-0.19406277,0.67645746,-0.7332963,0.1901586,0.86624295,-0.31669664,-1.0270241,0.35708198,0.084901355,-0.11412883,-0.2014336,-0.86444217,1.509742,0.5371108,-0.99953455,-0.36502096,0.08134564,-1.1956972,0.7020146,0.949978,1.9920768,0.100430414,1.476873,0.5568138,-2.830979,-0.15736566,-1.0421722,0.6073374,-1.148188,-0.90257037,-0.98332715,1.0042642,-0.91681856,2.1584985,-0.112591766,-1.0260034,1.0085418,-0.32578844,0.41263053
B,-0.42237955,-1.5189768,0.5109302,-0.7538087,1.2554958,-0.40982226,1.9399068,-0.8785404,-0.1701034,-0.15317062,-1.2897341,0.9614404,-1.1803509,-1.8625833,0.7820341,-2.0008194,-0.59537476,-1.1695056,0.07555348,-1.1854421,2.2013896,-0.44409713,-0.80855715,-1.111673,0.78309304,1.4898239,0.12742388,-0.07655736,0.3418476,1.2324558,-1.832853,1.5466138,0.5722265,1.4460005,0.35121512,1.285181,-2.2347724,2.1728313,-1.0159056,-1.4633448,-0.8976329,-1.522443,-0.019188272,2.3342814,0.3956699,0.07326727,0.8450549,0.2411415,0.6118298,-0.15629604,0.18314998,-1.1173577,1.1771243,-1.1727815,0.18840806,-0.5442782,0.23719287,0.5066411,-0.36084893,1.269068,0.63751614,0.2595783,0.366049,-0.6163316
C,0.8907359,0.55917245,0.769488,0.47702882,0.028934207,-0.76532733,-0.058920193,-1.4922141,-0.004391217,-1.6699227,-0.6349372,-0.5830289,1.2205025,-0.16142222,1.2627053,0.64711565,-1.5759022,-1.4222006,-0.65718067,-0.15180181,-0.026538989,0.81631,-0.5793581,0.8567069,0.34005013,0.24407323,0.17093237,0.00046460264,-1.420951,-0.72934425,0.5962722,-0.6622929,0.49811143,1.4672585,-0.23362884,1.1385449,1.6903509,-0.82089543,0.0021864783,1.3600131,-0.589782,-0.13986792,-1.7172496,1.1654319,0.18076923,-1.2824081,-0.32621083,-1.615379,-0.31262016,0.312388,0.39207816,-1.2644358,-0.67431104,0.15824074,0.61306345,0.5781734,0.25614065,-0.5946431,-0.45775738,0.46697628,0.8023187,-1.0488248,-0.77518284,2.1329935
N,-0.20771356,-1.3717759,0.7953426,0.7101292,1.3286366,0.20994236,0.29835582,-0.90896255,-0.99805313,1.8663524,1.6151116,0.18427345,-0.25595993,0.3097813,0.29760155,1.6948828,-1.7501787,-0.5144922,-0.90685254,-2.7557576,1.3061885,0.8558625,-0.14132318,-1.232704,0.6687336,-1.8466034,1.5240498,-1.4166455,-1.589364,1.7795109,0.21855433,1.5391647,-2.3396335,-0.28325063,0.20469397,-0.06501758,0.6400461,-0.7957951,-0.36762092,-0.93012136,1.5541196,-0.6104598,0.5693868,0.41782814,-0.047881324,-0.63798964,1.6853356,0.5605207,-0.5744017,-1.4683733,0.8736661,1.0571303,0.50876486,-0.08193171,-0.04790034,-0.076833755,-1.8172202,-0.61482716,-0.068244874,1.0047356,-1.2923601,0.87751764,-0.991179,1.2786199
O,0.99658227,-0.28102782,-1.1487325,-0.4007749,-0.82915145,0.1432331,1.1410747,-0.44988453,-0.7968181,1.6309698,0.54267544,-0.8501297,-1.4402128,1.412292,0.6358027,-0.11597388,-0.52216595,-0.07794396,-0.74635226,-0.30475667,-0.11679448,-1.4104172,-0.05826057,-1.507256,1.3593265,-0.36192295,0.62022805,-0.62096226,0.63061446,-0.19461827,1.1533064,-1.1378292,0.03629604,-1.0544419,-1.5918332,1.3329369,1.3138564,-0.45701474,-2.6701949,-0.35055348,-0.7645792,-1.0544128,0.3414572,-0.7220447,0.8263336,-0.6928969,1.0873818,-0.4986524,-1.7622442,0.018138671,0.82732844,-1.2724333,-0.9402527,-0.07815539,-0.3998073,-0.50107163,0.11731146,-0.9175633,-1.6333635,-0.5301374,-0.13927302,-0.37098187,-1.8531202,0.30845582
F,0.632978,-0.8511988,-1.3710568,-1.1519538,1.8968866,0.53168774,0.854075,-1.9770886,-0.5250015,-1.1362698,-0.39595407,-0.65185386,0.18194537,0.50735444,-1.4017264,1.3724687,0.07741454,0.313158,-0.0849546,2.6334887,0.827101,-1.0761478,0.36010543,0.5147028,1.038571,0.4077952,0.66506296,-0.30393845,1.2029783,-0.12555273,0.6637989,-0.58225465,1.5465244,2.4648893,1.3162627,-1.7991294,0.033454753,-0.73111767,-1.7248789,-0.24263647,-0.73107636,-0.039715953,0.44638652,-1.1719236,1.540093,-0.47686353,-0.3835436,0.68081117,0.038002014,0.76028115,0.92865735,0.72361493,-0.8278676,-1.5596488,0.11674096,0.9675751,-0.7122009,0.04650506,-0.51806545,1.0769057,-0.7112511,2.2090468,-0.8063921,0.9252124
Na,0.04712131,-1.9639262,-0.26629022,1.3937349,0.61934274,1.0615679,1.0096952,0.2944947,0.7482515,0.5647093,1.8564469,0.07325329,-0.04270813,0.41324118,-0.62751997,-0.3752435,0.18505318,-1.4786835,-0.11026046,-0.6909198,0.6130031,0.81990427,0.9572766,-1.5134327,-0.42324004,-0.53003514,-0.008743576,0.2693863,0.16051823,1.4262205,-0.3376693,0.3752904,-0.36244532,-1.3205655,-0.12788433,-1.6414282,-0.05444742,0.57031524,-1.2525798,1.2399637,-0.61861795,-0.35885537,-0.51091003,0.8157512,-0.21853232,-0.564717,-0.23400646,1.0499198,-0.26045898,-0.25971562,-0.97545004,1.4209634,-0.55258393,-1.6720388,-0.6437859,0.7974462,0.8032561,0.85738915,-0.68766016,0.946732,-0.362962,-0.38243127,0.27155864,0.62036204
Mg,0.75479925,-1.1454092,-0.14561242,0.48420036,0.94604963,0.11098119,-0.9415335,0.3729659,0.12810619,0.9900654,0.2091272,-0.12765253,0.052752715,0.73309773,-0.3904057,-0.12257808,0.2548523,0.35157466,0.14099881,2.4366784,0.54323953,-0.76388866,-0.6037463,1.2002168,-1.583469,-1.2653513,-1.6535563,0.3865507,-0.2924283,-0.007084693,0.3134995,-0.3873713,0.9315501,-0.7636217,0.6444199,1.6331574,0.6322087,0.15457126,1.0399406,0.20921797,-0.02960612,0.26181185,0.73277664,-2.2099903,-0.5501127,1.5152514,0.17298655,0.49079484,-1.1286,-2.0925748,0.79210055,-2.191752,0.8614525,-1.500969,0.1273753,1.2388326,0.96921897,0.38602525,-0.49463838,-0.55871814,-0.23349723,2.1102479,-0.6000787,1.8644387
