Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,2.8055336,-1.5378659,0.64000374,-0.0144844055,-1.529115,-0.03342977,2.2576764,-0.56330156,0.076728724,0.6348192,1.320751,-0.74576354,1.2605251,0.7842776,-0.69149756,-0.25816348
Li,1.6230297,1.0479945,0.48491007,-0.0408495,-0.55355734,1.8229532,0.7397032,-0.33643502,0.2763471,1.9064522,-1.5224217,2.3387403,-0.24918553,0.34812266,2.1681387,0.6186684
Be,0.43908307,-0.56082743,0.65630364,-0.29989138,0.052997977,0.5157612,1.0689863,1.1882403,-0.22173776,0.94771487,0.83916,0.33522427,-0.04533004,-1.5241675,0.25297156,0.033095334
B,0.2008922,0.37893763,-0.9050215,-1.2431031,0.21504928,0.65483636,-0.27233988,1.3800124,0.26039055,0.5145707,-1.8039154,-1.1061958,-0.5576272,-1.4312843,0.03362714,-1.5492018
C,0.60938495,1.8667364,0.18616518,0.8679333,0.056118682,-0.8497719,1.2893276,-0.86791253,0.83559555,1.3876345,-1.3897552,-1.174633,-0.5414684,-0.23929746,-1.2133843,0.7954002
N,-0.29862973,3.1121678,-1.0272458,0.37475488,-1.2974023,1.6596727,-0.14406002,0.54992634,1.3708173,0.9435168,-0.076195695,-0.3615417,-1.2783059,-0.21435183,0.59877074,-1.3119454
O,-1.0519798,2.1063375,0.0589299,-1.2048367,-0.57261264,-0.4037538,0.074115895,-0.4775276,-1.2450866,-0.08746995,0.9253104,-0.07914173,-0.14212114,0.700422,-0.9221953,1.6380222
F,0.66982776,0.8494383,0.594061,0.7579766,-2.6683807,-0.29720435,-0.51007485,0.6046691,-0.28080103,0.44496235,-0.032873683,0.71225697,-0.7434026,-0.57424206,-0.114254504,2.6932425
Na,-0.2159313,-0.2364297,0.6507661,0.52944875,0.31733373,-1.5089042,-0.037443455,0.39860442,-0.15832902,-1.2759421,-2.2080371,1.4562567,-1.308012,1.1242907,2.1380067,-1.3305014
Mg,0.8735701,0.46353817,1.024437,0.4241276,0.10211004,-0.37992743,-0.3302783,-2.199677,-2.5386102,0.22492127,0.020816099,-0.6404631,-0.77974886,2.1992674,-0.39249814,1.314178
Al,0.23619391,-0.0959218,-1.0111403,-0.09088803,-0.37218735,-1.7025411,0.92231345,0.4426466,-1.5125109,0.4821818,-0.0033543159,1.8710221,0.47891352,0.53982395,-0.9128844,-0.22842367
Si,-0.6102563,0.8797811,-0.32586956,-1.0254017,0.6263699,0.5024506,0.39869484,-0.45277688,-1.2568685,-0.37722868,-1.30774,1.0857999,-0.7894295,-0.07547634,-0.6705746,0.46273884
P,0.26049986,1.8122805,0.05153951,0.893874,-1.4112659,0.5407261,0.48741868,0.28116387,1.9069943,0.048461545,0.60935336,0.29417646,0.095960185,-1.8342499,0.9047117,0.14266701
S,0.32965758,-0.18184175,-1.95963,-0.9452977,-0.7057083,-0.28622663,-0.003339652,1.03795,-1.3257114,0.24633881,0.6593911,1.5461308,0.5338776,1.8759204,0.09555187,-0.2358707
Cl,1.0059195,-0.4960693,1.7673955,-0.23141593,-0.32242724,0.09759332,0.9833063,0.7764926,1.9116161,0.44403255,-0.41482216,-1.0006478,-0.22732943,-0.41042694,-0.16688529,0.99945205
K,-1.472426,1.0473638,2.1836135,-1.7799917,0.39593413,-0.7609212,0.42505312,0.30903336,-0.09202912,0.8213848,0.68442595,0.10763083,-0.6982049,-0.12087654,1.2966304,-0.8333339
