Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,0.5297452,1.7308893,0.5297274,1.0134218,0.91287374,-0.5091351,-0.9148327,-0.69594026
Li,0.41709358,1.2460804,1.853137,2.12893,-0.29908335,-0.8915901,-0.93140244,-0.78834975
Be,-0.40754512,0.060751025,-1.1914171,-1.0682247,0.1493354,-0.59690005,-0.15547808,1.4399463
B,0.130046,0.68198353,0.68327266,-0.12112228,-0.4048249,-0.54070324,0.30102095,1.058467
C,0.3247751,-0.9519702,-0.6297534,-0.105170466,-1.3019243,-1.0735683,0.8309672,0.4564193
N,0.4942437,-0.16121167,-0.15754648,0.72797364,0.40157545,-0.77632886,1.1603974,1.1537364
O,-0.86814934,0.9785313,-2.1419318,-0.3307767,-0.41271862,-2.029788,0.83853793,1.4179453
F,1.2621922,-0.81345016,-2.0421245,2.6719365,0.35690105,-0.66921955,-1.2001052,0.6685734
Na,0.5190972,0.66690916,0.4326104,0.05305327,-1.6359072,1.0186739,-1.6825428,-0.75484985
Mg,-0.2713351,-0.4595246,1.1021811,1.5872033,-0.55197823,-0.9105711,0.11146826,1.1699896
Al,-0.20235825,-0.15580222,0.049930565,-0.34014603,-0.73107517,-0.14460067,-1.4140148,0.7346447
Si,0.6975631,0.17056969,-0.6534805,-1.290893,-1.0701231,0.39372468,1.3545486,1.1266949
P,-1.132257,-1.1337146,0.4710445,0.45629403,-1.4538732,1.106223,0.6831934,0.7839041
S,-2.7164013,0.55761606,-1.241616,-0.33804566,-0.096562974,1.6352847,-2.0717597,-0.4575509
Cl,1.3865552,0.4590123,1.2433605,1.3069973,0.77918494,3.1744807,-1.3902048,-0.2506848
K,0.57119226,0.22683428,-1.6980643,-0.5505906,-0.88965666,-0.21278341,-0.82749665,-0.076388754
Ca,0.58183455,-0.011681015,-0.7834195,-0.21466002,0.85231066,0.24811958,-0.21531586,-0.24895976
Sc,0.5384371,-0.7005527,-0.18592596,1.0762851,2.2354355,-0.9590558,0.70788676,-0.46884638
Ti,-0.46140245,-1.8550812,-0.9693379,-1.7388284,0.71463937,-1.1340109,-1.1080393,0.75587356
V,0.8889324,1.007974,-0.54382795,-1.3087751,-1.2614992,-1.5481201,0.56376314,-0.8675055
Cr,0.16501197,-0.900062,-0.043946758,-1.0970329,0.043397624,-0.7706368,-0.58504575,-1.7808977
Mn,-0.7988671,1.4621662,-2.2901623,-1.7355051,2.0108373,-1.2601986,-1.5059094,-0.8429923
Fe,-0.58002865,1.0795095,0.4439912,-1.3082924,0.09020157,-0.8922123,2.0373058,0.6758119
Co,-0.837367,0.88140476,0.060835768,-1.4751351,-2.2600985,-0.94957954,1.5447811,1.0256845
Ni,-1.297892,-0.26981324,0.7834953,0.2195853,-0.99842125,1.4070433,0.5820583,-0.2931182
Cu,0.3888594,-0.7547178,0.307432,-0.9537527,-2.8305695,0.26175192,-1.1136072,-0.6183512
Zn,-0.5034172,-0.9726601,1.1602274,1.5242912,-0.87089235,-1.6695822,-1.1054156,0.06919777
Ga,-0.16672052,0.71358573,0.6422361,1.7763857,0.59549177,-1.5661165,0.62528646,-2.1311831
Ge,0.8897644,-0.1946773,-0.5938539,-1.5749974,0.4738376,-0.67898744,1.0090826,-1.052429
As,-0.68414575,-0.839271,1.2372931,0.18888438,-0.43353865,0.46189877,0.45660686,1.8155633
Se,-0.17063396,0.82984424,-0.65942943,1.0657336,1.057515,1.254189,2.4542599,-0.26345983
Br,2.179755,0.8270951,-0.3157327,0.72084343,-1.0006392,0.9267887,0.49409375,-1.9697533
Rb,-0.04013086,-0.56470424,-1.433574,1.4123576,-0.7788379,-1.0612465,0.71442026,0.75829864
Sr,0.753325,1.212682,2.238337,0.50191575,-0.2245438,1.0479473,-0.6643226,-0.67555785
Y,0.5973195,-0.073227495,1.0319203,-0.23067601,0.9682268,1.1250236,-0.97492373,-0.67745924
Zr,0.5227932,0.47863016,0.98702896,-1.4183338,0.008526977,-0.34629217,0.80517745,0.117455535
