Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,-0.006910177,0.34160337,0.72498435,1.7505898,0.70385987,-0.64601266,1.4940088,0.61840254,0.50769454,0.16468269,-0.08742844,-2.090419,-2.1914601,-0.90275663,1.1399581,-1.1544924,0.77197874,0.13880348,-0.45937204,0.9815058,0.21043392,-0.94534606,-1.1794595,-0.23753004,-1.3661132,0.70281845,-0.025559023,0.47012496,1.3653657,0.674977,-0.4986994,-0.7927144
Li,-1.1882542,1.3881055,-0.10231292,0.8627136,1.09334,-1.0162367,-0.260072,-0.73763597,0.91332424,-0.29026046,-0.23220044,-1.1391877,0.73344487,-0.17350325,1.2108216,1.048816,0.1627766,0.3446711,-1.0616721,-1.305282,1.4553033,-0.04759034,-0.871342,-0.582817,-1.5674313,-1.5880716,0.36593616,-0.16403851,2.1324687,0.22343765,1.5373403,-0.20182683
Be,0.6794854,1.067409,-0.04694445,-0.3150928,0.22326706,-1.0443063,1.1782994,-0.09370496,2.5402386,-0.030966025,-0.28158274,0.36259392,0.45479292,-1.3665586,-0.28035554,-0.7670797,0.021010587,1.0343279,0.3563395,0.6524035,1.3064651,1.1619915,1.3192267,-0.75280726,0.77350706,-0.3837439,-1.873584,-0.23855443,-0.05095879,-0.19433936,-0.24004638,-0.93592066
B,-1.5189158,0.82685524,-2.1933138,-0.37677646,0.40600455,0.68602335,0.8952377,1.4245123,0.44676962,-0.5982365,1.2767978,-0.9776677,3.2871332,-0.57412004,0.062170282,0.6808118,0.69451976,0.18531558,-0.40194735,0.85695636,-0.71581674,1.3376186,1.3397481,0.36754277,0.4418802,0.6044743,0.33910972,0.6099356,0.1831561,0.11500219,-0.66515803,-0.4626929
C,0.23454072,-0.32346162,1.0220997,-0.4256338,-0.42551425,0.11623044,-1.3638867,-0.65532935,-0.24262227,-0.67862344,-0.716726,-0.27536014,0.2289418,0.25154755,-0.7393479,0.07871517,1.5746984,0.10132331,1.2725753,-0.44925177,-0.75346017,2.078261,-1.756565,0.39770573,-0.71399564,-1.1222311,-1.2220781,-0.8249429,-0.5271238,-0.14533086,0.33369464,0.8958242
N,-0.95745224,0.07337701,-0.6862365,0.78739977,-1.2295854,-0.5876832,0.47263822,2.0793984,1.2120811,-0.32387477,-0.8161082,0.32390314,0.6084214,0.9432671,-0.45313767,0.7319095,-0.019497935,0.62355274,-1.3532156,1.241547,-0.58920336,-0.038212497,-0.31977934,-0.5555181,-0.02386289,-1.02392,1.1995565,-0.16933516,-0.4958296,-2.476236,-0.5181786,-0.309732
O,-0.2721697,-0.0103695365,-1.1027768,-0.9093387,-1.068387,-0.26662773,-1.458249,0.5991934,0.30060714,0.5775103,0.36669675,-0.7370841,0.950839,0.72545385,0.03263856,0.026783438,-1.1999222,-0.26254556,2.482435,-0.9508629,-0.59978235,0.29963505,-0.34844464,-0.9692744,-0.64233273,-0.5904311,0.24611795,2.9275458,-0.64274037,0.13242471,0.36822298,0.3928741
F,-1.361372,-2.5200393,-0.37318426,1.7135658,0.7845125,-0.19764586,0.75724673,-0.041908517,-1.891071,-0.74036723,0.22001657,-1.4919307,-1.627212,0.902319,0.46372765,-0.83331203,-0.30594707,-1.0713996,-0.76896936,0.95468336,1.7124687,-1.4349573,0.1503885,-1.9909546,0.4854939,2.272638,-1.2458185,1.6777952,-1.3311472,-1.1424768,0.6411956,-0.80014837
Na,-1.1504664,-0.5490538,0.110288784,-0.58187747,-0.37252855,0.24684861,0.8624791,1.1269953,1.3266925,0.5271957,-0.08592036,-0.21832496,0.9166717,-0.92809075,3.0305228,-0.66336507,2.4658833,0.44250113,1.0121102,-0.63497525,0.97482514,-1.751457,-0.23860621,-0.083914906,0.74951786,0.8887241,-0.59869266,-0.25407046,0.31327933,-1.0038073,0.36286545,1.1470395
Mg,0.9775374,1.0543548,-0.8383519,1.0392766,-0.75199986,1.4520316,-0.7265738,-2.179954,0.7447696,-0.30189762,0.6415443,0.42890826,1.2272019,-0.40366262,0.8001878,-0.45495346,-1.2358363,1.9019655,0.46830025,0.4814037,1.3081864,-0.20970891,-0.06882192,0.022112947,0.024326758,-0.85863614,-1.494602,-0.056853402,0.4651301,-0.4871798,-1.1626751,-1.002513
