Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,2.1024618,1.7187517,1.0225085,-2.3673472,0.9145766,-1.0904901,0.12907416,-1.6924037,-0.95004785,1.8561919,-0.20556217,-1.3111461,-0.8080419,-0.73390126,-0.56059307,0.92037755
Li,-1.3767896,-0.92017657,-0.3192152,1.7473694,0.29129595,-0.4559424,0.27876878,-0.740644,-1.5142221,0.96472394,-0.8858144,-0.6245866,-1.2700373,2.1597803,-1.2817665,-0.45435286
B,1.6093173,1.106075,2.392512,0.30231324,0.6249315,-0.02725201,-0.878238,1.1141578,-0.39919412,0.74320567,0.33517528,0.6430512,0.41885328,-0.8357436,-1.9609603,-0.48955566
C,-0.14342296,-0.8762442,-1.832643,-0.03555416,-0.02252673,0.09092045,0.6843336,0.44183657,1.2202518,-1.018223,-1.4979665,0.2243778,-1.2420042,-0.3398065,0.7940978,0.10632349
N,-2.6370945,0.30152774,0.67960066,0.22867581,0.4598398,0.37906656,0.8532219,-0.17831497,0.04605724,0.5023306,0.22906817,0.14591378,0.5324439,1.4970571,-0.2248423,-0.47028932
O,-1.3764142,0.042225882,-0.538241,0.306864,0.88849545,0.19870132,-0.2302251,0.49490342,-0.15158904,0.41855833,0.3527345,0.85988975,0.9761903,0.1886006,0.90386593,0.6123037
F,1.9743253,1.0891507,-1.3619335,-1.1851243,-0.04104189,1.6689333,0.70548296,0.5269542,1.0772316,0.0855758,-1.6909372,1.1054478,-0.41523558,0.97585136,-0.60465455,0.79226774
Na,-2.3663857,-0.40164146,-0.54137856,0.2746336,-0.35251015,-1.2548697,-0.367027,-1.1563157,-1.054886,0.76085746,0.7223909,-0.43769264,-1.2424525,1.3321836,0.12492995,1.6167903
Mg,0.16977637,0.29708531,-0.6876524,-0.38409877,-0.7527765,-1.4567246,-1.0053134,-0.63118273,-0.68182826,-1.3358412,-1.7340072,0.27183133,0.8662715,-0.700058,0.91956395,0.9091541
Al,1.6594425,-1.067381,0.77835995,-0.2055535,-1.319623,0.23663902,0.3720337,1.4530628,0.65609497,1.989768,-0.63629526,-1.059574,0.25944445,1.1826352,1.1620398,0.40424183
Si,-1.0652218,-1.3372207,-0.8373307,-0.30689332,-0.16692148,0.19049399,-0.3896361,-2.3897994,-0.12002959,0.8177004,-2.0466814,1.2092437,0.4696824,-0.24217942,0.739814,1.5049776
P,-0.024095176,1.5929881,0.13696222,-0.95749235,-0.6692397,-0.009790799,0.261516,2.0502574,0.03914185,-1.0333142,-2.0900187,-1.013964,0.13534261,0.19386594,0.07837467,0.35156435
S,-0.9139936,0.39482194,-0.43489355,0.37769678,-0.74862176,0.03576327,-0.30843866,1.419609,1.1724842,-0.6324652,0.97204053,0.706833,0.4671004,0.49490482,0.61775935,0.34489742
Cl,-0.61146307,0.6982358,-1.42093,-1.7691582,-1.3441261,0.52650154,-0.032679494,0.7375558,-1.7016839,0.007411819,0.87497115,0.1442599,1.196517,0.1472171,-1.8520411,0.15312713
K,0.845107,-1.3570826,-0.8169902,-0.0934223,-0.67054594,-0.45120463,-1.0484916,0.107436664,2.3633664,-0.12656331,0.627497,0.5472291,0.33094263,0.4484091,0.9649387,0.44795313
