Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,1.8580295,1.5876535,1.0603789,-2.177028,0.8256211,-1.3467368,-0.08945023,-1.6530341,-0.87300134,1.7631072,-0.43200555,-1.337084,-0.7032103,-0.65046275,-0.70822555,0.77548254,1.516436,-0.18557057,-0.6128111,0.53026587,-0.6805008,0.93455154,0.65770084,1.7890185,1.4181712,1.2518522,0.5191524,1.2351217,-0.32474747,0.092527166,-0.19099848,0.70772666
Li,1.4834126,0.83993316,2.1698484,0.5337954,0.28671047,-0.17518717,-1.047695,1.2996033,-0.120731875,0.45065722,0.05344595,0.38071725,0.5396308,-0.5673077,-2.2332294,-0.7164287,0.056856968,-0.31097403,-1.2846329,-0.5977613,0.5099993,0.557589,1.1817867,0.021851104,0.7174737,-0.51456594,-0.9626965,0.66215146,-1.6440549,-0.85687506,1.3313228,0.46773565
B,1.922702,1.1011792,-1.3187612,-1.2028912,-0.013304095,1.5521524,0.629025,0.5319969,1.053844,0.10644098,-1.8714508,0.97732437,-0.31641296,0.97594035,-0.627267,0.6695979,-1.072783,0.9018843,1.5219584,1.5224307,0.32856202,-0.3314043,-0.8437883,0.19725363,0.45914635,0.89113975,-0.5354896,1.5261517,-2.5534015,-0.3664289,-1.0864145,0.66085833
C,-1.7857963,0.04737836,-0.14472881,-0.3172383,0.08723993,-0.5827234,0.2584429,-0.9608318,-1.3953754,1.1743207,1.3029472,-0.09235691,-1.6901069,0.91879153,0.6471623,2.135427,0.18518254,0.10446174,-0.6763379,-0.25349063,-1.0515299,-1.4937241,-0.9505192,-0.67196536,-0.69931364,-1.5440354,-1.8071699,0.29992235,1.1984345,-0.5455808,0.7468734,0.9213606
N,1.8356763,-0.94281554,0.89677966,-0.37323743,-1.2332609,0.3975668,0.54043806,1.4136137,0.6000514,2.033911,-0.5702602,-1.0022302,0.1059145,1.1489694,1.2560825,0.54470927,-0.76759917,-1.0572494,-0.449089,-0.5580778,0.11027474,0.4532128,-0.06798521,-2.342231,-0.44667104,1.0122157,-1.6943392,1.5842094,0.39909658,-0.49066705,1.0704058,1.71224
O,-0.05419449,1.7063895,0.24472384,-1.0709388,-0.4650995,0.0056322445,0.3507469,1.952302,-0.1585884,-0.85913724,-2.0447402,-1.0536234,0.02752201,0.045150664,0.22470196,0.4310316,-0.9890536,0.29320508,-0.5898291,0.47180077,-0.81860256,-0.13127573,-0.45967892,1.5218825,1.3372593,-0.74489814,0.8303459,0.46636447,0.5135204,0.5590545,0.5285004,0.16304128
F,-0.65008444,0.5582341,-1.5284218,-1.60858,-1.4774306,0.41952392,-0.09122738,0.7864147,-1.5786556,-0.1547606,0.6746027,0.012149716,1.2984996,0.32639128,-1.9662291,0.100197524,-1.3361688,0.61698407,-2.5627985,-0.047161367,-0.12032866,-0.76651657,1.7378438,0.03767386,1.1894351,1.8649728,0.8278423,1.0187774,0.4818606,1.1480918,0.2288364,-0.03413264
Na,0.55408084,-0.8943717,0.85212356,-1.4175159,0.2662977,0.5442637,0.12961055,0.2442594,0.59348625,0.51309246,-1.6817201,-1.0059078,0.28981072,0.415058,-0.73748064,0.07409084,1.0565174,0.17730016,0.94210494,-0.09632234,0.40504074,-0.56783605,-0.25412092,-0.10055453,0.4402348,1.6752188,0.059512213,1.2758186,1.1243162,-0.7514609,-0.6242312,-0.13405597
Mg,-0.83128154,0.3893913,0.13155665,-1.2518836,-0.29083923,-0.8956787,-0.5757849,1.9662516,1.860823,1.7041025,-0.0034469038,-0.17020287,-1.7730601,-0.7014648,-0.37288338,1.9608537,-0.27656174,0.15663207,2.1030378,1.7221845,0.3873291,0.59294534,-0.22205846,0.70864356,-0.101832345,-1.2534357,-1.2621549,0.43176615,-0.5895943,0.84902793,-0.49273056,-0.40865508
Al,0.706453,-0.11940512,-0.27269927,0.16717951,1.4292029,-0.90310144,-0.5628992,-0.050823867,-0.9174617,-2.5578032,-0.3315723,0.7849602,0.9344617,-0.26348403,-0.8502813,0.85928553,0.08559676,-1.0716137,-0.70575684,-0.41878247,0.926635,-0.11203646,0.23399913,-0.10154248,0.90623796,-1.6053034,1.0505326,1.2133869,-0.06102629,-0.30116808,-0.19094914,0.83951384
Si,0.7303102,-1.2943319,-0.52955794,0.54611665,-0.4666424,-0.5755709,0.00817314,-1.5874426,-0.442529,-0.7715404,0.2853317,0.09293806,0.9875637,-0.5950399,-0.5646114,0.72329986,-0.47493255,1.084412,-0.4090136,1.4803661,0.7970041,-0.082546204,0.6570396,1.0622739,0.71706194,-1.3479823,0.0645982,-1.1300762,-0.06440506,1.2140083,0.81386954,-0.7063627
P,-1.2890924,0.4508873,-1.1002501,0.004760729,-0.53032357,-0.9113395,-0.54564816,0.8933574,1.6989753,-0.21079506,-0.5232866,0.035750765,0.02354494,-0.830798,-1.3168403,1.1559337,1.1989372,-0.7478303,0.113415025,0.008835492,0.0991441,1.258415,-1.2020408,-1.4747733,-1.1591271,0.24808511,0.50285256,-0.62486666,2.9227087,1.9604762,2.0815995,-0.9970248
S,1.7024266,0.7562949,-0.48966205,-0.6130734,-0.62152433,-0.5408273,-1.5859636,-0.980235,-0.3446762,-0.15817553,-0.5668454,-1.212457,-0.49294898,0.058619294,0.32228813,-0.0062414943,1.274269,-0.3698416,0.6992232,0.0843371,-0.80087656,-0.5628479,-1.1566167,1.8544708,-1.0578196,-2.5908551,0.78337395,0.9015487,0.7098121,0.40745384,-0.30865467,0.6123489
Cl,-1.3747722,0.20571673,-0.57288826,0.16113293,1.561776,0.17087136,-0.7399447,-0.95367646,0.49974263,-0.4536451,0.18924317,-0.38495305,-1.77968,0.09152321,-1.8968487,-0.6376193,1.321434,-1.2790823,0.74280405,0.64242876,0.35387403,-2.7026556,-1.4942843,-0.9608707,0.2850914,-0.18908572,1.1958845,-0.4389158,1.013898,0.59660786,1.2315522,-0.6699098
K,-0.6198165,-1.2789893,-0.014505155,-0.91058517,-1.9784335,-0.04981634,-0.29346246,2.3874643,-0.23958081,-1.458486,0.7619325,-0.14292865,-0.46632296,-0.16119318,-1.4048704,-0.98967797,0.23666,-0.042533632,0.92031413,-0.07207358,-1.1154647,0.4531764,1.001517,-1.255896,0.3496625,-1.1858717,0.19814499,0.6318337,0.77925795,0.25111952,1.8999425,0.85233957
Ca,-1.8141155,2.332354,-0.9338432,0.5855022,-0.46821505,-2.2866175,1.3785157,0.26720798,-0.80047554,1.626524,1.5384445,-0.12140787,0.40553224,0.4104181,0.71561414,1.2431327,-0.3838759,0.43199837,-0.67472386,-0.34902528,0.11780956,0.030269928,0.5853234,-0.5939573,-1.0802174,-0.4566826,0.8431724,1.5362389,0.066215605,1.477269,0.2815089,0.50518525
Sc,-1.2791243,0.032416217,2.017301,0.25676122,0.19799301,-0.81573683,-1.1555321,0.7586417,0.39582154,0.30146128,-1.4281107,1.8204896,-0.048518762,-0.17097022,-0.8440763,-0.59639925,-0.4941867,-0.75859314,-0.2626219,-2.07726,0.12671518,0.9844715,-0.1849108,-0.22854964,-0.8680647,-0.17754613,-1.0379928,-0.049711958,-0.55467755,0.8720719,0.10541156,-1.7814062
Ti,2.1515458,-1.5541706,0.110765286,-1.1718261,-0.54923373,0.99178916,0.2985072,-0.5353376,-2.7562356,-0.75427294,0.5413193,-1.7584268,0.78592324,-0.2295008,0.07815724,0.87826276,0.16754857,0.7349705,0.32459125,2.7199385,0.3849509,-0.29100844,-0.06279788,1.4981649,-0.13222235,-0.43236193,1.4711281,-0.6593601,-1.1934209,2.9904597,1.3665544,0.9097168
V,0.32025993,0.44532394,1.5434715,1.2820303,-0.103022404,1.3520024,-0.48166722,-0.97306085,-1.3654187,-0.019038174,-0.4047255,-0.73902893,-0.3858182,0.4086758,0.9902636,1.3068411,0.9493198,0.122296974,0.8405987,2.0893092,0.77625716,0.25895798,0.18294618,0.35180247,0.101422966,1.7117621,-1.2395777,0.4126995,0.385121,-1.4914489,-1.4787683,-0.3040161
Cr,0.22235034,-0.056970738,0.9467271,1.2962905,0.27366564,0.8643455,-0.8270657,-1.396133,0.49589795,0.45869175,-1.3439065,1.8884608,1.6900717,-0.91520303,-1.2755412,-2.2696798,0.058758114,-0.817584,-1.5857345,0.28046608,1.139783,0.32601503,-0.3784309,2.8414125,0.82330054,0.7549104,1.9650197,0.656913,0.16020644,-1.6377699,-0.4293416,0.6079018
Mn,0.34311274,-2.9675455,-1.311906,-1.527356,-0.41277713,-0.35806125,-0.7408178,-0.43199325,0.40715516,-0.71288294,-0.5762436,0.6528768,-0.21970439,0.7152233,-0.7013871,-0.89341754,-0.102423586,0.02018101,0.67265284,1.4558295,0.18372023,-2.6079907,0.2663194,2.0480905,-0.5752151,-0.04020909,-1.5618278,0.25506982,0.65446043,1.4849688,0.7467503,-0.2612109
Fe,0.8988386,0.4761398,-0.03023443,-1.384927,-0.64284104,-0.1783817,0.13347119,-1.2248639,-0.3870077,1.3869249,0.3990526,-1.0584904,-0.7568759,-0.4083966,-1.3213682,1.1399738,-1.0331032,-1.9223411,0.34249204,0.35896492,-0.024248928,-1.0118921,0.2560857,-0.8097393,1.3233565,-0.34716132,-0.8387208,1.9823428,-1.5630407,2.0945327,-0.7058115,0.06864826
Co,-0.28096533,0.84461296,0.49385527,1.4918175,-0.20345904,-0.566948,-1.2394706,-0.6616585,-0.4098585,0.16955252,0.33257577,0.5552492,0.57566905,0.9436397,-0.5316686,0.41056928,0.69012415,-0.91587293,1.3851246,0.981477,-0.11247444,0.8445597,0.57251346,0.023592707,-1.239594,-2.434933,-0.3462782,-0.23781309,-0.25565514,1.1864848,-0.22113289,1.4450895
Ni,-0.5453995,-2.0785902,-1.6066014,-0.70383024,0.46941778,-0.43936616,0.50344515,-2.366442,-0.592587,-0.58008707,1.2164692,1.2876968,-1.177371,-0.065557644,-0.9582608,1.5186602,1.3819554,-1.3379526,-1.3123754,-1.2013987,-1.5749652,-2.6600397,1.3206086,-0.47632232,0.81695676,-0.89531374,0.056795556,1.328091,0.9312764,-0.3533461,-1.5149107,-0.8435329
Cu,-0.75520015,-0.31328234,1.0253783,-0.8698973,-2.3076699,0.24689658,1.8473941,1.0683342,-0.5922163,-0.68540853,0.11440024,-0.20356295,0.5424926,1.6307875,1.6267562,-0.3852631,1.8034624,-1.078605,0.8349261,-0.7652505,1.0769993,-0.98399854,-0.64769405,0.4007116,1.2185211,-1.261281,2.571902,-0.14766192,-0.12174546,1.2772124,0.91957414,-1.0337657
Zn,0.1333106,-0.3954948,-2.344183,-0.4726427,0.33208644,-0.2968209,-0.15279095,-0.3097861,0.9787951,-1.147237,-1.3148143,0.6107998,0.26402935,0.6623705,0.8242932,0.69026446,0.33894426,0.05601357,0.21841146,0.48633456,0.18422855,-0.53914464,0.6686129,-0.8705103,-0.26209638,-1.357947,-0.46459997,0.1751381,0.43176353,1.4704281,-0.28612593,-0.15201245
Ga,-0.45358434,-0.65832126,-0.05421096,-0.42774385,-0.55864656,-0.8479008,1.3652587,-0.9287649,-0.3094372,0.98183554,-0.5387368,-0.92369866,-0.6911533,2.155695,-0.6361355,0.46307206,0.7815938,-1.7626183,1.1475039,-2.7618766,-0.35753113,-0.8339958,-1.6897095,-0.28531548,0.1492976,0.6164249,1.8050909,-1.9564587,-1.4351174,0.5911177,0.5125971,-2.3778684
Ge,-0.04688264,-0.19431618,-0.054866225,-0.51711994,-0.11055878,-0.016628541,-0.487997,0.02292286,-0.8402103,0.24114981,2.172882,-0.6444064,0.9591609,1.3919623,0.8649053,0.27879018,0.6306213,-0.49988863,0.41840792,0.022811603,0.52051955,-0.32690907,1.3429451,0.57348573,0.52683544,-0.80467963,-1.2541332,-0.2791849,0.30037844,1.0649061,0.55536664,1.7176821
As,-1.0865421,0.89879936,-1.739509,0.65042853,-0.22328348,0.19245218,-1.5565076,-0.6376946,1.3970467,0.2687333,-0.034830373,-0.23811384,-1.4238261,0.78488195,-0.17648567,0.35348788,-0.18275551,-0.18809281,1.2813892,-1.2719648,0.17226066,-0.02285411,1.4680725,-1.6411669,-0.41830674,2.0810604,0.018218938,0.7605454,0.9387537,0.84376824,-0.014628701,0.116349414
Se,0.77095246,0.054306027,0.27523893,0.04181967,0.2701824,1.4112117,1.5463728,1.1327014,0.9056778,-0.8905031,0.8247119,-0.46196446,-0.4091387,-1.0836282,-1.828204,-2.483954,0.14391072,-0.8689289,0.41852593,1.5977421,-0.96423393,0.5540803,0.44099313,0.25438377,1.1714323,1.3429229,0.85770583,0.5704955,-0.12437619,-1.0013746,-0.04072442,-0.854911
Br,0.27324006,0.09611731,-0.37735662,0.81050956,0.20843977,0.39632028,1.2643263,1.2583106,0.7314098,-0.08337864,-1.5306114,-1.5492727,0.3077904,-1.3990844,1.8734229,0.0050390945,-0.27321118,1.3619564,-0.91735315,-0.739199,-0.42726365,1.1128713,0.27762565,-0.120689094,0.77404094,-1.1714106,1.0296957,-1.1542417,0.99674135,-1.1099684,-0.73885345,-0.20422247
Kr,0.0019485307,-0.2097907,1.2010223,0.6755963,-1.8900177,0.19431965,1.6020095,-1.0371783,-0.7486876,-0.38440305,0.14350247,-0.081268296,1.1261654,0.040618442,-0.064642176,3.445625,-1.112916,-0.4341987,-0.015211731,0.5427215,0.12508316,-0.8761706,1.2222594,0.32681647,-0.104872406,2.4768047,0.576907,0.14730527,-1.3136197,-0.6061143,0.64497554,-0.24771355
Rb,-1.3001641,-0.27349848,0.29942375,1.1973757,1.9704158,1.9692906,0.39431283,-2.2803607,-0.12507926,-1.5346849,-0.41250542,-0.748112,1.6818128,-0.6447258,0.24704295,-0.6012181,0.28492913,-0.35255828,1.0201827,-1.0773143,-1.1863203,-0.85179484,3.1552649,1.319013,-0.7403939,-0.90665025,-0.6272132,0.34878644,-0.08174865,-0.80422074,1.2307898,1.2496804
Sr,0.96347123,0.78910524,1.1199234,0.68201673,0.39150193,-0.7739272,-0.83269465,-1.6305921,-0.95996547,0.7218699,0.6518028,0.66427577,1.4047842,1.6396767,0.30641901,1.4602749,0.4009083,0.25905025,0.718334,2.1833146,0.4945253,0.30088314,-0.23677477,1.2568344,-0.29733792,-0.9249425,-0.3179983,2.1298242,-0.9163228,-0.18685614,1.623561,-0.5063805
Y,-0.08203151,1.0544599,1.5088171,0.87345,-0.25207895,0.508885,-0.059265025,-0.5356696,-2.03695,0.49305794,-0.7172522,-0.10735013,-0.29602626,1.3380044,-1.4307717,-0.23630215,0.120019265,-1.4572446,-1.675364,-0.55804884,0.5572248,-1.354956,1.251016,-2.040555,1.4061865,0.0927436,-1.0793552,0.637443,-0.7802859,-0.48617667,0.30261406,0.63280153
Zr,-0.62259954,0.5515888,-0.7441985,0.05563135,-0.7402015,0.9323931,0.4449995,1.1525874,0.5091295,-1.1558573,-0.757413,0.00957646,-0.73054975,-0.5503686,0.7942749,2.2947402,-1.7891426,-1.0087693,0.62993085,1.051187,0.9250716,-0.021771813,-1.1004554,-0.7394791,2.4645627,-1.932083,0.3278058,-1.4554023,-0.45509166,-0.12555234,-0.5903038,-1.2944455
Nb,-0.28428736,-0.42781794,0.9755534,0.21558249,0.41454095,-0.8952129,1.1757723,0.320156,-0.3324846,-1.061783,-0.1338199,-0.77637637,-0.22518873,1.744273,-1.6181794,-0.1186647,0.12351185,0.11627254,0.7705017,0.92338043,-0.8243319,-1.1814824,-0.46763372,1.242617,0.1246788,-0.46097824,-1.0843611,1.5393958,0.11422113,-0.06732299,-1.0368409,-0.19297592
Mo,0.7581288,-0.8612881,-2.2287095,-0.83551085,0.9613408,1.144093,-0.035570648,1.0926948,1.137173,-0.23889731,-0.83663315,-0.32189646,0.5006216,0.22047077,-0.4425502,-0.43389007,-0.05213127,-1.5657864,0.4573343,-0.29275125,-1.8643385,-0.088318296,-0.569756,-1.1211436,-0.22750416,-0.11085975,-0.0530728,1.1029257,1.6726091,2.0779011,-0.20502755,-1.4514024
Tc,-0.49544063,-0.6720496,0.48438263,-1.4610189,0.16123338,0.6330989,-1.026444,-0.51217,-1.1305757,-0.13958745,-0.6686286,0.40415823,0.33124253,-0.82364166,-0.49861392,0.67576045,0.52811164,1.2041203,-0.21201737,1.4199241,-0.8287859,0.33346516,-0.29079923,-0.23422721,-0.27669337,-0.65220934,-0.041337308,-0.26619864,1.4413612,0.03895272,-0.5165266,-0.49806115
Ru,2.9707663,-1.2612542,1.7943752,-1.1044382,-1.7452112,0.18268852,-0.8984366,-0.28760877,-0.814897,0.022947868,0.77413243,-1.4912678,1.0870831,0.12985633,1.9167135,-0.109212935,-1.0355561,0.91203487,-0.08730559,-1.346476,0.4828987,-0.25647417,-0.3654779,-0.55045724,1.6218991,0.2244967,1.8758277,-0.056225814,1.1837741,1.2669574,0.29172975,0.2796539
Rh,0.3709783,-1.2298461,-1.144345,-0.5516296,-0.99654686,0.63894725,-0.8070454,0.8867011,0.7816285,-0.3805294,0.21471196,-1.434543,-0.8984836,-0.46877566,-0.003832602,0.87944967,-0.9428303,0.50507593,1.1025362,-0.7523247,0.28632942,0.50158197,2.13391,-0.8537102,-1.3067759,-0.12009117,0.35836565,-0.340984,-0.7084064,-0.7134307,1.5686446,-1.4696562
Pd,0.7270172,-0.52889395,-1.1283422,0.37807086,-0.10080257,0.68671757,-1.3055049,1.2173389,0.4286443,0.92877775,-0.030745802,0.07243695,-0.31030083,-0.093897894,-0.94020945,1.1881542,-0.25242493,0.079507,1.8383546,-0.63960457,0.12105776,1.6028303,-0.9613066,-0.8305183,1.2238144,1.5176098,-1.1113539,0.50253326,-0.13049005,-0.537177,-0.47741547,-0.45501482
Ag,-1.0405216,0.28119597,0.22710113,0.5423879,-0.74043554,-0.6866727,-0.35081637,0.47779444,0.36958817,-1.8824837,0.2155312,1.4105424,0.68060136,1.4461073,-1.1210501,-0.74400455,0.9755525,-1.8874638,0.25725865,0.8025885,0.702371,-0.6383561,-0.5060485,0.16584302,0.45352662,-1.9868649,-0.80473596,-0.15140219,-0.3953124,0.14832132,-0.24093004,0.23494248
Cd,-0.04964859,0.0724609,-1.5139959,0.5030658,0.73285955,-0.19422089,0.6223094,-1.9024851,-1.4820868,-0.20821244,-0.6743115,-1.2600358,-1.2523751,-1.459651,-0.5610376,1.2456836,-1.6030892,-0.91446716,1.4084109,0.93431646,0.4730161,-0.823187,-1.01763,0.5409973,-0.98213804,1.0320019,-1.1125667,-2.7674172,1.3121003,0.20961012,0.3698821,1.2953365
In,-0.73830545,-0.79050636,-0.31763974,-0.8247731,0.5799688,0.8947644,-1.0228153,-3.001187,-0.8509917,-0.7155744,-0.7493654,-0.5763594,0.44868854,2.7571242,0.94765794,-0.06455185,-0.79193807,0.11120534,2.079187,-0.7077994,-0.9618752,-0.27093518,-0.39279065,-0.4118807,-1.3270772,-1.5678172,-0.7346802,1.2585225,0.32567134,0.46567452,0.06497427,-0.46183065
Sn,-0.034404423,-0.41887346,-1.4346216,-1.4131603,-0.18031141,-0.46872085,1.3579534,-0.6866707,1.3219972,-1.2928462,-0.029745044,0.5601337,0.8381305,0.35070938,0.5066058,-0.7198339,-0.71894854,0.8226903,-0.45007995,0.43954664,-0.89861095,-0.054822344,0.6136766,1.2870706,-0.935352,1.5833095,-1.0380435,1.3220763,1.2790577,2.0842445,0.7241078,-0.9482972
Sb,-0.16938826,0.34848475,-0.44380537,-0.5007101,0.299734,1.2502255,0.93823624,1.0668114,0.0016032186,-1.6971674,-0.094101265,-1.0971746,1.0853367,1.6807288,-0.40550375,1.0937047,0.9611555,-0.9603195,-0.21810447,1.0794656,-0.28458172,-0.031461727,0.89356095,0.3072015,-0.59469885,0.62840956,-2.947455,0.29236498,-0.40595362,-0.96844566,-1.4423933,1.5832589
Te,-0.8885146,-0.6806415,0.17511338,-0.48752636,-0.13370477,0.022160985,1.7090504,1.1225411,-0.12167327,-1.2830975,0.4839601,-0.20404617,0.091176175,1.2717236,-0.80825555,0.9555543,0.4188194,0.20767197,0.16879523,-0.14479335,-1.5166496,-0.60012007,0.90373695,-0.25144857,-1.2355953,0.21336347,-1.1071813,0.8349223,0.05842874,0.40154165,-1.5984993,-0.35126653
I,0.15848221,-0.10326967,0.044258386,0.65591747,-0.916734,0.9171646,0.54144573,-0.7905135,0.38142362,-1.2944788,-0.6338229,-1.9568931,-1.0060649,0.42323685,-0.6238107,1.2963116,0.91758054,-0.5748345,1.2710574,-0.8363372,0.72646254,1.6221474,0.14229642,0.1904473,0.33182007,-1.0171902,1.6214832,1.9139767,-1.017235,-0.19470301,0.29607558,1.1890876
Ba,0.24115887,-0.01977142,-0.2386267,0.43494675,0.027013568,-0.7116816,1.5610161,-1.7754825,-0.3398204,-0.8622983,-0.05046017,0.79409325,0.034863856,0.027803928,-0.37823382,-0.32766408,-0.8920358,-0.51760435,-0.17433219,0.008526017,1.9517707,0.9430594,-0.1638446,1.1036493,-0.44543874,0.25332457,-0.5527462,-0.2951119,0.5835902,0.6468483,0.068169914,0.47774944
Ce,-1.2670412,0.38271016,0.6410804,-0.5506982,-0.8490079,-1.4981327,1.0112283,0.030887894,1.1527714,0.92341226,-1.7961366,0.052053947,0.095394805,-1.3470935,-1.0480493,1.1423337,0.51815546,1.4302452,0.0013103974,0.37761673,0.038527634,0.8716529,-0.96182287,1.20451,-0.6439094,1.0691404,-1.753805,0.6941745,-0.12126535,-0.9020238,-1.3418071,-0.80957174
Pr,0.649431,0.27745786,-0.09385495,-1.8803437,1.5166019,0.45449516,-0.3916418,1.9534874,-0.027632901,-0.17106174,-0.19219989,-0.49944004,-0.42692697,-0.21617238,-1.5616803,-1.4498172,0.75496656,0.31003845,0.14834462,0.07027466,0.087737545,-0.96301174,-1.219551,-0.7396582,1.4096733,1.153328,-0.32938144,-1.3993604,-0.62812036,1.2604942,0.81281775,0.77100617
Nd,-0.42229256,-0.6754724,1.7790642,0.66771156,0.06023073,1.0181173,0.0153110055,-0.6994204,-1.9379241,0.35234413,-0.7420467,1.7926764,-0.2826393,0.49121225,1.016536,-0.1326182,1.0969732,1.5957639,0.41785935,-0.982129,-0.6025601,-1.1401846,0.29938805,0.37708274,-1.6507509,0.3846873,0.034498833,-0.7292688,-0.31486967,0.6947554,-0.10743537,0.78370494
Sm,-0.8467686,-0.796249,-0.18534218,-1.3698308,0.099709675,0.51626474,0.12206014,1.2591105,-0.51767087,-0.33559754,0.3639957,0.9383187,0.4548231,0.9590586,1.8604281,0.01561946,0.749284,-1.4783386,-0.8341119,1.0565877,-0.32182923,-0.656909,0.28892887,-0.02805176,0.6601154,0.4504947,-1.8768768,-0.7361813,-0.7051369,-0.24044122,-0.5788139,-1.7208102
Tb,-0.5516236,-0.060424104,0.26855433,1.588091,-1.5344003,-0.26969123,-0.3594509,-0.7320821,-1.4543821,-1.4027119,0.9380254,-0.0075267707,0.20192373,0.15375964,-0.58449715,0.95807344,2.090604,0.9580309,-1.8849566,-0.49464485,-0.20818916,-1.2551725,-0.14634912,0.6587922,0.10595593,-0.7388298,-0.475542,-0.12326071,-1.5012054,-0.30798146,-0.6961671,-1.483734
Dy,0.16818748,-0.07475208,-0.42334273,-0.97748095,-0.74009985,1.4657134,0.040890954,-0.05976045,-0.5552388,1.9819123,-0.9717334,0.5086877,-0.9736741,-1.5184731,0.7644287,0.55415523,-1.4622453,-0.13012673,-1.187647,0.4207414,-2.1800556,-1.1425942,0.06707391,-0.72826177,1.0778271,-1.2116909,-0.01029457,-0.2564907,0.30923536,0.56468487,-0.90637887,-0.066951185
Ho,-0.4443118,-1.4663026,1.7780294,1.3554392,-0.95702523,-1.7493738,1.4336709,1.2362185,-0.7434396,-0.5835218,-0.96948934,-0.43077704,-1.8461541,0.38745654,-0.5396457,1.0135245,0.5039754,1.6240883,-1.7290845,-0.49635556,0.25592712,0.88226885,0.36104575,0.4345029,-2.0261037,0.32574862,-0.29442447,1.1110892,-0.2997754,1.7849888,-0.7466584,-1.1855417
Er,-1.3267398,-0.0059008454,1.429968,0.0868387,1.5096804,0.6205054,0.4442583,-0.07044785,1.0317421,2.8855622,-0.15370692,-0.20495124,-1.3707578,-1.131133,1.1280898,0.20302637,0.38227344,0.20639549,-1.2610874,-0.7835194,2.1300666,-0.011671959,-0.118698105,-0.15945195,-0.53782725,-0.8463508,-1.8098577,1.1028548,0.3639437,1.1990882,-0.25925192,0.73158884
Tm,-1.4667213,-0.7695332,0.10813334,0.57804453,0.9942964,1.0471727,0.27567494,-0.15312761,-0.89575845,-1.0677124,0.7857965,-1.6628722,0.3120937,0.13047333,0.8534225,0.29032862,0.3069909,0.15688105,1.3054179,-0.21277457,0.0742813,-0.67261845,-1.5263733,2.87352,-0.9047074,0.89737874,0.86961585,0.18741165,1.2786546,-1.0246317,0.0109384945,-2.049548
Yb,0.7353004,0.9054732,-1.0685372,-0.080787845,0.5374796,-1.4251856,-0.38468006,-1.5310235,1.529173,0.2948216,0.7031945,-1.4777279,-0.9228137,-1.4561005,0.041481454,0.31662443,-0.63244754,0.8467105,-0.70130384,1.4795103,1.6905223,0.3972162,0.78697544,0.56922126,0.33537441,0.6525217,-0.7421989,1.8477559,0.017382462,-0.30486992,1.0339689,0.21598703
