Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,-2.1651337,0.92687756,-0.18281542,-0.1516993,-0.5390962,0.19790961,-0.09138075,1.1061872,0.9549618,-0.36281303,1.5001943,1.423614,-0.2564373,0.4789452,0.047960185,-0.45747927,0.34420514,0.43755534,1.8736463,0.5842393,0.66492766,0.8882109,0.06995084,-1.0314853,1.4742742,-0.028694116,-0.9495105,-1.3083522,0.9114993,0.03676178,-0.73711646,1.9469204,2.1020632,-0.72364646,0.055376295,-1.577027,0.2752381,0.33808497,0.6575593,-1.0452647,0.76335835,-0.7739633,-0.36631152,-1.5995212,-0.066276945,-0.4542242,0.53018314,2.4115558,0.36670095,1.9025592,0.19889243,-1.1834055,-0.76584446,-1.2003247,-0.24570926,-0.51562786,-1.3935847,0.41341168,0.37143266,0.9055408,0.58656377,0.43256766,-0.30846044,0.2336841
Li,-0.509175,-0.58662754,0.28414416,0.16747245,0.33365482,-0.977925,0.57567054,-0.56421244,0.7296998,-1.8670748,-1.0069304,-0.06228025,0.28263018,0.31958947,0.29199916,0.71232706,-0.54470426,1.8764554,-0.19804524,0.90554386,0.2954521,-0.53853434,0.52064306,-0.86013275,-1.074808,-1.939273,2.1500049,-0.7763332,1.3290031,-0.79781514,-0.4799542,-1.6601491,-0.3374502,0.9594787,0.41558245,0.5272103,0.041053876,1.4280822,-0.28068173,-1.5476245,1.9460454,-0.43753725,1.0911001,-0.7098002,-1.6179168,0.3005322,0.14636476,0.4447871,-0.11886117,1.0282435,0.4508107,1.6936178,1.5525472,1.591738,-0.28116214,0.8050407,-0.87954897,0.3953861,-0.27069607,-0.92694014,-0.62993807,1.6330763,-1.7936773,-1.6890893
B,-2.411876,-0.3645913,1.4142618,-1.0863438,-0.65018916,-1.0250192,-1.7255253,0.60451347,-0.57363564,-0.9107885,-0.14078656,-2.330532,1.0298893,-1.4035068,-0.27097955,0.37129888,0.2929133,1.295904,-0.3086732,1.870914,-0.39767092,0.52685744,-0.1564767,0.3516101,0.7826646,-0.32788968,0.7685214,0.5829518,1.3949559,0.7205659,0.3616503,0.43090546,-1.1191902,0.74931407,-0.50816226,0.44838965,-1.0968543,-1.1340618,-0.15662968,-0.474725,1.5038134,-0.5612033,-0.93230546,0.2962144,-0.967538,-1.1432118,-1.4529215,1.2171254,-0.5840983,0.36583045,0.17631546,0.3568774,1.3774276,-2.1581297,-1.8088152,-0.92887294,-1.4308023,1.2658706,-0.4453822,0.89324784,0.6999337,0.71498734,-1.1373093,0.8116168
C,-1.4612713,-0.173204,-0.05266868,-0.9507434,0.57037437,0.14758599,-0.56803274,0.99015176,-0.7671671,0.75553805,-0.41499078,1.338345,-0.15148732,0.038221,1.0600028,-0.13966633,-0.8862457,-0.45944637,-0.53512913,0.5477748,-1.3551856,-1.5425016,-1.3897276,0.09677163,0.46451834,-0.18133545,1.0408833,1.2737833,1.3930544,-0.21369945,-0.7492984,1.7274703,-0.10097595,-0.6228479,-1.196175,0.25318483,-0.8269049,-0.18105519,1.1978872,0.23815067,1.187474,-0.49673927,0.022937747,-0.95419717,-0.31377038,-0.7516396,-0.86957496,0.56398803,0.37488294,-1.3198364,-1.5560004,0.5667498,-0.22079161,1.7691442,1.8022592,0.3567265,0.05053855,-0.6070989,1.042921,1.6793411,-0.0546536,2.3214164,1.171274,-0.26973924
N,-0.29050845,-0.051299907,-0.119524494,-0.3706578,-1.0175643,-2.288999,0.16823304,-0.20661928,0.62489957,-1.9044223,1.4963425,1.3626826,-1.0397279,0.36041552,2.1466382,0.49115154,1.098376,-0.0047715087,1.4310853,-0.8510898,-0.17784585,-1.6722157,0.3446291,-0.49744523,0.949677,-0.8782656,-0.54908216,-0.41865382,-0.3063293,-0.34806997,0.84512,-0.8970787,0.23003566,2.069228,0.4794176,0.47455645,0.5061149,1.491241,-0.9215404,-0.7234639,-1.142115,-0.5776436,-0.22680561,0.8997199,1.9045677,-0.074709535,-0.04167518,-1.0014683,-0.74221724,0.54068696,-0.3812355,-0.85131395,-0.5779317,-0.7689919,-1.3579364,0.8071027,-0.14631608,2.0958402,0.40245584,-0.47003144,0.72719485,-2.0572371,-0.80326676,-0.3960609
O,-1.2310987,1.8592317,1.1633217,-1.7332089,1.2938077,-0.45735922,1.0016115,-1.6070766,0.8206416,1.0853748,-0.91342616,0.26403272,-0.3082899,-0.24620631,0.58229977,0.6365143,0.46528575,0.2603923,-1.2165768,-0.30062675,-0.024380555,-0.15283519,-2.376858,-0.82906944,-0.22085424,-0.7282033,-0.050681856,0.067748286,0.067599036,-0.32181403,-0.38465622,-0.5820989,0.83157486,0.577112,0.18513934,0.5759884,-0.76427436,1.3524204,0.29556298,-0.3625957,-0.90778863,0.39083695,0.8889335,-0.35005385,-1.6426595,-0.123200886,0.5568116,-0.61299235,0.80521953,0.86639464,0.01271867,-1.6126997,0.99503654,-0.16001932,1.2321078,-1.4037656,-0.05715995,0.5051491,-0.7054435,-2.4980948,-0.7822493,0.84036213,-0.66011906,0.5997719
F,0.009700937,1.7898563,-1.4184182,0.9319403,0.43847904,-0.47196782,-2.3820233,-0.4937677,-0.0396743,0.5052418,-1.6565402,1.0894192,0.26917797,-0.1149011,-2.1002843,0.28279737,0.12981759,0.31387386,2.5040817,-2.1303627,0.3146692,0.115169026,-0.37935674,-1.3014811,-0.53281957,0.6523219,0.10181741,0.27708954,1.1686736,1.2150273,0.1811468,1.0942991,0.19572262,-0.26903817,0.11559358,-0.24309662,1.2469622,-0.13327263,0.66527313,0.8453158,1.2506405,-0.5200416,0.46889117,2.4321115,2.3529317,-0.48516253,1.1843518,0.61959815,1.8513409,-0.61446685,0.4040951,-0.25844094,0.8773349,-0.30890876,-0.19663851,-0.45579755,0.23877238,1.0530965,-0.30085683,-0.80188066,-0.61850226,1.0645204,-1.8362046,-0.7910883
Na,-0.547848,1.2057229,-1.233708,2.1723933,0.790437,-0.3385928,1.3706205,-0.60405105,0.2247636,0.06411097,-1.0937899,0.43566215,-0.016360188,1.0958186,0.30622137,-0.44305208,-0.7558418,-0.1242131,-1.1288755,2.1658547,-1.7546904,1.3161049,0.18413495,2.099468,1.4890124,-0.9260338,-1.996924,-2.5132031,0.2143142,1.0555485,-0.2953534,0.29424706,1.4837211,0.77835965,-1.7970527,-0.46232808,-0.17175233,0.14999491,-1.4435964,0.87511885,0.12945832,0.8722745,-0.3907279,1.846741,1.2519046,0.1393654,-0.920774,-1.184047,0.5767982,0.0011372046,-0.31240916,0.51744485,-0.87573785,-1.5225484,-1.4815986,-1.4402902,0.83673906,-0.20653157,-1.3407488,0.8804434,-1.161466,-0.92909837,-0.14706357,-1.2002337
Mg,0.5687658,-2.1635227,0.85314405,-1.5802457,1.2941573,0.025705284,-1.3541831,-1.31502,-1.2356943,1.0040599,0.99075043,0.27981263,0.65660393,1.4729738,-0.12185836,0.83844197,-1.2026424,-0.48386768,-1.6295409,1.0839314,0.88546884,1.778005,0.022485586,-1.2949045,0.72159016,-0.5902521,-0.94699776,-0.9223749,-0.3486659,0.5876777,-1.3444577,-0.090928756,-0.620826,0.34240323,0.76977175,0.31964052,1.121225,0.3893491,-0.41947478,-0.027357899,-0.6251451,-0.9324177,0.29345205,-0.6800865,-0.55709416,-0.7831426,-1.2143949,1.136529,-0.63856745,0.3113859,-0.85438246,-0.5863433,0.74277747,0.34019744,0.4637955,-2.2730157,-0.021130292,-0.7700113,-0.061899446,-0.7875128,-0.7569826,0.40463036,-0.35971254,1.4025649
Al,-1.6491898,0.51286006,-0.2598762,-0.04149102,-0.4310749,0.3122874,2.1769638,0.65253913,-1.4913725,1.6651089,0.58544654,-1.825733,-0.6787523,-0.29793718,1.4760466,-1.1112683,-1.3742934,-0.9130658,-1.2558194,-0.10636353,0.754818,0.051990815,0.934692,0.6886841,0.22994761,1.8607842,1.2147585,-1.0888871,-0.5233764,-0.78175145,1.5836322,-0.5677973,0.87685955,0.6376428,-0.66457707,-1.4263866,-0.825394,-0.89027405,-0.7474989,-0.4309001,0.4123919,0.35413554,0.429308,-0.571102,-0.03372338,-0.18640631,0.5273631,2.0822067,0.24319002,-2.3497941,0.61388993,0.37450293,2.0326908,-1.0465432,0.033882156,-2.1455529,-1.8982595,-1.5802029,0.4302738,-0.38721216,-0.61886704,2.0348585,1.4669247,0.54502934
