Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,-1.1687975,-0.02718478,-0.89493775,-0.65934247,-0.13886066,1.0247128,-0.12745717,-0.7989135
Li,-0.60543793,1.9642122,-0.031037664,0.6224205,-0.20387498,-0.29901448,1.6366327,-0.3037577
B,0.3099113,0.77965736,-0.36800137,-1.6057539,-0.8295251,1.6677755,1.2565751,-0.23653457
C,0.94657046,-0.058214054,0.3224662,-1.7465901,-0.5447448,1.7457883,-0.6478247,-0.73927766
N,0.728355,0.51919323,-1.2802144,-0.4450328,1.4008179,0.4047009,0.7899857,-1.7596415
O,0.30836263,1.7444947,2.2692587,0.6136916,-1.3262163,0.8420993,0.8093768,0.20581768
F,-1.219228,0.6955344,-0.29816532,0.61348665,0.6445515,-0.19025023,-0.60247856,0.76872325
Na,0.9897997,-1.6136405,-0.31501082,-0.79834265,0.9290425,-1.043954,0.6910339,0.5819359
Mg,0.0213576,1.1152893,-0.8404111,0.9293287,0.9132492,-0.7189306,-2.0005913,-0.8342558
Al,-1.7397853,0.30713925,0.0025534148,0.8772836,-1.6701412,-0.1200148,-0.4159246,-1.0717152
Si,-1.5735469,0.77009344,-0.789443,-0.5877536,0.07637794,-0.66973203,1.3584496,-1.1837368
P,0.95618224,0.45190015,0.79778445,0.7471038,-0.029898146,-0.19637707,1.828443,0.8292025
S,0.61178875,-1.1010066,0.84700966,-0.12655523,0.13846624,1.147239,0.35081193,1.171665
Cl,0.49076682,-1.2634373,0.09393639,0.8297073,1.310852,0.9208556,-0.054813378,0.6103406
K,0.54893726,1.6805525,-2.026045,-1.4474306,1.3636787,0.58076435,-0.9514997,1.0396639
Ca,0.7091953,-1.0705866,0.011829853,0.10065696,0.79397136,-0.6824948,2.006244,1.6810066
Sc,0.3617739,-0.40070608,-1.0656095,1.0424576,-0.07014753,-0.11051357,0.17204128,-0.7772715
Ti,-0.8914873,1.9652408,-0.050088722,1.168548,-0.5908901,-0.08938913,0.5772181,-1.1298659
V,0.91093177,-0.51655585,0.17154622,0.6258446,-0.7337074,-0.070438415,-0.250674,0.7729774
Cr,0.09741047,-1.0671519,2.0798485,0.33031455,-0.28367615,0.018152377,-1.0140826,-0.6715847
Mn,-0.8274993,-0.8607554,1.4163516,1.1875829,-1.3550231,0.27383295,-0.9076241,0.16510539
Fe,-0.008740528,-0.4696647,-0.993178,0.95160407,0.88047093,-0.9834218,-0.35747504,0.025628809
Co,-0.8519329,0.32178664,0.617157,-1.1925863,-0.7149601,0.5908062,1.679332,0.71287405
Ni,-0.34902492,1.3096823,0.6331355,0.9166516,1.3364598,0.482025,0.1386402,2.4520433
Cu,1.2989293,-0.2797292,0.7020969,0.20787543,0.5842243,0.22099724,0.5070367,1.388806
Zn,-0.11721403,0.88748723,-0.46925402,-0.84865355,-0.7346754,-0.33394498,0.1439,0.9849974
Ga,-0.076385126,0.3039671,-0.4391649,0.15175708,0.23696287,0.12408199,-0.73316026,-0.47296548
