Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,1.8815578,1.9466953,0.17589664,-0.5676589,1.6205491,1.1092113,-0.5305769,-0.8206352,0.2539035,-1.0578068,0.028835448,-0.24129508,2.743599,-2.0111065,0.74513215,1.521375
Li,0.100953296,0.7054416,-1.9513674,-1.0800453,-1.8922127,0.9361068,1.7227957,0.02065988,0.4174734,-2.70428,0.05701712,0.9331548,-1.1526299,0.24679258,1.2607229,0.3736574
Be,-1.2112601,-0.11437255,-0.06803396,1.179535,0.67758656,-0.7605967,0.54140365,-0.0785771,1.1753038,-0.38754916,0.26391923,2.2262352,0.16443683,0.72048473,1.405867,-0.19804043
B,0.68995625,-0.3384852,-1.3080819,-0.96588916,1.3822579,1.7941871,0.45655483,-1.3574687,-2.5106065,-0.07456551,0.3991565,-1.2155507,0.041849423,-2.69026,-0.20506822,-0.725501
C,-1.0110077,-2.5129523,-1.5764089,-0.8742079,1.2214695,1.6948578,0.45154205,1.0399805,0.8626933,-0.6537557,-1.2917917,-0.12667151,-0.28109422,0.43752816,-1.6036557,0.6070254
N,-0.5734651,1.7275696,-1.0107411,-0.5070943,0.12623833,1.3482587,-0.19878505,-0.88313603,-1.1191286,-0.48394695,-1.8311921,-1.4955915,0.7238944,-0.5549165,0.092187,1.6334461
O,-0.48750094,-1.1205592,0.44801944,0.9052815,1.8367316,-1.6639532,0.3403938,0.16207938,-0.7739076,-0.36731294,0.24345782,0.5844173,1.0135531,0.39402193,-2.584342,1.2465591
F,1.1939927,0.6302908,-1.6586795,-0.13923505,0.81215733,-1.466498,-0.16331333,0.5751705,0.27588102,-1.7124503,0.2776025,-1.8038887,-1.2633682,-0.4835726,0.41191828,0.102232315
Na,0.92960554,-0.8356602,1.206049,-0.32580322,0.2018702,-1.3025628,-0.66985375,1.2697978,-0.7702892,-1.2371802,-0.188605,0.06869959,1.965822,0.24599993,1.1828594,-0.4738197
Mg,-1.0327003,0.11457239,-0.55498403,-1.7608227,-0.76250535,-1.5212537,1.1049653,-0.3484387,0.15194853,-0.39448878,-1.3766375,-0.92161727,0.14946866,-0.43605584,-0.027407473,0.50009674
Al,-0.17650129,0.45583063,-0.8831647,2.190901,0.089554034,0.42860413,-0.6594706,0.3180599,1.4155154,-0.57739085,-2.940652,-0.10635237,-0.43068758,-0.51399964,0.61664724,0.1193611
Si,0.15806457,0.9358997,-0.30378628,-1.1015426,1.4120814,-0.52998984,-0.20133035,1.6872036,-0.2236788,0.5878629,0.04218067,0.6362965,-1.527398,0.51463866,0.52918935,1.3582889
P,-1.3841763,0.14364001,1.2535198,-0.8337846,0.3991925,0.38923422,-0.87822443,0.34407592,-1.502352,1.0837132,-0.6182297,-1.0222045,-0.43649006,2.0008214,-0.15125617,0.25763708
S,-0.7040954,-0.3843475,1.3735894,0.8509169,0.5741655,1.0239736,-0.5263422,0.4674142,1.6737295,-1.6184971,1.518063,-1.2015977,-0.054457318,0.47984818,-1.8305374,0.9309502
Cl,0.37939835,1.8427118,0.99685335,-0.19514628,-0.66242254,-1.1176754,-1.2122525,-1.2605023,-1.0903835,-0.16835468,0.52848756,-0.29612893,0.8993811,-1.0142194,-0.6009877,-0.47312957
K,1.1488243,0.9284015,0.8684141,0.7967766,-1.2931656,-0.8648195,-1.2615385,0.68836075,-0.13928255,-0.28146437,-1.1999744,-0.64431256,0.7378768,-0.29594114,-0.0933488,-0.25307652
Ca,0.44545743,-1.0845162,0.091098845,-0.038725812,-0.11881404,-1.6555327,0.86024636,1.2699461,-0.28926244,-0.4137082,-0.18697655,0.12771618,-0.4410029,1.7575508,0.08791195,0.6932001
Sc,0.58230907,-0.21603836,-0.63721776,-0.340752,-0.16967206,0.95193475,0.76464754,0.8086605,-0.12194852,0.722699,0.27083743,-0.22875378,1.3424428,0.9755647,0.31098226,0.6290593
Ti,-1.3385227,-0.50216573,1.8019675,1.4660801,0.9477879,0.470425,0.22820204,0.90833557,0.8760647,-0.25521052,1.0980515,-0.045734756,0.7066306,-2.085709,-0.30070692,0.14211643
V,0.83082855,-0.56178427,0.04495605,0.93493336,0.3475343,-0.498334,0.11313049,0.7964166,0.78452003,1.5875,-0.6111995,-0.42381725,0.77067465,-2.5737984,-0.25246376,-0.21271347
Cr,0.18695368,-0.8438771,-1.5614555,-1.2845619,-0.58879286,-0.34213907,-0.6698679,1.7597932,-0.1730352,-0.008109479,-1.5480143,0.6901377,-1.0574096,-1.6726303,-0.2919933,-0.88676584
Mn,-0.5025416,0.32784337,-0.9575754,0.6527253,-1.057841,1.1782601,1.6588869,-0.79922,0.36611754,-0.30235806,-0.21574451,-0.0007562469,-1.3192403,-0.71482843,-2.6112273,-0.5514755
Fe,-0.009861295,0.7967282,0.43187883,-0.44034263,-0.1361389,0.39372993,0.40105996,-0.035062347,-1.9141802,-1.0748222,-0.07623786,0.46587467,0.8077109,-0.035843138,-0.33381072,-0.3016331
Co,-0.17622146,0.57636285,-1.8984584,1.8252095,-0.2638563,-0.98680425,1.174878,0.64537156,-0.4858155,-0.56414294,0.96969765,-0.53786063,0.4138116,-1.6762652,-1.7245833,1.4018921
Ni,0.29713964,-1.9970769,0.57159877,-0.2295845,0.14106168,-0.23137753,0.39245975,-0.7326395,1.5829557,-0.55088097,-1.799005,0.93061674,-0.35746202,-0.036416985,0.440053,-0.38435915
Cu,-0.5090185,1.0162307,0.65857494,1.2189956,-0.91255003,-0.36185881,0.34466192,-0.14141768,-0.67044467,-1.4876142,-0.2540535,-0.88253474,0.60482603,-1.0289513,-1.6819168,-0.82790744
