Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,2.2421317,0.5791852,-0.31706208,0.36989823,-0.31431922,1.0814636,0.24462588,0.97609353,0.2239332,0.7422199,-0.38206998,-0.54113096,-0.76627606,-1.4989353,0.28302646,0.65914685,-2.0645778,-0.12455379,0.44915634,1.0544215,0.33446342,0.055361975,-0.8305921,-0.8993994,-1.0179048,-1.6814723,-0.6172816,0.2629971,-0.0070528546,-1.4565451,-1.6178672,0.7401798,-1.2823919,0.64951277,-1.9079782,0.003587782,0.94432664,-0.5232922,-0.16039075,-0.98628736,0.27692032,0.2226079,0.51635456,0.80443525,-0.13832736,-1.3976582,-0.6591956,1.0993407,-0.37934667,0.842105,-1.907844,-1.081921,0.52938545,-0.5258119,-0.38659453,0.08813199,-1.4143395,-0.98878837,0.16089202,0.08031871,0.59053725,-0.8595544,-0.72028285,-1.1904811
Li,-1.8328937,-2.2675812,1.0038433,1.1832044,-0.40011734,1.0004722,0.116743855,0.07160107,0.3659816,-0.07153211,-0.5719619,-0.04373183,1.0072098,1.1191729,-1.3216288,1.0612055,0.46816665,1.8724098,0.20869225,-1.4648342,0.030063301,-0.7063055,0.72569114,1.2896099,1.1270822,-1.6019675,-0.07103243,0.68628454,0.8507903,0.98023784,-0.7336198,0.867962,-0.36178717,-1.5862839,-0.37753817,0.7233932,-0.22451977,-1.2569396,-0.9932032,-0.82072103,-0.6107307,0.16873208,1.7522658,0.09306774,-1.5084391,-0.6841927,0.11312884,-1.8191247,-1.7204181,-0.087654896,-0.0646906,-0.08360922,-0.88283914,-0.20449032,-0.45885175,-0.00074572244,-0.28602383,0.36190736,0.31387183,0.20047735,0.12335381,-0.6174155,1.7982613,-0.3358807
Be,1.4521949,-0.12016185,-0.87880224,-0.040649068,-0.1161252,-1.0651459,0.5699491,-0.3694727,-2.0184116,-0.5036715,-2.2361004,0.25288337,1.3015316,-0.13904487,1.0167148,-1.0320884,-0.34867302,1.6403458,-0.709611,0.21830478,0.35306618,-1.3228312,-0.8856978,-0.7379245,-2.3848345,-0.65167534,-0.43791354,-0.90683746,-0.69905496,0.63154906,2.6690826,-1.4038427,-2.1954257,0.38386023,-0.14191584,1.3289158,-0.83261126,-0.96465266,-0.96278477,-0.12100051,1.4154795,1.0453789,1.3869184,-0.5235972,-0.10167646,0.009234526,1.299012,1.1081169,-0.4019793,-0.43254876,0.44605243,-0.23523791,-0.22576067,-1.1388297,0.32497823,0.84421796,-0.2643581,0.59978426,-0.40545115,1.9062119,0.8219941,0.025640959,0.82906246,-0.49568415
B,1.4918721,1.3016442,-1.1447713,-0.25302163,-0.34896532,0.251866,-0.88127065,-0.19551818,0.7929577,-0.8115219,-1.5846314,-1.776293,-2.1395,-0.1561109,2.2686357,-2.0392325,0.33079422,0.595307,0.28534088,-0.8850132,1.239512,-0.9875508,0.2527617,-0.21571134,-0.6167653,-1.7882543,1.619821,0.5639574,0.4838177,-0.13516974,-0.46757215,0.68757224,-0.7456577,0.36265182,-0.06980917,1.0169798,1.1343842,0.4427291,0.25964868,-1.6389138,-0.7101615,-0.4427249,-0.784112,0.605864,-1.2084587,0.26324207,-0.52376854,0.52378905,-1.2091259,0.66975397,0.31396458,-1.017366,0.110446975,-0.6705745,0.6219058,-1.364418,2.5162401,0.21201944,-1.1988494,0.121262506,-0.21760496,-0.4575135,1.4563079,1.3891126
C,0.17468275,1.3386754,1.6751585,0.3931669,0.741648,2.3047173,0.8428949,1.3582242,0.5491396,0.64442605,1.2716963,-1.1038852,-0.5453425,-2.5523338,1.0205889,0.49616358,-1.8126509,0.081751585,-0.4631364,-0.95124793,-0.7017718,-1.2937307,-0.37809986,-0.42400023,0.86054695,-0.9242281,0.19158871,1.2430818,-0.65273625,0.45685557,1.6250325,0.80911475,0.23382694,-1.2704754,1.2925276,0.3049896,-0.23079684,1.9098309,-0.23182216,-0.86767274,0.17497584,0.05852547,-2.2732105,0.9275789,0.651455,1.8622304,0.65166986,-0.050557278,-1.4338249,0.9248098,-1.3092717,2.7783015,-1.1203587,0.62808144,-0.45242363,0.947468,1.5047693,-1.9541028,-1.6705135,1.0597221,1.0044391,0.7896628,2.6891363,0.0011327326
N,-0.68752104,-0.060677532,1.3630234,0.07997241,-0.71422064,-0.27131957,-1.2150421,-0.5016541,-1.4134232,0.6952686,1.3888624,1.4108361,-0.32779965,-0.41000175,1.3146849,-1.2842124,0.3471151,-0.63180065,0.19052364,-0.70706195,0.242398,1.3478763,0.6454539,-1.2626084,-0.3172324,-0.2857976,-2.4334567,0.5161661,1.3055552,1.3204722,0.7730211,0.3371293,0.97084486,1.5945077,0.32598987,1.1593231,-0.22885473,-0.28709874,0.5118199,-0.52250946,0.87464803,-0.5851536,-0.5981122,-1.5917709,0.67907035,0.416012,0.507147,-0.22412604,-0.49479556,-0.2470809,1.0252697,0.40567252,0.6045549,1.5740204,1.6110569,0.25809696,-0.5122164,-1.4821953,-1.8733433,0.5509342,1.4434551,-0.7345997,0.25363344,1.0530176
O,-0.37557593,-0.7871834,-0.89232606,-1.8642396,0.21536674,0.08243537,-0.33605456,-1.6775262,0.9324434,2.1925108,-0.06918681,0.19038267,0.42077458,2.170105,-2.5417116,0.1801414,-0.90205866,-0.046729296,-0.48302388,0.56043667,0.48367012,-0.6360939,-1.3994026,0.050727036,-0.11453308,-1.3356582,-0.42151076,-0.28540963,0.98578614,1.199183,0.6540992,-0.48653233,-0.6465247,-1.9821477,0.39811808,0.34761414,0.33950102,0.3790783,-1.2893996,1.4912493,-0.13750322,-1.0560212,-0.5403861,-1.1136112,-0.26743045,0.52352846,-0.46902412,1.9589204,-1.379993,0.04363821,0.7563795,1.6180545,0.83724666,0.20527348,0.9439504,0.731103,1.5916924,-0.25007358,-0.0047730953,0.6404247,0.41760367,-0.36405483,-1.5853621,0.06791649
F,-0.39450124,-1.4767554,0.09971894,-1.6633794,0.57936275,1.6754127,0.49175557,-0.20101194,0.071599744,0.4749196,0.6548467,1.3333715,-1.5012028,-1.5590264,-0.23721425,0.5753305,-1.4953054,-0.9555453,0.16352037,2.5559862,0.6670171,0.15650307,0.42100218,-0.3519068,-0.21838275,0.62504756,-2.1300025,-0.17608736,-1.3283857,0.12035532,1.9642028,0.6759241,0.73085654,0.48478818,-0.7948135,1.1285386,-2.2895885,-0.71321726,-1.6135622,1.2783347,-0.03247502,0.5271613,0.5786583,0.5222068,0.10549816,0.98247033,0.7108732,-0.1715154,-0.53227943,1.0090091,-1.3773088,-2.0800443,0.27346373,-0.3911922,-0.22330363,0.5143697,0.4020618,-0.41332757,1.2625254,1.0671024,-0.7030703,1.1001015,-0.7358171,-1.0048141
Na,-2.2882903,-1.1034245,0.78636956,1.7753876,-0.0749272,-0.9347522,-0.8192343,-0.6728251,0.62374127,-0.87320447,0.6013375,-0.86543953,-0.46407264,-0.15561825,-1.2619817,-0.3892074,1.0012634,-0.45438236,-0.87406796,-0.47214854,-2.2304933,0.7882099,0.12989257,-0.39802468,-2.017217,0.041524675,0.7472467,0.08997631,0.68458945,2.9541771,0.7668928,-0.68758345,-0.6644539,1.4879475,-1.0092632,0.29784176,1.4920716,-0.5457144,0.6451819,-0.74557245,0.7605417,-0.23529217,1.5050958,0.2978725,-0.56766355,-0.8674238,-0.27864912,-0.07413619,1.5825824,-0.96777385,-0.11999515,-0.016890096,-0.09189149,-0.4169759,0.9060196,1.4071469,0.6560186,1.0591795,-1.2700908,0.043522973,1.1390355,1.4668556,-1.3737751,-0.105167024
Mg,0.13816096,-0.45638868,1.2668277,-0.8114631,0.14922203,0.19822189,0.44885594,2.5413244,-1.0759267,-1.2519147,-0.93658197,-1.4820344,2.4256713,-1.4947321,1.8576703,0.4279994,0.028472345,0.64211214,-1.376023,-0.01677671,1.114552,0.18099567,-0.56341416,0.5420203,0.2678396,-0.12020621,-1.4984941,-0.60094464,0.6541773,-2.032307,-0.074503966,-1.9918135,-0.16525348,-0.859609,0.4865216,0.61828953,0.93978494,-0.017859552,0.0986283,0.48013222,-1.1015285,0.57842046,-0.46864915,0.5918677,-0.2838833,2.1119018,-0.8923844,-1.8574733,0.46493086,0.36863953,-1.4068233,-0.23560795,-0.52767587,-0.6289869,-0.03562033,-0.5374462,-0.65170413,-0.7440401,1.3411199,0.8985489,-0.29087377,0.5626055,0.12355533,0.0016719088
