Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,1.2898281,1.9371161,0.22680235,-0.41818258,0.7377723,1.2119383,-0.6816263,0.8412785
Li,1.5261742,0.1798625,-0.2825916,0.17314182,-2.6849213,1.9053165,0.40530658,0.16520762
Be,0.5501836,-1.1188177,0.027624385,0.7806753,-0.38674843,0.4364066,0.43483272,-1.5535241
B,1.4917507,-0.6746987,-1.5192144,0.3836167,1.1270657,-0.88584226,0.5900461,-2.7372768
C,-1.7898049,-0.14451489,-0.07399945,0.2367931,0.224151,-0.67431104,-0.34580284,1.3494942
N,-0.4480732,0.3623322,1.4279692,1.1863039,0.86360496,-0.17031078,0.63889784,1.5483409
O,0.43225333,2.0911558,-0.79639083,1.0967791,0.91030735,1.1733959,-0.08823746,-0.702322
F,0.77767426,-1.2936052,1.061812,-2.3761954,-0.82877195,0.8918093,0.16326797,-0.9671756
Na,0.88693017,-0.7728325,1.6042297,0.07630232,-1.5609901,-0.15246515,0.94756705,1.3717705
Mg,0.11243909,0.79013,-0.39879024,0.4755125,-1.6940894,-0.84052694,0.53743976,1.451793
Al,-2.053275,1.3478935,-0.6952499,-0.7582886,-0.55314034,-0.9711534,1.0229702,0.6782215
Si,-0.5079261,-0.90932506,-1.0989648,-1.3293567,-0.31274244,0.62745804,0.97654283,1.723561
P,-0.2443633,-0.36543727,-0.8193355,-2.5541565,1.6023128,0.60033786,-0.019908745,-0.8777971
S,0.40710038,1.1395558,-1.6791282,0.20590933,-0.08319923,-1.9595953,-0.971591,0.1373044
Cl,1.0474169,-0.106795914,1.2173578,-0.34068784,-0.17419353,-2.1594672,-0.29947132,0.31101266
K,0.2768096,0.15320066,-0.35713324,-1.0295564,-0.28866827,0.17177463,-1.0515391,1.7858179
Ca,-0.05820822,-1.257618,-1.1771915,-0.5209846,-1.5134379,2.28815,-0.13041586,0.34103352
Sc,0.17829725,0.5977263,0.876477,0.9852144,1.1276911,0.6587725,0.85091406,2.230058
Ti,-0.8244687,-0.92820704,-0.25318062,1.9359974,-2.240781,0.18513538,0.042111285,-1.0985564
V,-0.055151023,-0.5789245,-0.6974547,-1.0359929,0.5237042,0.9604256,0.82931495,0.8826075
Cr,0.13613218,-0.95685434,-0.7252613,0.7274961,0.8080497,-0.78722787,0.9304117,0.42606708
Mn,0.32525942,0.05778189,-0.42591867,-0.6670163,0.25602067,-0.73870146,0.95239586,0.62552774
Fe,-0.051619496,-0.30057707,-0.23059969,-0.92682105,0.3515232,-1.1340184,0.8177806,0.17152101
Co,-0.87225455,1.787828,0.48728335,0.8442719,-0.5077904,0.58198375,-0.41479665,-1.0549191
Ni,0.3344371,0.20725131,1.2821695,0.23066737,1.0514144,0.0356184,0.43456408,-0.18432802
Cu,0.06651744,-1.1004318,0.15324646,-1.0231504,0.7323095,-1.6974039,0.27675256,-0.9225467
Zn,1.2310399,1.6683367,-0.65575475,0.11405744,-0.65340495,0.17748013,1.187274,0.754027
Ga,-0.88846296,-0.6704685,0.72958374,0.06910797,-0.6869594,-0.9526328,0.6292026,2.1492324
Ge,-1.6216685,-0.5996588,-0.194105,-2.3252153,-0.08737906,-0.4941532,0.29711458,0.30555102
As,0.5207851,0.6194483,-0.7769333,-1.6922468,1.3589284,0.40748024,0.13687879,0.5902009
Se,-0.3819307,-0.90565133,0.6845797,-2.338937,-0.210608,-0.90173113,0.45741248,1.615478
Br,-0.42825314,-1.4241912,0.87621903,-1.7523465,1.4316314,-0.6827507,-1.4881829,0.90302455
Rb,0.9036837,0.5642349,1.1434582,-1.0811311,-0.6065698,-0.32439563,-0.57119316,-0.16645604
Sr,-1.4919208,0.162905,-0.09502266,0.06622511,-1.7281045,-0.0795771,-1.5586203,0.10225302
Y,-0.29179177,1.0022081,-0.4697954,0.7543636,0.12864365,0.26841646,1.3572227,0.21302387
Zr,-2.181178,-1.3110532,0.36253816,0.5481827,-1.7573647,-0.038953807,1.5311325,-0.00049740693
Nb,0.8896421,0.5137457,-0.4157672,0.662213,1.0372353,0.126586,2.7006447,1.2491665
Mo,-1.820945,-0.57050055,-0.8352582,0.14442332,2.0043297,0.53486526,-1.0425354,-0.18274327
Tc,0.07173092,-0.29724464,-0.46021965,-0.14474185,1.8638643,-0.4319517,1.9856766,1.582558
Ru,-0.044963066,-1.0030826,-1.713139,-0.34516647,0.7699997,0.08726924,0.30187333,0.60637707
Rh,-1.4044975,0.31361887,-2.0025969,1.4214213,-1.0769114,0.62771696,0.50497025,1.448028
Pd,1.8588758,0.78814834,-1.2953318,0.11873968,-0.11044801,-0.023292378,-0.21517122,0.022345826
Ag,0.50418466,-0.26664943,1.0921824,-1.4487603,1.0533378,-0.72046643,-0.36532462,-1.114108
Cd,0.6828497,-0.7186618,-0.29465625,1.4984498,0.17380996,-2.5009146,0.0030064825,0.95067096
In,0.19150761,-2.6686933,1.0962977,-1.5243735,0.62690306,0.9847299,0.55172145,-0.3980676
Sn,0.5670045,-0.67368305,-1.7583756,0.35655573,-1.5355377,-1.1927541,-0.7066301,-0.48724097
Sb,1.1314886,-0.60581726,-1.16524,0.11389895,0.26504284,-0.2507977,-1.8130381,-1.8833953
Te,-0.9288978,-0.6115419,-0.91266876,-0.632224,-0.049539603,0.46474653,-1.5793074,1.7684104
I,2.1246157,0.86586195,0.59571767,0.8271867,0.23519558,-0.31432942,-2.9850452,0.89504945
Cs,0.29668468,0.5812852,0.9011154,-1.2470301,-0.8484327,-0.14636077,-1.3438823,0.05397389
Ba,0.058431204,-2.1395595,0.07172174,0.36824846,-1.6381747,0.7820613,-0.48605785,0.7454842
La,-0.58849025,0.6651912,1.4128069,-0.7735507,-0.27230147,0.33332625,1.1724743,-1.4572542
Ce,-0.59852535,0.13321751,-0.389963,1.7362332,1.3733183,1.044231,-1.0824447,1.9789078
Pr,0.029233491,0.52197164,-0.34364128,-0.83909917,-0.1169383,0.37598857,0.33132073,-0.9400823
Nd,-0.59966755,-0.737237,0.3847355,0.45978704,0.13178079,0.3807988,-0.10442887,0.124485806
Pm,0.3262939,-1.5361321,-0.24649602,0.9927479,-1.2033073,-0.84791535,0.50500774,-0.34513694
Sm,-0.16893756,-0.39235255,-1.0366483,0.9755246,-0.9434542,-0.039761446,0.24580112,0.4294405
Eu,0.529348,-0.89227825,-0.78978795,2.0347629,-1.8919774,-0.12618937,-0.6533557,1.2603524
Gd,-0.5237249,0.00025717585,-0.4791331,0.6442501,-1.339551,-0.15111223,0.3742509,-0.6629321
Tb,-1.3174523,1.3864009,-0.8269054,0.5429557,0.76701844,0.47660655,-0.593768,1.2338533
Dy,-0.4719952,-0.50663114,-0.6853404,1.1431103,-1.793659,0.27485275,1.3404739,0.43852964
Ho,-1.2320805,1.0483898,1.804571,-1.2214931,1.8348057,0.025378915,1.5546854,-1.3767369
Er,0.1839124,-0.14724919,0.3701551,2.3911257,0.92601925,0.31445304,0.36738592,0.5993666
Tm,-1.0257915,0.8615565,-0.38542873,0.7554217,-0.16084424,-0.5669792,1.2096246,0.011972259
Yb,-0.21677577,-0.11509405,-0.0754719,0.17844678,-0.020849058,0.929562,-0.9873001,-0.1292704
Lu,0.5610827,0.9406128,0.14863552,1.4866669,-1.0125176,-0.6814716,-0.10995559,-2.343474
Hf,-1.4295588,0.44349465,-0.5517766,1.3250691,1.1389571,-0.3775162,0.44919038,-0.7293542
Ta,-3.112347,0.9151593,0.101831295,1.0250336,1.9772805,0.4515473,-1.300299,0.13253962
W,-2.0784345,-0.40532765,-1.4350978,0.22463375,0.6669138,1.2617742,0.46335888,-0.9032975
Re,0.7015405,-0.013121977,-1.6764753,0.009358763,0.53382957,-0.78943807,2.817642,0.1482705
Os,2.6114414,0.030098332,-0.9296072,0.043708995,0.47661227,1.2773006,1.3631806,-2.1391742
Ir,-0.8716233,0.74504536,0.22229269,1.3918207,-0.90060204,1.8069044,-1.3601425,-2.6591296
Pt,0.12386587,1.5892216,-0.05361854,-0.809299,1.248996,0.79983014,1.7042196,0.124981344
Au,-0.57232016,1.09742,-0.08305236,-0.07996198,-0.42099372,1.9163312,-1.1451457,2.2041874
Hg,0.8042327,-1.1478575,0.51921356,-0.014256952,-0.99173933,-1.6779382,0.44104883,1.057505
Tl,-0.57985526,0.07649833,0.9210133,-0.098994374,-0.026646545,-0.4221231,-1.1842111,1.92467
Pb,0.18903595,0.21211417,-0.9328905,-0.49072495,1.1511354,-2.1023226,-0.65598947,-0.969975
Bi,0.8857641,-0.6579974,-0.55462515,1.519149,0.18268834,-0.83136666,-1.6085746,-0.50809884
Ac,-0.69861853,-0.21256274,1.0998855,0.010333814,-1.8097705,-0.9673529,-0.663042,-1.2184231
Th,-0.42006126,0.8508444,0.78427184,1.2724316,-0.0961307,0.9578714,1.9401153,1.2078874
Pa,-0.67763734,0.25696197,-1.0273398,1.5987673,-0.6783799,1.4912024,-0.7169834,-0.5607539
U,1.6372762,0.020234922,1.0378995,0.0029167847,0.66175723,1.6263185,2.4259136,-0.93499315
Np,-1.5240272,0.41571814,-1.0856115,1.4603729,-1.0732825,0.9340336,0.5488303,0.5633522
Pu,0.8234626,-2.0894573,-0.6736163,0.824,-0.638834,0.65746564,-0.27342588,-0.86917454
