Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,0.7868002,0.46197277,0.8200674,-0.9622508,0.7681141,1.2734286,0.60547113,-1.2884952,0.68293875,-0.08794038,-0.94698375,-1.9690816,-0.33973816,-0.9530716,2.15979,1.7738309,0.6653393,-1.3008715,0.22922665,-1.2988502,-1.3860679,1.9558984,0.30843675,1.5569131,1.4911637,0.1551078,-0.22195207,-0.14068666,-1.624787,-1.7977543,-0.27320978,1.543023
Li,-0.7026635,-0.69097316,-1.7574406,0.3114808,0.8941779,0.0021221577,0.013579171,0.09071793,-1.3350918,-0.60109574,2.2229464,0.94718665,1.5790734,-1.3209094,1.5254385,-0.20594802,-1.263298,-0.037863582,-0.2908514,0.6964235,-1.0119934,-1.109996,-0.9358435,1.4597334,-0.79338056,-0.21993242,-0.066819735,-0.115112625,0.815654,1.3477255,-0.51078534,0.22211123
Be,0.09612334,-0.5374578,-0.31671864,2.4122596,-0.9705729,-0.37178183,0.26117194,1.341926,-0.96861106,-0.05890474,-0.57428265,-0.1643754,-0.4728701,-0.4190959,0.13810533,1.8864324,0.69102865,-0.18208826,-1.3158036,-0.45771208,-1.6268681,-0.0826339,1.1469924,0.37049788,0.8458073,2.020139,0.77116627,1.45231,-0.7814659,0.43531638,-0.08639528,1.1150383
B,-0.87609404,-1.0915811,-0.7566934,1.0842124,-1.7782799,1.2784919,0.72087574,-0.7877749,0.50925744,-0.7042323,-0.79989445,-0.604578,-0.9074119,-0.75322187,0.86093605,-0.31845552,0.44174474,1.3866185,0.7515654,-0.34910697,-0.08926361,1.0549117,-0.21957202,0.12171747,0.21767473,-0.33501157,2.331267,0.40735567,0.8265272,-2.2380376,-1.4742651,2.272091
C,-1.181524,1.0977814,0.24860846,-0.054093964,0.24562514,0.91178644,1.7798547,0.3518804,1.3627642,-0.7194263,-0.8394316,-0.5210874,0.33935705,0.4051139,-1.0235199,1.2765319,-0.7040736,-0.0015088278,1.5018433,0.032339476,2.4716938,-0.28069904,-0.24338715,1.5432187,-1.2279546,-1.0287684,-0.24385607,-0.70605725,1.2361726,-1.1292197,-2.8053324,0.44263673
N,0.031902064,-1.3225956,1.6945165,1.1003197,0.08293535,0.84480184,-1.4480644,-0.22872435,1.4450198,1.150395,1.0753926,-0.20055339,0.86403227,1.201532,0.40708464,-0.40997308,-0.825869,1.0138133,0.39473778,0.40379903,-1.3813862,0.072517104,-1.1180936,0.92760766,-1.7229869,-0.5131975,1.1848015,-0.53769875,0.71281457,-2.3505151,0.18957399,0.5533617
O,-1.0767236,-0.30283916,0.17160559,1.1464978,-0.19977148,1.0243614,0.79400176,-0.5539601,-0.22421387,0.029379468,0.1377504,-0.19103754,-0.7115555,0.82898456,-1.8576453,-0.9432487,-0.62340355,-0.309808,0.059134185,0.027119862,-0.3295161,-0.0052776346,0.7342194,0.7195074,-0.49787924,-1.2090911,-0.609059,1.1039958,0.10658281,-1.8013289,1.634026,2.263101
F,0.12772855,-1.0649239,0.38924327,0.010973464,-0.6661788,0.032905605,0.010475763,0.54336554,-0.06483216,0.56625247,-0.2731584,0.8606497,-0.20553353,-0.7385157,-0.24152072,-0.08656636,0.5322901,-2.140735,-0.8378687,0.85616535,0.50810516,2.7825522,-0.56977016,-0.24529135,-0.42222857,-0.3756026,-0.47816032,0.8253984,0.26367134,-0.5985112,-1.1848265,-0.58185464
Na,0.58802605,1.0278056,0.27309883,0.046257433,0.7031061,0.2012265,0.6133748,-0.37329897,-0.6546275,-0.3583626,-0.38312438,-1.6325856,0.1697299,0.42633173,1.0233455,-0.7895066,1.385136,-1.5974545,1.0723349,0.38820475,0.36278883,-1.0113218,1.4627881,1.9607774,0.47590262,-0.69409645,-2.009728,1.3138568,-0.42715237,1.783716,0.62447184,-0.8690303
Mg,-2.1979513,1.7075002,-1.343153,1.0081095,-0.17244552,-0.66946167,-1.939504,-1.9030873,0.48745492,0.23887512,-0.72770935,-0.9109402,-0.8162176,-0.37054333,-0.19827667,-0.20736186,-0.259437,-1.6255374,-1.2618397,-0.16644531,-2.0433536,1.3750855,0.76216114,-0.22783533,-0.8212081,0.52318496,2.150244,-0.16009164,1.0000045,0.76711696,-0.63328695,0.21875493
Al,0.18310669,1.3841176,0.84035903,1.2465161,-0.7695644,0.8416169,0.050057806,2.157418,1.7985215,-0.708853,1.4239466,-0.32996172,1.6907244,0.040532812,-0.7070352,-1.0423443,0.27027345,1.6196487,0.4044606,0.6317059,-2.1534088,-1.0075393,0.85830635,0.18365921,0.97026396,1.1502236,-0.13654025,-1.220417,-0.22897676,1.1023352,-1.170258,-1.82088
Si,-1.1998637,0.33434466,0.7754432,-0.22496703,0.32364962,-0.8910042,-1.1508658,0.3147242,0.23555575,0.16885662,-1.1103994,-0.119250156,0.8967119,0.7574818,-0.7896455,-0.87028533,0.14585058,0.5305324,-0.23652478,0.9457322,0.54337674,-0.9491339,-1.2199031,0.48570266,0.39249316,-1.4727763,0.81442463,-0.98262304,0.9344624,-0.9050722,-0.46248633,-0.58424383
P,0.8729355,1.5146102,-1.4793156,1.1774815,0.36480862,1.8722326,1.7215769,0.69213575,0.34398672,-2.085285,-0.47765374,-2.0694747,-1.1192335,1.062559,1.7417207,-0.6040131,-0.05505581,0.55552495,1.1638597,0.07451284,2.132965,0.7561358,-1.361613,0.67375344,-0.8309092,-0.61777914,0.20784628,0.82424974,-0.7344229,-0.16062188,1.5119723,-1.4815481
S,-0.5102435,-1.4045572,0.13534628,-1.3066452,0.21923281,0.13591164,-2.5733004,-0.12899874,-0.72481227,-0.21158975,0.058666717,0.9286437,-0.017707553,-0.15921894,1.015484,0.41730726,0.73771644,1.0991763,0.39865977,1.2621683,0.05308244,0.027761275,-0.6350358,-0.69479364,0.21890187,-0.30186015,0.3345526,0.9655722,0.6959741,-0.57760215,-0.86935014,-0.0058686575
Cl,-0.73757577,0.8749564,-0.24465689,0.03626606,0.743778,0.27874407,-2.5480316,0.9828709,0.8920474,0.22819614,1.8277022,-0.094318055,-1.3152587,1.0484858,-0.15004478,-0.21389996,-0.40727872,-0.8490499,0.41335568,-0.5613553,-0.61598665,-0.5334054,1.9269927,-1.2255366,-0.7667381,-0.9131579,-2.1155834,0.49955928,1.7694055,-0.5462087,-1.5482509,-0.3185932
K,-0.7465918,1.0399822,-0.8785998,-0.91380876,0.33161703,0.17454968,0.5721086,-1.3550999,-0.60439754,0.9494392,-0.15818399,0.50047153,0.76233417,-1.799703,-1.3308849,-1.1142082,-1.2786192,-0.8447718,-1.2320809,-0.0761595,0.42522794,0.41587186,-0.5636119,-0.6534278,1.551591,-0.15956168,0.5319308,1.4045402,-0.99807626,0.52529377,-0.40367892,-0.3954475
Ca,0.7024211,-0.7590001,0.06947393,-0.03418535,-0.63523525,-0.013688904,0.39919418,-1.7265036,-2.6706376,2.0916107,-0.25378367,-1.4428414,1.0477492,0.005620518,1.5420074,-0.2948328,-2.059104,0.49499986,0.24556991,0.26389027,-0.9376393,-0.2974794,-2.074865,-1.7929528,0.5925333,1.1933068,-0.8306329,1.037116,-1.4016007,1.560442,-0.3842194,0.41888434
