Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,-0.9496101,0.52192384,-1.123268,-0.2836265,0.09326393,-0.032421082,1.4997059,1.2569971,0.515013,-1.839207,-0.5668873,1.5551758,0.100497894,3.8871713,0.5296406,-0.7553829
Li,0.43892547,0.58778983,-0.52357614,0.91070426,0.29165205,1.3415552,-1.1260605,0.9108668,-0.80519253,-0.93222034,-0.8236404,1.7163945,0.5440013,1.5542256,1.1035429,0.80675375
Be,0.69680244,-0.30771706,1.0533005,0.09011102,-0.46428677,0.13380937,-2.1720173,0.037655115,0.5236005,0.23876396,-0.00033771776,0.05305876,0.33336067,-1.091557,-0.27690223,1.7529788
B,-1.1731486,-0.31941226,0.404645,0.10328118,0.123503745,-2.428333,1.1180073,-0.8180598,-0.09161702,-0.455481,-0.24398254,1.5741173,1.1942086,-0.7486418,0.3934928,-0.9136521
C,0.48922974,1.690242,-2.1719735,1.1778338,0.24587137,0.0026170732,0.15185426,-3.2923849,1.047582,0.36707336,0.018621558,-1.3127836,-0.21905619,0.655993,1.1487594,-2.363812
N,3.0510342,0.6018754,0.198823,-0.4434786,-0.7638235,0.8048181,-1.8295805,-0.35950735,0.7154727,-1.1761544,-0.6330473,-0.6078451,1.852847,0.03545152,0.5697027,-1.3018175
O,1.0171968,-0.11967216,0.2528459,-0.6715429,0.9896574,-0.16833392,0.15147755,-2.3045936,-1.814791,-2.8645203,0.20097956,-0.10860003,-0.024262559,-0.0505874,-0.42360756,0.12080479
F,-0.59498,-0.21111146,0.0138859805,-0.10897529,1.0153594,2.5737371,-1.705963,-0.81028533,1.4073721,-0.94107044,-0.86460114,0.7807467,1.268106,-0.67551863,0.13871673,-0.2273861
Na,-1.0832791,0.43316257,-0.95846283,-0.36823642,-0.6570091,1.4996535,0.29288068,0.20410383,-1.9076465,1.004516,0.89335054,0.14481021,0.13103977,0.632086,-0.6963124,0.76321197
Mg,-0.42509243,-0.5763828,-1.5658613,0.88227385,1.1697145,-0.8799457,-0.34111652,0.9527031,-0.0713008,1.3793535,0.7298605,-0.395584,-0.17087169,1.6844972,-0.19210564,0.91044337
Al,1.2331294,-0.8205123,-1.4794335,-0.08361938,-0.655166,-0.79837465,0.3277674,1.3051667,0.28663528,-3.1537533,0.5769295,2.9673913,0.84648776,-0.33539575,-0.1486763,-0.18758088
Si,-1.0304712,-2.2052648,-0.34610546,1.3636248,0.94627285,-0.1454079,1.8845383,1.156087,0.15029646,-0.84974146,-0.101727076,-0.29354706,0.8698968,-0.8956928,0.2249477,-0.80258584
P,-0.59649456,1.4462658,0.42508152,2.0634496,1.852949,-0.6062443,1.0644662,0.24001665,0.7196872,0.5530216,2.4280963,-0.56494045,0.73184425,0.038266324,0.5131999,-0.9969244
S,1.1670566,0.99638253,0.5976985,0.032337744,0.6875112,0.482384,-0.49819198,-1.1204196,1.4111037,-0.55937606,1.6355193,-0.9232875,-0.19739859,-0.56854886,0.90778583,1.1864196
Cl,-0.7388607,1.082601,0.5615144,-1.6669296,0.7176353,0.86801183,1.3558648,1.0580474,-0.15538642,2.174368,-0.085223116,0.7504988,0.96849525,-0.76626027,1.3576449,-0.33395016
K,-2.0001805,0.178393,0.41508025,-0.19081749,0.5450712,-0.14254282,1.6758692,-0.8830719,0.28159192,1.2789545,-0.25904635,-1.2308102,-0.26966035,1.0005851,1.5134476,0.64951944
Ca,0.07316145,-0.031042505,-0.8583861,0.075562745,0.42786765,-0.47647858,-0.97914386,-1.3831259,-0.42975757,-0.2340852,0.79603434,-0.9847875,-1.0951984,0.1303281,0.06443556,1.5518363
Sc,0.8195787,-0.027244886,1.1011281,1.0321858,-0.03947205,2.3978736,-0.7482105,2.3287764,0.94882214,0.55795014,-0.13052733,0.82693774,-0.84057754,0.20195346,-1.1234889,-1.2651504
Ti,-0.38896212,1.2160398,1.422516,1.8063437,-0.21133807,-1.1598287,-2.146826,-0.3171024,-0.42008623,-0.25890577,-0.49434754,3.6019933,-1.4265679,0.77341956,0.84980035,-0.32593614
