Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,-0.89119077,-0.30991268,1.1144404,-2.0419161,1.2065139,-1.4011682,0.87561566,-0.40093523,-0.35609818,1.034491,0.054573517,0.6194479,2.2227519,-0.22202063,0.247801,0.7956654,-0.3279948,0.44738322,-0.118792616,0.9735348,-0.032327212,1.4383965,-1.1128737,-0.27684045,1.4791906,0.93414366,0.7433944,-1.5141085,-0.39581978,0.24027157,-0.26080757,-0.067267746,0.28373456,-0.86802626,0.18826973,-0.72418904,0.73457664,-0.6640715,-1.5651064,1.0855238,-0.5735941,-0.65405744,-1.4743598,-0.90394294,-0.0038923633,0.46919566,-0.900803,0.8278698,0.49160728,-1.4139115,0.94903684,-1.0503719,-0.5578508,-2.2343435,-0.37257484,-0.3403201,0.26688743,0.68065554,-0.6341127,-0.9173671,-0.7645924,0.4748099,-0.38557968,0.40498707
Li,-0.5025253,-0.23298073,0.24665068,-0.37458244,1.3947098,-1.1002668,-0.25781697,-0.97157884,1.6774517,0.056650996,1.1611636,-0.5355039,0.84309596,0.30152023,0.8631293,0.42900473,0.71412027,-0.95588136,0.4197814,-0.36337295,-1.5538942,0.5449139,-0.39728722,0.21361469,0.30276597,0.69255847,1.4753716,0.3692823,0.8359978,-0.64969593,0.53723556,-1.7922605,0.88556105,-1.920141,1.8715104,1.3961049,1.3873619,2.4729464,1.0768027,-0.82029396,-0.15906286,0.59497076,0.62285227,-0.44210553,-1.6191199,1.3042527,-0.09780527,0.0047469386,-1.112268,-0.58020526,0.9473545,-2.005666,0.60389507,1.6543901,-0.7692049,0.1279401,-0.20425835,0.26963124,0.06320596,1.1307654,-0.2460844,0.7906158,3.2952662,-1.3810745
Be,-1.6907915,-1.1187713,-1.8096206,0.70255405,-1.0963554,-1.4213246,0.95387113,0.39026713,1.7883767,1.3112807,0.058346294,-1.6707264,-0.36572397,0.98364407,0.4366632,2.3029597,0.9079688,-0.3022396,0.33780247,-0.37450632,0.8570348,-0.7581226,0.53502864,2.7847652,-0.41422623,0.6984671,0.28927937,-1.0679803,-0.7355376,0.1150646,1.2419516,-0.38561407,2.47829,0.96759784,0.4986381,-0.36623082,0.54313123,-1.618592,1.0150468,-2.0892425,-0.5278967,1.3296262,0.926262,0.48272544,2.3412147,1.0015432,1.5891466,0.5384022,-0.13725886,-0.69386965,-0.08835911,-0.14789733,0.6386681,-1.0998505,-2.056294,0.39292967,-0.9817757,-0.020378951,-0.526036,-0.3799617,0.30170542,-0.80897284,0.15191329,-0.9458737
B,-1.4513029,-0.27564073,-0.78680724,-2.7705398,0.22861443,0.43156096,0.53148496,0.21124168,1.0774597,0.013272003,0.25710294,0.91362256,-0.3771424,-0.055339348,0.6402971,-0.04515188,-0.26186532,-0.3696668,-0.1288475,-1.3003063,1.3495414,-2.176528,0.48813555,-1.8829075,-0.48126003,0.2207818,2.510173,0.24013881,-0.7879294,0.2787595,1.4043663,-0.055201434,1.0048857,1.1232471,-0.8910394,-0.91775924,1.0801812,0.84435,0.61086136,1.346298,-0.3753018,-0.6111227,-0.3563341,0.80963373,1.36157,0.7644087,0.89236987,-1.7218481,-1.3092843,0.3270266,-0.76225346,-0.8421264,0.6243402,-1.4280457,-1.9724823,0.15489285,0.16759269,-1.1867049,0.23793535,1.0332023,-1.1734133,0.62429136,-0.20992215,2.3658786
C,0.4356918,-0.63475794,0.2366189,-0.7797957,-0.319641,-1.1859169,0.19454451,2.3294704,0.3248604,-0.5661716,-0.9698421,-0.47195318,2.8584583,1.8085471,-0.37493992,-0.74865425,-1.1659963,-0.037551466,-1.0305884,-1.0394646,-0.56432146,-0.6888199,2.1678073,0.68290895,1.0881995,-0.576856,1.1580894,-0.666856,-2.25398,-0.37547487,0.642897,0.04425699,0.51474,0.47718564,1.5395935,0.21252248,1.0247074,1.7367611,0.63065827,1.1121604,-0.9591002,1.4477394,-0.04789545,-1.5781928,0.1171354,0.2796228,0.6697561,-0.02151049,-0.19471088,-1.1163756,0.4851576,-0.35773975,-0.6651457,2.9847982,2.6234682,0.9355914,0.50348693,-1.897356,-1.1978687,-1.1849941,0.9570165,0.34335065,0.41591543,0.44783172
N,0.15983255,-0.42407626,1.2610298,0.98620605,-0.13077442,0.15703432,-1.0420233,0.871045,-0.64801794,1.0545568,0.014341159,0.66017866,0.7841236,0.2455291,-0.4169012,-0.5627496,-1.2680589,-1.6172924,-0.85037625,-0.01035463,-2.0269313,0.41464412,-0.89037454,-0.3673789,0.101911016,-0.8882837,-0.8484641,1.1030462,-1.5812329,0.1720132,-1.2515295,1.3168263,-1.3129524,-0.7060917,0.265942,-1.2430164,1.6971185,0.03242361,-0.1741636,0.033512272,-1.1864805,0.19593531,-0.58059007,-0.90105605,-0.7611164,1.6599188,1.6526988,0.37859192,-0.8037095,0.09174136,1.4216316,0.5108736,0.91314137,0.98520017,-1.4171488,-1.7519677,0.76822585,0.3938019,0.6867149,1.9220414,-0.45803285,-0.60375476,-0.3652801,1.165479
O,-0.9014024,-0.625861,0.13022909,-1.183439,-0.4755341,-0.8858667,1.8196903,0.52360874,-0.27768677,0.6172047,-0.6763206,-1.7934587,0.36069414,1.2574942,-0.5422238,-0.9022725,-1.3860897,-1.0240165,-0.7651477,1.7484713,-0.8749797,0.4184129,-0.4668778,-1.051543,0.7286675,0.32213306,-0.86578315,-0.06994251,-0.82390994,-0.37211305,-0.42541614,-0.60272706,-0.3627309,-0.55887175,1.3363322,-0.40166193,-0.7876646,-0.4825497,0.5051546,0.8017826,-1.1529102,0.63052833,1.4343603,1.6597472,-0.10118229,0.89440316,2.0878763,0.29791635,-0.4910618,0.7019485,-0.4042534,0.46202335,-0.44309264,0.9637411,-0.90204394,-1.6019548,-2.3329923,-0.81478786,0.45186755,0.84089535,-1.1910965,1.6290301,-0.5930951,0.13173947
F,0.4942872,-0.5785161,0.5303101,-1.1164385,0.18932994,-1.2678094,0.7026541,1.5439286,-0.48173133,0.7395893,-0.8401734,-0.096003704,-1.1963061,-0.6142447,-0.14451891,0.47625384,1.06326,0.1603455,-1.2062023,0.8185457,0.6702889,-1.2200185,-0.55012673,-1.1572645,0.8460212,0.8052257,2.270397,0.5515549,0.8184848,-1.1884707,0.24273829,-1.5068758,0.64732194,0.55413127,1.3709359,1.1025624,-1.1487615,-1.2014111,-0.68827266,-1.0004833,0.46663725,0.9135139,2.1204362,-0.027874313,0.43191972,0.7681323,1.2612704,-0.04627967,-0.41239834,-1.0698705,0.4970358,0.45099932,-1.2556784,0.21637782,-0.98261917,0.20581533,-0.42959177,-0.815103,1.113611,1.2208157,0.8412579,0.712833,-0.010214895,-0.26413122
Na,0.013558611,-1.7726196,0.97825265,-0.49425033,0.012328239,2.2997813,-0.026291786,2.3297062,-0.54301125,0.044248167,1.6643034,-1.3369644,1.9573365,0.26009157,-0.32288995,1.7649388,0.71565384,-1.5503035,-0.3902524,0.96871966,-0.6026239,0.16619328,-0.1114967,1.0908022,0.60665816,1.3266997,0.16884646,-0.7055376,2.222541,0.4892225,-0.24227794,-1.2297897,0.67557085,1.2308643,1.0702046,-0.7696624,-0.709364,0.5082996,0.4985898,0.3942762,1.1651357,-0.5318575,-0.6017202,-0.07567057,-0.24502409,-0.64859,0.83179027,-1.1945615,-0.31031147,-1.1953402,-1.6619209,0.730063,-2.2455657,-0.1946415,1.4141093,-0.88317627,-0.99543035,1.036013,1.2463819,-0.52944624,-0.77264667,-1.5035337,-1.0888336,-1.3522886
Mg,0.09045412,0.2098711,1.0650141,0.05431984,0.4527588,-0.7877658,-1.8110757,0.3743228,-0.72811365,-0.42636678,0.34495258,0.15851463,-0.7570468,0.24147765,0.0178343,-0.2615166,0.94364,-0.29384342,0.1703939,0.26920354,0.24182995,-0.9680438,-0.83280647,-0.55846226,0.8545379,-0.2597013,-1.8241024,1.0324202,-0.64011616,-1.021197,0.9921439,0.07264369,-0.21511634,1.3627439,1.5264188,-1.3771738,0.31432024,1.1629506,-1.2870973,0.04283687,-1.5988126,-1.9469111,-0.1330172,0.6210387,-1.3484322,-1.5687311,-0.76409715,1.0332923,-0.44202855,-0.6292573,-1.3749464,-2.1337075,-1.1605757,-1.7471001,-1.5357192,0.20105094,-1.69375,-0.1337418,-0.6945902,1.7377911,1.7172267,-2.074947,0.31062818,-0.22772457
