Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,-0.88292253,-0.5901747,-0.2074236,0.23795529,-0.6394384,-0.1363618,-0.07980662,0.025270063,-1.1408192,1.446991,-0.19594988,0.27660593,2.254703,-0.21171105,-0.6421203,-0.29386476,0.56959265,-0.8421341,-0.5065369,-0.035408888,0.29835975,0.6725564,-0.2526649,-1.6641158,0.28265786,0.22641169,2.728856,-1.2171569,1.5056174,-0.20385742,2.5763645,-0.95463055
Li,-2.0252128,0.65920967,0.23032996,-0.816807,0.9592738,0.14785682,0.8032883,2.1876447,0.12754837,-0.71901083,1.1740563,1.2187158,1.0085,-1.2629611,0.76611847,1.3184351,0.08562308,0.24260269,-0.03488972,1.2672343,0.8214033,2.224171,-0.0048263636,0.37938184,-0.7201965,0.37051305,1.1306143,1.4178679,-1.2108942,1.0526195,1.08566,-0.45637777
Be,-0.29092377,0.19678365,0.8993846,-0.6692453,-1.0236276,-0.5870498,-1.7559046,-0.021218652,0.26744142,1.1524732,0.19243917,0.5044385,-0.47880602,0.034809783,0.543512,-1.0440621,-1.5588238,1.656059,1.1717298,2.1577234,2.0228136,0.74772644,-1.0212626,0.08144205,-0.1684393,-0.8419275,-2.599587,-0.21649349,0.41342226,-1.7422837,0.2423841,1.4096076
B,0.97122127,0.85068786,1.4617096,-0.8631522,0.49478123,1.7177883,-1.3565941,0.052390385,-1.1786402,-0.20804127,0.6406912,-2.418035,0.43892962,-2.536619,0.5032083,0.75334746,0.76638025,0.6934402,1.2543929,0.76516247,1.7002636,-1.317172,-1.249346,0.08838017,-0.68109924,0.5442675,-0.6883202,1.090246,0.27689362,0.062105622,-0.6774228,-0.7811565
C,1.371133,-0.6823995,-0.061900128,-0.031122796,-0.09419934,1.1345526,-1.4216832,-1.9378657,-0.14516197,-0.39823055,0.85106695,-1.5872531,0.7531469,-1.2074505,0.1709666,-1.0999581,-0.8851671,0.47988608,-1.634421,1.9721438,-0.8968596,0.04993534,1.0448575,1.7469846,-0.22753857,-0.5775684,0.10156422,-0.8253188,-0.60893005,2.2340217,-1.2605966,0.37712416
N,-1.5070873,-1.8599554,0.1370614,1.7948096,1.7161782,-0.5060766,-0.11576509,-1.2311069,0.37113485,-0.18676984,1.8359252,0.029206356,0.5934994,0.9297082,-0.19414745,-0.23355785,0.89380735,1.0731186,0.046788227,0.35671166,0.4221019,-0.6921482,-0.74147487,2.1447585,0.13041453,0.17256168,0.9980633,0.113639876,-1.2599009,1.104131,1.804188,-1.1312758
O,0.8040631,0.41171482,0.15758446,-0.32625416,-1.2939315,-0.70850396,-0.56563276,-0.45892152,1.5345925,-1.7499442,-0.07541858,-1.5743747,-0.9355103,-0.5090333,-0.033108898,-1.3634465,-0.49896038,-0.7913125,-0.9053873,-0.69508827,-0.3027203,-0.12615803,-1.4616308,-1.3614014,-0.35132852,0.4258299,0.2654379,0.31183842,1.6555159,-2.536388,0.16427976,1.1389424
F,0.4123986,2.0452006,0.08175004,-0.23084389,-0.7722361,1.4584981,-2.025646,1.9944618,-2.3509548,-0.63396734,-0.10572854,0.043670632,0.7080669,0.8024985,-1.3365623,-1.032474,-0.02243771,-2.2882996,-0.064699896,-0.643074,0.47550538,0.2618508,-0.77797806,-0.11298466,-1.1179202,-0.5491399,0.8718157,-2.160302,0.64464915,0.5271825,-0.99877447,-0.7063661
Na,-1.2744461,0.19157852,-1.0244893,1.0684248,-2.1044939,0.6285578,2.158869,0.6937962,0.3017913,-0.28350568,-0.37911266,-0.17417422,0.048880227,0.39667314,-1.9128791,0.45399207,-1.2370206,-0.4018248,0.34484562,-0.3388843,0.5601996,0.1483853,-0.38214418,1.5816698,-2.4792156,0.40417978,0.76149267,-0.34893546,-0.06895514,-0.37213475,-0.73316896,0.6481481
Mg,0.16746083,-1.5359275,0.10548567,0.5977436,0.9296781,1.2530153,-0.5111278,1.2364656,0.40626562,1.4348894,0.43684837,0.25740173,0.12108239,-1.1665995,0.15090303,1.3802333,-0.6872103,1.9468505,-0.8143332,-0.3653786,-1.1551375,-0.22689863,-0.099447034,-1.5937228,-1.0835308,0.4136116,0.5169528,-0.5649155,0.40333357,0.039154142,0.5046988,-0.3566592
