Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,0.053288482,-2.128443,-0.93266046,0.39260003,0.8776845,1.7709322,0.36261955,0.2165119
Li,-0.5090027,-1.7441517,-0.62664783,1.3545104,-1.7793814,0.81620246,0.42290267,0.9636689
Be,-1.2596278,0.637662,0.8590596,-0.45763227,-0.22465146,0.2416821,0.3702615,-0.74600446
B,-0.56414115,0.1986463,-0.8734926,-1.6204783,2.4484332,2.0710936,1.8036397,-0.86499846
C,1.8100778,-0.17930828,-0.5169728,-1.1013553,2.4372602,-0.5576988,-0.58249235,-0.040824164
N,-2.3872051,0.5943077,-1.088153,-0.5512023,3.3029768,-1.6527027,-0.07945699,-0.3869334
O,0.64698625,0.17717193,1.5049273,-0.20562476,2.3383126,-0.2524074,1.2178992,0.02674668
F,-0.09794541,-1.2207426,-0.2183999,-1.0102118,1.248323,1.247591,-0.9428059,-0.31233934
Na,-0.60234845,1.0911366,0.92878544,-1.1568432,-2.5185683,0.37187833,0.73133266,1.6693414
Mg,-0.6337783,1.8367434,0.86981535,-0.25730258,0.40616882,-0.38613358,0.6227313,1.851378
Al,-1.569423,1.099422,0.08078206,-0.40594158,0.093609415,-0.5328554,-0.19416368,0.35632178
Si,-0.5899698,0.69108623,-0.63372207,-0.21948236,1.3419138,-0.020409161,-0.37169722,0.23196138
P,-0.28087103,0.4492355,-0.10199248,1.0758066,0.5675973,-0.23231727,-0.23960568,-0.8310277
S,-0.7353254,0.22592692,0.68450725,-1.2667047,-0.22496322,0.5744583,-1.498241,0.6390692
Cl,-1.9485066,-0.13561603,0.19200382,1.5951139,-0.44153494,1.0631582,-0.9712087,0.44041756
K,-1.4825358,1.5525779,0.4277882,0.23782273,-1.420781,1.8115302,0.5296729,1.6860206
Ca,-0.6466318,-0.29988593,1.0230966,0.5730134,-0.16553515,0.064250216,-0.62336457,-0.82317597
Sc,0.46902657,-0.22582236,0.043766424,0.20312975,1.1272596,-0.5932396,0.001503563,0.36345133
Ti,-0.583201,-1.0100425,0.08943572,-1.4720535,-0.53262216,0.6061704,0.26447004,-0.9909398
V,2.262378,0.77077204,-1.0289608,0.5085011,1.0911164,0.7446462,-0.028268244,-0.5986441
Cr,1.7221901,3.1842544,0.7893584,0.3043682,0.64604306,-1.049175,-0.52319765,-0.057194762
Mn,1.5717326,-0.22842747,-0.9803645,0.55095434,0.1565278,0.97609305,0.35356688,-0.25630993
Fe,2.7525353,-0.51983285,0.28088465,-0.5775144,0.6262798,0.108119704,0.7049215,0.8181573
Co,1.3121372,-1.6301038,-0.04548437,-1.1413455,0.24285418,0.8128491,0.7539516,0.047209404
Ni,0.3000937,-1.6302295,0.21359675,-1.5900733,-0.16664496,0.59727347,0.8002985,0.6536774
Cu,1.8430786,-1.3283299,-0.8001704,0.6885535,0.24964312,-0.75505745,-0.29670146,1.4704655
Zn,0.42749003,1.709135,0.2587865,-0.23080331,1.1321589,0.7716436,-0.4965126,0.7271168
Ga,-1.6021868,0.7157687,0.46936008,0.10595686,1.0416179,0.9269038,1.4746999,0.6830774
Ge,-0.3896907,-0.020050555,-1.0786638,0.59336203,0.93257195,1.056721,0.34372914,-0.34628317
As,-0.35253426,0.7613666,1.3904119,2.4257562,-0.2826292,-0.93915147,0.15221126,-0.66594714
Se,-0.8203319,0.00863471,1.521074,-0.34409,-0.5756211,0.25310546,-1.2135788,0.3926745
Br,-0.17365713,-1.539196,-0.20413709,0.5369372,0.56661755,0.53848743,-1.7163516,0.91713655
Rb,-0.61356205,-1.0101174,0.37753353,0.0078095347,-0.8960297,1.0392475,-0.22540776,2.2199895
Sr,1.1071529,-1.5487666,-0.23497935,0.62235254,1.2977024,0.28012735,-0.49063137,-0.4943327
Y,1.2055161,-0.123101965,0.22531682,0.6794377,-0.08942569,-0.21875258,-0.6330923,-0.87726474
Zr,-0.60924953,-1.3116279,-0.6515526,-1.1527877,0.6696825,-0.96960676,0.37502894,0.6929136
Nb,1.3153527,0.2310232,-2.3300583,-0.5441589,-0.15320092,-0.1421556,-1.1105652,0.9444263
Mo,-2.1712654,-0.20043367,0.38169938,0.2581861,-0.36826232,-1.7450377,1.8212392,-0.44947198
Tc,1.4023827,1.6711311,-0.89363545,0.6940541,0.92314357,-0.3635251,1.6584116,-0.18364191
Ru,1.1529112,0.23480399,-2.0223644,-0.19636907,0.65059716,-0.50911796,-0.11968023,0.18759742
Rh,1.3102484,0.6673525,-0.714963,-1.4301643,-0.55901945,-0.7122427,0.43086913,0.25004777
Pd,0.34868646,-0.4049062,1.5405685,-0.51174635,-2.1937895,-0.7911582,0.5188319,-0.9048022
Ag,1.6667852,1.1597391,1.0444959,-1.4936271,-1.4173065,1.4057806,-0.19185235,0.11468389
Cd,0.37236026,-0.23226444,-0.67149603,1.8272158,0.09975793,-0.41258287,-0.7790501,-0.46068975
In,-2.4075687,-0.77111113,-0.251962,-0.06410241,0.95203775,-0.07032545,0.6899461,0.62289095
