Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,1.0656464,0.03859309,0.14745605,2.1231124,1.8814863,1.9337468,0.5313027,0.7904643,-0.57133687,-0.27671412,0.9599029,0.072705045,-0.11053932,-0.43679062,-0.66651124,-0.63467723,0.5113973,0.24925356,-0.5494286,1.0568682,0.51060706,0.48988688,0.17451687,0.47224924,-0.12502697,0.57828707,-0.5800821,1.2545762,0.24968998,-1.8750728,-0.0809227,-0.5722876
Li,0.47448784,-1.2310662,-1.5524125,0.45835096,0.8078146,1.716702,7.555859e-05,-0.40456197,-0.8673859,-0.47155833,0.18206835,-1.1898743,-2.4205585,-0.66554374,0.10573733,0.08823504,-1.6916606,-0.7331776,-1.5024115,-2.3701866,0.69738334,0.06837033,-0.1691094,-0.017902818,0.9401598,-0.033066474,-1.7180004,-0.84586316,1.6816175,0.46962312,1.075935,-1.4434849
Be,-0.80591494,2.2583287,0.9724242,-0.55110353,1.400058,-0.10723695,-0.29255703,1.0667574,-0.8531318,0.6313067,2.0501318,0.31165555,0.52143997,1.7477367,1.105283,1.7359189,1.9210117,1.1836232,0.25653553,-0.77717924,-0.4727616,0.16882032,-0.73808414,0.72364336,-0.14561515,1.3003627,-0.72168255,0.37380704,-0.7339545,1.4682581,1.2622695,1.6649987
B,-1.2731262,0.1333374,0.8876507,-1.7416426,1.9591601,0.32022032,1.7400119,0.53675574,1.1708139,-0.3159181,2.1599138,-0.20095482,-0.23122962,-1.2501633,0.8952558,0.13609613,-0.6927818,-0.69345266,0.32949758,-1.4749564,1.3030448,0.2452147,0.9785451,0.88236904,-0.57390076,2.4417524,0.25111935,1.2691879,0.24014668,-0.67075336,0.22844137,0.37171224
C,1.4794493,0.2778583,-0.08619382,-0.96406764,1.8430055,0.06772119,-1.5008014,1.5966548,-1.5545387,-0.36521128,-0.49727145,0.6930964,0.61867005,-0.3683697,1.5269922,0.11862337,-3.1128933,-1.4752766,-1.6642537,0.21273519,-0.79372895,0.26129618,-1.0272299,0.74222326,-0.50706357,1.4935085,0.69537336,-1.088359,1.3906562,1.6847143,-0.82814413,0.49444327
N,0.39655596,0.13931338,-1.1086442,0.32890177,-0.078473665,-0.9504742,-1.5757775,0.21149509,0.31734985,-0.04053337,0.9245533,0.87442356,0.55296123,-1.9723722,0.5109782,-1.419148,-0.20417908,0.49951416,-1.646598,-0.46045205,-1.7344735,0.85897017,-0.35132742,1.1995596,-0.81089383,-0.5887308,-1.5500504,0.9583257,1.244925,-0.97008944,1.1506513,2.8302288
O,-0.9393564,1.6804724,-0.1667015,-0.3130396,-2.7573924,0.8407632,-0.69383496,-0.3305825,0.40237573,0.43907866,0.8221503,0.66218483,0.5972093,0.29249397,0.002932646,0.31503743,-0.39583433,-1.9787734,-1.4022791,-0.24020118,-0.7762945,0.21935363,1.9439561,-1.2483697,0.17742087,0.8034071,-0.97772205,1.588508,1.1462744,-0.37448645,0.106638715,-0.32340804
F,-1.1694162,-0.58794516,0.36450535,-0.98991,0.49468145,0.5856977,0.02085505,-0.5633223,-1.0736392,1.3244702,0.52721727,1.0747943,1.2615516,-0.1054332,0.27400064,-2.6254091,1.9917953,-1.0127459,0.34136888,-1.1546732,-1.9969827,0.54137295,0.10506981,-0.54370815,1.1917831,0.07619831,-0.20949176,0.068965875,0.25718158,0.36141205,-0.9945305,-0.8745362
Na,-0.7572101,0.5489029,-0.53745604,0.8013375,1.5243652,-1.1500634,0.018470211,0.90436983,-0.14603518,1.3732179,-0.50158757,-0.07642172,-1.3669636,1.3880347,-0.095034294,-0.24629636,-0.39298913,0.36040825,-1.608689,-0.058369547,0.08958265,-0.928507,-0.44805482,-1.7000245,0.24680677,0.43601882,-0.3224701,0.33014825,-0.61302876,-0.9168655,-0.21994641,-0.05796643
Mg,0.14140552,-0.36202237,-0.6720327,0.06961383,0.14625768,-1.759128,1.2951161,0.54125875,-0.65270716,1.9011426,-0.52120644,0.14274734,0.07547473,-0.75597316,0.32057875,2.064738,2.1936126,1.6880114,0.48487422,-0.7556179,0.0640848,1.0579774,0.48383373,1.1351917,-0.43031204,-0.19093843,1.1612604,-1.3920693,1.4365675,-2.7765164,-0.045199346,-0.045733027
Al,-0.7220477,0.5569567,-0.8289427,-0.68558097,0.39076093,-1.0978018,0.5341783,-0.827135,-0.22773772,0.13843662,0.21488206,-0.6281071,-0.13467433,-1.4791654,-1.9300178,0.106356256,-0.5547992,-0.028142378,1.9913982,-0.2854266,-0.8862011,0.06693773,0.15284128,-1.2288433,0.83410776,0.9131738,-0.62030816,-1.2833703,-0.9931042,-0.46658733,0.1903192,1.3296711
Si,-0.5722,-1.3274451,0.79314834,-0.026446475,-0.6104135,-0.78292805,0.39321885,-0.7519393,-0.6591108,0.15446332,1.258244,0.842822,-2.339485,-0.93347627,-0.9493348,1.3559791,-1.1288433,0.87556607,0.27792934,-0.23534451,-1.305956,0.6801276,-0.55222714,1.559582,0.75875217,1.4950302,0.06002533,1.3506697,0.62605745,0.26308167,1.3649552,0.6417956
P,0.5241639,-1.6329083,0.75594777,-0.42228386,0.0860617,-0.73108786,1.5524864,0.08658405,-0.28693262,-0.3283484,-0.3614625,1.3915955,2.050122,-0.6946105,-0.52661717,-1.1709489,-1.3544114,-0.5426385,-0.19230336,-2.4235344,-1.0915439,1.3151889,1.2353102,2.0330467,-0.43967083,1.2166779,-0.034553483,-1.0981343,-0.84456486,0.9640855,2.5844533,0.32475415
S,-0.4221153,-1.1983418,-0.43518934,-1.2031125,0.46940818,0.25133753,0.32506648,-1.4372388,-0.51650447,-1.102578,-1.3918058,1.0342512,0.19082677,-0.68598545,0.34416777,-1.0639272,0.18113968,-1.1952137,0.09283722,0.5840078,-0.3001398,-0.89868826,0.026297932,0.05663521,0.83732796,1.0938045,0.18968636,1.0263766,0.31580007,0.5165006,1.1881492,0.4264757
Cl,1.2208127,0.8257366,-0.55203986,-2.250334,-1.0374008,-0.73134273,0.28415993,-0.14430158,-0.40933412,-0.44772092,-1.6144043,0.7579573,0.27088147,-0.3105319,-0.7589155,-0.02808265,1.2671938,-3.5279632,-0.66363126,-1.02461,-0.23586284,-1.2301306,1.0828321,1.2019063,1.2852056,0.9225834,-1.7067956,-1.0623945,0.2790823,-0.44963267,-0.5305635,0.44410178
K,1.1592842,0.43312612,-1.1975107,-1.8311671,-0.18348059,-0.21166489,1.4559611,0.5884215,1.1446766,0.5408148,0.15702526,1.0613227,-0.6034007,-0.03699929,-0.1766767,0.93623203,-0.83520883,0.113543436,-1.2165974,-1.5221189,-1.384747,-0.86914957,-0.74488103,0.2971587,-0.53750944,-2.304695,-0.48622882,1.1803077,-0.047488686,-1.8308223,-0.25042203,-1.4884038
Ca,-0.6884497,0.36197037,-1.0283209,0.22706603,-1.268792,-0.46642345,-0.99526846,-0.9526742,-1.3027647,-0.58563703,0.74299335,-0.37381414,-0.1893857,2.2143102,0.33585584,0.08902582,0.15582368,-2.4430318,-0.46880785,-1.2886385,1.0792772,0.63812333,-1.806248,-0.33785224,-1.9771475,-0.9621922,-0.8135548,-0.45597383,-1.8077189,0.60538006,0.34747934,1.0366557
Sc,0.71337044,-0.52953136,-1.0022558,0.9736837,1.0677196,0.88158184,1.2911637,-0.63641375,0.21021532,1.0824653,0.97302586,1.1281432,-0.3144103,0.5693681,-0.10514067,-1.1105969,0.19132875,-0.42608935,0.32638338,-1.533901,1.2064797,1.9229184,-0.24047741,1.9591807,-0.004463996,-0.27281156,1.1926625,-0.053571463,-2.2385845,0.1347366,1.8615605,-0.34792992
Ti,-0.108048774,-1.6367122,-0.52409875,-0.040269922,-0.6456013,1.4212208,2.3762727,1.2556564,0.93136907,0.11568825,0.062863246,0.67478794,-1.4904759,0.8421939,0.83685714,0.39648533,-1.9587302,-1.0403451,0.46653074,-0.8510006,1.5476524,0.64601856,-1.1229898,-0.66440606,-0.32000664,1.7407706,1.6502569,0.51151925,0.35786906,-0.54095125,1.0558717,-0.09968223
V,-1.0129336,-0.7889399,-0.7424281,0.9776046,-0.58007985,0.9826145,1.4622936,1.1511997,0.3155206,0.19632134,-0.8434949,0.060817096,-0.5958513,-0.39814913,0.8108728,-0.075248405,-0.5449935,-0.17035466,-0.45394513,-0.019971,0.44167128,0.16255113,0.16864495,1.1614181,-2.917729,-1.2612493,-0.78254443,-0.548542,-1.3773533,-0.8087557,1.6471897,1.340361
Cr,0.35776037,1.9312905,-0.1753648,0.4173936,0.31375203,-0.83079505,-0.07347583,0.21861663,0.6028577,-1.1600716,-1.4800501,-0.103504166,0.51356554,1.1901978,-0.016653102,-0.23250794,-1.5632375,0.9405162,0.71823156,-0.14905956,2.353476,-1.4066525,-3.034228,-0.9217732,-1.4774325,1.4338591,-1.4697312,1.8709815,1.7430719,1.2536892,0.44135752,0.67085063
Mn,-0.117246106,-1.0996987,-0.85148954,0.3081068,0.26970488,0.07815122,-0.049858287,3.0611515,-0.43118,0.6564384,0.014491305,-1.537015,-0.2821147,-0.43157795,-0.15331157,-0.21526062,0.26196358,0.12256067,-0.8006943,0.6070161,-0.10991193,-0.5439889,-1.6938658,1.2213724,-0.3242215,0.05941868,-1.5405998,-0.6122775,-0.089051746,0.88343185,1.3047606,0.14631747
Fe,0.06451982,0.32610318,0.9787926,0.049189664,0.42543143,-1.6801196,0.22474653,-0.002385723,0.6451906,-0.77168554,0.14472719,-0.30536065,0.2534431,-0.07960123,1.6466514,-0.7620394,-1.3949249,0.9662084,0.7935992,-1.2489355,0.2648182,0.1726356,-0.935141,0.3822774,-1.1977097,-1.1943724,0.078137055,-1.0943563,0.476751,-1.942375,0.58605975,-0.56362
Co,-0.93868387,0.22485343,1.3690399,-0.6991323,0.21506734,-0.8714005,0.31421372,1.9451977,2.1484926,-1.1847973,-0.41728196,0.67711484,-0.23820437,0.34731835,0.21237238,-0.9723175,-0.012450261,-1.2135184,-1.0912405,0.6102289,-0.9834238,-0.10138877,-0.36830303,0.43167552,-0.67254263,0.28873825,-0.41517466,0.3226487,-1.3245574,-0.32127994,-1.6434442,0.2749902
Ni,1.0929499,-0.1373997,-0.64119035,2.034821,0.8518884,-0.594987,0.8555835,2.2941234,0.59141994,-0.28457704,-0.45293593,0.17783256,0.45035353,-0.9863591,1.5084798,0.7054684,-0.37926623,-0.04117204,-1.6605232,-0.8777754,1.4230328,-0.34681284,2.0166872,-0.76766896,1.4841353,-0.8073406,0.388865,-0.5908581,0.046795506,-0.4979271,-0.9330033,2.1323295
Cu,2.055463,0.6414331,-0.12139956,-0.9726902,0.15419355,0.48025095,-0.5218224,0.6872403,0.87062114,-1.0441362,-1.9089568,-0.40271717,-1.1035035,-0.972419,-0.29468527,0.65914834,-0.9007448,0.8157181,-0.6456002,-0.43800077,-1.6826563,0.22747698,-0.3349351,0.6501892,0.63842535,0.027726991,-0.72168666,-0.76310176,0.95628804,-0.6578496,-0.29867873,1.2232299
Zn,-1.2011259,0.37394458,1.1640294,0.33828905,-0.43765968,-0.74232244,2.4257114,0.78971124,-0.75200665,-0.4162306,0.21218313,-1.4040879,1.2278079,0.3499333,1.6673639,0.1586906,-1.6188338,1.1501986,-0.94517547,-1.4795173,0.94357777,0.014593787,1.0811357,-0.006264665,1.3681849,-1.4645896,1.1742029,0.54328567,-0.35955343,-0.22193652,-0.8942394,0.03133108
Ga,1.2904545,0.7344749,0.48124564,0.40641934,1.659103,1.0364175,0.9442108,-1.5365553,-0.93194586,-0.7369483,-0.30977625,0.16753706,0.32392836,0.21379048,0.81116074,-0.31409413,-0.048457514,0.6314375,0.96118027,-0.0077648633,-0.52238566,-0.3127902,-1.872383,-0.1561297,1.1980717,0.8216285,-0.5318394,-0.7392044,1.3172461,0.7073486,-2.5687861,-0.5630179
Ge,0.056354776,-0.7519501,-0.68073314,0.55956334,0.28672436,0.50141037,-1.0607342,-1.4439493,0.24757117,-0.30057058,-1.3783962,-0.87308264,1.867945,-1.7255291,-0.48833773,-0.798435,-2.1217225,-0.15702352,-0.015452192,-1.0999392,1.1473007,-0.5237246,-0.24411574,1.3521328,-0.08180698,0.99551886,1.827704,-0.21408242,0.09904015,0.06398473,-1.1186404,0.31437272
