Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,-0.09411944,-1.7242185,-1.1039312,1.2144555,1.0068729,0.32492825,-0.788768,0.51046413,-2.0555415,-0.025946112,0.28833225,0.5851138,-0.3826549,1.5848225,2.1443572,-0.6253888
Li,0.5508603,-0.4957243,-1.4220006,1.2372867,0.3406646,-0.1373072,-1.7155216,1.2605704,1.0371282,1.8155106,0.68315697,-0.8361402,-0.64381856,-0.38548142,-0.313674,0.5130559
Be,1.1817348,1.6824592,1.3102447,-0.28087395,1.898531,0.701969,-2.214833,-0.12866095,0.46263513,0.6333706,-0.106480554,0.37379926,-1.1378499,-0.3784583,-0.14014572,-0.15309027
B,-0.66762465,1.5646107,1.7837167,-0.9527195,0.28878987,1.4566736,-0.61024135,0.7296768,-1.6159879,0.14975977,0.18898506,1.5587078,0.3368295,0.6983929,-0.14622946,0.48624805
C,0.05211568,1.5622811,0.9541841,0.08551894,-1.0959688,0.03713221,-1.587484,0.024705522,-0.5475898,2.5123541,1.2116741,-1.3955983,-0.61837786,1.0879488,0.78083396,-1.1369848
N,1.1043696,-2.3294377,0.14808768,0.47911444,-0.27900317,0.18214367,-1.408968,1.3446325,-1.7737702,0.3200586,1.5827036,-1.3919069,-1.1512578,-0.11556007,-0.09829303,-0.8143308
O,0.5202965,-0.7766102,0.2805447,-1.2246087,0.3395834,0.18857239,-1.4950454,0.9508311,1.7768466,-1.1396148,-0.39218387,0.24499705,0.41976035,-0.52876306,-0.58000576,-1.2602739
F,1.5624946,-1.4591705,0.4938688,-0.9446685,-0.59115183,-0.23463021,1.2814744,1.0524864,-2.320007,-0.4086193,0.97956795,1.1426327,1.2706552,-0.6709188,-1.8077248,-0.44690531
Na,0.06536143,-1.4786544,-1.0876095,-0.86827904,-0.37260672,0.371849,1.2152244,0.9678806,-1.9766438,0.38789296,-0.6256859,0.5658642,0.3902484,0.85652184,0.35345876,1.6543337
Mg,1.2043211,-0.44929338,-0.69554263,0.29427534,0.22873919,-1.218861,1.1472212,0.45402494,0.25844315,1.0228473,-0.32827562,-1.3604347,1.230028,1.000867,0.5756683,-1.3432223
Al,-0.41668692,-0.3028414,0.54751146,-0.5901637,1.7911799,-0.3659125,0.7351962,-0.53224635,-1.3787085,0.23971923,1.0022755,-1.2398993,-0.58649373,-1.2469326,-0.84817886,-0.52773577
Si,-1.0511063,1.2076625,1.6207541,-0.036630798,0.913988,-0.5415424,0.27076805,-0.38189772,-1.3983481,-0.9193011,0.6503775,1.2685741,0.24985288,-0.75189245,1.5335025,0.6788712
P,0.3646205,-0.8094164,1.3344628,1.4726807,-0.6207458,-0.14909688,-0.27798232,-1.9764011,-1.3571382,-0.37570113,1.2676393,-0.3365897,1.5568343,0.86632174,-1.0227323,-0.70272356
S,0.5119708,-1.3122749,-0.7127448,-0.4386574,0.5242828,-0.50370425,-2.696272,-0.7601688,-0.9007768,-2.6825137,1.7098637,-1.2728095,1.3787936,1.8210399,0.26376715,-0.9752346
Cl,0.33855686,0.1984207,0.3431056,-0.27163395,-1.0426731,-0.70927995,0.77719307,-0.14629765,1.5289605,-1.6203893,0.26623982,0.81205183,0.23093636,-0.8035129,-0.49670818,-0.9369683
K,0.8053408,-1.6007909,0.51589406,0.96271354,1.6876884,1.163277,-0.5898263,-0.9680097,1.4083482,1.4266548,-0.6658623,1.7597,-0.7373404,0.0823203,2.0353973,-0.15159446
Ca,0.33825657,-0.21942414,-0.57547796,-0.932336,0.13429983,-0.94750905,-0.12737948,0.37497094,0.74344075,0.67273754,0.027313672,-0.90106773,0.21558939,-1.7488649,-0.3038182,1.2227871
Sc,-0.00066112855,0.7518415,-0.6330041,-0.20737943,1.6981132,-0.6073647,1.2068536,0.2849075,0.26764438,-0.21183339,0.62334096,1.5275302,0.7678992,1.2859784,-1.079089,0.032709908
Ti,0.17189081,1.0345793,0.7994487,2.0118353,-0.14771593,-0.42979577,-0.09249877,1.0249602,-0.9459992,0.9232623,0.4720184,-0.13395149,1.6489408,-0.05440991,-1.2390181,0.6330214
V,0.19017562,1.8137497,1.574042,-0.35202882,-0.27490243,-2.3306863,0.79411995,0.6333068,0.61898625,1.3328977,0.23123638,-0.32368872,-0.8838202,0.3026734,0.5866819,0.8326496
Cr,-1.9054644,0.017792443,0.041243557,-0.06267655,-0.07825549,0.4050113,-0.56625503,-0.5978259,0.8871195,0.6203665,-1.1068354,-1.3298237,-0.8044484,-0.40142,-0.889122,0.5737244
Mn,-0.53428906,1.2809858,1.3614581,0.86587906,0.27199465,0.86181045,0.67242926,0.714394,-0.42272902,-0.15576802,-1.3862543,-0.016884796,-1.0564821,-0.44414455,-0.13816072,1.0165287
Fe,-1.3752126,-0.66848624,-0.13001792,0.032686982,-0.78818065,1.1481586,0.5892832,-0.031434838,-0.25749654,-0.910112,-1.5064756,-1.8621871,0.5398821,0.7884547,-0.05564976,-0.5691196
Co,-0.80721027,-1.3636006,1.4391633,-0.008976322,-0.5278276,1.0485046,1.109145,0.12573405,-1.1421844,0.31073964,-1.0325291,-0.01678918,-0.20007451,2.418118,0.748781,0.14665148
Ni,-0.7159131,0.32694256,0.42466918,1.4123905,-0.48369205,2.5592096,0.56075424,1.2746422,0.326869,-0.28066543,1.0866135,1.6116698,-0.49233946,2.2965915,-0.58502924,-0.8173836
Cu,-1.1485639,-0.19614173,-0.6330347,0.6926812,-2.1205707,0.21785332,0.017112333,1.3252205,-1.187524,-0.9767845,-1.1639165,-1.0332397,-0.47561407,0.22448054,0.35860237,-1.5558178
Zn,-1.0756521,-0.8162765,-0.7394584,-0.49915713,-1.0951107,0.5495847,-0.5322131,0.24238358,-0.993265,-0.29382846,-0.5019812,-0.5582889,0.029663676,-1.3513728,1.1717302,1.2325556
Ga,1.4277955,0.0784133,0.96043503,1.0541838,0.59425616,1.3504002,-1.1472586,-0.27818483,1.3254135,-0.45969507,1.6027256,-1.0034949,-0.3542456,-0.018148817,0.300598,1.4413748
Ge,-0.10731585,0.9563065,-0.07818905,1.4825134,0.78319496,1.2485434,-0.45505413,0.17145427,-1.7115275,0.68197757,1.3604792,0.19260901,-0.34915483,0.650728,-0.3658756,1.3237488
As,-0.0776967,0.8392624,-1.6252785,2.1154695,0.07997459,1.1513761,-0.21351345,-1.8812546,-2.2579417,0.9470649,-0.06294322,0.7574576,-0.04498286,0.2851674,0.20587827,-0.7029646
Se,0.073598735,-0.7393751,2.0744133,-0.4791936,-0.2795373,-1.2347177,0.22671986,0.56882036,0.29664043,-0.29649448,2.234291,-0.76869714,-1.2355704,0.52385575,0.1111117,0.45982912
Br,-1.3643278,0.61207086,1.1194916,0.5652139,0.049853016,0.7668052,1.7041792,2.1952128,1.1854544,-0.1868159,0.25697628,0.98674273,-0.45677358,-2.181489,0.49483722,-1.0814928
Rb,-1.1813976,-0.9612447,-0.81729686,0.2484205,0.024889132,-2.5505574,0.04056349,-0.21572223,0.7009365,2.1164827,-0.3902619,0.87951255,-1.555566,0.087709956,-1.2930546,-1.4148386
Sr,0.25539207,-0.97553396,-2.0129287,0.06096106,0.59794074,-0.45705545,0.83122873,0.6046027,-0.20592491,-1.03225,-0.37831423,-0.377017,0.28335294,-0.146113,-1.6875848,1.5905013
Y,0.392532,-0.6712572,0.14334464,-0.8526422,1.6520634,-1.0766026,-0.32443783,-1.3374453,0.07079288,0.33027613,-0.39443693,1.5005438,0.64418054,-0.25095677,0.46694335,0.5101331
Zr,-1.1349418,0.07752703,0.2995286,-1.8100607,1.3439791,-1.8095626,1.1892594,-0.8085981,0.89211327,0.6886869,0.77095544,1.4238517,0.4711585,0.790881,0.77728975,0.7913025
Nb,-0.8013656,1.1541872,-0.5394807,1.1793565,-0.22965059,-0.2965976,0.9544179,-1.7390441,0.7358085,1.7680584,0.28290617,0.89926004,-0.030925427,-0.40102583,-1.9207196,-0.96220815
Mo,-0.14723004,0.2685489,0.6131095,0.9271953,0.6115781,-0.5154708,-0.0038397645,-1.6718733,-0.19563365,-0.7781464,-0.005335089,-0.647509,-2.1401455,-0.47656062,-2.166455,1.968346
Tc,-0.34300426,1.8272403,0.2802258,-0.7032234,-0.39565742,0.099527396,-0.40064204,-1.8936468,-0.56798136,0.1348202,0.49473396,-0.9527874,-1.2333106,-1.3253205,0.21585247,0.101176746
Ru,-2.2273507,0.32532063,0.0246524,-1.6478372,-1.6627582,-0.9537393,0.43528602,0.40404683,-0.78557634,0.26115474,0.88512236,0.40540457,-0.30932924,2.137912,-0.22424188,1.6209098
Rh,1.3339428,0.4284981,-1.1897621,-1.7736745,1.8226957,-0.7080564,0.8253945,0.80898285,1.1124384,-0.76544875,1.8903688,1.0958685,2.891733,-2.1743653,-1.590325,0.52872527
Pd,-2.1559112,-0.16414428,1.30964,0.18614434,-1.1772803,-0.28652185,-0.04654711,1.0823003,1.8998891,0.3357121,1.2819967,1.1796099,-1.122376,-0.05027511,0.001578451,1.0903128
Ag,-0.71836925,0.56379163,0.652876,1.4937046,-0.8652265,1.6188896,-0.4931587,-2.1852386,1.9817777,-1.246473,-1.4597327,1.5160508,-2.0405264,0.807595,1.1943195,-1.0905837
Cd,1.1403729,0.28591245,-0.1488568,1.5032518,-0.81661725,1.9806249,-0.9092001,0.098167144,0.20867348,-0.9964533,-0.61773837,0.2818039,-0.4714431,-0.9865431,0.8442397,1.5643176
In,1.1367399,-1.269769,0.18107145,0.84959847,1.357049,2.1167464,0.20798776,-1.7978363,-0.8950328,-0.6612805,-0.2472147,-0.76223713,-0.5458811,-0.7542712,0.9144413,-0.13475855
Sn,0.19432276,0.34874707,-2.579354,1.478009,-0.80988145,-0.03139962,1.1638745,-0.7317989,-2.370675,-0.70236653,1.9086422,-0.7865922,0.77310604,0.30953702,-1.1237174,-0.58880615
Sb,-0.020798016,1.95132,-0.00094053685,1.4979945,-1.5099127,-0.5754262,0.6573314,0.107685186,-0.957638,-1.884237,2.4644327,-0.08895028,0.09677588,-0.44170186,0.38472426,-0.010305747
Te,-0.01632301,-0.06557434,-1.5024849,0.74250966,-0.8008281,0.56207204,0.7550003,-1.7751266,-0.63362163,0.732135,-0.14088598,-1.9109282,-1.0159165,0.5095756,0.02053749,1.09456
I,0.5357407,-0.3007749,1.7571266,-0.5096547,-1.2866635,1.3042057,-0.14546505,-0.482117,-0.34463412,-0.31992915,0.9229495,0.6364072,-0.9172571,-0.6099852,-0.26191235,-0.09341687
Cs,1.0968772,1.1391847,-1.0525461,-0.21187885,-1.0018265,-0.11325706,-0.3268442,1.3339643,1.6044543,1.5181067,0.29541913,1.6189479,-0.6992908,0.831876,-0.8816051,1.3387203
Ba,1.9931676,-0.3504613,-1.3654948,1.3388877,1.0201784,0.99821305,0.91035867,-0.4455143,-0.5166668,0.277265,-1.7008294,1.8134805,0.26168448,-2.0888696,-0.28341514,0.80488753
La,-0.46029064,-0.55842286,0.08636357,0.02486165,1.6640519,-2.3829288,0.67180127,0.5396699,-0.87625766,-0.104300044,0.5837456,0.66123784,0.92715484,-0.5130617,-0.19137998,2.1643841
Ce,1.2709066,0.7025197,0.8869533,0.53114104,2.1069582,-1.8875759,1.2023981,-1.2773438,-0.7445173,-0.21417345,0.45246443,-0.02700427,0.046134897,-0.8888523,-2.1670747,0.9118616
Pr,0.17756623,0.42375198,-1.5628862,-0.77115905,2.9166546,0.29527497,-1.3490046,-1.0670552,-0.01129941,-1.0361037,0.6144497,0.6555463,0.50828964,-1.3046026,0.661099,1.2125494
Nd,-1.0242438,-0.96757776,-0.33815137,-0.3734331,1.0573428,-0.6755539,-0.29900628,0.07740127,0.33122182,0.4621612,1.2056823,0.45498592,1.013702,-0.60258424,-0.9861185,2.822035
Pm,1.0476551,0.49540412,0.07332683,0.26874352,1.530977,-1.138379,-1.9064301,-0.35571906,1.0807443,-0.20144464,0.6829095,0.22740084,0.32196215,-0.23965177,-2.0263398,1.7036045
Sm,-0.19586611,-0.9162542,-1.2295002,0.9284998,1.6141196,-0.67138195,-0.95495707,-0.9900907,-0.42916933,-0.41621444,0.07067274,0.8707005,1.2521917,0.1803886,-1.2131575,0.55041546
Eu,1.8193506,0.33057308,-1.5869298,0.4103645,0.6252092,-0.98470145,-1.3904556,0.45974377,-0.85330325,0.2762304,0.4257706,-0.7981379,1.1928111,-0.43529192,-0.35184357,0.78874636
Gd,-0.31789944,1.2030152,-0.71281517,-0.33983797,2.1225832,-0.60351884,0.37840945,0.8566986,-0.11917273,0.90134376,1.1209927,1.2481179,0.08199509,-1.6392132,-0.228294,0.58485025
Tb,1.5527004,0.36644337,0.37191266,-1.3708118,1.9496057,-0.9893825,-0.8456496,-1.0749516,0.5944853,-0.31509867,-0.57511747,0.73324406,0.5593837,0.13851021,-0.16950239,0.49470553
Dy,-0.34319142,0.84118795,-0.2967484,-1.0915467,1.058689,-0.31331736,-0.925751,0.033570826,-0.0032955343,1.1665839,0.062881745,1.0108194,0.75154215,-1.8542451,-0.13141382,0.7054867
Ho,-2.0243902,-2.5993326,-1.1969482,-0.85629743,1.6318407,1.7373816,-0.23846234,-0.35174897,-0.49708414,0.2697866,-0.56947094,1.0410299,2.3665164,0.83314604,-0.30917054,1.0752075
Er,0.075933434,-1.0253371,0.8329293,1.0012655,1.1094965,-0.28045467,-0.31206158,-0.27928233,0.82891625,-0.5036037,-1.2527846,0.5008704,1.8058459,0.6218418,-0.9175801,0.95139104
Tm,-0.65477943,-0.85381407,-0.37660238,0.66688734,1.3226596,-0.26231652,-1.5276664,-1.0709162,0.11392084,0.13455403,-0.80590886,0.63949966,1.2271957,-0.25040942,-1.8123785,-0.3110735
Yb,0.8603,0.46710795,-0.87440705,-0.09162607,1.2050139,-0.5508133,-0.7559965,2.1794624,0.86669636,1.0914588,-0.80819184,-0.85455054,1.4004372,-0.6418364,-1.7903388,-0.57848555
Lu,-0.2492904,-0.05730642,0.59089917,-0.3754805,0.20969708,-0.15954287,-1.4422712,0.61274123,-0.29001507,0.3060183,-0.9114642,-0.54881704,1.8694707,-0.17820993,-1.8347359,1.1650301
Hf,0.13924466,1.1382805,1.449862,0.3792454,1.1425024,-0.41779405,-0.54789263,-0.81432813,0.5090813,0.5240526,-0.20499182,1.2182266,1.1308138,-0.122962,-0.5200196,0.004993263
Ta,-0.305564,0.82826257,1.0278593,-0.5958003,1.423608,-0.5812247,1.015687,-1.5047084,1.3417886,0.5257579,0.9982076,-0.14667895,0.08908088,0.9568529,0.11265217,0.14891247
W,-1.6392822,0.27423394,0.9473228,0.8125777,0.10015768,-0.99644715,-0.54119575,-2.316683,-0.12878145,-0.704353,-0.19106126,-0.896483,-0.5866208,0.6929679,-0.36839983,1.120937
Re,-0.9522996,2.1528492,0.2047743,-0.8948378,-0.18104076,0.75026816,0.49676865,-1.3028991,-2.6731486,-0.7649605,0.26043898,0.06658461,-0.01989674,0.5651288,-0.5503784,1.110568
Os,-0.18859775,1.2400283,0.8588332,0.23641695,-1.2245795,0.47260898,-1.1740152,-0.9287733,-1.718829,-1.0138067,-0.20694754,0.21073164,-0.1931924,2.134713,1.1535121,0.7444178
Ir,-2.2872002,-0.86473626,0.84018713,-0.44805837,-2.2573774,-1.9760038,-0.666398,-2.1590478,0.43163544,-0.4755881,-0.0395307,1.0485595,-0.7523814,0.6152001,0.30424395,0.8102306
Pt,0.3075739,-0.66122466,-0.19994542,-1.5410321,-1.0110632,-0.5424708,0.63864297,-0.5539359,1.580699,-0.54988116,1.9560398,-0.12426492,-1.5374789,1.3962948,-0.8572518,1.0987335
Au,-1.0165505,-1.686681,0.19337462,0.28468242,-1.8430833,0.5932672,-0.43982297,-0.34891412,-0.24103065,-0.61751026,1.2182689,-0.25942856,-1.6376654,-0.38315734,-0.36673847,-0.25786662
Hg,-0.09026012,-0.013809638,-0.5370992,1.0869511,-1.379407,0.23240799,-0.27503955,-0.6567349,-1.0009445,-0.17432475,0.8169676,0.14159045,-2.1307135,-1.3525981,0.27129266,-0.68960845
Tl,-2.2119114,-2.4166856,-0.013900571,1.0506555,-0.18105793,1.3203063,1.2454941,-1.165265,0.6127451,0.17525439,0.65427893,-0.40295234,-1.0756278,-1.1481583,0.33186337,-0.19253567
Pb,0.46656352,-0.74561894,-0.34495342,1.4640791,-0.32480234,0.21631746,2.2280157,-0.25683722,0.3293879,-0.34173027,-0.85073745,-0.013034012,-0.29384515,1.5331901,0.61740303,0.0496233
Bi,0.5978324,0.9840701,-1.2895635,-0.12517077,0.06853786,0.41117236,1.9702477,-0.829351,-0.5262929,-0.43034628,-0.35705546,-0.06711532,-0.44732422,1.5693145,1.4416194,-0.7870786
Ac,0.2009956,-0.6426281,-0.37744457,1.3904742,0.7492564,-0.17678767,0.5824975,1.0077327,-0.32494417,0.6715086,-1.9984051,0.3451169,2.2335508,-0.34458613,-1.5578092,1.6633161
Th,-2.1819017,1.1400889,1.0746096,0.77729607,2.5130777,-1.5990082,-0.05997214,0.82840794,-1.1783038,0.5887725,-0.7417663,0.7936282,1.2372562,-1.8592443,-0.827922,-0.10949918
Pa,-0.9558054,-0.8353102,2.3453305,-0.112020224,2.8095434,0.8428667,-2.0111673,-0.8342468,-0.56289303,1.7536526,0.20768091,-0.9895112,1.9527775,-0.35964966,-0.5482313,1.5358397
U,0.013705735,1.1495162,1.4584883,-1.1118708,1.3631494,1.0633643,0.36750734,-1.8668745,0.523786,1.8875338,0.03201552,-0.47713545,0.8579626,-0.4731303,-0.38932374,1.9756558
Np,-0.38209754,0.4582128,0.5577081,-0.67082185,1.6051553,-2.1036665,-0.32485074,-1.2779698,1.1340297,1.5054767,-1.4514226,-0.6495357,1.0877842,1.3900069,2.302927,0.6195006
Pu,-0.37479725,2.0783207,-1.0304948,0.921083,1.1304882,-1.7186298,-2.0259297,-0.04444118,-0.5306614,1.236102,-1.9624578,-0.41678715,1.1705567,-0.40003872,0.13897228,0.65595895
