Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,-0.34929702,0.026180986,-0.29560858,0.81718653,0.18204819,0.13158524,-0.5855777,-1.4535874,-0.23817973,-1.1107535,-0.31948978,1.6567764,-1.0012397,0.090537295,0.9661405,0.2326937,-1.1040552,0.19780964,1.0812488,1.3941404,-1.3978199,-1.0534189,0.273238,-0.4108565,1.4285109,-0.99275184,0.98771214,1.366771,-0.49996433,-1.3150752,0.8004383,0.70594037,0.618052,1.0948431,1.9356372,-1.4945977,-0.016430119,2.49428,-1.0138756,-0.38352484,-0.33848226,0.19116023,-0.8021608,0.049053133,1.2724141,-0.15728281,1.2891363,-0.11751905,-0.39939472,0.8556641,-0.6145857,-0.8403667,0.33902088,0.20490837,-0.86500174,0.8672608,0.59505975,0.1166346,0.6623631,-0.93339145,0.47352165,-0.6056602,-0.3815099,0.4357153
Li,-0.9818204,-0.67481035,0.5326573,-0.7546473,-0.21428443,0.46426588,-0.5682469,0.23392141,0.8051083,-0.4778229,0.7734972,0.091818,0.8157674,-0.1675841,-0.58456385,0.29603428,-0.13297868,0.3351596,0.5802347,0.853725,-0.95607364,0.9958214,0.5723889,-1.796631,0.99300843,0.42790037,-0.88420445,-0.34243828,-0.12630679,-1.0080975,0.7969308,-0.9316936,-0.1764135,-0.19683684,0.63162637,0.10096915,-0.21955666,-0.0333999,0.09977859,-0.4595209,0.10605801,0.5131425,2.1869178,0.17870784,0.13714479,-1.9066042,-0.6506213,1.0362136,-1.0377657,2.9278286,-0.14745593,2.0524774,1.0187281,-0.86037487,0.04342714,0.7068032,0.8524527,0.13418612,0.86434096,-0.31069824,0.7426677,0.6594944,0.21582663,-0.9326512
Be,-1.706559,0.7414449,0.051584538,-0.25423306,0.5206294,1.7784035,0.9107052,1.485748,1.1522831,0.33959568,-1.1257062,0.76544887,-0.36835802,0.8674242,-2.5918846,-1.2971195,-0.9018573,0.96782386,-0.4263707,0.01854782,-1.2121061,-0.30615395,-1.0368577,0.06763199,0.48455727,2.3241365,-1.0186139,1.0816052,-0.22732086,-0.82714355,-0.8268444,0.987169,0.028467216,-0.23624948,-0.5037036,-1.6814663,1.0463471,-1.1038837,-0.7568025,-0.032154042,1.094774,0.7605102,1.0400375,0.25949776,1.3725076,-0.96065545,0.51526946,1.1704712,-0.27656743,-0.71147966,-0.4177302,0.9829735,0.93594784,-1.503553,-0.33707163,0.9383108,1.5163305,-1.1326039,1.230251,0.65551484,-0.43315583,-0.3152268,0.36576208,-0.39703202
B,-0.4909434,-1.8148783,-1.0889268,-0.07021242,-0.41167483,0.6267617,-1.0556948,-0.7734199,0.39594314,-0.14108002,-0.6343249,0.26846677,0.033906266,0.75603575,0.71232283,0.4013012,1.0842633,-0.6262907,0.5749454,-0.05282037,-0.3706191,-1.0793825,0.22869389,-0.94689065,-0.7961158,-0.2130125,0.36917427,-0.8501426,-0.3900917,1.0785968,-0.4620439,-0.9320502,-0.42390546,0.9369524,-0.09846012,-0.07804706,0.44309756,-0.24777962,-0.042662457,0.13441882,2.6364706,1.4897307,-0.65284747,0.40889663,0.25968543,-0.16999145,0.4905099,0.035297234,-0.121999614,-0.2644242,-0.0056313565,-0.93226933,0.58344185,-0.77406585,3.0171962,-0.13497221,-0.3401592,-1.3129861,-1.0455457,0.45388004,0.27917516,-0.68454033,0.7009167,0.17661157
C,-0.4625034,-0.7417576,-1.5349877,1.4227008,1.7740562,1.6395649,-0.5896213,0.06713812,-2.5737998,0.037720755,-0.78281975,0.0123978965,-0.14200738,0.93407977,-0.50589144,0.36845398,1.9035748,0.4950889,-0.84079033,-0.5180066,0.34140396,-0.9625096,-1.4056638,-1.0038598,0.11277735,-0.0009831436,-0.7263551,-0.015318863,-0.6810421,-1.1626176,1.7050844,1.4841844,-0.66980475,1.5674545,-0.076002024,-0.2329472,-0.4591074,0.7285847,0.10205044,-0.40034655,0.7056513,0.9733192,-0.40354693,-0.06185335,0.59795,-0.8621253,0.020351537,1.4495236,0.502336,0.099776946,-1.285157,0.47592056,0.5977771,-0.8168401,-0.61297864,0.19746533,0.18778476,0.18670772,0.4255856,-0.76297015,0.035182897,0.19513899,0.11014866,-0.17472516
N,-1.5456012,-0.023896193,0.69991726,0.53512126,-0.103240475,1.1599499,0.3990924,1.7309617,0.5441279,0.8715455,-1.9189354,0.07229014,0.7492132,-0.3529021,-0.08360781,1.0097079,-1.1253986,0.23834914,-0.48680547,-0.65773666,0.23369603,0.008186023,0.62641615,-0.6145658,0.124255024,0.26368007,-0.37017426,0.23589416,0.084747866,-0.044575077,0.16008843,-0.58718926,-0.24505237,1.0673604,-0.51419264,1.1838245,1.3543324,0.33169702,2.4726756,-0.678762,-0.14050311,-0.015549664,-0.8499098,0.096525766,0.86045635,-0.6344298,0.87068874,-0.5270877,-0.46502262,0.99480045,-0.7827168,-1.9494756,-1.265908,-0.7092092,-0.38420537,1.7020217,-1.0178026,1.1780618,0.36048034,0.2994217,-0.40737382,0.558839,-0.18024145,0.5611645
O,-0.38787693,-0.37558433,0.70750934,-0.4652898,-0.30333924,0.89934015,-0.09637409,0.25216553,-1.1864517,0.49472007,-0.85842276,-0.116047345,0.60067034,-0.23114735,0.30336273,0.30736896,-1.5286329,0.5442121,-1.5538882,0.4133606,-0.025669465,-0.2802924,0.59254956,-2.1211915,1.7215506,1.0742031,0.41218996,-1.657274,-0.13839464,1.4475616,-0.4894009,-0.8479997,-0.35266337,0.42335844,-0.9567795,-2.2191117,-0.19380018,0.3896439,-0.35029116,-0.7581194,0.10433169,-0.70768595,-1.9845666,0.05828577,0.70536405,-0.050765723,1.4854032,-0.3188179,0.36797696,-0.42955905,1.5854554,-0.3982364,0.7973162,0.21362852,-1.1784023,0.15844466,0.18705527,0.7994029,0.34291056,-1.4740345,-0.03130346,1.4619923,-0.15367708,1.0169897
F,-0.13138802,-0.1117411,-1.936595,0.16414101,0.3346272,1.4629906,1.5752869,-0.45127824,1.1705041,0.8354071,-0.26518166,0.28540906,0.71686375,-0.06536877,0.6459201,-0.57799363,-0.87178624,-0.5612284,0.21133791,-0.9413137,0.82877225,-0.9318891,-0.08715647,-0.69454443,0.7782821,-0.015022571,0.3599726,-1.1236502,0.8171295,1.1939691,-1.1323048,-2.067711,0.11207692,-0.09689295,-1.2447681,-2.60097,-0.07654358,3.1632805,-0.97245836,-1.1860728,-1.0198923,0.21215728,0.11125944,-0.52307194,0.015632361,1.796829,0.88352853,0.8318946,0.25298247,0.29538605,1.5181665,0.014473974,0.3806778,0.14339036,0.90552235,0.3772405,1.2340745,0.186662,1.4783949,0.45587912,0.6581931,-0.8765663,-1.9500098,1.2303146
Na,-0.42179707,0.19646698,0.6632046,-1.5248914,0.1731623,-0.38421094,-0.6858744,0.13071431,1.7270558,0.30520144,-1.6025274,1.4477847,-0.33921355,-0.61574084,-0.23136614,1.2872763,0.28726026,0.8702946,1.0524251,-0.4929491,-0.032825615,0.957698,0.033863433,0.3276333,-0.39246002,1.1995206,-2.5619783,-0.40705642,-0.5050038,0.46923846,0.4858556,0.9525817,0.7490572,-0.44697094,2.2112916,0.022004606,0.80474454,-1.6357062,-0.03424701,0.33832183,-1.1647142,-0.30876353,2.0319102,-0.31174016,-1.9122206,-1.1807758,-1.298845,0.13556908,-0.14099544,0.6106705,0.6176906,0.30626372,0.23758405,0.34230784,-0.22006276,0.73236847,1.2251172,-0.0651173,0.99434257,-1.4359599,1.8279848,-0.5401381,1.4354103,0.20481169
Mg,-1.2949278,-0.12741257,-0.40502962,1.1033789,-0.9279574,-0.52859825,1.902459,-0.8066416,1.2478352,-0.1569154,0.9233937,-0.1892247,-0.1084678,0.37514603,-0.4551358,-0.2976999,-0.062006492,0.461403,0.21106635,0.07550485,0.01644411,-0.49246338,-0.28965256,-0.107371345,-0.36133572,0.7964263,-0.52886075,0.85818845,0.08259856,-0.34608987,0.3205324,-1.416221,0.32320657,-0.21173015,0.58120614,0.18179506,0.8009131,0.2550012,-1.4093521,0.107742704,0.4515356,0.32194698,1.2951503,-0.24343027,0.17089146,-0.31591398,-1.6512035,0.62377644,-0.3009623,-0.7109212,-1.1898925,-0.07321588,0.12910688,-0.042335466,1.0138832,0.8943565,0.05556972,0.8524444,-0.40896934,-1.6665139,-0.18876699,2.3403206,0.33533046,-1.6252005
