Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,0.16917083,1.0694289,-0.720464,0.36586088,-0.8533002,0.27382815,1.0117407,1.5316381
Li,-1.5146445,-0.99871707,0.49154815,0.27937126,-0.164781,-0.69271857,-0.990248,-0.8467706
Be,-0.27844182,0.9459292,0.8164513,1.0473092,0.11120128,0.26461506,-0.5770581,1.7968299
B,0.69672847,2.0895875,0.3753634,-0.23326802,0.38992593,-0.72387624,0.21763152,1.2951761
C,1.2112201,2.8174717,-0.97278833,0.60844654,-0.55216473,-0.9492011,2.1540892,-0.5813026
N,0.28754702,-0.33570108,0.8377659,0.46706438,-0.426223,1.1659111,2.3097255,-1.4636781
O,1.707366,-0.4536258,-1.2882428,-0.8846674,0.94778275,-0.5618048,0.5759649,0.62067366
F,-0.23941532,-1.5144942,-0.7014978,-1.9043002,-0.032983027,-0.27593353,-0.7709315,1.3476087
Na,-1.8611162,0.69971323,-0.6978121,0.8043273,1.484877,-0.34870803,0.49245447,0.12602389
Mg,1.0073931,0.13585931,0.8717206,3.340776,0.5002244,1.278131,-0.22215222,0.059400078
Al,0.46486714,-0.1476865,0.903461,-0.13266996,0.82838017,0.2223776,-0.46974245,0.92935914
Si,-0.6109215,0.83334124,0.56850994,-0.91138345,0.39012128,-1.7081178,0.9960642,1.7753497
P,0.6638203,0.14028487,-0.5782943,1.1376339,0.5241589,-1.3404146,-0.2852053,0.97385895
S,0.5558311,-0.7729197,0.017112032,-1.8030952,-0.5929916,-0.80372727,0.83848745,-0.44411212
Cl,-1.0640383,-2.5627894,-0.7137907,0.93857163,0.14723751,-0.51222825,0.13778992,0.63239545
K,-0.8343571,-0.08234609,-0.48136136,0.51265186,0.9611143,-0.020449702,-0.21515663,-0.54943883
Ca,-0.61765987,0.7735066,-0.14846185,-1.9145567,-0.6734062,0.3235706,-0.90743816,1.0572375
Sc,1.7592872,-1.0117563,0.09906083,0.78814346,2.106818,2.0364301,-1.012281,0.00042764115
Ti,-0.36057028,0.9715423,-1.899416,1.6144663,0.23425427,-0.17239511,-1.4188706,0.7516152
V,-1.127343,0.8381493,0.9018525,-2.308245,1.8261418,0.5371722,2.4728284,0.50779736
Cr,-1.9901601,-1.9003584,1.214228,1.3241282,0.22101659,1.4319917,-0.93771344,-1.8124306
Mn,-1.7993392,1.1270452,1.4443816,0.2996994,-1.3930584,0.2053887,0.13315582,0.89807135
Fe,0.452855,2.0667741,-1.3277179,1.4614618,-1.6115327,0.26080307,-0.32833895,-0.39102218
Co,-1.2381117,0.45501328,0.6756561,0.562943,-2.3433926,0.4403694,-0.08251063,0.0060355584
Ni,-0.1407896,-0.4247069,-0.5496379,0.77365494,-0.54423493,-0.57707244,0.3337727,-1.6944113
Cu,0.6916196,0.21039042,-0.8951578,0.45774555,1.1809813,0.41952708,1.2626821,-2.2507887
Zn,0.20259814,-1.2662958,0.6220721,1.8875532,0.32690218,0.6504503,0.1494718,-0.34532452
Ga,-0.06620512,-0.19250642,1.9014213,-0.61607903,-0.8850544,-0.22599016,-0.53569883,0.025748068
Ge,0.49289083,-0.15506604,1.5725915,-0.6655314,0.33722904,-1.1496129,0.30039,-0.60723877
As,0.5962913,-0.26141357,0.9654863,-0.77469206,0.0058534634,-0.87114376,0.87277925,-0.33841506
Se,-0.1295739,-0.63977623,-0.31684476,-0.22934711,-0.8730104,-0.07014133,1.5979226,0.6817117
Br,0.15955232,-1.4703724,-0.6841397,0.35664472,0.019705301,1.0931695,0.67006046,0.3831288
Rb,-0.80734265,0.008003104,-0.5305984,0.40409607,0.47955075,0.7808635,-0.310934,-0.26123455
Sr,0.1153543,0.9345619,-1.2911942,-1.403242,-0.5968259,0.4383293,-0.7772671,0.12307609
Y,0.68896425,-0.8691217,0.8471988,-0.44763812,0.20632413,0.69400126,-1.9873959,0.37433898
Zr,-0.9291908,1.8303273,0.10042902,-1.0107756,0.17357266,-1.1645504,-1.2990818,0.6951833
Nb,0.29727006,1.481401,-1.0953314,1.3539646,0.52120787,0.16196078,-0.8874438,-0.2213593
Mo,-1.5973653,0.6120724,2.2564392,-0.63277036,0.46592838,-0.5128113,1.3578074,-1.0055631
Tc,-0.33088258,0.90063566,0.9041954,2.6429453,-0.092613116,-0.56525147,0.5112116,-0.7086979
Ru,-0.37928453,-0.14284182,1.4186125,0.9493664,-1.1314814,0.0012341855,0.26918954,-0.71722746
Rh,0.8930575,0.43998748,-0.14509146,0.7512187,0.5823102,0.5921926,1.4133558,0.082365364
