Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,1.8615271,1.5650259,1.0341272,-1.9953666,0.95843494,-1.2712767,0.20496632,-1.3125961,-1.0379566,1.7120665,-0.48190314,-1.3855724,-0.5776824,-0.737879,-0.8234619,0.9395657,1.352138,0.040236127,-0.670146,0.4272977,-1.0194497,1.0638211,0.8462388,1.6459453,1.0886042,1.4659996,0.6213174,1.0195705,-0.26877126,0.018390309,-0.25872213,0.7666166
Li,1.1958115,0.9383463,1.6861641,0.6330066,0.45703527,-0.33835688,-1.0070091,1.0038466,-0.07620465,0.63924307,-0.03866096,0.3007407,0.55195075,-0.74104583,-2.1385722,-0.44793144,-0.1111425,-0.20833127,-1.2859893,-0.62470055,0.41947758,0.47345197,1.2029482,0.3852497,0.22098711,-0.35927254,-1.0596234,0.43151772,-1.3996664,-1.2125804,1.4990131,0.38770354
Be,-2.5996835,0.7758521,0.9244747,-0.40594384,0.98471403,-0.028577544,1.2102503,0.54626,-0.5422494,1.3262588,-0.26357397,-0.063876666,-0.24967366,0.9237865,-0.25787663,0.20198312,-2.0140827,0.63583606,-1.0172726,0.3400089,0.16082053,0.45320755,-0.03105187,0.9626881,0.07257514,1.0263466,-0.12916528,0.65065867,1.0105671,-1.0342542,1.3009815,0.6886883
B,0.48566622,1.166563,-1.7539809,-0.7672882,0.08461664,1.3254257,0.4394891,0.6614475,0.39403847,0.37494746,-1.9956489,0.80635095,-0.39088732,0.88813365,-1.0975226,1.1229227,-1.1240613,1.6086905,1.2768699,1.127542,0.22613911,-0.034857154,-0.63055235,0.062292863,0.7559388,1.2639111,-0.1509714,0.87860984,-2.178445,-0.6577912,-0.8931325,0.8131766
C,-1.6940701,0.5490338,-0.2312078,-0.24465239,-0.010190162,-0.99696887,0.13800345,-1.228965,-1.5711563,1.5224751,1.1882749,-0.024991311,-1.3900799,0.41813073,0.15520138,1.7737335,-0.034609303,0.12527357,-0.9248823,0.13843837,-1.0959883,-1.5302138,-1.1245644,-0.28465933,-0.510167,-1.3291031,-1.7785146,0.4128405,1.4314297,-0.8769183,0.79001373,0.7770071
N,1.9451615,-0.7040121,0.81188804,-0.9800506,-1.5099804,0.043712158,0.81607646,1.9360752,1.1960833,2.193948,-0.7929891,-1.5061618,-0.42138302,0.9112325,1.2990153,-0.26623565,-0.96955514,-0.9102318,-1.0027775,-0.912698,-0.3746575,-0.0672703,0.34903145,-1.7665915,-0.30217382,0.8465547,-1.1554785,2.2846787,0.6871305,-0.7980092,1.5364512,2.236257
O,0.18178466,1.5325062,0.17969552,-0.855169,-0.5556464,0.23917606,0.28866252,1.8896435,0.2538831,-0.59245217,-1.9209812,-1.0425242,-0.27600446,0.31610185,0.22475484,0.2514556,-1.044525,0.12568809,-0.46032777,0.08841208,-0.84283155,-0.22430977,0.08716421,1.1176076,0.9524744,-0.48352757,0.7986243,0.5853363,0.38652283,0.3830763,0.57663447,0.19877306
F,-0.62243855,1.1869698,-1.7777334,-1.4568905,-1.7386045,-0.005061939,-0.057476275,0.86326647,-1.3579601,-0.024499377,0.18421061,-0.2884977,0.62273824,0.20842129,-2.253828,-0.15885162,-1.4809697,0.8944654,-2.472522,-0.42629394,-0.5218478,-1.2117627,1.3230529,0.524065,1.2039602,1.667437,1.1361425,1.0031925,0.84137577,0.5602206,0.59327585,0.23483725
Na,0.4119592,-0.6529969,0.9758043,-1.1336203,0.3481684,0.26406696,-0.09666152,0.17179394,0.5885458,0.5610482,-1.6757509,-0.85273886,0.3768305,0.16898257,-0.3532495,0.06441724,0.81658983,0.3743057,0.60108274,-0.67149264,0.61306655,-0.5931504,-0.21730402,0.07046172,0.570789,1.3099644,0.102501005,0.9651658,0.66124785,-0.8301294,-0.26930046,-0.33327702
Mg,-0.8668736,0.6101379,0.08276858,-0.99551105,-0.2043068,-1.5390819,-0.48349252,2.0261264,1.7651798,1.5126216,-0.095015466,-0.37486303,-1.6202879,-0.5493101,-0.34949672,1.907288,-0.20356303,0.37431616,1.9341085,0.6044002,0.060116716,0.66530526,-0.025385227,0.80349517,-0.19091521,-1.440753,-1.219453,0.26670343,-0.27601606,0.39185596,-0.11770976,-0.12685207
