Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,1.6798607,1.7642441,0.59609354,-2.4219317,0.95497686,-1.4119414,-0.60205525,-1.5533793,-0.6417001,1.640472,-0.6059526,-0.9614607,-1.0432388,-0.82773894,-0.8974448,1.1465768,1.5249664,-0.31310737,-0.33264503,0.33893675,-0.4820936,0.8308934,1.150047,1.3762387,1.0090042,1.6558539,0.80232877,1.4449232,-0.050817776,0.2522746,0.26716623,0.62556213,-1.2702914,-1.0445613,-0.35208285,1.9413296,-0.03954625,-0.67292124,0.11051899,-0.94089895,-1.3400031,1.5513363,-0.63061863,-0.3134768,-1.5295968,1.748382,-0.7303279,-0.5191592,-0.7301181,-0.5445952,0.32497993,0.7213707,-0.5653489,0.64933616,-1.0111818,-0.66364706,-1.0508674,-0.23232138,0.21020281,0.99146366,-0.27583537,2.2613554,-0.871182,1.4118539
Li,1.6929715,1.2179846,-1.197405,-1.019052,0.10974099,1.5495945,0.4450688,0.34446335,1.0074004,0.3434715,-1.4728171,0.82329273,-0.57805556,0.70150036,-0.85902506,0.7509238,-0.7587703,0.6211864,1.6677177,1.5347762,0.3787806,-0.3790699,-0.72202826,-0.04046733,0.23866194,1.2270555,-0.41287455,1.708635,-1.8732255,-0.1526562,-1.0160418,0.83402944,-1.3220347,0.039791286,-0.08437865,-0.06631657,0.038568918,-0.72455937,0.08418728,-1.1225946,-1.6289847,1.4075245,1.2624933,0.31721562,-1.4042116,0.7455777,0.80597436,1.3550457,0.2552996,0.23892276,-0.34516585,0.08416909,-0.77829665,-1.4306154,-1.3495327,-0.14530924,-0.1844329,-1.6068949,-1.1972946,0.38165173,0.76184076,-0.43731153,0.4897033,0.7323908
Be,1.9469297,-0.6412494,0.46268976,-0.8527294,-1.6334751,-0.018285573,1.1674649,1.1963985,1.1657232,2.7537136,-0.927994,-0.51258236,-0.61424077,1.0148317,1.0536782,1.0119809,-0.3837377,-1.4866886,0.03134176,0.2548535,1.0856837,-0.20295124,-0.7214432,-2.5530722,-0.7124561,1.0661966,-1.7612255,2.1447709,0.6712073,0.65097725,1.6548156,2.298437,0.5199469,1.5432434,-0.6162259,-0.38981262,-1.2303776,-0.398296,-0.08757343,1.323292,0.16714649,-1.3684416,-1.629503,-0.34067735,-0.367488,1.4726715,0.9600595,0.8291883,-0.4153865,-0.05509197,-0.23607357,0.7609391,-1.537088,-0.60167986,-1.261375,1.6922175,1.6714693,-1.7284704,2.0670662,0.5113144,0.6525935,0.1298151,1.1369278,0.514742
B,-0.6110102,0.5399527,-1.5940591,-1.7642732,-1.459096,0.14098915,-0.04419358,0.89177895,-1.5790473,-0.13081306,0.6177679,0.2379866,1.0709847,0.14520328,-2.144716,0.34657046,-1.3635461,0.5424373,-1.7760998,0.24128546,0.14071473,-0.60514814,1.8062462,-0.019137267,0.93790776,1.9467316,0.73364013,1.0920782,0.6175441,1.0555847,0.6357391,0.31491747,1.0788114,-1.0441414,-0.6838883,-0.30653846,-0.5021699,-0.39772666,-0.7225056,-0.23083173,1.7177466,0.265571,0.82655126,0.8624021,0.13156685,0.146707,1.396358,0.61069137,0.5002512,-0.72991127,0.7602612,-0.70403796,0.5331916,0.94105524,-2.2857685,-1.0123284,0.35820654,-2.1350708,0.02773732,-0.8807801,-0.75802094,-0.0033067698,1.4002556,-0.6805933
C,0.20576914,-0.63520366,1.0208656,-1.154311,0.13328902,0.48589206,0.2944452,0.2836856,0.4897789,0.8525337,-1.2529079,-0.27939978,0.44132188,0.31164092,-0.3590774,-0.026095293,0.9810647,0.09966829,0.7448117,-0.18287387,0.28405422,-0.918963,-0.43609452,0.320928,0.38596538,1.7125925,0.0052190046,0.88805693,0.87182236,-0.57371473,-0.70948124,-0.23999125,-0.48404175,0.2865128,0.03253521,-1.2782837,-0.06215676,-0.71350443,-0.61558115,1.8889918,2.0376415,1.6528379,0.16147402,-0.31844476,-1.7680292,-0.52007633,-0.22680175,1.4974958,-0.42725465,-0.3316413,1.9384915,1.5960468,0.25414744,0.6040102,-0.13193204,0.58983153,-0.106249645,-0.95442927,-1.1954712,0.5121827,-0.6011247,0.44449598,-0.17676726,-0.3978513
N,0.3931287,-0.011107317,-0.40383932,0.030606506,1.605253,-1.2686936,-0.32832542,0.13624832,-1.2345697,-2.4783928,-0.0951507,0.8971005,0.6727306,-0.5619263,-1.0391399,1.1533436,0.20038906,-1.2280308,-0.9135803,-0.37546107,1.2318139,-0.41236806,0.11332582,-0.15377815,0.67463404,-1.5105124,1.0982113,0.68034774,0.1987826,-0.14378628,0.12931728,0.58930916,0.73984647,-1.2348272,-0.8105617,0.6914435,-0.5126365,-0.9121646,-0.22415434,-1.6355294,-0.27121407,-0.75994265,0.47375953,0.52719307,0.9634805,-0.24876629,-0.17710191,0.42811555,0.1166575,1.2727003,-0.18218467,1.4023491,1.0633914,-0.20454374,0.5806175,0.98820853,1.0372689,-1.5395243,0.17680398,-0.48564863,0.19846344,1.4346188,0.46282488,-0.4144884
O,-1.1931739,0.48024118,-1.0083388,0.14134835,-0.33681375,-0.7685395,-0.42346388,0.21166772,1.11309,-0.28586087,-0.26768962,0.01544732,0.12945743,-0.8998368,-1.0880654,1.0875589,0.91676956,-0.43924385,0.07395452,0.10356469,0.25172687,0.96405935,-1.1923606,-1.4197242,-0.6291141,0.13598387,0.19300282,-0.4811432,2.6791856,1.7291678,1.670839,-0.7311777,1.3970401,0.6707579,-0.38008657,-0.5087992,-0.3841771,-0.69801027,-1.4170669,-0.52546597,-0.33331105,-0.33576396,-0.41869584,-0.9288776,-0.32035333,-0.060591385,0.18594143,-0.04582827,1.1996247,-0.14529297,0.5052817,0.18849157,-0.370448,-0.4347159,-1.2288004,2.078116,-0.5250471,-2.4735672,0.6401012,0.5643394,0.6562488,0.0355723,-0.16481844,0.46318844
F,-1.1911887,0.41842863,-0.38572785,-0.01283239,1.7614384,-0.010357268,-0.8728841,-0.8566001,0.45625722,-0.37003985,-0.08577528,-0.39428535,-1.9218332,-0.18516849,-2.0506256,-0.15308426,1.4809686,-1.1482536,0.5025012,0.5329689,0.62585264,-2.5405433,-1.4349532,-1.286729,0.392163,-0.022643019,1.1880869,-0.04982407,0.8520746,0.80547094,1.3493685,-1.1794053,-1.775705,-0.2296874,-1.3405669,1.2703862,-0.601644,-1.0169038,-0.16346368,1.4094243,1.3950611,-1.1291085,1.0698466,1.7616018,-2.049782,-0.17919116,-0.5391397,-0.35436344,1.8724197,2.7275918,0.40579066,0.59905314,-0.048500977,-0.6239718,0.18622835,-0.10971825,0.22007689,0.24492535,1.3009546,0.30263695,0.6816565,-0.29778793,-0.47518653,0.69285905
Na,-0.89220214,0.12259675,1.8318329,-0.11254327,0.03533478,-0.37779015,-1.0722786,0.40278023,0.6249421,0.32271174,-0.99691415,1.6609386,-0.15543522,0.003981592,-0.9823653,-0.54123247,-0.38165733,-0.46517828,0.20543018,-1.6428453,0.29652715,0.69554234,-0.2966598,-0.3702749,-0.7300164,0.20897043,-1.1657065,0.49205983,-0.50619423,0.8102574,-0.096877754,-1.0114326,2.0960448,-1.176066,0.10179948,-0.99579614,-0.48270562,0.76850635,0.31161135,-0.59290653,-2.7974293,-0.663611,0.47242436,-1.2407804,0.8868649,-0.08855011,0.62558395,0.66872346,0.22002114,1.0595536,0.35918996,2.8365757,0.2484857,-0.2332252,-0.46556127,1.8128524,0.009261235,-0.6325405,1.5189935,-0.48617262,-1.4506677,2.2060897,1.4027152,0.6987878
Mg,0.16344962,0.5705456,1.3895595,1.0135732,0.037951935,1.1929455,-0.4378592,-0.7392417,-1.1173263,0.05357879,-0.40303692,-0.7571037,-0.3721489,0.47059363,0.6864717,1.3410718,0.7551304,-0.03094803,1.1158451,1.9521009,0.855602,0.17503594,-0.088448435,0.2920731,-0.06907772,1.635869,-1.2115234,0.3081505,0.45766243,-0.9710731,-1.1250373,0.00076566363,0.16303329,-0.19482988,0.81456494,1.2009075,0.06986784,0.800834,-0.65129834,-1.1289599,0.27853477,0.4819993,-1.1330805,1.9504484,1.6329972,-0.5981605,-0.83086574,-1.9759829,0.08048637,-0.7895255,-1.2059242,0.3812604,0.97530687,-0.064218216,-0.6006255,2.7174318,0.9068441,0.514944,1.8182316,0.52877307,-0.0008723631,-1.3517009,-0.41765207,0.5401271
