Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,1.70128,0.38850954,-0.47146377,1.1239153,0.622932,1.597519,0.48179582,0.08519212,0.45643204,-0.7121857,-1.9942361,-1.1190382,-0.73993886,-0.76253366,0.09211707,-1.3458531
Li,1.1707877,-0.43012044,-0.9718542,0.22825111,1.58647,-0.28047162,-2.240365,0.18417868,0.6871998,0.10551885,-0.510686,-2.1140068,1.1534011,-0.15492432,0.16872118,0.75051326
Be,-0.31505206,-0.84179443,-3.0943148,2.9185638,-0.110261366,-2.0066347,-0.19514439,-0.22437306,-0.37634715,-0.2475922,-0.5260961,-1.6188238,-1.521557,-0.58171386,0.63849646,-0.64828026
B,1.0224603,0.39667067,0.06969556,0.9881021,0.7351021,-0.22896153,-0.9145919,0.082087085,-0.22713485,0.57428336,0.050617013,-0.45677376,0.48718798,-0.8259925,1.928445,-0.9787158
C,0.7726096,-0.17662953,0.33649534,-1.2725096,-0.05975936,-0.72994787,0.5218814,0.098751135,0.91831684,-0.06626603,1.0603015,-1.4345332,0.47093403,-0.18687502,0.95110834,0.061124977
N,0.33418718,1.0295331,0.07632504,1.3390082,0.5675572,1.2779324,0.5255822,0.12554972,-0.5419941,0.9113663,0.33080393,0.8401539,-0.89846003,-2.6532836,0.499088,-1.0678159
O,1.1651838,-0.55750847,-1.787996,0.71623343,0.88295406,0.07142897,0.85669786,-0.86978006,-0.12271461,0.4813051,-0.13858598,0.022851605,0.049185157,-2.2287626,-0.63964754,-1.3218153
F,0.4578129,-0.48233092,-0.93839335,-0.039309394,2.903032,-0.21500751,1.7577099,-1.94129,-0.38295093,-0.082146,1.9718952,-1.5972484,1.2515656,0.047094513,0.16480948,-0.26880568
Na,0.7086848,-2.1678028,-0.08569144,1.2500917,-0.20403959,-0.33394498,-0.6891715,-0.28958568,-1.1206641,0.106289476,1.3205835,-0.8970516,-0.27512237,-0.28387704,-0.1327096,-1.6461444
Mg,0.2937759,0.3427098,-0.6875284,0.36970973,0.9992622,-0.611693,-0.109789886,0.15155548,-1.2844399,-0.2613198,-0.26902714,0.79403603,0.16064398,-0.13097441,1.0856434,0.8693359
Al,1.4480683,1.1508716,-0.11116473,0.4190133,0.17360424,-0.91961354,-0.39073184,0.7084989,1.4178195,-0.9282418,0.48039028,-1.1780453,0.5931517,-0.31952345,-0.37760007,0.11153404
Si,-1.3604243,0.74126214,-0.9406022,0.32926556,0.34206906,0.72156185,-0.63008165,-1.3643022,-0.60608697,-0.887964,-0.8640764,-0.63272995,-0.88291836,-1.5311143,0.76705736,1.0830896
P,-0.65410405,-0.14565615,-0.35728177,0.40743795,-0.41509193,-0.49685633,1.9169626,0.94977427,-2.08902,0.5670976,-1.2558204,0.4041558,-1.2102748,-0.4659445,-0.43893614,-0.52879804
S,1.3139764,1.4098829,0.11391586,-0.6870822,0.6090587,0.92450845,0.46804407,-0.8660163,-0.074936286,-0.5071665,-0.18068773,-1.3205991,0.54528767,0.32392156,-0.0021262635,2.6731308
Cl,1.208781,0.63454247,-0.69367456,0.29453126,0.16675816,-0.06997949,0.9719818,-0.6554401,-2.352697,2.023014,0.33457047,-0.83326477,0.9604152,-0.50085425,0.648681,0.027820727
K,-0.5787145,-1.182016,-0.5109854,-0.093722664,1.4784977,-1.0984359,-0.56445956,-0.16487432,-0.76712173,0.6785766,0.48813206,-0.33784294,-0.03293698,-0.39692575,-0.028062694,0.6040217
Ca,-0.16551806,-0.3090394,1.2009941,-0.48263812,1.329116,0.06725714,0.45388672,-0.7051561,-0.21927494,0.14988625,-0.09167206,0.3115766,0.53716296,-0.3071153,1.1656296,-0.8182374
Sc,-0.6623861,0.7549803,-1.1728969,1.6583884,0.28467357,0.47155866,-1.0002358,2.4291904,0.8314578,0.39055184,-0.91155,0.25264165,0.070257545,-0.2569579,0.16754378,-0.5944234
Ti,0.8653207,-0.3432744,1.1052344,-2.1878016,-0.06034825,-0.52794343,-0.9910878,0.39625788,-2.0570395,-1.4712653,0.7092787,0.08188893,0.79536,-0.639071,0.90148777,0.34334505
V,-1.5962541,0.19370547,0.8332553,0.06493583,-0.29104334,0.36623937,-0.22522965,-1.5697149,0.70554256,-1.2786056,-0.98915076,0.7634498,-0.9084525,0.18321198,-0.9495319,0.71742195
Cr,-0.50759315,-1.5561751,0.29568753,0.42938468,-0.69320446,0.88674396,-0.34742904,-2.1838315,0.28985992,-2.1387687,-0.07057526,-0.4453444,-0.69512403,0.7155771,-0.59749335,-0.6624885
Mn,-1.2342823,0.63124645,0.23152646,-1.0623947,-0.073279366,0.06556313,-1.4523946,0.7516882,1.0567677,-0.65256625,1.0380143,0.7905719,-0.656985,-1.3556532,-0.7776861,0.45159593
Fe,-0.33314174,0.21101402,-0.5940046,0.030732801,-0.7445893,-0.97152895,-0.38769528,0.5728698,1.9574969,-0.9776296,-1.6218506,0.34824526,0.99527967,-0.47593844,0.3166577,0.22382502
Co,-1.3137712,-0.69032615,-0.00913508,0.04865554,0.02120368,-0.6283737,-1.084634,0.7346189,2.0718846,0.29599586,-0.13207923,0.25045118,-0.05249892,1.2138321,0.26811838,0.22919992
Ni,-0.262531,-0.4379831,-0.40938833,0.35271603,-0.29501683,-0.13955538,-0.49919796,-0.11311905,1.5714899,-0.7838219,1.1094699,0.76402944,-1.2730862,0.3797595,1.6335114,-1.4201925
Cu,-1.0389104,-0.11563892,1.5219687,-0.23836714,-2.132881,-0.26997775,-0.12763104,0.035038505,-0.91402733,0.32972574,1.9745424,1.3633235,-0.028588355,-0.2754982,1.2349153,-0.28938565
Zn,0.4973444,-0.3704211,-0.24094747,0.06711732,-0.020006584,0.6493718,-0.13123748,-1.3398541,0.50993276,0.92191416,-1.0690938,0.53592896,0.22145686,-0.16220671,0.5767976,0.88280797
Ga,0.11658214,-1.3590267,0.31217095,-1.9256432,1.5981508,0.86641127,-1.1297998,0.6270801,1.1314497,-0.52357703,0.49026904,-2.3880258,-1.3805256,-2.1104374,-0.8288438,0.9519577
Ge,2.1776326,-0.6643845,-1.5128888,-0.8766238,0.5776027,0.9340503,-1.4256823,-0.6043678,0.18417844,-0.86394536,0.019199705,1.140536,-0.43652645,0.14180984,0.5146117,0.7084967
As,-0.3379761,0.70324475,0.3641882,0.472102,0.50328636,-0.45413327,-1.340438,-1.0193859,-2.0277405,-0.6173449,-0.5940285,0.55014354,0.4991313,-0.5567723,-1.3766534,0.06405187
Se,0.8770997,1.2640541,-2.1046963,-0.036069974,-0.33411616,0.083760634,1.0378128,0.41879848,-0.9942293,-0.51232594,0.8621185,1.1233544,1.2084489,-0.9667933,1.4066954,1.0865982
Br,0.15860756,0.8877398,-1.1211734,-1.383481,-0.3605506,-0.15026589,1.3370724,-1.5380731,-0.76247674,0.19753727,-0.20157363,-0.6304459,0.3982972,-0.44042808,-1.2473692,-0.7319919
Rb,1.6825438,-0.883442,-1.3511981,0.66872096,-0.108487986,0.16820832,0.23881684,-0.043170393,0.78933716,2.1188436,1.0045443,-0.42523214,-0.3959257,0.52182335,0.42748547,1.3672283
Sr,1.1499779,0.38394412,0.4269,0.34335712,-0.72047126,-0.8314835,0.05376714,-1.5293479,0.9938347,1.4536608,0.2524764,-0.34592664,0.95947814,-0.0562301,0.82433516,-0.5127238
Y,-2.00349,0.9061834,1.6705103,0.12921609,2.2910366,0.3970739,0.46560594,2.277196,1.2162434,1.0485874,0.5818238,-1.1734291,0.52725154,0.32100406,-0.82214004,-0.5992478
