Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,0.023584777,1.3901701,1.5889931,0.3160743,-1.2824945,-0.8282808,-0.11665584,-0.06703607
Li,0.7716479,-0.8527401,2.1708236,-0.99126995,-0.59332764,-0.42474857,-0.8561237,0.16555572
Be,-1.0155826,0.8490608,2.239862,-2.3466973,-1.6904955,0.7641455,-1.3667269,-0.9915895
B,-0.6597404,0.2706717,-1.122682,-0.63812447,0.8787196,-1.508875,-1.9147774,1.445655
C,-0.49919754,1.8945096,0.29856038,-1.0537645,0.21739447,0.5520162,1.037589,-0.7469202
N,-0.9592019,-0.26271492,0.51440763,0.6381166,1.2708763,-0.2476021,-0.31589067,0.22185794
O,-0.7104361,0.24729037,0.11523333,1.0230503,2.067565,-1.2076237,-1.2025173,0.5589294
F,0.07142121,2.6445487,1.8186138,0.5629045,-1.0563014,0.016809335,1.1881082,1.883919
Na,-0.3237446,-0.95616853,1.1692376,-0.77760744,-1.4022274,-0.75043404,-0.59013885,-0.37600264
Mg,-0.3772412,0.88476646,-0.098977245,-1.071349,-0.9393844,-0.64424264,0.20287256,-0.15320052
Al,-1.585477,1.8608956,-0.46442643,0.005637051,0.12062968,0.4093488,-0.8508715,0.37913513
Si,-1.5079774,2.6840873,-0.63219666,-0.108647145,-0.7180876,-0.24300754,-1.647005,1.889922
P,0.05198959,0.7168798,2.228273,-0.45425218,0.39247587,0.4943137,0.021283971,-1.176161
S,0.7474073,1.3174357,0.95789206,-0.0767751,-0.728347,-2.0338168,-1.2232598,1.1206797
Cl,-0.3616041,0.011862815,2.6421316,0.10401772,0.48242062,-0.7386798,-0.17044419,1.7236421
K,-0.8080261,-0.29570654,0.7733399,-1.275135,-0.7655505,-1.8212368,0.21805803,-0.21328028
Ca,-1.3856224,0.6952378,1.1025798,-0.75593674,-0.6007577,0.7318952,-1.1590524,-0.71025604
Sc,0.7655398,0.6338853,-0.8040707,-2.149223,0.010691514,-1.5095092,0.8127716,-0.821265
Ti,0.121071175,-0.31986117,-0.8699997,-0.79230255,-0.17435236,1.1976507,0.106766105,1.0801398
V,-0.45895502,-0.9969295,-1.8368092,0.09867471,-0.3454142,0.8783458,-1.2026522,-0.9861285
Cr,0.26893657,1.282282,-0.719202,-0.34048882,-0.0065926234,0.968873,-0.13213754,-2.8918674
Mn,-0.802637,-0.084840804,0.8001065,-0.65589225,0.44420922,1.8384736,1.2307897,0.047929443
Fe,-0.40838304,-0.41645515,-1.0996071,-0.966176,-0.093455814,0.4481741,0.78760576,-1.6096812
Co,1.2298489,0.5539409,-0.20636223,0.062940136,0.88911295,0.23904252,1.8940406,-0.77114034
Ni,0.7003113,-0.35821813,0.087663986,-1.5017514,0.31771132,-0.44930443,1.9508108,0.07118646
Cu,0.60713834,-0.688862,0.18689233,1.88989,1.8525666,-0.28918293,1.1017587,-0.020874957
Zn,1.6055778,0.4963469,-0.61915106,-0.1885078,-0.27438614,-0.6747342,-1.1080202,-0.2517864
Ga,2.0365665,1.0554566,-0.05232662,-0.49958295,-0.35120264,-0.9909243,1.8863094,1.2347567
Ge,1.1335411,0.252064,0.6844262,0.024057822,-0.24121964,-0.05373513,-0.080316864,-0.87154293
As,-0.67426324,0.06367369,-0.39148048,1.2997355,0.6826173,0.32683596,-1.4015298,0.23104036
Se,-0.64014816,0.30293906,-0.5315783,0.44732603,1.2373852,-0.96462667,0.6728183,-0.33321667
Br,-2.2738085,0.19564459,0.95721906,-0.21665165,1.3174969,-0.6002948,0.9681737,1.164921
Rb,-0.27483678,0.68252987,-0.64844775,-0.19496599,-1.7099986,-2.417902,0.46275613,-0.07232121
Sr,-1.8568574,-0.26009515,1.116889,-0.9136217,-0.03948834,0.70727354,-0.6353869,-0.18297341
Y,-1.243388,-0.045306224,-0.6505551,-0.4963926,0.09818662,0.0057041543,-3.0985816,0.14506795
Zr,0.90831715,0.40882313,-1.0246109,-0.983071,-3.1732125,0.47170195,0.7683011,2.084745
Nb,0.5830247,0.44789243,-1.3531209,0.04366158,-2.5107617,0.91665035,-0.25649562,-0.39559537
Mo,-0.7173829,-0.76693124,-0.30448735,-0.013977163,0.16168116,0.3348755,0.5951852,0.21160462
Tc,1.4622834,0.09853887,-0.83787376,-2.1446183,-2.0984504,1.1498287,-0.3390387,-1.7399352
Ru,0.22999981,-2.2232585,-1.1434011,-0.18007408,1.7601771,-1.1540368,0.004776953,-0.45645693
Rh,1.2304213,-0.33267984,-1.0291668,-0.8182443,0.42395967,0.53276426,-0.18072249,-1.2059377
