Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
Li,-1.5831863,-0.10520215,0.4534987,-0.65842575,1.426566,1.450354,-0.37836644,2.0128493,-0.07789159,0.096036196,1.5230528,1.3898132,-0.41587234,-0.06027,1.780425,-1.089099,1.3202157,0.412144,-0.96376526,-0.25422102,0.23054795,-1.1682609,1.449534,-0.21411534,-0.8275727,-1.7110709,2.151923,-0.34364507,0.33671615,0.6329093,0.049629766,0.19904554
Be,0.97774804,-0.9953339,1.255159,-0.9413109,1.3665216,-0.40616456,1.08754,0.6347307,-0.3994512,-0.8409144,0.6542376,1.4181361,-0.11957678,0.13358432,0.2064396,-0.1422585,-0.3822601,1.68431,1.7101567,0.10355145,1.2211479,-1.2385279,-2.0626664,-1.2794477,0.099560276,-0.522715,-0.25113142,-0.035650577,-1.2682345,0.676419,0.21369517,-1.0440685
B,0.10134952,-2.8400867,-1.0170935,-0.051162828,1.3536165,1.4508039,0.3737025,-0.700516,0.2411473,0.33419496,0.1950515,0.8349445,0.22253664,-0.110442095,-0.9054439,1.1521027,1.3622844,0.48960072,-1.3236464,0.6460487,-0.31739995,-0.48811308,-2.3711443,-2.001749,-0.09009929,-0.82886064,0.4750199,0.8907938,-0.011959468,-0.8450333,1.5673016,-0.5380295
N,-0.38406745,-0.2896493,0.35450998,1.221933,-0.16616534,-0.19158678,0.4324246,0.69810283,-0.9173746,-0.47675985,0.87764275,-0.07864701,-0.117677525,-0.7102086,-0.8563551,0.59589237,1.1592675,0.16846886,-0.68375206,-0.55297786,1.5193483,-1.0600395,0.60127443,0.044720996,-0.1890411,0.6290139,0.44127658,0.0749702,-1.569611,0.3857773,-2.036619,2.2926686
O,2.02282,1.5614238,2.0491889,1.271956,0.022483623,-0.74794585,-1.850729,-0.5774412,0.9523749,0.31983957,1.0275644,-1.0335108,0.4656966,0.11841,-0.7072881,0.6035184,0.4200824,-1.1007406,0.0068097813,-1.4521526,1.8056664,0.9149098,-0.07081038,-0.50860107,0.7346243,0.94343716,-0.60529816,-0.81602854,-0.73711044,-1.3681809,-0.42262742,0.50025403
F,0.1570266,1.2774318,-1.0462241,1.0103368,-1.7674376,0.5868296,-0.59774446,1.1997302,0.29177648,-1.203065,-2.117641,-0.26440668,-0.2281852,2.6776466,-0.6330266,0.43648568,0.5118373,-0.21296756,0.7702977,0.87860554,1.323386,-0.46679696,1.0143251,-0.017530568,0.017577818,-0.6965844,1.6905521,-0.8805631,0.62741923,-1.7511287,0.9776892,-0.2633563
Na,1.9930071,0.919445,-0.64113647,0.8624263,0.1417356,-0.4869601,-1.3647265,2.0643525,-0.9406791,1.8890855,-0.08053011,0.36226013,0.27368903,-0.38722175,-0.088441096,0.50848854,-0.4253121,-2.548649,0.2912904,1.7137185,0.13333206,0.30539116,0.30335316,-1.2141256,0.78978235,0.8583345,1.0880982,0.5549237,0.023712838,-1.0912257,-0.3579857,-0.08706351
Mg,2.273197,0.7623367,1.5099593,1.3264275,0.42575333,-0.9189752,1.0962704,0.7194521,1.4145377,0.28377333,-0.741064,0.21422033,-1.3055857,-3.082607,-0.4774606,-0.41370887,-1.8387016,0.18524386,1.2954398,-0.97117585,1.6609375,-0.6528849,-0.9139942,0.5310965,-0.34615502,-0.49129173,1.6158459,-0.23860863,-1.562154,0.52070105,-0.37908158,-0.24654198
Al,0.40462646,-0.25888103,-0.5978062,-0.9864944,0.6361305,-0.6242086,-0.55850476,-0.40912977,-1.6769437,-1.3041322,-0.84968185,0.7006048,0.80335975,0.13416234,0.00048753762,1.0308367,-0.78689086,-1.7468175,-0.74712694,1.8864721,0.065085195,1.1502129,-1.9630185,-0.07234465,-1.8012853,1.1555313,-0.00027480163,0.25502956,0.19673626,-0.8153084,0.21174084,-0.07689664
Si,1.1843587,0.3468598,0.9063619,-1.2573745,1.3348984,0.70051545,1.6046685,-0.6857274,-0.4742295,0.80643857,-1.4590392,-0.4508942,0.7730646,-0.752731,0.4794623,-0.18278608,2.08728,0.93707013,1.3557976,-0.06251139,1.3378677,0.34331003,0.6368722,0.38568687,-0.5629891,-2.1376286,-0.2243886,0.4476785,0.6507901,-0.27513173,-0.8982684,0.14667216
S,-1.167487,-1.2417785,-0.16804484,0.530006,-0.7177807,0.6765133,-0.51806444,-1.9048971,0.87504905,-1.6253392,1.16139,-0.25439355,0.6189912,1.3392612,0.4518949,-1.777762,0.15340291,-0.83864754,0.86912113,-0.096515484,-0.25300914,-0.28743893,-1.2073401,0.7932822,-1.7202076,1.3375666,-0.4526909,0.2612272,2.811359,-1.5403596,-0.3082337,-0.26868203
K,1.4332817,-2.0164182,0.11158939,-0.28419554,0.052144427,0.4722167,0.053811073,0.90123415,-0.2968774,1.9536825,-0.2901811,-1.1897873,1.0512998,-0.9955372,0.425451,-0.4517207,-1.4673783,-0.7534346,0.73330873,2.0626016,-0.23613684,-0.86681306,2.0775297,0.48096788,0.82920945,1.3298894,1.4825355,0.5224748,-0.8616079,1.3474344,-0.87645304,-2.1087437
Ca,-0.43555966,0.899591,-1.6073345,0.9133292,-1.5189844,1.7764323,-0.7403157,-0.82882005,-0.88556105,-0.09365432,0.394477,-0.07226563,0.41170314,0.0040423092,1.3498268,-0.78346324,-0.4754969,0.035946544,1.1850612,-0.14891244,1.6642894,-0.20525089,-2.0232909,-0.3776318,-2.30918,1.0057288,1.2667434,0.7270246,-1.1824636,0.49662495,-0.20496243,-0.07806422
Sc,-0.23788022,1.8637555,1.9228786,-1.0628096,1.1408331,0.7466635,0.7801559,-0.4835528,0.53060174,1.2831181,-0.96417576,-0.7838497,-0.06876943,-2.135693,0.5594806,-0.34816658,-0.16463606,-0.42214334,-0.30459765,-1.9873188,-0.12401321,2.4096851,-1.5761323,1.2134222,0.82743263,-0.6990504,1.4907098,0.44514063,-0.34819165,0.8794569,-1.1724291,-1.8190887
Ti,-0.48296854,0.16852057,1.4984628,0.38797423,1.386601,-0.9523164,1.4461901,-0.89039564,-1.0442686,-0.3267688,-0.6759102,-0.24221689,0.8503018,-0.2195347,0.64664936,-1.0650489,-0.10995993,-0.041635588,-2.588476,0.6330213,1.9256092,-0.05786611,-0.5143445,2.4482908,0.7849063,-1.304603,0.0889762,-0.24145576,-0.35136428,0.6487068,1.251403,1.1389822
V,-1.049875,-0.72290635,3.1554337,0.84884363,0.7723165,0.25892296,-1.861813,-1.5596986,0.5178728,0.077247575,-1.3445597,-0.20141187,-0.5291017,-2.1064734,0.8949952,-0.058879092,-0.03447539,1.348568,-0.075397335,-0.76281965,0.6431656,0.32852605,-0.40605962,2.2259388,0.80438346,-1.1356146,-0.18415448,0.4370254,0.9246502,-0.06406554,0.48314825,0.63296443
Cr,0.18067095,-0.9097888,1.035119,-0.031485666,-1.1621449,-1.8661011,0.5554205,0.284278,-0.48697072,0.19185244,-0.022370104,-0.89033914,0.3088119,0.21611404,-0.14051056,-0.6498589,-0.5643492,0.845265,1.4571282,0.73002696,-0.1526883,-0.84854805,-1.1413679,0.27697802,0.3998672,0.7808346,-1.502053,-0.74745184,-0.050033387,-1.0783173,-0.78125274,0.29713452
Mn,0.46510905,-0.64143527,1.0573002,-1.6217394,1.1581352,0.76487726,-1.203069,1.0383923,1.6315517,-0.12193179,-1.3986266,0.17592366,0.65562505,1.0977702,-0.0005020691,0.26399198,0.15988746,-0.89214456,-1.3092177,0.45564416,-0.809064,0.75954837,0.8744603,1.1577779,1.2861174,1.4138308,0.7890673,-0.64428216,0.46121433,-1.1788874,-0.7693963,1.8515896
Fe,-0.7190043,-1.2161294,1.24439,0.08924786,0.43718934,1.645212,-0.7187203,0.73461914,0.17795339,0.5388768,-0.13179275,-0.020805206,1.1076784,-0.03294288,0.21629702,-2.2324917,-1.4615393,-1.4527732,-1.6067181,0.40201503,-0.30785593,1.4695271,-0.6031868,-0.21803923,-0.013859052,0.24510479,0.03446984,-0.94953966,0.0944623,-0.5429997,-1.2693788,0.04467629
