Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
Li,1.409216,2.4109488,1.1173829,-2.1569755,0.0013456668,0.16987161,1.0287601,-0.16900493
Be,1.8861738,0.03192534,-0.66220266,-1.4862242,-1.1660227,-1.227695,-0.5944454,-1.0032346
B,2.1281037,-1.2845843,0.9600389,0.291595,-0.5093772,-0.550024,-0.6970269,-0.8632217
N,0.69713646,-0.4442147,0.799177,-0.58221704,0.6701661,-0.3436541,-1.4570979,-0.61541355
O,-0.26562288,-2.055074,-0.96475595,0.76614743,-0.25250244,-1.7719061,0.1513268,-0.6957072
F,0.55993104,-1.125877,-2.3907905,1.3485436,0.36351648,0.62191117,1.1086924,-0.79191786
Na,-0.012578584,-0.65439093,0.20794459,-1.7995381,1.9347072,-0.025794702,-1.0032462,-0.85573065
Mg,0.12311416,-0.18064474,-2.6961062,-0.36983407,-0.6706019,0.63715684,-1.947557,0.21768658
Al,-0.5450728,0.16913478,3.1196952,0.40601686,1.0068173,0.8988247,1.9568738,-0.41619575
Si,-0.40102372,-1.8130921,0.6738219,-0.15014136,-0.99467725,-0.64671296,-0.71119195,0.58799917
S,0.7309484,1.8480265,-1.960879,-0.06942226,0.89687026,1.8982271,-0.4145544,1.9070568
K,0.9679332,-0.4933454,-0.6490618,-0.6149714,2.984975,0.7778311,-1.0830098,-0.64990985
Ca,0.24100257,1.0878747,-0.32481813,2.252601,0.39380008,-1.3330615,-1.0257688,1.3341637
Sc,-0.33694232,-1.8145726,-0.7613616,-1.8383965,-1.1588621,0.5796057,0.70349336,-0.3361998
Ti,0.048265748,2.2212956,1.2294793,0.47152382,-1.0379115,1.0798067,1.6498027,0.55515283
V,-0.48245952,0.63723886,2.049131,0.68572605,0.27224177,-0.5508886,1.34846,1.0524678
Cr,0.8307265,2.441127,-0.8060325,1.9835478,1.8566934,-1.6000654,0.39452782,-1.0962145
Mn,-0.07121826,0.47736824,1.0861335,0.116004355,0.034481462,-1.2160411,1.4213625,0.23674941
Fe,-0.5791986,0.74459994,0.12093799,-0.61479867,-0.73372525,-0.18983236,-0.04994341,0.705448
Co,-0.42785886,-0.754247,0.056466043,0.36456844,0.40889773,-0.16180523,-0.029444484,-0.40473202
Ni,-0.33753204,-0.48663267,0.17281058,-1.4974923,0.4827625,-0.37403736,0.45724553,0.100156546
Cu,-0.1879721,0.3711862,0.8344623,0.16860007,-0.037923925,-0.4305013,0.0118133975,-1.3138236
Zn,0.67089474,0.83693707,-0.59613943,0.6601649,-1.1541339,0.14280619,-0.64726126,-1.5507152
Ga,-0.86901504,0.29869696,-0.1172145,0.0513786,1.1434293,-0.4961484,0.5271452,0.39092425
Ge,1.298117,-0.32706523,-0.6737129,0.46772113,-0.24278124,1.7339928,0.91763127,-0.71086365
As,-0.54243076,0.4647945,0.19066423,1.166652,-0.6227889,0.57345307,-0.88109595,0.703274
Rb,0.42262712,2.2500885,0.91849667,0.89534056,0.24115166,0.6066256,-2.2688525,-1.0015913
Sr,-0.28028136,-0.9677313,-1.9637265,-1.2291713,-0.21382838,2.5010564,-0.4432913,-1.2303863
Y,-0.0267971,-0.6130724,-1.0107231,-0.486786,-1.2196892,-0.49339208,0.9845675,0.8912838
Zr,-2.0313222,-1.2974172,1.1388087,0.33532193,-1.364356,-0.05023254,-0.011289223,0.9385168
Nb,-3.5156665,-0.23482428,0.47102147,-0.5605176,0.5045297,-0.08038614,-0.026855672,1.1491302
Mo,0.72744066,-0.1668208,1.0534173,1.0157242,-0.49818444,-0.08314781,0.9553541,0.7502732
Ru,0.3303993,-1.6383721,0.6390444,0.55449873,0.36846134,0.31226388,0.56286687,-1.530947
Rh,-0.06755404,-1.5653503,0.028067905,-0.73849887,0.74361104,0.36045828,0.16116473,-0.35975367
Pd,0.019924726,0.69154304,3.111652,-0.7623059,0.43555573,-0.89730716,0.48892337,0.65812737
Ag,-0.119835146,0.6225094,1.1591935,-1.4602423,0.34407037,-0.80230355,-0.4834838,-0.0038285663
Cd,-0.07506976,-2.267598,-1.1613042,0.8985662,1.841058,-1.2538592,-2.5819743,1.4892281
In,-1.0896361,0.086228855,-0.12640703,-0.1255343,0.47793218,-1.2202499,0.41330445,0.47660422
Sn,-0.961052,-0.9414724,1.1606238,0.2776345,2.3215427,-1.8181113,0.8448706,1.4522011
Sb,1.7000158,0.60725486,0.109581046,0.09956817,-0.32912195,-0.81646794,0.2231083,1.897725
Te,-0.5938394,-0.223967,0.18744737,1.1815583,-2.4044664,0.8782648,-1.0533645,-0.79364806
Cs,-0.55662733,2.2851322,0.7642096,-0.2730602,1.531482,0.681667,-0.051925823,-0.9243101
Ba,-2.1448498,-0.16253579,-0.9800465,1.6131665,-0.4551389,-1.2453407,-0.5629934,2.7109964
La,2.1395876,-2.4552398,-2.8748386,0.8541728,-1.3427141,1.374656,0.86602074,-0.7592421
Hf,1.0646439,-0.070484124,0.8786551,0.37218183,-1.987468,0.2776356,1.4527391,0.054346394
Ta,0.5835446,-1.1442635,-0.57012373,-0.58171123,-0.07116609,1.6219037,0.93891823,1.7167664
W,1.7130612,-0.05713945,-0.34137172,-1.0689933,-1.8479213,0.26026347,-0.12688094,1.0928446
Re,-0.97689456,-2.0534,1.6793816,0.0739204,1.288777,-0.62291086,0.36902893,0.7258219
Os,1.5807476,-1.5601419,-0.62739587,-0.23226868,0.54249287,1.0891118,-0.4804639,1.090421
Ir,0.583381,-0.77035147,0.6578474,0.45516884,0.53534746,0.7379918,-0.71713096,0.8206359
Pt,0.21122515,-0.760292,2.4414823,-0.055357873,0.79398733,-0.30200318,0.39527637,-0.6727806
Au,2.120584,0.16131628,1.5910882,1.054002,2.1011982,-0.009974284,0.5080748,-0.47535455
Hg,0.37797868,0.262529,-0.10107096,-1.5791974,-0.44097933,0.55938035,-1.6957314,0.6464426
Tl,-1.5122199,0.91577625,-0.75114906,-0.71047527,-0.8369546,0.78025633,-1.0897434,-0.3604978
Pb,1.8132862,1.9933267,-1.1603427,0.007695106,-0.29676527,-1.1217393,1.1059374,0.3315955
