Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
Li,-1.9192741,-1.8518233,0.7499195,0.3757369,-0.7884151,0.16819309,1.7022052,1.6403404,1.3562807,-0.7315916,-0.3757537,-0.21309088,-1.1135045,-0.86320025,-1.1103828,-1.2123454
Be,-2.7459853,-0.6414437,1.5083762,1.1722653,-0.24992715,0.42008594,-1.754045,-0.280084,-1.3598596,0.36100465,-1.0233332,1.3966262,-0.07337431,0.8956326,0.03489675,0.039213676
B,-0.89399517,-0.7643761,0.3218846,0.17165959,1.0003818,-0.74979484,2.8375945,-1.9495885,0.88524085,1.4416925,-2.0538592,0.8824122,-2.0029683,0.85717213,1.7239294,-1.6353986
N,0.2346528,-0.47416317,0.33242318,-1.1493453,0.98484737,-1.014213,-0.81899285,-0.24697968,1.7152284,1.6110991,-0.5432176,0.09151015,2.7057061,1.4776967,-0.32836428,-0.939152
O,-1.9280431,0.79763895,-0.95198524,-0.43047667,1.7999285,0.42917457,-0.76750284,0.666566,1.8765361,-1.2482966,-0.5003926,-0.5845345,-0.40942422,-1.4654583,1.2660538,0.17795685
F,0.09851235,0.553393,2.4759707,-0.025670601,-1.8014619,-0.66651934,0.32729465,0.5815568,-2.166038,-0.5032672,1.5089775,-0.20540294,-0.11949568,-0.46975207,-0.2753132,0.104903586
Na,-0.1864344,-0.5314897,0.03886216,-0.33369538,2.94606,-0.16634588,0.03535729,0.66593087,1.1052806,-0.36495724,0.20767844,1.0916696,-0.5486013,-0.42118436,-0.39326245,-0.73760104
Mg,-2.2902863,-0.6067263,-1.4381926,-1.1621649,0.25875497,-0.96122533,-1.2404636,-0.80628663,-1.1106977,-0.06500733,0.062730454,1.0035748,0.88669163,-0.7529896,1.2489164,1.8720002
Al,-2.2815132,1.1850761,0.14089784,0.079823375,0.18216775,-0.96920073,0.020505302,-0.85767996,1.2477065,0.150444,-0.83217,0.095099084,-0.99250984,0.37454474,-0.48991635,1.4874953
Si,-1.6753665,1.2167797,0.9853761,-0.6162584,-0.3471198,0.8550803,0.33937386,1.005301,1.0962057,-0.5001701,0.6722871,-1.1547986,-1.3759032,1.504481,-0.5985668,-1.5807326
S,1.5303812,-0.13254982,0.6992175,-1.316312,-0.45278567,1.5796268,0.4591421,-0.5481761,-0.22434928,1.2128478,0.5075121,0.40753245,-1.7771646,0.5814345,0.2569306,-0.114466354
K,0.15084751,1.1596483,1.4748569,-1.8444675,0.73941433,-0.09342885,-2.2846935,0.12089205,-0.22358592,-0.9347349,-1.1928787,1.0890217,1.5690314,-0.88017297,-0.61807346,-0.8824765
Ca,0.7627894,0.77901536,-0.4079712,-0.8262524,0.9610504,-0.6652905,-1.6273599,-1.5199782,1.2465242,-0.17096248,0.5698161,1.3302089,2.1152442,0.22866811,-0.28188574,1.87745
Sc,-0.86480516,1.924533,-0.652663,0.16934498,-1.7099699,2.496869,-1.0023572,-1.1494128,-0.18187656,-0.054654934,-2.3771958,-0.62329,0.062966146,-0.5621348,-0.8183759,0.94690335
Ti,-0.5770073,0.25465086,1.8951426,0.97499806,-2.7715285,0.018133102,0.038994804,-1.2384806,-1.5772977,-1.0193,0.2825334,-0.6572159,0.41375506,0.31472018,1.801624,0.38098922
V,0.7590378,-0.001585457,-1.4455829,0.9880255,-0.458296,0.20560765,-0.70015925,-0.69664484,-0.3948046,-1.3781222,-0.48263165,-1.194518,0.826223,0.21844597,0.13207062,1.6957003
Cr,2.7127564,1.8144131,-2.1583335,-1.4582155,0.65263927,0.7977829,2.009528,-0.8807878,0.97997123,-1.3018045,0.5902676,-0.26116386,1.6242177,1.2508279,1.394652,-0.74825597
Mn,0.37004665,1.54507,-1.587742,0.36349958,-0.62760675,-1.0210265,-0.23567386,0.5056744,-0.30639473,1.597895,0.37402797,0.96513456,-0.20244038,0.5138317,1.1526335,-0.1279244
Fe,2.084139,0.84168893,0.19480492,1.3532606,-1.4454606,-0.82203215,-0.3997316,-0.5881569,2.2571745,-0.30732626,-0.4015213,0.7131322,0.19084813,0.7136161,0.64723873,-0.51897913
Co,0.08692535,0.44065225,2.7307882,0.49683937,-1.8790824,0.40042612,1.1763272,-1.7326792,0.3100317,0.9398139,0.46376497,-0.30550715,0.22265753,0.41991675,-1.2848985,1.3821839
Ni,0.001928533,0.053407867,1.4805934,-0.82853025,0.92277193,0.156473,0.5401981,-0.3256842,-0.37653795,-2.1479073,-0.4276054,-1.9515979,2.4205863,0.9634009,1.2531523,-1.42026
Cu,-0.87114745,-0.0073060077,-1.2558546,0.9321066,0.33594012,-2.3967943,0.045787353,-0.14823681,-0.6821097,1.1062936,-1.2921277,0.48390612,0.6335083,-0.40705284,-0.7015228,-0.3168371
Zn,0.087302044,-1.9346162,1.2047118,-1.3227068,-0.15502171,0.56953436,2.2919102,-1.815734,-0.07437185,-0.86091787,-2.3589036,1.6534033,1.516752,-0.07814381,0.8900083,2.3297298
Ga,-0.019516911,1.0441769,0.52826244,-1.3473481,-2.0340226,0.11169754,0.3007135,0.117618375,-0.19417912,0.86551034,-1.3035926,-0.063384995,-1.0746927,0.90861195,-0.26920435,0.78268194
Ge,0.10148352,-1.2370551,-1.3523953,-0.46067473,0.15583856,0.38890678,1.3639569,-0.1842675,-0.18380858,-1.7731621,-0.113973916,1.4645422,-1.1408664,0.9522462,1.0297165,1.03167
As,-0.38115367,0.1719022,0.5859615,-0.63947004,0.29793376,-0.66904384,0.93464094,0.39701802,-0.4528793,-0.55054617,-0.2518611,-1.9731205,-0.0008323575,0.106329024,-0.8163218,0.80433685
