Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
Li,0.23122771,-0.05099525,-1.5108968,-1.1396613,-0.44119883,-0.19146307,-0.50251037,1.393379,0.108358815,0.85202515,0.37322536,1.7362721,-0.92900515,-0.36686808,-0.20706815,-0.23438327,-1.100097,0.92288285,-0.15396185,1.3028882,-1.4051468,0.43347725,-0.3793487,-0.92362475,-1.067433,0.094052255,1.4577879,-1.9362458,-1.7092873,-1.5298065,0.44220355,-0.0060428837,1.242154,-0.9896979,0.99052376,1.8676988,1.8395325,-0.20955922,-1.6793895,0.86640185,-1.0736623,1.523453,-2.6004338,1.5157713,0.7358267,2.0123863,-0.5549422,-1.1346513,-0.5637556,-0.13193932,-2.2196283,0.0855958,-0.41470215,0.44280395,1.9088725,0.51489365,0.012072231,-1.2035,-0.56364626,-0.8240222,-1.4434639,0.4731045,-0.093764134,0.17560317
Be,-0.62827504,-0.4227744,1.7395966,0.7693259,-0.101267315,-0.7204671,0.64896864,0.93114847,-0.083219714,1.0580938,-1.3714675,0.523615,1.5733775,-0.08311625,-0.65623826,3.7367837,0.7179232,-0.34622142,-0.56085736,-0.062659584,-0.79528946,1.8847213,-1.7800053,2.9667807,-0.8169759,-1.1151708,0.7268568,1.3889016,-0.14021483,-2.1003156,-0.3629383,-0.61837065,1.9190848,0.19103487,2.2962244,-0.5606968,-0.6343284,-0.10112825,0.19603556,-0.5846247,0.32641542,1.6488537,-1.1087292,0.42918947,-0.20162229,0.5017251,0.125022,1.2633802,-1.1000247,-0.5873668,-0.22465758,-0.32893732,-1.4155405,-0.646871,-1.701561,0.028454082,1.132189,-0.5397273,-0.32478487,1.2237235,-0.94802976,-0.35897422,-0.26605272,-1.0520923
B,-0.32706755,-1.067113,-0.6782484,-0.29665467,-0.9880634,-0.08443636,0.70870477,0.15332648,0.91586477,2.0237408,-0.47165123,-1.7866256,-0.0559339,-1.3581527,-1.7318698,0.1464852,-0.5461628,1.5118079,-0.94451684,-0.86421686,-0.6776866,0.095131546,-0.14148523,-0.34911975,-0.32231733,-0.48285988,0.8825835,-1.4636412,0.62636745,-1.1503537,0.43606317,2.929513,0.15338443,-0.9360878,0.75048983,-1.0511808,-1.3384303,0.5179482,-0.5066746,0.18068741,1.3623961,0.47662565,-1.3259126,1.9882182,-0.80166525,0.86887515,0.17253126,-0.113281496,-0.90081567,-0.9351559,-0.37436613,-0.079931706,0.03898715,-0.5265596,0.87385726,-0.091103576,-0.88764954,0.8024104,-1.6409005,0.3946267,-1.4773933,-0.7060079,0.13737017,-1.0245411
N,1.5268449,-0.051738814,0.36283123,-2.2704978,1.0125419,-0.7840108,0.4201624,0.44460723,0.15873757,0.19445567,-1.5274693,-0.75186086,0.26079756,1.1510408,0.212711,0.4231963,0.2908437,0.70301425,1.1143755,-0.29394802,0.66574425,0.44440183,-2.0096254,-0.7325262,-0.66695565,-1.0904949,0.3146992,-2.066697,-0.9006796,1.2481256,1.7333747,0.60167986,2.0462852,-0.996909,0.7915668,0.14476949,1.7333251,0.39412645,-0.6312376,-0.6553375,0.5333394,-0.68721986,-0.35412118,0.1416943,0.31813347,1.8629147,-0.32927868,0.089580044,-0.087342836,-0.59572977,0.7229343,0.35820618,-1.020724,2.235537,2.202785,0.15245114,-1.1172397,0.1844856,-1.5194141,-0.71496737,0.4788737,-0.17353044,0.7899397,-1.8460108
O,-0.7545792,0.33492935,-0.13038403,1.3198125,-2.3182154,1.6215143,0.6661967,1.1066166,-1.336964,-0.7257441,0.19411118,-0.79370993,0.65248936,-0.37589198,1.6161757,1.8461778,1.1054667,0.30889043,-1.2142376,1.3456578,-1.279691,2.7685213,-1.6350377,-1.0953006,0.69881386,0.015810885,1.1520319,1.0325304,1.0500733,1.0220486,0.97750384,-0.14903851,-0.42156082,0.33913815,-2.1290734,1.6365373,0.49470672,1.2204227,0.9012626,1.1369634,1.2238698,0.9296112,0.19722755,1.7218653,-1.0950515,-0.43715373,-0.75316447,-1.8025231,-0.45365757,-0.14120018,0.24669985,0.49492884,-1.693873,1.8771803,-0.3131261,1.309334,-0.6428618,-1.7645162,-0.1233307,0.32649106,0.1640028,-1.4860367,1.4627645,-0.15773672
F,-1.2946414,-0.949671,-1.2822195,0.5357369,-0.30265653,0.14248201,-1.079479,-0.54718876,0.59598064,1.6815239,1.3567314,2.1418686,-1.1941007,0.54212046,1.6408961,0.9405234,0.15327427,-0.77947706,0.6167855,0.7693665,0.8804711,0.7787317,-0.87208635,0.29444733,2.1495621,1.7290221,-0.19444218,0.6494164,0.42802808,-0.20731603,-0.28619182,1.0637833,1.5283756,0.54687154,-1.7200139,-0.47578138,0.78974235,0.6477165,0.27007946,-0.23856562,-0.10370593,-1.2588155,-0.5754816,-0.0010307602,-0.7194289,0.103509955,-0.025833748,-1.2171956,-0.72521186,-0.23483008,-1.7456324,0.0010135799,1.913988,0.609035,0.5902749,0.43288654,0.37421513,-0.598324,-0.16266398,-0.08774989,-0.34519726,-2.0133617,-0.28953493,2.4520862
Na,-0.6267642,0.9882646,-1.0220311,-0.6993256,0.7403062,-0.17281167,-0.073344186,0.07809395,-0.11785385,0.83835053,-0.11116156,0.32078063,0.60509986,-0.84809095,-0.55377835,-2.0399253,-0.565497,-0.35721886,-0.4837482,1.0553602,1.2533827,-0.8493616,0.89661366,-1.9361674,-0.80280095,-1.1106611,1.0069817,-2.447796,-0.17295392,-0.45860615,-0.284765,-0.5189488,0.9226667,-1.5175289,-1.1357962,-0.40121305,-0.18666801,-2.1890435,0.033314567,1.6622574,0.08503704,-0.7460168,0.49959594,0.49966025,-0.07469105,2.8052976,0.6540728,0.7099411,0.6885488,0.6347102,-0.566891,0.6898022,-2.3564768,-0.99909145,0.28862685,0.8674478,1.0937619,-0.6700658,-0.3287379,0.19262496,0.987689,0.080305666,0.1838331,-0.9837938
Mg,1.9524962,0.14417702,-0.70779324,1.3779601,-0.6970835,-0.20476842,1.4227835,0.79954445,1.4376825,-0.7907131,-0.051671125,0.74155605,-0.03807595,-0.011105789,0.5064006,-0.13392192,0.6295902,2.2821448,0.24811283,-0.9580387,-1.1989775,-1.6092124,0.49257872,1.0014935,-0.17354637,1.1827043,-0.67960197,0.49420312,-3.1569414,-1.6141881,-1.5607239,-0.3306601,-0.9357479,-0.34082258,0.69565576,-2.0448308,-1.6829784,0.9841285,-1.4976884,0.5183318,0.96546316,0.5343799,-0.3346109,0.7096094,-1.4106897,-0.23152645,0.61393386,-0.8687807,-0.44598523,-0.28037906,0.09776217,-2.4625974,-0.042348467,-0.04048409,-0.6430463,1.5542831,1.3835331,-0.2899924,0.67475486,-1.140942,-0.17412741,1.1053103,1.2818795,-0.5946886
Al,-0.055253066,0.59777486,0.6771732,2.0955892,0.45880792,0.7926592,0.26983872,-1.6102864,0.63477665,-0.9861502,0.18215768,0.43674338,-0.9911519,-1.7830461,0.2940158,-0.0007268742,1.7407779,0.8149978,-1.0259767,0.28300416,0.8903199,0.01555893,0.07654469,-0.9922665,-2.0226135,-1.8014239,0.4935392,0.67952543,-1.5324659,0.49021655,0.65896094,0.8705366,-0.6299171,1.1824485,0.8196147,1.3821963,-0.36349213,-0.53622407,0.29950872,0.5633503,-0.31655005,0.90909564,-1.5620991,-0.21084236,-2.7320068,0.9819125,-0.92396915,0.5433981,-2.447056,-1.1847245,-2.1202505,0.16588959,1.0067562,-2.247443,-0.91104347,-1.4462923,-0.77831125,0.8255515,0.087074675,-0.8763465,-0.049976565,-0.50216323,-1.2247772,1.9419498
Si,-0.51861846,-0.71120155,1.2500259,-0.8849142,-1.4286191,1.4066143,-1.620826,-0.7416556,0.2439451,-1.2986681,0.052124076,-0.20883983,-0.86375886,-0.50264114,0.037193954,-3.0340917,-0.57299995,2.2865922,0.23874141,-0.7515409,0.29257295,-0.42516828,0.5561013,-1.0823395,1.2169697,-2.648816,1.5660492,-1.7985665,-2.3474262,1.3039225,0.41403037,1.0465899,-0.37469786,0.37211707,1.3075926,0.6766495,-1.2521338,-0.040254287,-0.73653424,0.45351,-1.6625149,-0.2686146,-0.29194814,0.5885889,-0.61043435,0.79565114,-0.5075638,1.4121307,-0.6193713,-0.4065706,-0.5960148,1.7859567,0.3146672,-0.36703816,-0.25651324,-1.2602215,-0.9324406,0.30890256,-2.171915,1.4375386,0.28806102,-0.7011662,0.40422702,0.6867145
