Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,1.4172119,1.1042045,-0.4818883,0.24269533,-0.37489083,2.2230084,0.37672475,1.8960522,-2.0648973,-0.47793478,-0.06151339,1.3707455,1.7204428,-0.110188015,-0.3675534,-0.7501217
Li,-0.09331384,-0.47333542,-1.426905,0.31540662,-2.5751545,-0.12265304,3.1918077,1.3292699,-0.32971674,-0.9205878,-1.2821301,-0.5504052,-0.4543675,-0.6776084,-0.93823737,0.8322377
Be,-0.34498757,0.84491646,-0.5112118,0.47364667,-0.5284957,1.5114696,-0.20828024,-2.0762758,-1.6949061,0.6941503,-0.17856559,1.6486683,-0.1035171,0.39000013,-3.249498,-0.6820117
B,1.1544993,1.2003423,0.14504893,-0.69266623,-1.5756526,-1.0559084,1.5236139,-0.72208405,1.2477623,-0.048925243,-0.41118544,0.15442021,-1.160258,-0.78807634,-0.31632295,-0.2835601
C,-0.51918924,0.8448065,-0.0044177594,-0.8767121,-1.1629227,-0.73880714,2.12196,-1.0386224,-0.07332314,0.24117686,-0.52403927,-0.6969359,0.298851,-0.5464323,-0.07078065,-0.319376
N,-1.4659028,0.39496368,0.84990555,0.59825623,-1.0896622,-2.2370327,1.7358116,0.99206215,-0.5910129,-0.42859653,-1.99236,-0.00780112,0.42709407,-0.21227959,0.5108026,0.51517314
O,-0.36032104,0.8045658,0.7042386,2.4036973,-0.1689161,-0.10987443,-0.0035433667,-0.5664131,2.0541518,0.29253155,-1.8613684,0.43385366,0.2723057,0.52217335,-1.3291043,-0.32334337
F,-1.6201165,0.9212769,-1.8396935,-1.0395525,0.090889916,0.22316451,0.48232442,1.716862,-0.0122585995,-0.91208595,-0.970013,-1.1281894,1.9263425,0.43988252,-0.7955893,-0.7377515
Na,1.799264,0.35164627,-1.2809933,1.628252,-0.28915372,-0.22949478,0.17933366,1.5632894,1.8189244,-1.7281517,-1.6472206,0.9317248,-1.1512653,1.550281,-0.5486877,0.013860555
Mg,-0.23528089,0.3548696,-1.1854483,0.56708384,0.23318462,1.4490786,-1.1334544,0.9479296,0.8625563,-1.0020764,0.39274192,0.9656817,0.74937576,0.75243366,-0.7963506,0.8858996
Al,-0.9080805,-0.5641375,-0.69416344,0.8477847,-0.7613802,-0.9819835,0.10375267,1.6593571,1.4437968,-0.25459722,-1.1921794,0.78796643,0.75271046,-0.9602229,0.40185514,-0.06274053
Si,0.73838323,0.6133746,-1.642401,0.5248554,-0.54719305,-1.7345825,0.3750447,1.3759152,1.6768208,0.5285792,-1.1557112,0.8622005,-0.0397287,-0.98962593,0.13746758,0.4736928
P,-1.0473669,-1.3629299,-0.4333597,-0.23525728,-1.4687885,-0.18147725,-0.08581164,-1.262503,1.9823226,0.37917146,0.3034841,-0.27384618,0.6184021,-0.27625442,-0.9883339,-0.37500992
S,2.4189398,-0.44229516,0.38487628,-0.04570876,0.3912853,1.4429897,-0.3844554,1.4675869,0.7739663,0.30021933,-0.4895223,0.22962405,1.0957572,0.21372001,0.052237693,-2.0824027
Cl,-0.3149235,-1.2719274,-2.7147038,-0.045786675,-0.46696445,1.4953281,-0.4706923,-1.0384527,0.89364076,-0.31040028,-0.82939994,0.027903467,0.48193276,-0.20812988,2.4039903,-1.2412692
K,0.25374678,0.4798263,-0.98709726,0.6377765,0.7507656,-0.17047359,-0.69512457,0.14264506,1.4306365,-1.1340399,-0.80337214,-1.0671976,-0.96872956,1.5368687,-1.0792146,-0.34833202
Ca,-0.46227944,-0.38995558,0.09705722,-0.27251,-0.564322,-1.0354651,1.4817816,-0.6436376,1.0273257,-0.329786,-1.1857069,-0.081646904,-1.0108467,-1.0444111,-1.1806105,2.101241
Sc,-0.63966864,-1.3055556,-2.1255538,0.5400862,-0.27909926,-0.5319096,0.5075702,-0.06348718,-2.0848172,-0.48402056,0.013400158,2.0185683,0.7504209,0.94021845,-0.5150586,-0.5871282
Ti,0.89954907,0.7386247,-1.728633,-0.89962566,-0.3040112,-0.5229503,-0.27461445,-0.38899675,1.172262,0.46641946,-0.24576372,-0.48770022,-1.1496125,-0.9470659,-0.2324319,-1.0157357
V,-0.6322435,-0.33185327,1.7027532,0.89491814,-0.18232855,1.4109763,-0.7377883,0.7196983,-0.47869754,-0.23927753,-0.7490512,-0.8326915,0.32602552,-0.9525262,1.599639,0.23010395
Cr,-0.8055456,1.2168723,1.5316527,0.48829514,0.3271391,-0.37684223,-0.27495763,0.44811177,-0.3111986,0.8707907,0.20541672,-0.40407014,-0.16121782,-0.29247832,-0.11806312,1.2264415
Fe,0.33605742,-1.9628837,-1.5148787,1.4862185,-1.2136873,-0.113396995,0.693251,0.13305555,0.103374176,0.71070224,-0.0051738718,0.2130305,-0.83632916,-0.29721788,1.7565048,-0.6966575
Co,0.05046486,0.7081587,1.9297485,-0.59484637,0.8119694,-0.9413116,-0.536315,0.7926306,0.37049165,0.49330458,-0.20797844,-0.48578975,-0.70409477,1.1104673,-0.52528125,0.64365745
Ni,2.0836103,-1.2881411,1.7931092,-0.11127714,0.13718304,-0.7889482,-0.4994741,1.3150599,-0.5023312,-1.4148734,-0.12565348,0.27778605,-1.4836633,-0.60729265,0.39102188,-1.0494998
Cu,-0.50386703,0.13341214,1.2407173,-1.0557017,0.25495356,0.6573018,0.39328253,0.6471985,0.50894284,-0.81830835,0.053212997,0.34023273,-1.2987006,0.24238138,0.47412324,0.25191393
Zn,-0.3192584,-1.121233,-1.3825083,-0.4348766,-0.22046663,1.5847534,-0.930846,-0.49819073,0.48835346,-0.6080835,0.821441,-1.4874685,-2.5846922,1.1369433,-1.2892792,-0.41833013
Ga,-0.25573167,-0.799028,0.74795854,-0.30474108,-3.1735184,3.0492241,-0.22695452,-0.34417424,0.0750879,-1.3511816,1.026532,-0.48822892,-0.78771067,-0.22247365,0.34163857,0.86491627
Ge,-1.9899063,0.9380503,-0.026275866,-2.2769015,-1.2795208,-0.31279263,0.6543376,-0.67703825,-0.5049179,0.071081564,-0.4736575,0.29407153,-0.34146914,0.5431901,0.56110626,1.5684683
