Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,-0.120823,0.20233361,-2.0677414,-0.04792127,-1.2285553,1.6126049,0.6847744,-0.076627955
Li,-0.8354947,1.0640916,0.33834782,-0.76843035,-0.7807447,-2.1507742,0.05912447,0.619458
Be,-1.8946413,-1.0424112,2.3094387,0.8350608,0.010393759,-0.64263505,-1.1799507,1.6261711
B,-2.224754,-2.2182665,0.5164985,-1.8419663,1.0992478,0.60041183,-1.1652361,-0.8742558
C,-0.3828711,1.4813207,-1.3684067,-0.02397783,-0.9375527,-1.8677894,1.9657998,0.3767869
N,-2.1860952,-2.9705274,2.0607936,0.02755996,-1.9516213,0.6059762,1.2030888,0.52095157
O,-1.9026018,-0.5905865,-0.36525488,2.1330645,0.2550208,-0.08681099,0.049908016,0.8973472
F,-0.5479258,-1.2321426,-0.3581265,0.109293945,1.7796372,-1.2401485,-1.9306169,-0.16269837
Na,0.9598893,2.3308165,-0.21210277,0.93034613,1.4229622,0.25325617,-0.12083924,1.0707986
Mg,-1.6930783,-1.117611,0.73257697,-0.9075565,0.3289572,0.56953716,0.45950174,0.9124408
Al,0.3736535,-0.2555813,1.3502402,0.57945395,0.79460806,-1.0441191,-1.2451175,-0.097385295
Si,-0.72558,0.2578855,-1.7088957,0.8795307,-0.6255831,-0.2555298,0.67850775,-0.144734
P,-0.06337684,-0.24970415,0.26461947,-1.8236572,-1.9245769,-0.117501356,-0.73370236,-1.0213348
S,-0.55110115,-0.26238385,-0.8783699,0.4040775,0.88096434,1.6360099,-0.051979423,1.3082384
Cl,0.25527936,-0.19212213,0.12522069,-0.74814767,-0.5448708,-0.74357575,-1.5761297,-0.85631627
K,0.7211562,-0.9661226,-0.39978048,0.54515594,-0.97702634,0.880126,0.6794024,0.023620984
Ca,0.8503883,0.711369,-1.9335222,-1.2993933,-0.3838066,-1.602022,1.9857537,-0.67084384
Sc,0.9125305,-0.6470235,-0.5048245,0.10044653,0.5738537,-0.9800614,-1.8552397,0.89583427
Ti,1.5719452,-1.0825326,0.13357973,0.17547737,0.30199695,-0.76585627,-0.4367726,1.4812181
