Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,0.47883,-0.3614909,-0.44029623,0.26905522,-0.7124007,0.64227796,1.0048181,1.0636815,0.1282894,0.2691101,0.4808998,-0.58683354,-0.1291897,-2.0685606,-1.3463708,1.3262306,-0.5256795,1.4287981,1.8708835,-0.30166897,1.9631468,0.3148422,1.416715,-1.8427367,0.23829645,-0.047928296,2.3035648,0.57574254,-2.8855882,0.49283966,-1.3316991,-0.39448968
Li,-0.2042299,-0.8107893,0.14578177,-0.56224024,-1.4560964,0.90479875,-0.47874975,-0.8062434,-0.03443352,1.2194558,0.108060814,-0.031935748,-0.46211168,0.29784387,0.14620602,-0.040725037,-0.4213676,0.968741,1.668402,-2.5806625,-0.52525973,-0.03634253,-1.2902119,0.7483823,0.8983637,0.3359111,1.2311698,-0.13647132,-0.7379844,1.5781163,2.340153,-0.86795086
Be,0.9347043,-0.74044347,0.7938801,0.6133966,0.80185044,0.91383153,-0.48738033,-0.5884146,-1.4173672,-0.50590736,-0.9204002,-1.235,0.32651007,0.91758835,-0.966112,0.14681974,-1.50067,-0.3884607,2.5233302,-0.721488,0.34655988,-1.388569,1.7782801,-0.7569327,-0.69321895,-0.41886002,-0.04725978,-0.32634193,0.8249958,2.104956,-0.8913744,-0.33941403
B,-1.2981784,0.13142739,0.4038716,1.5341669,0.17967355,0.8357601,0.43450063,-0.18122257,-0.5949718,-1.001211,-0.6523043,-0.24966745,1.9924358,-1.7458314,-0.37315407,-0.21014377,-0.10459237,-0.1324534,0.23845433,0.33731204,0.20224392,1.938781,-0.8701518,0.81112176,1.0248327,0.11534123,-0.7793653,-1.3223301,-0.105705,1.6341585,0.39911574,0.23556502
C,-0.013691293,0.252409,-1.9839989,0.4530831,-0.7143299,-0.09027394,-1.7247905,-0.10807382,0.75085753,-1.3937798,2.7142458,0.2615358,-0.58236015,-0.30215913,-0.74673814,0.27934402,0.033237476,0.3370337,0.23632325,-0.3895884,0.551371,1.2115277,-0.57150286,-1.4042788,0.6869919,-0.12175451,-1.3218079,1.0934528,-0.5237903,1.9513823,-0.010453217,1.427342
N,-0.093631096,-1.072217,-0.5251276,-0.25668162,0.71271604,1.1170323,0.4668112,-1.366732,-0.64253813,-0.081257604,-1.8134824,0.68037724,-0.22200641,-0.25612375,1.2959093,-1.1023325,-1.3454616,1.0195254,-1.1464764,-1.9761662,-0.53567845,1.5806199,-1.3961642,-1.3572221,-1.7006232,-2.361711,-0.3236083,-0.5086554,-1.0841837,1.5675341,1.2973297,1.1739666
O,-1.0748345,1.1610988,-0.3556771,0.5725279,1.354812,2.3906753,-0.9712728,0.6596608,-0.78569067,-0.49142712,0.49862388,2.5307033,-0.4402312,-0.7033487,0.9819896,0.40237296,-0.4425296,-0.47573176,0.9240641,-0.6792256,-0.25200915,1.5897701,0.15083353,0.12719466,2.700805,-1.9772835,-0.79713804,-0.10124619,0.23550765,1.8993851,-1.3936403,0.8719538
F,-0.43862036,-1.5025454,1.690378,-0.7615702,2.0208101,1.0004828,-0.6205843,0.70116675,-1.1052248,-0.89483327,-0.71370137,-0.24883565,-1.0898134,-0.2516037,-1.698723,-0.8790537,1.4210607,0.44664735,-0.8177708,0.16045688,0.1414335,0.23872285,0.89820665,0.20264256,1.2160922,1.468731,1.0139831,0.95243794,1.4578439,0.2111152,-0.8038494,-1.626362
Na,-1.624462,-1.6293988,1.6610518,-0.88544434,-1.1478574,-2.1372793,2.0429947,-0.3531208,-0.2228083,0.41949654,1.0162352,0.53111017,-0.32278144,-1.0396371,-0.55019987,0.058965273,-0.90773904,0.4683876,0.34764126,0.70417815,-1.5191292,0.81184393,1.7861954,1.2486522,-0.91127,0.54653025,0.27360657,0.12087536,0.09640135,-0.46267295,-0.9259395,1.6346949
Mg,1.2231396,-1.2246469,-0.33831608,1.8522428,-2.1395123,1.4191369,-1.3373848,-0.7121105,-0.76447076,1.2962397,-0.19308518,1.6303252,0.57759434,-0.5163762,2.0276601,0.74838436,-0.80376107,-1.1483911,0.22321646,-0.07408802,-0.6725315,0.95399445,0.5910885,0.13963154,1.9299597,-0.16816305,1.0947896,0.07792572,-1.0112252,-1.6481471,1.3519214,-0.152905
