Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,0.007110908,0.3443826,1.7242528,-0.09746458,1.70352,0.6629588,0.35100922,0.3862364,0.02920803,1.3103378,-1.1688582,-0.5725356,-1.9721264,-0.41567308,0.5041067,-0.1592015,-1.0714644,0.19833468,-0.22378045,-2.5958622,-0.59073156,1.0682381,-0.52627313,1.3257921,-0.45906103,0.09661951,-1.7033023,0.9116026,-1.1639383,-1.0050035,0.38184437,0.5662567,-0.68703157,-0.23818809,0.041748766,-0.21676327,1.7485102,-0.21541005,1.2522409,-0.9738392,-1.2638266,2.814918,0.13780506,-1.2803782,-0.5025958,0.7644596,1.0851449,-0.47908613,1.6081706,-1.4489031,-0.4727364,1.1738957,-0.115448244,-0.7030112,-1.1719056,-0.7257247,0.25596407,1.3998977,-0.92905533,-0.8899913,0.5949498,0.17650178,0.6980899,-1.488078
Li,3.0518832,0.03990531,-0.39139962,1.8197619,-0.5129763,0.013858361,0.1596356,0.68728703,0.4748339,-1.3324028,-1.2175856,-2.0545409,-0.86121386,0.27479452,-0.08780843,-0.8031471,-0.7739162,0.63934493,2.02985,-0.8603759,0.14090233,0.4878855,0.57784986,0.40259257,-0.55586076,1.770188,-0.29614335,-0.83626693,2.1618712,0.3756995,-2.0450225,0.9921908,1.4702922,-0.61373234,-0.8627817,0.17795822,0.26452962,1.1439931,-0.5866891,0.80800015,0.14367016,-1.3066123,0.26894626,-0.98224086,-0.7999261,0.16861102,-0.19738626,-0.15973152,-1.1239568,-0.0342851,1.1143577,1.2424284,0.8160619,1.8657953,-0.9891222,-0.21926765,-1.1372147,0.8798307,-0.10412668,0.2658757,0.15808125,1.0027848,-0.45274997,0.70453155
Be,0.35565144,0.79549164,1.1210629,2.1480603,-0.045603845,0.035812978,-1.0063441,-0.04497646,-1.0275209,1.9899026,-1.507241,0.15922171,0.26648203,1.204161,-1.584578,-0.5842533,0.28607678,1.0045156,0.76559967,-0.065178566,-0.5327458,-0.0102095,-1.3119301,-0.34573427,0.75326425,0.79619527,0.45818147,-0.34798726,-0.080957286,-0.95512295,-1.0331795,-0.42648393,1.8047746,1.0005202,-1.3071731,-0.3599079,-3.7835011,0.8360117,-0.63492316,-0.8025845,1.436338,1.478305,-0.42990696,0.5466013,-1.47829,1.255555,0.30186158,-0.96194196,-0.052511267,-1.1147039,1.4716631,0.048333306,0.45077989,2.3032486,0.007171769,-0.43566826,0.84700066,1.4300251,-1.1606313,-0.62967575,1.0099846,-0.12067159,-0.50927955,-0.7080513
B,1.0825735,0.03110545,1.61368,0.56039995,-0.5181809,-0.9266641,-1.1447967,-0.9078525,0.8016914,-0.8348317,0.2983111,-0.39553285,0.19961049,-0.91941595,0.67735034,-0.10765074,2.0615575,0.77859783,1.8612189,-1.321726,0.4183265,0.13809142,-1.0186893,0.28067273,0.6257827,0.72232544,0.0341984,-1.7542343,-2.3335738,0.7824487,-0.29961762,-1.5310006,-0.8070062,0.153085,-0.544599,0.30465627,1.2132602,1.5084529,-0.8774663,0.3755993,-0.29289088,2.3882105,-0.7059085,-0.053701244,-0.35207918,-0.43340215,0.8244448,0.9708849,1.1187111,-0.91979456,0.55763376,-0.99939114,0.48967355,-0.9426583,-0.98271567,0.38638267,1.7790232,-0.40156502,0.26912126,-0.18190119,1.2369417,0.52943337,-0.561054,-0.34136954
C,2.2815452,0.5166111,-0.908086,-0.5518561,1.2315493,1.8696951,0.43688333,-1.4832538,0.36812457,-1.4747136,0.9263577,0.42884198,0.12439664,1.5385926,-1.2028692,0.52728856,-0.26270002,-0.3083147,1.9297317,2.634426,0.1026905,1.1456765,-0.04829515,-0.44437224,-0.79136413,-0.0050807386,-2.665921,-0.28253186,1.0109576,1.5497975,0.3332947,-0.052862007,1.1607121,-1.4698591,-1.3909847,0.26465532,-1.3356137,0.1432655,-0.2136401,1.240934,-0.732781,1.0740507,0.92961115,0.015020887,-1.6523792,-0.3473827,1.0484918,1.650908,0.1928206,0.5138331,0.8362566,-1.2552576,1.4124861,1.2067531,0.78270584,-0.11757004,-0.64611757,-1.3829141,0.9688377,0.93436545,-0.23941256,0.6310491,0.52790374,0.4844999
N,0.04162777,0.39381835,0.72450125,-0.15865763,1.8917425,-0.61864185,0.35360032,-0.44737637,-0.92407036,0.58299816,-0.09624727,1.542506,0.8208687,-1.2523452,0.50780034,0.18175462,0.47364378,-0.97192454,0.48543492,1.0878845,-1.773772,0.4845124,-1.5856178,1.7733722,0.710698,2.4271157,-0.3769999,-0.5793343,1.7187003,-0.54998314,-0.78950393,-1.1267356,0.6303072,-1.286502,-0.50421906,0.27625707,0.37719446,0.348101,-0.04140164,-1.1945989,1.8116208,1.6243279,1.2092742,0.39585862,-1.1991799,0.7188838,-0.81795937,-0.6704916,0.7226227,0.12332834,-0.45523772,-0.0452524,1.5821618,-1.0717859,0.15377085,-1.5458674,1.1195905,-0.9971884,-0.6077927,0.7402845,0.30534077,0.7489133,-0.57325345,1.3476205
O,0.19177441,0.22101326,1.807785,-0.50808376,-1.5659759,0.51623243,-0.24008028,-1.3371311,0.59533995,1.560755,-2.1570575,-0.72056043,0.09755443,-0.9408759,0.7328428,1.4643166,0.99916714,0.8892876,1.4324993,-0.40937597,-0.64413655,0.53530353,-0.7133465,-0.9455393,0.4496301,1.357903,-0.53790355,-1.4146243,-1.9404944,-0.46182418,-0.96544063,-1.1519428,0.004821671,-0.21383846,-0.07888849,-1.2995437,-0.5367243,0.1380686,0.13938592,1.4843069,-1.0622667,1.3110591,-0.6629246,2.5129998,-1.3701025,0.6951574,-0.25017118,-1.4108909,0.1702426,-0.49606165,-0.086754486,-0.123660654,0.6145453,1.9247942,-1.319898,1.1269429,-0.13023841,2.0445993,-0.45332545,0.29999992,1.132895,0.29389533,-0.86516386,1.0006444
F,0.3712309,0.815722,0.86109656,0.40053752,1.905365,-0.01970368,-0.2550097,-1.6717824,-0.66754377,1.273839,1.4514495,-0.6130447,-0.13207394,-1.1539919,-2.0066173,0.6749142,-1.8973798,0.68743026,-0.9045566,-0.5144855,-0.5627482,0.2381966,0.20646672,2.1746995,-0.23817237,1.4581982,0.8079976,-0.60357803,1.5769519,1.2881386,-0.6912199,-0.6333705,-0.8573683,0.5797131,2.5007584,0.7173289,-1.2582538,0.35829794,-1.1529642,-0.07805961,0.7586339,-0.32133242,-0.17305988,-1.0768604,-0.866013,-0.27533635,-2.126679,-0.73496133,0.763126,0.55950016,-0.6074248,-0.5290907,0.57742333,0.58173114,0.20530462,-0.4312893,1.4298557,0.3459944,-1.1032367,0.9314185,-2.0200539,0.049598668,-0.7401859,-0.14862312
Na,0.37463757,0.42905685,-0.60751706,-0.47668916,0.85347086,-2.2592936,1.5087956,-0.5992653,1.0447347,1.6840473,-0.1315004,-0.26795012,1.3128476,-1.3682302,0.13680816,2.4582462,0.61744696,-0.4167661,-0.02301412,0.2203986,-0.6999067,1.0680897,-0.98744106,-1.3154762,1.7683198,0.2317357,1.1140027,0.04086082,1.1297944,-0.74600464,1.6744162,1.1475767,0.10390688,0.6197618,-0.611135,-0.8533749,0.9631107,1.344135,-1.0708488,0.15143673,-0.40355968,0.8693865,0.6915636,-1.0342374,0.50200796,0.7918022,1.1468328,0.45790374,-0.094304115,-0.9474697,1.0149697,-1.2016747,-1.299739,0.66558915,-1.8364176,0.18131194,-1.0192257,-1.323945,1.3456327,1.8160052,-0.94018686,-1.1626334,2.171587,-1.4554021
Mg,0.7087313,1.5094737,1.0822644,-1.7875354,0.65565324,-0.56958133,0.19990396,-0.67536646,-0.14242609,-0.16012803,0.51816124,0.9741774,-0.28937098,-0.8712948,-0.5619896,-2.0800178,1.000622,-0.023469394,-0.71020967,-0.12312738,-0.08665859,-1.3854027,0.83929193,0.19623828,-0.3159251,1.3019205,-0.052204918,-1.2879083,-0.71248525,-0.1523679,-0.20378518,0.7207661,-1.1341616,0.5446167,-0.07213581,0.95601875,-0.5727761,-0.6870769,1.0232716,-1.0317883,0.45258212,-0.90530497,0.31902176,1.0963823,-0.96502185,0.80894685,0.46073288,0.8833969,0.8410924,-0.21591553,-0.408909,-0.1598813,0.12932095,1.3943048,-0.39645776,0.14759652,1.8537877,-0.75734216,0.75120336,-0.53255457,-0.7298426,-0.3086083,0.50712305,0.29307893
