Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,0.5174671,-0.24780169,0.7978228,0.8284614,0.9345903,-0.09951365,0.67441875,1.1976962,0.0943136,0.23017743,0.1984525,0.6652452,-0.31877178,0.095201924,0.37025583,0.53244036,-0.094893605,-0.2892415,0.014889747,0.09853725,0.6647728,-0.4400639,0.025092483,0.8858464,-0.15886694,0.17642222,-0.6952575,0.05377615,-0.58628124,-0.4939063,-0.27312243,0.4817171
Li,0.2398365,-0.36998728,0.64086497,0.20176718,0.4597565,-0.35760653,-0.15952578,1.1494256,0.53300416,0.16122714,1.2599494,0.3810218,-0.67026764,0.85749125,-0.21510401,0.6893421,-0.031055413,0.3486997,0.3412875,-0.17113587,-0.046562377,-0.16458482,0.7473447,0.022044338,-0.636913,-0.21133694,-0.58313423,-0.07090958,-0.33488542,0.15215237,-0.48577428,1.1273384
Be,-0.44639364,-0.4080382,-0.019490167,0.2344746,0.3016867,-0.0503737,-0.28217062,0.8498556,0.18150681,0.07062004,0.7645155,0.61413485,-0.32554078,-0.100025535,-0.5284221,0.35873362,0.19304094,0.34436512,0.61357224,0.17306249,-0.24726354,0.27214533,0.8043365,0.05845264,-0.5157109,0.06686643,-0.40250707,0.3103378,-0.065915816,0.32260272,0.0043930374,0.9960645
B,-0.27650917,-0.26017955,0.24796058,0.41944155,0.13784622,-0.6488041,-0.7017154,0.59666055,-0.14258295,-0.21337631,0.38782454,0.074594274,-0.6681207,0.1460678,-0.40410757,0.22273487,-0.07671275,0.04363449,0.98604083,0.13402,-0.25408036,0.17448464,0.10380992,-0.22567154,-0.44569516,0.027624067,-0.007900711,0.6956752,0.14989796,0.52744454,-0.4431113,0.4335297
C,-0.21109095,-0.11188646,-0.49887204,0.100299634,0.052386537,-0.26791295,-0.61004055,0.13669738,-0.04546275,0.15211791,0.1317606,0.038041197,-0.28941846,-0.0655102,-0.09764188,0.40102735,-0.1527406,-0.18329592,0.18350768,0.3889325,-0.55583775,-0.122587316,0.13663033,-0.025898471,-0.6626023,0.053283393,-0.1007261,0.7138609,-0.13301161,0.234758,0.15319869,0.058444645
N,0.0691527,-0.25084794,0.05784686,0.21475527,0.2697249,-0.1984799,-0.11671872,-0.04303307,-0.16469991,-0.03521327,0.119033195,0.069777645,-0.09481494,-0.3154082,-0.26432726,0.017007401,0.11199079,0.5582061,0.2801749,0.15952362,0.03436223,-0.45803037,-0.35691455,-0.1621197,0.20359713,0.23432888,-0.02960625,0.09819792,-0.062248006,-0.049872324,0.6436322,-0.019493181
O,0.18552008,0.29221165,0.23963471,0.31448546,0.734903,-0.1631797,-0.2828685,0.1879443,-0.22572225,-0.42111596,-0.119770445,0.29164127,-0.039040208,-0.53842646,0.37186027,-0.29032925,-0.12807384,0.022588283,-0.38920665,-0.36374444,0.033978175,-0.62385094,-0.25451759,0.38141543,0.18252835,-0.054961234,0.08890422,0.18742493,-0.7234694,-0.40833148,0.483186,-0.069654346
F,0.7746077,-0.84092855,0.45191044,0.7354568,1.1334268,0.39697638,0.1713978,0.33477387,0.27932665,-0.6475544,-0.83553267,-0.15409021,-0.18251945,-0.09294245,0.652137,0.4706611,-0.6404989,-0.56945944,-0.50607145,0.63713354,0.53300405,-1.200738,-0.42947552,0.9034813,0.31573394,-0.18518677,-0.5814947,0.38238618,-1.0733681,-1.36804,-0.14248085,-0.3288261
Na,0.28006727,-0.54040086,0.2557394,0.20386153,0.3080631,-0.00073477253,0.24032983,0.73584175,0.8814996,0.3631522,0.16359046,-0.37899745,-0.5622926,1.0884247,0.2555834,0.8712292,-0.18299717,-0.3425898,-0.01637847,0.6425561,0.18950774,-0.37599453,0.015989184,-0.036366105,-0.53233963,-0.5208311,-0.57207066,-1.0865617,-0.56641847,0.0032411125,-0.24531047,0.17564653
Mg,-0.2546243,-0.3484477,-0.20518737,0.22956142,-0.054857925,0.16820757,0.26566967,0.61810964,0.16618219,0.28892732,0.20118359,-0.13045837,0.12972383,0.50280035,-0.30208516,0.59655416,-0.22157133,-0.07831263,0.15261698,0.30817947,0.0029874719,0.15732801,0.480203,0.061812848,-0.28750598,-0.39858764,-0.22578195,-0.8662331,-0.15799165,0.2209983,0.42500564,0.7141306
