Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,-0.48128772,-0.46978343,-0.37824398,-1.2618663,0.14258002,-0.55849177,0.22821411,-0.42069638,-0.9214331,-0.18925738,0.7183225,-0.36757296,0.06964393,0.35485086,-0.07476456,-0.62072825,0.57505107,0.22684437,-0.09506211,0.616931,-0.08389537,0.9420625,-0.4245128,-0.29182878,0.0694912,-0.004070498,0.43993562,-0.5722135,-1.2550235,-0.71700466,-0.2552458,-0.37686068,-0.7499005,0.41603562,0.0074007884,0.75186354,0.27667084,-0.3485833,-0.41578388,-0.15823221,0.24739748,-0.28447798,-0.63685095,0.18849403,1.3296955,0.54884267,-0.04388529,0.8832388,0.18094009,0.0529449,0.6377762,0.5193185,0.500982,-0.65001976,-0.486274,0.25718617,0.36387596,0.5573876,0.4214099,0.36270964,1.4929044,0.334454,-0.060617283,-1.1002656
Li,-0.76627624,0.0693979,-0.35941377,-0.8613059,0.29796204,-0.7062932,-0.27806333,0.080782264,-0.7420003,0.33352593,0.63197374,-0.06176109,0.019508205,0.431033,0.17955376,-0.2189829,0.2961653,-0.2483874,0.75320566,-0.002171293,-0.040818717,0.5287807,-0.19934583,0.11221801,-0.02068843,0.40732038,0.32973886,0.038276546,-0.7592851,-0.3699704,-0.13409723,-0.7033162,-0.56573796,0.34962955,-0.0839449,0.31432,-0.09576668,-0.096436396,-0.7012591,-0.42691356,-0.402884,-0.28324783,-0.7480202,0.41295853,1.0470484,-0.028253462,-0.42281199,0.4723839,-0.12441878,-0.4933836,0.05309417,0.36976677,-0.026123703,-0.63698196,-0.40345967,0.02591816,0.7708391,0.1887552,-0.024972677,0.4971777,0.6928877,0.087926194,0.14861539,-0.80977327
Be,0.28229588,0.33802772,0.23498034,0.1693585,-0.45926383,0.19653443,-0.34418082,0.44609904,-0.3161766,0.2486747,0.0052506737,-0.24505737,-0.16788895,-0.2608579,0.41329393,-0.5539894,-0.06932264,-0.5211562,0.56191814,-0.026576284,0.24191402,0.056836963,-0.25402588,0.14078695,-0.46411237,0.26441273,0.008891061,0.39561135,0.55354935,0.21964371,0.00032812892,0.11355231,-0.5296593,0.07953489,0.13352567,0.015377559,-0.23705496,-0.3299275,-0.174527,-0.36330318,-0.45502004,-0.1548236,-0.27313095,-0.12490163,0.3664,-0.24345553,-0.18066859,-0.35426345,0.04400597,-0.8039688,-0.3366437,0.2650088,-0.40126047,-0.5192549,0.16429967,0.0513202,0.9765806,-0.32489777,-0.1102848,0.0147264935,-0.27750996,-0.1356661,0.2904766,-0.012314096
B,0.11081924,0.5296101,0.33439973,-0.26885092,-0.15460211,0.3081787,-0.6962622,0.54288477,-1.1750358,0.40098,0.25602543,0.78964543,-1.0662522,-0.38203332,1.0636761,-0.10107079,-0.7918918,-0.8370971,-0.08302224,-0.31774527,0.82093835,-0.29250917,-1.1911461,0.42405647,-0.45038015,0.719584,-0.30760008,0.7517315,-0.3784454,0.7557498,0.72440284,0.37398642,-1.4633522,-0.025357962,-0.6030883,-0.30609807,-0.9145774,-1.1422482,-0.95584345,-1.4723077,-0.61784947,-0.20708549,-0.72382396,-0.41068158,1.5912452,-0.72638685,-0.9294938,-0.35996744,0.9401994,0.15497161,-0.5036987,-0.35180974,-0.5142509,-1.4766288,0.12388766,-0.5862347,1.1348388,-0.4774363,-0.2569597,-0.5529898,-0.46819955,-0.5013567,0.32318768,0.4171411
C,0.34214658,0.0066852383,0.31717142,-0.052107267,-0.05072082,-0.04603882,-0.4674861,0.1688387,-0.37699962,0.08663872,-0.12828024,0.3324662,-0.19083862,-0.7206913,0.36979607,-0.24383253,-0.2603215,-0.5115975,0.00055154413,-0.025384624,0.2950943,0.01866632,-0.2558572,0.2928263,-0.49452993,-0.114401974,-0.13591005,0.09494928,0.15136698,0.4358968,0.93054384,0.5496359,-0.5837286,0.019023344,0.17900018,-0.01909893,-0.28273484,-0.4897397,-0.110009834,-0.37044936,-0.032869678,0.028463192,-0.40557927,-0.25229397,0.76570773,-0.48985767,-0.28769767,-0.54273325,0.17144196,0.1930867,-0.32134914,-0.03349276,0.023078807,-0.37646875,0.27676135,0.08512588,0.5087935,0.07023519,-0.13608807,-0.4229487,-0.64669865,-0.1613194,-0.096574806,0.17611593
N,0.37549987,0.12356545,0.010552578,0.038043454,-0.23843804,-0.2354331,0.29141635,0.12474148,-0.14199041,-0.1720368,-0.16982901,0.32036382,-0.15728635,-0.46928653,-0.40917474,-0.24963233,-0.34896848,-0.5115161,-0.27665997,0.18824898,0.039633874,0.13467999,-0.20179737,0.039909765,-0.37190354,0.22038862,0.19686404,-0.26758966,0.008942403,-0.03599632,0.7548453,0.24080154,-0.1963911,0.15160471,0.14524814,0.26524147,-0.25699258,-0.4212747,-0.3570856,-0.07176507,0.010498222,-0.47554997,-0.36656207,-0.8998552,0.27604836,-0.058983427,0.21999653,-0.5621386,0.08361532,0.21980247,-0.061395846,0.047732234,0.21930686,-0.33958414,0.16511123,-0.21172075,-0.2104967,0.03491819,0.42775786,-0.49148405,-0.11660859,0.11068423,-0.05610971,0.50270796
O,-0.07299305,-0.141358,-0.5260449,0.11716512,-0.52900374,0.1969071,0.28644368,-0.018177941,-0.019266753,-0.6856077,-0.28049734,0.24116346,0.15095799,-0.09100796,-0.50134826,-0.49641058,-0.36146078,0.0048478586,-0.74657744,0.23056212,-0.15358475,0.18528245,0.021265581,-0.25372133,-0.5452749,-0.5426944,0.51385707,-0.6669657,0.1952205,0.12583086,0.31251007,0.31618005,-0.08331865,0.07588251,0.42095065,0.3981367,0.3200183,-0.09932119,0.03934233,0.005889505,0.88189244,-0.29636985,0.1681361,-0.3448675,-0.19690056,0.13543673,0.5323997,-0.34788555,-0.044356294,0.2085282,0.32361966,0.49042904,0.8609633,-0.027072523,-0.01980669,0.30441505,-0.37711102,0.18905134,0.6835902,0.030842107,-0.10360278,0.21447141,-0.46242043,0.298342
F,-0.8208614,-0.7400038,-0.72742635,-0.5527685,-0.43010074,-0.6037229,0.42629588,-0.5527092,0.3704881,-0.61018914,0.29590258,-0.62763065,0.41233397,-0.099782035,-0.56284064,-0.86321235,0.2970539,0.3723687,-0.49766177,0.5880175,-0.23682109,0.35615188,0.2804163,-0.6353392,0.4166362,-0.38463813,0.9961995,-0.95667684,0.07113319,0.3661244,-0.067325726,-0.3001453,0.11345348,1.0310118,0.71076244,0.7626711,0.29816517,0.22729452,0.45199996,0.5579379,0.34274283,0.26630828,0.52863705,0.25060433,0.6615134,0.31847328,0.75846696,0.008359535,-0.73678386,0.82334477,0.5007266,0.88476866,0.6925807,0.5455951,-0.8988662,0.723812,-0.6743759,0.74294156,0.9343469,0.25176004,-0.018867962,0.7619194,-0.8544014,-0.16300052
Na,-0.5696654,0.1928834,-0.37805024,-0.95489985,0.64963615,-0.66891396,0.069116466,-0.20007418,-0.39349163,0.41372627,0.6739311,-0.15890828,0.09624477,0.899954,0.10410083,-0.33125612,0.69402945,0.03117222,0.67255014,-0.08459172,-0.2689172,0.8126162,-0.19850329,0.068597,0.025124043,0.2633385,0.17906384,-0.065460466,-0.7398445,-0.64512414,-0.21882312,-0.7455243,-0.047646794,0.26289,-0.24791534,0.36085355,0.044405375,0.18428834,-0.73325247,-0.18198293,-0.16346698,-0.32057747,-0.8451536,0.61046565,0.6965254,0.18181813,-0.18850645,0.77368283,-0.1034601,-1.0805253,0.116824634,0.43187952,-0.2686923,-0.7656384,-0.17111205,-0.019243222,0.9987612,0.21708107,-0.31838703,0.6297279,0.9996428,-0.022916827,0.15763834,-0.92553675
Mg,-0.09561428,0.36387593,0.07380553,0.009756431,0.0029667728,0.012790456,0.028490163,0.084254906,-0.0790608,0.20432808,0.13341081,-0.29880327,-0.16773157,0.76650506,0.12344253,0.05100967,0.39649963,-0.26847187,0.53077465,-0.044260804,0.025648583,0.32907724,0.034764633,0.26489952,-0.5021154,0.11662771,-0.090188906,0.48155332,0.15275022,-0.31013986,-0.08871978,-0.27115598,0.24245392,0.058488578,-0.11827682,0.04812897,0.023184534,0.0438619,-0.668786,0.07652448,-0.21691744,-0.040763743,-0.3435065,0.11171388,0.04869025,0.13099489,0.13819617,-0.039925672,0.014061425,-1.49324,-0.015347144,0.18291545,-0.748007,-0.5407617,0.19451068,-0.35215256,0.9396223,-0.32009035,-0.1894654,0.26770595,0.4260959,-0.2540658,0.20307058,-0.41234356
