Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,0.42565745,-1.0260123,-0.27058816,-0.4160147,-0.66006064,-0.47230068,1.4403172,0.31368038,-0.23281002,0.15545814,-0.23164853,0.39666808,0.16537213,-0.18605493,0.2081294,-1.1771858
Li,0.18554384,-0.924105,-0.52238977,0.074633956,0.09225688,-0.6753382,0.69842035,0.5901698,0.6990191,-0.16961487,-0.098113246,-0.53906703,-0.24008626,-0.6253607,0.5230487,-1.0945208
Be,-0.28643897,-0.15959516,-0.10269795,0.07576171,-0.036310293,0.23282433,-0.09538354,0.16464081,0.36988428,-0.38221708,-0.27356535,-0.1874561,-0.2339257,-0.06433022,0.34898406,0.013239022
B,-0.036116783,0.0193647,0.46923223,0.5155694,-0.1685237,0.16554472,0.13622966,0.032716803,-0.44524541,-0.40390283,-0.07568554,-0.32030377,-0.004933264,0.15035135,0.45996386,0.025929112
C,-0.045167778,0.133072,0.019384813,0.02801938,0.16621655,0.19172007,0.030484304,0.35930195,0.30316672,-0.39426532,-0.1717856,-0.32640117,-0.097332835,-0.013252925,0.33027124,0.45683047
N,-0.19041704,0.11047365,0.2009368,0.22399108,-0.12023058,-0.07395499,0.31986815,0.22240947,-0.12890327,0.047515154,-0.25203434,-0.0936886,0.15691033,0.09767541,-0.059547123,0.31703165
O,0.2930513,0.40915006,-0.18867725,-0.2119653,-0.30579132,-0.16650827,0.36478,0.57161283,-0.062408756,0.10411224,-0.43028805,0.38729227,0.57684964,-0.036268752,-0.472269,0.2239888
F,0.8232379,-0.34881675,-0.6362008,-1.2722421,-0.51260513,-1.0697832,-0.11050962,1.0697149,-0.36684313,1.0456141,-1.2342502,0.6908093,0.9673266,-0.5689281,-1.0287231,0.8713872
Na,0.4007654,-1.1361563,-1.3955399,-0.48460588,0.14976749,-0.87116617,0.4449088,0.62914884,1.2843285,0.16245419,-0.17690653,-0.43136173,-0.22903535,-0.26609772,0.60405254,-1.1417817
Mg,-0.21165399,-0.5564575,-0.9472152,-0.14220776,0.15164696,0.068261124,-0.17773484,0.12454903,1.1753421,-0.20444168,0.13286716,-0.42519212,-0.32165903,-0.09789178,0.48447296,-0.45156503
Al,0.012673823,-0.57714677,0.10273877,0.4405026,-0.009602549,-0.20584872,-0.19158955,0.16340265,0.58004093,-0.3742945,0.023845859,-0.33341193,-0.50864714,-0.10297081,0.45685765,0.03618175
Si,-0.27249643,-0.466653,0.07875046,0.08799916,0.42593583,-0.11667206,-0.21384089,0.19283009,0.72058535,-0.44231918,0.18006966,-0.617266,-0.61503583,0.14994445,0.30927947,-0.057551768
P,-0.115452945,0.19272359,-0.37239778,-0.20698278,0.19067809,0.121602274,-0.38248366,0.03950976,0.47464234,-0.16939235,0.18276244,-0.474942,-0.0044041537,0.5876661,0.41072416,0.68842673
S,0.030862091,0.26922894,-0.46024665,-0.45634672,-0.09432338,-0.08228179,-0.40427107,0.3923044,0.091366574,0.07994521,-0.09620985,-0.061866615,0.19854403,0.034177992,-0.04292419,0.6894013
Cl,0.3612621,-0.31804788,-0.3720326,-1.0061044,-0.09545325,-0.47117135,-0.33288944,0.8040819,-0.24557823,0.92432153,-0.73892164,0.31055397,0.3392043,-0.23872527,-0.652299,0.45859346
K,1.0118,-1.6245804,-1.7691712,-0.4018642,-0.359081,-1.2401863,0.844439,1.5409677,0.73744434,0.7397722,-0.6937812,0.13562153,0.4494217,-0.95350945,0.09259556,-0.7696038
Ca,-0.24485333,-0.46588397,-0.62294704,0.3646367,0.12110621,0.050738357,0.07444013,0.42425725,1.1713088,-0.5917114,0.57736343,-0.95443434,-0.6525308,-0.15044698,1.0951196,-0.7147424
Sc,-0.09131813,0.34578001,0.043649312,0.4015385,0.32586244,0.51121074,-0.57401353,-0.19270518,0.8428926,-0.5546447,0.76852983,-0.58456707,-0.6953264,0.55663806,0.87471265,0.39412236
Ti,-0.73679346,0.33371234,0.70739484,1.0861081,0.7611277,0.78551084,-0.8322578,-0.4044517,0.6080668,-1.1647583,1.1273121,-1.2406261,-1.2699718,0.6055191,1.1647053,0.42162496
V,-0.77724284,0.62358254,0.9216248,1.3664509,0.92140543,0.7465008,-0.869838,-0.6931194,0.9882709,-0.9077617,0.7366422,-0.98547333,-1.3553282,0.6811441,1.1265761,1.0703256
Cr,-0.7521628,0.8295025,1.1054881,1.0537758,0.8040209,1.147333,-0.77891123,-0.8089446,0.34169766,-0.6810441,0.9557007,-0.7444108,-1.0035635,1.013619,0.9631388,1.2782723
Mn,-0.9153,0.6027057,1.4012198,1.4449844,1.1532934,1.1174815,-1.040225,-0.93894684,0.7074233,-1.1735355,1.416619,-1.5003009,-1.4452442,0.31661865,1.2872194,1.0275811
Fe,-1.0578645,1.2269179,1.3678513,0.93915796,1.0803916,1.3723544,-0.93789136,-0.8603848,-0.056200683,-0.62955356,0.95667905,-0.87954193,-1.0532558,1.2081505,0.8523337,1.3687497
Co,-0.6050044,1.1991938,1.3973703,0.6695577,1.066411,1.5596162,-1.0100596,-0.97101116,-0.059529923,-0.6871661,0.6853692,-0.44052294,-0.6608089,1.300069,0.76388556,1.529211
Ni,-0.69059956,1.0815388,1.2203702,0.7577526,0.9072863,1.2893275,-0.7239413,-0.79589736,-0.2812254,-0.54432034,0.7939543,-0.7355028,-0.2840667,1.1817166,0.48546597,1.1306281
Cu,-0.81561196,0.6365426,0.85744303,1.2202643,0.8842496,1.1069479,-0.7938229,-0.8663186,1.2644184,-1.5636588,1.148371,-1.5061071,-1.4684948,0.632898,1.6848642,0.5275894
Zn,-0.58494496,0.1489894,0.7405708,1.1335108,0.3652461,0.31334737,-0.6002225,-0.17003691,0.47859487,-0.672138,0.5424606,-0.60112685,-1.0330607,-0.041277792,0.9731782,0.16323934
Ga,-0.1818128,-0.08482136,0.76236165,0.7345382,0.34722096,0.098715596,-0.43149686,-0.049436823,0.40810025,-0.71669126,0.24636278,-0.4681208,-0.5276273,0.20037396,0.6234388,0.38931447
Ge,-0.4314912,0.08190121,0.5217429,0.2883829,0.6519624,0.282317,-0.26346284,-0.0054998696,0.42055738,-0.4123565,0.42918822,-0.6750909,-0.38076377,0.5586197,0.3874508,0.3963153
As,-0.21889335,0.29986024,0.45259628,0.40590915,0.15699226,0.0403369,-0.17001559,0.034656543,0.0635046,-0.26871002,0.1818619,-0.44068313,-0.12153755,0.600935,0.37038934,0.55965215
Se,-0.22819431,0.69611293,0.36087403,0.12691115,0.021894196,0.054663308,-0.22826995,0.22379953,-0.16699192,0.05298637,-0.08611812,0.17387757,0.055351187,0.19651115,-0.07193531,0.98631257
Br,-0.03454222,0.23671587,0.10109134,-0.66538703,0.4405596,-0.008166127,-1.0438428,0.517515,-0.09734959,0.62101626,-0.42944482,-0.045764737,0.15035571,0.007444855,-0.27104905,1.3268445
Rb,1.2760255,-1.6587812,-2.1579072,-0.47851464,-0.42684704,-1.4756634,0.5556378,1.6068442,0.83235407,0.46056274,-1.0131731,0.22532718,0.3477208,-1.0811532,-0.13485491,-0.40714073
Sr,-0.3102335,-0.74452853,-0.82022876,0.35304043,-0.038227104,-0.055327944,0.011005405,0.47727802,1.3820208,-0.6467153,0.4752327,-0.9651496,-0.6369325,-0.37238166,1.1482687,-1.0061392
Y,-0.06619382,0.0760487,-0.37324414,0.28180033,0.16490541,0.46025434,-0.49184704,0.015985392,1.0571573,-0.5595027,0.6609395,-0.7225545,-1.0069112,0.52544534,0.86728746,0.22357373
Zr,-0.62093306,0.4599347,0.024577674,0.74383414,0.57129073,0.783609,-0.8258098,-0.55500615,1.3878336,-1.2380303,0.94020754,-1.048245,-1.2546154,0.6167907,1.4100374,0.38491663
Nb,-0.779236,0.5673526,0.4814442,1.121524,0.8425586,0.72284836,-1.0506843,-0.8569498,1.3024707,-1.2843497,0.7586487,-1.3640682,-1.3655394,0.77403164,1.330109,0.683605
Mo,-0.62237716,0.5783457,0.17423663,0.61744505,0.39452943,0.8722059,-0.67216295,-0.72833395,0.6873989,-0.5729134,0.7095531,-0.8314652,-0.65407443,0.9318098,0.9826891,0.79562366
Ru,-0.8612396,0.9879752,0.7734425,0.48758924,0.7164936,1.1428188,-0.5263859,-0.54033554,0.026459336,-0.262108,0.5590133,-0.56892854,-0.5542636,0.9996015,0.45744988,1.0122454
Rh,-0.54514885,1.0004704,0.8353059,0.48049662,0.73540676,1.291449,-0.625839,-0.5008769,0.030684032,-0.48122847,0.31480715,-0.24101338,-0.43632063,0.7440551,0.28816622,1.4341447
Pd,-0.76338226,0.8308971,0.7786214,0.59365916,0.26748338,0.7363271,-0.53003424,-0.44844404,-0.33403182,-0.18497431,0.31163433,-0.19515388,-0.503249,0.83956933,0.4801921,0.881291
Ag,-0.8604472,0.39613628,0.43321148,1.091212,0.5936614,0.87880665,-0.47245675,-0.5887512,1.2092402,-1.299014,0.91074246,-1.3961985,-1.369222,0.44035152,1.4721086,0.34029353
Cd,-0.65694183,0.115067974,0.6300001,1.0165805,0.33606604,0.36890575,-0.6422522,-0.20448378,0.45544598,-0.92947936,0.57946616,-0.8254388,-1.1351798,-0.056087133,1.0270877,-0.062779956
In,-0.58272433,0.2191955,0.22674611,0.64222884,0.46896067,0.44108537,-0.8534284,-0.4328427,1.0035757,-1.1037488,0.5121889,-0.8732979,-0.78414124,0.39166993,0.9261642,0.57184577
Sn,-0.67332697,0.38309234,0.0029367767,0.08463836,0.6916584,0.5530165,-0.51511633,-0.35370395,1.0523388,-0.5961745,0.44272593,-0.7713228,-0.4708293,0.78555053,0.58256847,0.6483882
Sb,-0.38281778,0.5509503,-0.25538483,0.119475424,0.3606751,0.27917325,-0.61258,-0.13981953,0.83517957,-0.4027935,0.25062594,-0.67517453,-0.19653213,0.95628166,0.39119035,0.7827626
Te,-0.4111972,0.6080813,0.12420903,0.058116827,0.16575648,0.19452596,-0.5584053,0.14979179,-0.030837186,0.02449786,0.11958603,-0.1974175,-0.21070749,0.6585642,0.050882448,0.8522088
I,-0.5349489,0.6113538,0.21888906,-0.42055786,0.4981027,0.3797224,-1.3467915,0.5938873,-0.10415543,0.43549797,-0.10223066,-0.3253427,-0.0024473332,0.22791697,-0.20698796,1.8937203
Cs,0.90602314,-0.8719867,-1.9459267,-0.6126635,-0.043682575,-1.0913478,-0.09341852,1.3468647,0.75415146,0.50248194,-0.9827468,0.11656927,0.4638939,-0.5609114,-0.28272167,0.033903945
Ba,-0.48330316,-0.5661336,-0.70625484,0.31013253,-0.007768767,-0.1439004,-0.047346197,0.31727585,1.6477643,-0.80132174,0.43863955,-1.1512182,-0.6592025,-0.27008316,1.2448338,-0.97755116
La,-0.18193725,0.22941478,-0.28868562,0.26261583,0.37282404,0.15947518,-0.36415994,-0.14261419,1.438822,-0.36135048,0.2833725,-0.81554335,-0.5371468,0.6376042,0.7995875,0.13248345
Ce,-0.18193725,0.22941478,-0.28868562,0.26261583,0.37282404,0.15947518,-0.36415994,-0.14261419,1.438822,-0.36135048,0.2833725,-0.81554335,-0.5371468,0.6376042,0.7995875,0.13248345
Pr,-0.45597172,0.35796434,-0.2443803,0.19947015,0.50637245,0.21742684,-0.41829425,-0.23986694,1.6783475,-0.4092164,0.31145713,-0.95000875,-0.6472892,0.66602665,0.8959765,0.24081115
Nd,-0.50397974,0.42872316,-0.22182463,0.3828205,0.5618162,0.20218056,-0.77639335,-0.25279158,1.4007683,-0.49309325,0.46409312,-0.9051882,-0.6413048,0.69230413,0.70037496,0.25482816
Sm,-0.31929383,0.19460835,-0.25612202,0.34472868,0.46871766,0.20038944,-0.5061915,-0.14638779,1.409126,-0.39382797,0.35685262,-0.8825956,-0.51656085,0.52657884,0.7226928,0.05392239
