Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,0.83103275,0.7350706,0.8673522,0.72722375,1.8312367,-0.33234495,-0.54068846,-1.2554078
Li,0.31613484,0.49494055,0.9215865,0.9706655,1.2312243,-0.0761171,0.029399361,-0.35619065
Be,-0.16097666,0.38111174,0.14368388,0.71699893,0.002107963,0.30917647,-0.0013318397,0.29479483
B,-0.31747687,0.1195339,-0.58341736,0.46517897,-0.48167127,-0.060121253,0.17712481,0.18058465
C,-0.07097005,0.051791523,-0.50848454,0.53262204,-0.5196724,0.021736756,0.40668598,0.31595537
N,0.1474463,-0.08615364,-0.14525849,0.23232839,-0.31645262,-0.0431669,-0.0402803,-0.0630696
O,0.48799783,-0.14556742,-0.32557166,0.05231448,0.20631084,-0.57088643,-0.36320475,-0.31527936
F,0.8422243,-0.52103937,0.5715718,-0.34106156,0.6711304,-1.0615286,-1.0727572,-0.733298
Na,0.5170136,0.10246818,1.3589171,0.69697404,1.3200642,0.028407335,0.39133024,-0.4314519
Mg,0.07658977,0.17257954,0.69124913,0.35847968,0.57014465,0.44245076,0.33483008,-0.22813036
Al,0.07532159,0.27146357,0.2732129,0.6631768,0.15673006,0.44036484,0.44969782,0.2405334
Si,-0.27563906,0.16485904,0.06941055,0.7006391,0.16461474,0.37927592,0.6803447,0.2565371
P,-0.21526317,-0.100084305,-0.30477595,0.37523365,-0.20627552,0.053942367,0.70559746,0.07414581
S,0.07989842,-0.5106161,-0.37878302,0.16953361,-0.015347831,-0.56054544,-0.10304177,0.16181146
Cl,0.8103085,-0.74527293,0.64277536,-0.56530064,0.49185604,-0.626602,0.09147991,-0.249151
K,1.118518,-0.23245396,1.7688744,-0.28313446,1.8368129,-0.25888616,0.62266475,-0.23351865
Ca,-0.20994478,1.4223963,0.40897933,0.95607793,0.54426163,0.74744236,0.47871494,0.4230464
Sc,-0.587089,0.81218994,-0.22504798,0.4472798,-0.22011313,0.95180476,0.7949662,0.48430166
