Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,0.71704394,-0.83141184,-1.0193567,0.9628629,-0.8322903,-0.7568193,0.8902585,0.7315052,-0.8822728,0.9845623,-0.8130335,1.1143657,0.40802586,-0.44858205,-0.28299817,-0.06884442
Li,0.091045566,-0.10117184,-0.23428448,0.3093279,0.046047427,-0.57793313,0.32142368,-0.016308714,0.1417196,0.069017455,-0.2988124,-0.01090264,-0.27650768,-0.0064080507,0.44046435,0.23269464
B,-0.30288604,0.24860162,0.3990066,0.23729932,0.17678432,0.36524385,-0.40682802,-0.043477114,-0.11248283,-0.27346128,0.040451355,-0.46616155,-0.0064699966,0.48706505,0.39591986,0.24242617
C,-0.0016381312,0.23651233,0.0780756,0.12521622,0.11819042,0.29446793,0.0046371166,0.33652687,-0.089577,-0.26374763,-0.1292013,-0.2651129,0.055183396,0.07795465,0.06324352,0.27956197
N,0.07286382,-0.14017294,-0.22273564,0.9343658,-0.3113673,-0.35476887,0.22518413,0.605597,-0.44056723,0.36715466,-0.5460748,0.15112264,0.55419767,-0.06031628,-0.44517887,0.10768977
O,0.43836847,-0.050340846,-0.41375613,1.1677572,-0.513783,-0.4574225,0.45097768,0.5354413,-0.45650488,0.28309447,-0.623704,0.5659631,0.69072926,-0.40179384,-0.68498796,-0.22545213
F,1.0679662,-0.63929987,-0.7606076,1.2301022,-0.9186485,-1.1814169,0.73869246,0.8027904,-0.6930407,0.9793531,-1.3158165,0.90225035,0.82891256,-0.97616863,-0.96169406,-0.3077711
Na,-0.31162325,0.30922744,0.046981283,-0.61039275,0.57477343,-0.031181037,-0.33178475,-0.7369528,0.7610841,-0.2287555,0.24866238,-0.41455826,-0.80510926,0.9361268,1.0724388,0.6055612
Mg,-0.4044713,0.12131505,-0.098387666,-0.53308123,0.3518157,0.49175912,-0.5179915,-0.29165214,0.44117215,-0.20066547,0.19109985,-0.20745964,-0.27839515,0.543282,0.32328567,0.24018183
Al,-0.5053002,0.0834202,0.690945,0.11306528,0.47222552,0.36458385,-0.7681825,-0.37170678,0.6397054,-0.43523276,0.37928548,-0.6440856,-0.68490165,0.36902732,0.4713632,0.66256666
Si,-0.34046075,0.0104029775,0.4839032,-0.11758845,0.51343584,0.17358518,-0.38137433,-0.11597386,0.43044087,-0.34280002,0.26185855,-0.55753195,-0.5313115,0.27547038,0.08380681,0.33911777
P,-0.20074923,0.29832336,0.05320131,-0.142845,0.20068917,0.16760683,-0.36866495,-0.119996935,0.47644925,-0.3550467,0.3577447,-0.57145613,-0.19578572,0.46525556,0.5289231,0.66230685
S,-0.19903252,0.3368468,-0.066784285,-0.028681524,0.04258941,0.05738336,-0.40648243,-0.038468238,0.34435952,-0.35531354,0.22821116,-0.2831414,-0.24266928,0.18316917,0.4212766,0.30068922
Cl,-0.002066778,-0.17827496,0.30166242,0.085791625,0.16079879,-0.009186633,-0.2355376,0.012110744,0.16541606,0.28534815,-0.22889215,-0.1286531,-0.20908526,0.10811047,-0.075338125,0.18180677
K,-0.53415626,0.45031855,0.2897254,-0.43728584,0.6994015,0.67410475,-0.44972086,-0.17191812,0.8473376,-0.32919905,0.53404653,-0.79364496,-0.7348029,0.8847923,1.1296768,0.90737057
Ca,-0.8080407,0.7319573,0.30667123,-0.8381759,0.78596365,0.7658673,-0.89332265,-0.5690463,0.931804,-0.6983498,0.78546053,-0.7572392,-0.8707583,1.0859001,1.1308863,0.7570677
Sc,0.54332995,-0.12282498,-0.19079061,0.47231668,-0.24227531,0.12630302,-0.0036680605,0.64145416,-0.28990656,0.142699,0.14805588,0.23233368,0.19672613,0.028404124,-0.12232271,-0.16748266
Ti,0.46375984,-0.37807545,-0.10406494,0.6946899,-0.2313747,-0.11510505,0.15352133,0.83809924,-0.67575604,0.13591301,-0.10434699,0.20776685,0.18196014,-0.19061962,-0.37263367,-0.2877275
V,0.11471745,0.009376474,0.10943412,0.5887458,0.091423556,-0.026701756,-0.0082180705,0.33493596,-0.07971598,0.09623876,-0.13879067,-0.0103092315,-0.42171362,-0.034072578,0.056826357,0.4016372
Cr,0.1501747,-0.04897473,0.26412752,0.6660526,-0.050828442,0.29799333,0.22759974,0.16378179,-0.045011744,-0.003126949,0.19598785,-0.017495316,-0.35302383,0.09691718,0.29436335,0.25109732
Mn,0.25774044,-0.07803686,0.56682366,0.38970366,0.17102729,0.39508855,0.108170055,0.17047712,-0.12325336,0.14690965,0.17762423,-0.15464498,-0.022802832,-0.28475177,-0.13697836,0.11978535
Fe,0.18567449,0.060688198,-0.010768743,0.43350753,-0.11598283,-0.043261677,0.3793451,0.1505246,-0.09779097,0.15791667,-0.17106514,0.102097884,-0.270541,-0.06658128,0.24566256,0.07243362
Co,0.14889959,0.08948675,0.3780986,0.00990735,0.33286056,0.57134944,0.03017837,-0.31122607,0.2104101,-0.3945169,0.17443067,-0.14062874,-0.4024807,0.22580467,0.59752077,0.36029315
Ni,-0.11495826,0.29492503,0.4704452,0.12190585,0.35511658,0.6560992,0.070231974,-0.06013992,0.018248336,-0.3362051,0.46147546,-0.60033214,-0.02979991,0.49675846,0.28745472,0.27027577
Cu,-0.00011542253,0.2611825,0.40546814,-0.042628363,0.20371519,0.5821337,-0.09589114,-0.25910354,0.19500495,-0.36611173,0.1576088,-0.12763551,-0.3880079,0.31547913,0.36185527,0.24822533
Zn,-0.33995804,0.42072818,0.5622333,0.2559373,0.25163487,0.33550143,-0.4423203,0.10906458,0.030386763,-0.15778337,0.28656408,-0.16335282,-0.50227576,0.18166903,0.33960608,0.36074707
Ga,-0.3024651,0.096769094,0.7369693,0.2957529,0.5205699,0.25687832,-0.6531629,-0.14676704,0.5740621,-0.5748073,0.26754943,-0.5085594,-0.43589303,0.2857893,0.44398955,0.5406595
Ge,-0.42276567,0.31416848,0.5764295,-0.25740555,0.69860137,0.44770724,-0.32690206,-0.050345983,0.3817364,-0.39571837,0.53158957,-0.73713624,-0.32744694,0.5133535,0.2257452,0.5293249
As,-0.418173,0.5387608,0.5749958,0.05143562,0.41134393,0.24245739,-0.43469277,0.0392725,0.4474427,-0.45796788,0.4386365,-0.7379688,-0.31122252,0.59612316,0.50118697,0.6741479
Se,-0.46727818,0.7154461,0.35875973,0.19728544,0.24866909,0.25725022,-0.33158895,0.08442813,0.3126538,-0.36886325,0.2753004,-0.21914199,-0.3384107,0.30651468,0.37711772,0.46059677
Br,-0.051019296,-0.031156808,0.36264166,-0.12980765,0.3358193,0.10993641,-0.37551138,0.126369,0.29306716,0.07133092,-0.118587315,-0.33859542,-0.20848297,0.05073978,0.18554132,0.41468418
Rb,-1.0401084,0.95669794,0.7564151,-1.0687118,1.2221239,1.221017,-1.1464062,-0.7830093,1.1971718,-1.2462447,0.8986166,-1.3462763,-1.3722084,1.5498867,1.4490422,1.507898
Sr,-0.9488073,0.75045335,0.4728796,-0.8923471,0.6568787,0.86897224,-1.0723072,-0.57021564,0.86592615,-0.80284035,0.7759309,-0.8871959,-0.87462604,0.81623816,1.1921749,0.81707954
Y,0.48502013,-0.23269393,-0.20963961,0.29440808,-0.30475065,0.23838925,-0.003868496,0.7921202,-0.35361093,0.17303285,0.078420304,0.14518298,-0.05990219,0.16412269,-0.25394672,-0.13171867
Zr,0.4363609,-0.20844707,-0.3086834,0.6285889,-0.35405976,0.11106547,0.09026929,0.6700859,-0.7085256,0.011809602,-0.14254346,0.3380681,0.2988794,-0.22102642,-0.33114576,-0.40958077
Nb,0.17930925,-0.060540475,-0.13679755,0.31609958,0.0024864376,-0.10032891,-0.22023931,0.20746826,-0.15662745,-0.1596774,-0.25510105,-0.15492536,-0.22511047,0.005543843,0.048892844,0.03463151
Mo,-0.13841745,0.10299933,-0.09142611,0.10067145,-0.078158066,0.39839852,-0.11575315,0.01283342,-0.14575388,-0.0481171,0.28731382,-0.3690413,-0.15692022,0.33500367,0.35215244,0.22116107
Tc,0.04148513,0.06603289,0.35267246,0.09918265,0.08984035,0.48476833,0.07216518,0.20939785,-0.28878835,0.21439767,0.2659307,-0.40087497,-0.05030477,-0.1633499,-0.054523673,0.2704938
Ru,-0.015381681,0.06864834,-0.2112964,0.29653186,-0.14489704,0.06211879,0.44054508,0.37193492,-0.26737666,0.30259213,-0.14732519,-0.085607775,-0.013894917,-0.12672158,-0.02394522,-0.034860533
Rh,-0.26358962,0.35727176,0.2085064,-0.21393406,0.43751928,0.7591296,-0.07815099,-0.06259894,0.2165989,-0.42724878,0.2277573,-0.4410124,-0.4376495,0.08577843,0.33200848,0.5749773
Pd,-0.63180906,0.5806471,0.37899095,-0.053442635,0.18985632,0.5234495,-0.20978472,0.028050642,-0.09048977,-0.24729404,0.4591377,-0.5306237,-0.5046484,0.49272287,0.5178722,0.44418168
Ag,-0.41651842,0.39811048,0.28342777,-0.27653208,0.26732597,0.68303573,-0.1833724,-0.01437173,-0.04798588,-0.23292956,0.2757679,-0.42834345,-0.46244156,0.3541912,0.2285054,0.43998504
Cd,-0.2718938,0.27514908,0.41945294,0.23332071,0.1517686,0.24083474,-0.43524447,0.22725537,-0.13848564,-0.28257993,0.16740584,-0.21583465,-0.43057892,0.011218369,0.23467681,0.06302004
In,-0.5595022,0.30121508,0.3501737,-0.21960276,0.47592744,0.49284518,-0.94777316,-0.4250502,0.5554541,-0.7585743,0.32431513,-0.60697544,-0.3968905,0.41193464,0.47173384,0.576231
Sn,-0.58543456,0.48299912,0.26020625,-0.59863484,0.6062895,0.67669225,-0.43665096,-0.27181622,0.3543734,-0.4817383,0.46746412,-0.68777585,-0.22254267,0.60918194,0.21151677,0.54930866
Sb,-0.65708894,0.75099397,0.4260249,-0.5249288,0.5868436,0.655542,-0.76361746,-0.18298465,0.651373,-0.69255716,0.60644716,-1.0554712,-0.29350936,0.97899926,0.4506381,0.70010245
Te,-0.65581363,0.58299816,0.4570424,-0.17079797,0.3767667,0.43740082,-0.56148976,0.14030722,0.1781427,-0.39579025,0.53889817,-0.6753465,-0.50456417,0.66558415,0.3781582,0.38483903
I,-0.51549524,0.16627344,0.21941389,-0.33731985,0.43438372,0.32366163,-0.5559806,0.47569042,0.26246873,-0.004629709,0.19005537,-0.69751704,-0.2936301,0.079332456,0.19337001,0.6328826
Ba,-1.0560063,0.93221366,0.40740266,-1.2198879,0.5405477,0.50039834,-1.0462223,-0.9855888,1.2685063,-0.856812,0.57245266,-0.7970841,-1.0440698,1.0221982,1.5089884,1.0609754
Ce,-0.12709795,0.3344288,0.1107742,-0.02148047,0.2883715,-0.021780923,-0.40641245,-0.44419086,0.7582601,-0.06767142,-0.060255215,-0.15952182,-0.4664684,0.6142282,0.5575407,0.43537512
Pr,-0.22292951,0.3709235,-0.022954354,-0.27076313,0.1846712,-0.23014179,-0.2365633,-0.56727207,0.93833405,0.00924886,-0.2281411,-0.04329534,-0.5678475,0.64081806,0.7162424,0.5591654
Nd,-0.35234207,0.39910647,0.03399665,-0.12046274,0.40188327,-0.07603735,-0.6467559,-0.4421956,0.75547415,-0.17801379,0.059057437,-0.2107215,-0.5038412,0.6454836,0.45110157,0.3521615
Sm,-0.19596237,0.26667097,0.072823025,-0.046310946,0.33129963,-0.032095045,-0.4946634,-0.3884015,0.731092,-0.04902993,-0.060083635,-0.1727035,-0.36776924,0.52084583,0.43587932,0.32400903
