Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,0.4629008,-0.045867376,0.5796702,1.1355499,0.69985384,0.48049104,0.50036436,-0.6289593,-0.10760812,0.015900075,0.4640502,0.10580447,-0.17144287,-0.24106792,0.60991377,0.12652661,-0.21788767,-0.70169896,0.11453375,-0.04012487,0.61646533,0.94982463,-1.105553,0.725847,-0.13731794,-0.036625348,-0.56515837,-0.34617472,-0.54485804,-0.295113,-0.18496118,0.007514566
Li,-0.3841332,0.43540877,-0.26571295,0.03333573,-0.32002416,-0.3765275,-0.4005816,0.47384238,-0.38329285,0.7307516,-0.04928911,0.44646657,0.40663707,-0.47007394,-0.3564705,-0.37388283,0.47335106,0.44888374,0.64843553,-0.9540443,-0.31490403,-0.20248544,0.26326567,-0.2399309,-0.7672302,0.6061394,0.20690893,0.2994811,0.24976291,0.6906096,-0.81261486,0.95167434
B,-0.22879075,-0.07374782,-0.032507084,0.5716366,0.18239205,-0.16349283,-0.18712752,-0.22504097,-0.1033042,0.09872388,0.029352311,0.13264507,-0.22933984,-0.30298644,-0.23840022,-0.022804946,-0.097566016,-0.04063722,0.47387105,-0.03099303,0.0165083,0.253595,-0.1987869,0.12673685,-0.023182161,0.20785001,0.20152804,-0.013519071,0.14843516,0.2356695,-0.13746828,-0.0059231967
C,-0.34296992,-0.03102649,-0.5509742,0.36830366,-0.12038429,0.017361928,-0.18300404,-0.07380092,-0.37630194,0.49516264,0.01875693,0.11704928,0.037044294,-0.39962408,-0.04965495,0.3416161,-0.19954416,0.08035232,0.12897742,0.20471239,-0.25343645,0.0596845,0.06888184,0.15166113,-0.36657527,0.3484382,0.14149909,0.36376822,0.057877146,0.25406268,-0.096159786,0.06805478
N,0.008979464,-0.079032786,-0.20752323,0.17240883,0.003770642,-0.08572529,-0.37258714,-0.18748036,-0.3289724,0.27429453,0.20136383,0.091658056,0.22424954,-0.26485026,-0.2916709,-0.0625578,0.07754902,0.54867893,0.49714977,-0.09203649,-0.1771741,-0.086430445,-0.25651067,-0.23139188,-0.06098273,0.25204378,0.13481508,0.3104963,0.072904915,0.07135832,0.01132755,0.12792656
O,0.080775805,0.23336083,-0.053383946,0.35059482,0.27553985,0.073602855,-0.40089858,-0.11915991,-0.26658368,-0.08801963,0.19983882,0.4042637,0.13037936,-0.28016946,0.18939377,-0.058279574,-0.0625138,0.089964986,-0.08983259,-0.3220401,-0.110137224,0.19201387,-0.3945944,0.09804471,-0.103432015,0.012822308,0.054831836,0.39536732,-0.49079108,-0.09250969,0.18285345,0.0281201
F,0.45999524,-0.71539575,0.09680187,0.67143285,0.53412193,0.5639704,0.150492,-0.73829675,0.11977807,-0.3336365,0.2295483,-0.2568623,-0.1428706,-0.20355672,0.3355968,0.15585233,-0.46971864,-0.4050958,-0.15225632,0.4679482,0.1538023,0.49680394,-0.75068134,0.5167211,0.0640513,-0.10344615,-0.3577264,-0.120469876,-0.6494414,-0.8143789,0.02682636,-0.05555527
Na,-0.77626294,0.839024,-0.7473136,-0.3018672,-0.87401503,-0.8109437,-0.47088057,0.9546726,-0.66639924,1.1656425,-0.6307608,0.7634486,0.8135383,-0.72953236,-0.5008798,-0.690659,0.7330541,0.8080782,0.7776662,-0.9649096,-0.34420958,-0.37406862,0.40628743,-0.60059845,-0.99236614,1.0225809,0.62641007,0.5997826,0.44942212,1.1047275,-1.253846,1.0280929
Mg,-0.669477,0.37388065,-0.68801683,-0.10537556,-0.52416825,-0.25083163,-0.49153543,0.17716593,-0.56805867,0.7636326,-0.63597476,0.43740785,0.6751305,-0.4583692,-0.43143,-0.16262825,0.3986152,0.43471408,0.46820265,-0.45899808,-0.36855182,0.11320716,0.34065568,-0.26360935,-0.48610604,0.29551432,0.4616863,0.40557814,0.2855664,0.59684885,-0.42586362,0.5579105
Al,-0.2459161,0.1085102,-0.10245361,0.26664704,-0.22667108,0.10425757,-0.43918335,-0.07751012,-0.45946896,0.36335468,-0.015548315,0.29247245,-0.044580147,-0.26667374,-0.2250489,-0.0066384897,-0.08935098,0.087078385,0.6985966,-0.08749031,-0.41253182,-0.2376229,0.36510795,-0.4146791,-0.29869324,0.5624249,-0.07321375,0.42079005,0.33123556,0.6685581,-0.37145823,0.30736837
