Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,-0.5329553,-0.35293546,-0.48192883,-0.78231174,-0.29073697,-0.5340494,0.20359534,0.89344627,0.5479948,-0.44367483,0.26244563,-0.25172722,0.1974253,-0.25255638,-0.4866851,-0.70397943,0.6060592,0.34645373,-0.27168882,0.6731982,-0.3059297,1.1702352,0.19193447,-0.38871884,0.07060299,-0.035275288,0.3806215,0.7405144,0.009885699,0.23794508,0.07697755,-0.34750646,0.17904526,0.37471655,-0.6801802,0.80288553,0.44693434,0.62544894,0.110730655,0.53514016,0.27551764,0.026494622,0.17800853,0.29050615,-0.048166536,0.55410975,-0.65774935,-1.0956655,-0.017875088,0.96969604,0.47496337,0.52984834,0.6805785,0.02602241,-0.17608842,0.3000054,0.6893299,0.7636876,0.6362911,0.75181484,1.0253354,-0.94909847,-0.1568265,-0.4784765
Li,-0.37453523,0.24095128,-0.1245906,-0.30471104,0.11785796,-0.4174776,-0.40667793,0.90247554,0.40841606,0.09857411,-0.13021864,0.23115198,-0.17933825,0.09355117,0.4454664,-0.11473994,-0.0056862086,-0.42294732,0.24466024,-0.39504653,0.06406237,0.3700434,-0.5121442,0.24798395,-0.23194212,0.9877727,-0.3048904,0.6483358,-0.70583993,1.3386041,0.6797391,-0.46718767,-0.26554382,-0.09876341,-0.06659371,0.14067616,-0.32307205,0.34212363,-0.28212798,-0.32842302,-0.5595372,-0.2863352,-0.4393557,0.12655759,0.24715158,-0.60280746,-0.28059778,-0.49509358,0.3987655,0.46945435,-0.1572081,-0.12317319,-0.17344347,-0.5588049,0.21652156,-0.24404016,0.25096092,0.25703728,0.11944202,0.6410878,0.56206304,-0.6408448,0.683523,-0.0219687
B,-0.27067873,0.002578834,-0.25209218,-0.52526385,-0.31468835,-0.28953594,-0.05496356,0.54072565,-0.016004447,-0.41436684,0.23233832,-0.1715505,-0.361597,-0.49318975,-0.18056154,-0.51413435,0.04646869,0.1531205,-0.49207908,0.2492447,-0.04649186,0.46022236,-0.22958107,-0.12082039,0.12598035,0.24258971,0.12718709,0.5665935,-0.015812255,0.558777,0.31258366,-0.24409959,-0.09564976,0.35866243,-0.1885809,0.6022545,0.21620256,0.17162451,-0.033919446,-0.24815863,-0.13501495,0.0621287,0.27027544,0.48296496,0.2954229,-0.17261845,-0.43020785,-0.47716588,0.216793,0.75502807,0.17064098,0.19126114,0.0965593,0.0150937345,-0.10778942,0.21184275,0.25752607,0.39397115,-0.016580023,0.42663252,0.50210196,-0.636333,-0.032764755,-0.048844986
C,0.26418164,-0.1554902,0.3414766,-0.16157964,-0.015564218,-0.38960427,-0.37486064,0.117156945,-0.20603219,-0.0005000755,-0.024864715,-0.054537524,0.07026623,-0.22340001,0.010021411,-0.2459376,-0.073997885,-0.18496123,-0.04789047,0.34413517,-0.05218236,0.34834647,0.1403228,0.1557694,-0.0928976,-0.32063028,0.024072763,0.23444673,0.24961792,-0.4917778,0.46636972,0.11191978,-0.10485724,0.18205509,0.11547278,0.13862222,0.09901774,-0.1238552,-0.054157756,-0.10602692,0.14001136,0.2182937,-0.02914261,0.14375225,0.24119705,-0.06134001,-0.43457508,-0.2907565,-0.26554924,0.039751194,-0.05769025,0.15624863,0.06284073,0.13437572,0.08365728,0.41437146,0.30267832,0.20906286,-0.28167015,0.21079281,-0.05624233,-0.1964878,-0.27547,-0.0399481
N,0.38086691,-0.09559144,0.12511823,0.10575987,0.065966085,-0.3386011,0.1277152,0.059486005,-0.16929704,0.032017164,-0.011929244,-0.03790037,-0.17598562,-0.06442354,-0.49125493,-0.10672645,-0.42279422,-0.2791325,0.1461632,0.4396273,-0.043593697,0.40482226,0.03962842,0.026088737,-0.10374303,0.0752598,0.36681923,-0.061806217,0.10378654,-0.57713974,0.31299752,0.22865117,0.024338976,0.21335685,0.07574042,0.25676224,-0.030142501,-0.2914319,-0.08266904,0.07713249,0.11895099,-0.04990417,-0.06269945,-0.45833787,0.26247793,0.022159182,-0.16269884,-0.34977323,-0.22071582,-0.022101713,-0.07068708,0.10894883,0.31778094,-0.039961882,0.08935485,-0.014780375,0.02903577,-0.03663385,0.013988607,-0.017805964,-0.25243306,0.14471555,-0.14824417,0.43242538
O,-0.14728767,-0.25847214,-0.49833933,-0.21801859,-0.21780542,-0.115841374,0.21988079,0.62716275,-0.019429512,-0.4663442,0.07417196,-0.0760524,0.31078047,0.12910938,-0.3649431,-0.37177896,-0.22605388,0.15918778,-0.3652485,0.34873563,-0.395204,0.497427,0.08647014,-0.15753357,-0.2883852,-0.37619135,0.38194576,0.40032947,0.16517223,-0.32727277,0.31481215,-0.0028633997,-0.10058897,0.17242455,-0.30615056,0.3425553,0.38016284,0.045222722,0.10212884,0.0017385483,0.701089,0.06364786,0.2219398,-0.023813229,-0.094290815,0.24071005,-0.44655192,-0.5489759,-0.172302,0.25098857,0.3236348,0.40711918,0.6876563,0.09059372,-0.121646084,0.35955825,0.4881565,0.26299453,0.43091765,0.56807595,0.17196304,-0.5240928,-0.46012503,0.11523462
F,-0.1925567,-0.21609387,0.2371923,0.07151268,0.081916094,-0.20234753,0.013222545,0.07475432,0.057837125,-0.057089977,-0.1965279,-0.25206736,0.13826787,0.20368634,0.031487733,-0.06619729,-0.11946724,0.10993062,-0.09792362,0.033851147,0.20827633,0.2022986,0.28415388,-0.108268365,-0.102546655,0.047921836,0.2738155,0.23194441,-0.52520585,0.15107091,0.3651776,0.07971757,-0.060795628,0.33767378,-0.063531,0.20780683,-0.14507931,0.038050033,-0.092511676,0.32801312,-0.28578222,-0.22407222,0.24551648,-0.042419065,0.16241072,-0.049317174,-0.2318143,-0.5744519,-0.51835454,0.25965163,0.118805565,0.4122483,-0.056704596,0.2589903,0.03754951,0.3333535,0.14810747,0.1655237,-0.028416775,0.18020058,-0.12682015,-0.002183192,-0.31917626,0.007287085
Na,0.13696846,0.64911884,0.1350011,-0.040681165,0.79176915,0.03112539,-0.4991345,0.19968073,0.2899154,0.6555474,-0.44989413,0.6686797,-0.49022645,0.5796059,0.5603015,0.21025775,-0.09822081,-0.5645547,0.47105557,-0.79143596,0.17496605,0.157409,-0.8054776,0.5268101,-0.60131174,1.0894104,-0.714887,0.044712707,-0.6090429,1.5000767,0.9859692,0.0058081746,-0.10013951,-0.59335613,0.2065866,-0.24791852,-0.4141184,0.107901685,-0.6725418,-0.43571898,-0.70229816,-0.65153223,-0.8242648,-0.17556441,0.45672587,-0.66757536,0.35075736,0.051478196,0.76554203,-0.04022903,-0.41627342,-0.4634816,-0.66445816,-0.9632646,0.7460266,-0.653225,-0.08005009,-0.07827453,-0.44539803,0.22124258,0.21855079,-0.3516081,0.99476796,0.380528
Mg,0.23670128,0.35656664,0.1597349,0.32915565,0.32324755,0.3348734,-0.24011138,0.017632723,-0.2827162,0.42165503,-0.25375575,0.1660161,-0.5203307,0.29478323,0.16465965,0.24638541,-0.22788058,-0.67070913,0.24193972,-0.1749379,0.133988,0.06438726,-0.39812705,0.46067232,-0.5617764,0.2845708,-0.2997042,0.26458532,0.05060579,0.41907167,0.50515795,0.25011078,-0.07170801,-0.26790872,0.40241888,-0.13443026,-0.07644625,-0.3546143,-0.6781639,-0.30333322,-0.44945472,-0.20196879,-0.39356652,-0.36315495,0.1173655,-0.18631083,0.2300986,-0.17306024,0.2852798,-0.034587413,-0.23351842,-0.20366502,-0.5872891,-0.6906761,0.4632048,-0.55022156,-0.09714954,-0.31520653,-0.20694003,0.028318979,-0.007213041,-0.1223824,0.431536,0.25396225
Al,-0.103828095,0.2640091,-0.044322148,0.059075497,0.7899833,0.17318901,-0.3720676,0.1888132,-0.13322145,0.11807005,-0.62008035,0.3332491,-0.070564196,-0.059277523,0.81824803,-0.09994881,-0.23013711,-0.23826823,0.054170698,-0.41180354,0.29428488,-0.15702748,-0.8534433,0.1325628,-0.09079426,0.80951196,-0.29715627,0.47488305,-0.4440658,0.9487041,0.83968043,-0.091205336,-0.416729,-0.30114025,0.06844172,0.19474004,-0.8596152,0.30224738,-0.54390335,-0.5578097,-0.5469734,-0.7660285,-0.3900667,0.0078026913,0.0077165794,-0.77656376,0.17895073,-0.2429277,0.3936611,0.55677754,-0.44738084,-0.1795192,-0.59113705,-0.7057596,0.56394017,-0.29747713,-0.042846665,-0.38197857,-0.42401263,0.21832806,0.47417516,0.0031389291,0.83121055,0.3790301
