Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,0.73344374,-0.53798723,0.56382275,-0.342774,0.68425816,-0.7481975,-0.76780564,-1.2647971
Li,-0.5730182,0.35563743,-0.29105547,0.931161,-0.39569315,0.26532388,0.31887943,0.09378887
B,-0.0013185926,-0.11312356,0.033771522,0.19957304,0.086755134,-0.22593151,0.16383861,-0.0063279513
C,0.004500773,-0.04128796,0.015312098,0.4549175,-0.10303394,0.08026995,0.5386744,0.18567798
N,0.24886692,-0.23249018,0.40216526,0.035988256,0.2137763,-0.14681967,0.10651894,-0.24785855
O,0.07796496,0.007009743,-0.17779872,0.29491594,0.3324684,-0.29345936,-0.029647622,-0.079277635
F,0.51121694,-0.4911331,0.64652526,-0.41205713,0.52059036,-0.7018375,-0.37160563,-0.33366832
Na,-0.929859,0.40825552,-0.78356475,1.2516438,-0.86917824,0.5693916,0.60623413,0.23462044
Mg,-0.22568691,-0.29145017,-0.16330257,0.06655171,-0.17278394,0.06264424,0.075292006,-0.3496018
Al,0.020798821,0.105754286,-0.090102315,0.6782567,0.13837402,0.06829261,-0.00047212467,0.18375897
Si,-0.52278346,0.28266832,-0.15754795,0.8360774,-0.05872614,0.5758839,0.6858818,0.42719078
P,-0.51165825,-0.05002691,-0.4030354,0.60570264,-0.27459756,0.09377798,0.41400257,-0.007983448
S,-0.38557455,-0.025095789,-0.30035833,0.6763787,-0.036409803,-0.1735029,0.28525338,0.2432963
Cl,-0.13192306,0.23740858,0.12486582,0.48065233,0.27994946,0.20807204,0.520603,0.16936302
K,-1.0677464,0.80219156,-1.3783104,1.0247104,-1.0410181,0.9379872,1.1994185,0.96626395
Ca,-0.63736176,0.64180607,-0.8230902,0.36531538,-0.610212,0.49302548,0.5439969,0.60102063
Sc,0.26709944,-0.29822862,0.11937276,-0.43716738,0.5070503,-0.38124532,-0.20978132,-0.2600735
Ti,-0.053963754,-0.16622701,0.25339097,-0.06463777,0.5065499,-0.14265175,0.16429973,-0.024334142
V,-0.14352441,-0.13290483,0.13277721,0.13563585,0.102224134,0.04071238,-0.16205297,0.09010973
Cr,0.40443102,-0.19411623,0.26362324,-0.08177026,0.5902437,-0.41172922,-0.33467913,-0.035882063
Mn,0.1958817,-0.27242976,0.28322908,-0.20471749,0.611383,-0.40437812,-0.17052929,0.13697705
Fe,0.01005635,0.06889054,0.15373698,0.17405838,0.2659481,-0.24099119,-0.023689818,0.4224176
Co,0.13914168,-0.22055124,-0.064669944,0.10279369,0.32224113,-0.1583923,-0.14809068,-0.010007301
Ni,0.00870182,0.10823259,-0.038435474,-0.12093953,0.14846079,-0.08703351,0.19699755,0.023127785
Cu,-0.18843406,0.3561461,-0.41476202,0.47330102,0.00856697,0.2650624,0.24282856,0.5943264
Zn,-0.048469122,0.063650206,-0.06587625,0.33535832,0.008492889,-0.12856323,0.003388632,0.5124332
Ga,0.07788524,-0.0013401601,0.047095694,0.40528226,0.41788998,-0.018900298,0.037057523,0.10722131
Ge,-0.73990226,0.505332,-0.40093926,0.7574185,-0.24259093,0.7150986,1.0574003,0.54351234
As,-0.5652189,0.011667909,-0.1891892,0.6369929,-0.17018828,0.19710359,0.5901834,0.2679425
Se,-0.46066013,-0.05761636,-0.12770095,0.51743495,-0.012980787,-0.22389744,0.3391655,0.36008185
Br,-0.21303013,0.23101181,-0.12997937,0.39905217,0.11365822,0.1402856,0.6992447,0.46875256
Kr,-0.1082269,0.27611226,-0.07730914,0.45200124,-0.04623653,-0.06320378,0.37151673,0.24159002
Rb,-0.9791339,0.9345052,-1.2344253,1.305698,-1.2876923,1.0644808,1.0433342,0.83409494
Sr,-0.9886607,1.1423695,-1.1161418,0.8562841,-1.2365112,1.0558314,0.71714395,0.9687367
Y,0.52187026,-0.34433138,0.26755473,-0.24378681,0.6136405,-0.28091252,-0.308962,-0.26065317
Zr,0.17716813,-0.23409154,0.13668308,-0.07557396,0.1906299,-0.09879489,-0.2747286,-0.32748014
Nb,-0.19403315,-0.14904772,0.095480494,0.19040594,-0.051736422,0.23810007,-0.25560242,0.040310062
Mo,-0.082082905,0.25924814,-0.27983582,0.3135319,-0.19312768,0.14881071,-0.11925225,0.341889
Tc,-0.15364832,0.025756868,-0.07665884,0.16225351,0.11467786,0.02139344,-0.085445136,0.32089242
Ru,-0.18846428,0.37733757,-0.19443035,0.5851689,-0.09689706,0.2534595,0.04727288,0.63921404
Rh,-0.21652675,0.27436963,-0.41852486,0.5999265,-0.19813108,0.28635582,0.16833639,0.70889163
Pd,-0.39467666,0.42936605,-0.39445302,0.5525707,-0.35275194,0.33077997,0.34899464,0.45920727
Ag,-0.6013485,0.8313008,-0.7617686,0.86062545,-0.55326515,0.7544122,0.57040715,1.0311342
Cd,-0.030527461,0.03378229,0.041942813,0.3837317,0.073690325,-0.0028051734,-0.083899856,0.4214979
In,-0.26302293,0.3338069,-0.37156078,0.46848336,-0.30094352,0.20174506,0.11959219,0.43484876
Sn,-0.81076723,0.48799032,-0.5853325,0.72178924,-0.72461295,0.789716,0.8320636,0.46985647
Sb,-0.6751274,0.23329517,-0.60707235,0.97613776,-0.6982846,0.59107035,0.66581947,0.6225319
