Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,1.1879706,0.07854529,0.7949129,-0.55916965,0.046039138,-0.48109928,0.3595305,-0.10366568,0.6326167,0.68596435,0.24796231,0.16075653,-0.33035937,1.2265743,0.060608365,0.026928633,0.24349552,-0.47380123,0.6054759,1.681572,0.18151611,0.43904763,-0.11671662,0.10561202,-0.59585154,-0.00013763458,-1.2144072,-1.1606635,0.20861799,0.3135064,-0.650789,0.3051634
Li,0.74314004,0.022585236,0.7636626,-0.25971052,0.39635435,-0.21395679,-0.18919058,0.22616938,0.8316726,0.16304193,0.72374296,-0.25570816,0.059240155,1.7339444,-0.5580866,-0.102859005,-0.03563463,0.06385076,-0.13058898,-0.21104826,-0.11988511,0.6317507,-0.11154954,0.59161484,-0.5866107,0.20120275,-0.032406215,-0.22174184,-0.1540494,0.13458718,-0.5413367,0.5720566
Be,-0.72222143,-0.013044067,-0.62859386,-0.20656769,-0.28365794,0.34054503,-0.21492654,-1.1107465,0.55901355,0.62333095,-0.25567845,0.36165303,0.09165764,0.74912125,-0.70528257,0.23046552,0.5967304,0.12450881,0.8657704,0.2325189,-0.7569882,1.4355017,0.9922345,-0.45157343,-0.9310087,-0.46334925,0.04000258,-0.37194127,0.31786808,0.5443835,0.26340595,0.44602218
B,-1.12192,-0.24905923,-0.73043203,0.6875307,-0.5788241,0.06988376,-0.16003597,-0.9139409,-1.340944,0.31895456,-0.5606537,0.34226227,-0.8190375,0.1479091,-0.8019656,0.78405553,-0.2979096,0.0059899576,1.4297166,-0.39083302,-0.13484935,0.536426,0.82043546,-0.96575665,0.058755547,-0.21707484,0.7327486,0.16221203,0.5005304,0.98065764,-0.6498362,0.098676085
C,-1.219344,-0.53919625,-0.9361454,0.33466026,-0.5874412,0.4996548,0.08355987,-0.3713401,-1.0546099,0.5008688,-0.1526099,-0.09472808,-0.59267116,-0.18493533,-0.75091153,0.34669405,-0.48681194,0.552234,0.70965,-0.3775903,-0.45439336,0.57633245,1.1282489,-0.7435847,-0.41353625,0.08399319,0.40236807,0.58093685,0.024912171,0.5714071,-0.690873,0.55786985
N,-0.3932205,-0.14736643,-0.2669456,0.46303433,-0.8044005,-0.24904862,-0.7574347,0.04318662,-1.1819685,0.39966807,-0.070990026,0.08555767,-0.108917795,-0.11157645,-1.0822728,-0.054330282,-0.21611968,0.7103338,0.9933582,-0.48156857,-0.30912304,0.1680008,0.08904111,-0.8850496,-0.019872516,0.442854,0.55487984,0.719617,0.09181296,0.49363145,-0.7683523,0.4487423
O,-0.25461626,-0.20708886,-0.21230274,-0.010730981,0.09148568,-0.5273256,-0.7002446,0.15338872,-0.6461072,-0.23889369,-0.003250856,0.50346255,-0.90794104,-0.90290904,-0.542575,-0.2882149,-0.043032914,0.17897692,0.42323762,-0.6804762,-0.27067453,0.08243056,0.056593176,-0.9081881,-0.31526294,0.0901971,0.30785576,1.124828,-0.7779474,0.03543123,-0.015540071,0.9069244
F,-0.19907857,-1.0647602,-0.04748539,0.17289947,0.00053877756,-0.48931965,-0.10702029,0.09244263,-0.47288638,-0.44305113,0.0538227,-0.31329983,-1.1808712,0.38592875,-0.42128256,0.33948278,-0.76479715,-0.20061247,0.34522325,-0.14193825,-0.247847,-0.23753852,-0.15548323,-0.59961367,-0.073109776,0.2198954,0.30946377,0.51088244,-0.63861066,-0.4463114,-0.4881066,0.909864
Na,0.92269605,0.32169643,0.5235943,-0.4319376,0.0155701,-0.59758544,0.09008734,0.51463413,0.9779237,0.37984532,0.58914226,-0.20614408,0.5836187,1.811349,0.45703596,0.1224255,0.067931406,-0.2983295,-0.50737184,0.48173285,0.10771124,0.2682842,-0.555591,0.95298684,-0.21735637,-0.006526448,-0.24875106,-0.6825547,-0.15861052,-0.006122943,-0.5721633,0.07860559
Mg,-0.18768238,0.4504506,-0.26540658,-0.17834263,-0.33654332,-0.20363693,-0.08562361,-0.19552076,0.17858316,0.3290432,-0.26380765,0.037498213,1.080075,1.0088694,0.21055329,0.42627692,0.35732815,0.011174254,-0.012223981,0.32571423,-0.4066225,0.48675632,0.18815047,0.6198629,-0.2525779,-0.6348245,0.21984285,-0.32752633,0.18108222,0.18689103,0.5197965,0.09894788
