Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,1.0429276,-0.6518061,-0.2543458,-0.2040333,-0.1119514,-0.040555637,1.4422228,0.39740697,0.7336038,0.17453125,-0.115089506,0.304722,0.11711381,-0.13289729,0.22734524,-1.342639
Li,1.1500038,-0.3345825,0.50346184,-0.20857169,-0.13445409,-0.10117765,1.17366,0.73214114,-0.69494253,0.12565479,-0.23521486,-0.04834099,0.18341568,0.5374765,-0.020709006,-0.44732267
Be,-0.47223708,-0.13460886,0.17698978,0.698069,0.779032,0.60732776,-0.2519904,-0.54319805,1.69339,-1.1054022,0.34933627,-0.6460956,-0.956936,-0.18356717,1.2647943,-0.17473342
B,-1.3735391,-0.69599235,0.26595238,0.61993235,0.6926033,-0.08577651,-1.0933112,-0.68736625,1.0629168,-0.43091062,0.37226227,-1.2344546,-0.7818169,-0.21263874,1.0825025,0.081110954
C,-1.1504825,0.17735133,-0.2816243,-0.032743722,0.6913371,0.19960308,-0.6915356,-0.49077812,1.9241594,-0.41787472,0.3043188,-0.9015685,-0.6077252,-0.6388807,0.89230585,1.5200056
N,-1.2836164,0.55728793,-0.36857727,0.4861691,0.5956838,-0.12837827,-0.80264926,-0.39291745,1.3763019,-0.27871615,-0.029079396,-0.436624,-0.20065176,-0.3122985,0.43291852,1.3468965
O,-0.8657467,0.84934235,-0.58918625,0.23131503,0.016678138,-0.2766613,-0.48335803,0.09989446,0.62256116,-0.12916093,-0.22832261,0.1688917,0.32026336,-0.5873542,-0.39999253,1.4645203
F,0.15924169,-0.21703713,-0.4291526,-0.78613496,-0.005985362,-0.5916637,-0.18773949,0.49721593,1.7526155,0.41092822,-0.6616435,0.16745278,0.31204337,-0.42964846,-0.2542085,0.50423485
Na,1.3217762,-0.36491773,0.35352305,-0.85538495,-0.1902791,-0.12676056,0.80808705,0.974623,-1.0391752,0.5757313,-0.3771191,0.23659202,0.39281073,1.0576957,-0.16884442,-0.4728953
Mg,0.28787306,0.034615695,0.21878883,-0.29072255,0.23096798,0.6824054,-0.14879581,0.116537854,-0.19668266,-0.18394724,0.044679675,0.16734567,-0.092624016,0.8777503,0.09841066,-0.62216836
Al,-0.50898284,-1.2063309,0.85355735,0.13271762,0.28553507,-0.092512175,-0.74533427,-0.09555555,0.40197268,-0.055536054,0.071303144,-0.67471325,-0.6112962,0.29957348,0.31533942,-0.22966416
Si,-0.380852,-0.72303855,0.41493386,-0.44247085,0.58379394,0.014239673,-0.45413965,-0.24533263,1.4419554,-0.0592464,0.21572328,-0.563357,-0.6014929,0.019981913,0.37437776,0.5395265
P,-0.12404991,0.04921785,-0.4861208,-0.08124857,0.16303234,-0.22490756,-0.022982042,0.02605144,2.403198,-0.29766437,0.023661103,-0.19667165,0.0064546317,-0.29118147,0.77175725,0.17550196
S,-0.12693168,0.12393829,-0.69963443,-0.4700079,-0.2382722,-0.45305842,-0.1350424,0.5419039,1.4973334,0.037944518,-0.22073609,0.10234848,0.2850413,-0.4952184,0.07048477,0.2735324
Cl,0.0072030546,-0.68421113,-0.52958816,-1.0185367,-0.1792863,-0.8230624,-0.24324587,0.9253731,0.5529966,0.94847405,-0.85257256,0.35734558,0.4492437,-0.7459332,-0.5537813,0.3981215
K,1.3245009,-0.0333824,-0.094878174,-0.1651072,-0.70214814,0.083306774,1.2201115,1.4574958,-0.77278715,0.570722,-0.34047693,0.31371936,0.67399913,0.3688751,-0.38262555,-0.58837324
Ca,1.0462419,0.2686549,0.33810303,-0.09912102,-0.37490347,0.7407287,0.72582406,1.0166771,-1.4065509,-0.12576778,0.35630885,0.0076109655,-0.029373936,1.0330697,0.051489092,-0.9120994
Sc,0.22147354,0.31905994,0.44132265,0.07854195,-0.089824095,0.55412674,-0.42155734,0.19060627,-1.1823156,-0.31469324,0.5150745,-0.030532774,-0.3375642,0.9023994,0.048368245,-0.23166788
Ti,0.104619965,0.30444106,0.46057323,0.4725743,0.1606943,0.49237478,-0.11254665,-0.09325863,-0.5635452,-0.5551694,0.5597495,-0.2172347,-0.55431736,0.5421576,0.18571237,0.13517551
V,0.2640109,0.8842621,1.0176368,1.2710826,0.33328095,0.8807732,0.027407084,-0.38851035,0.30725098,-0.83916056,0.2969684,-0.071098804,-0.82267964,0.84609306,0.49842396,0.088603824
Cr,0.112359,0.5630642,0.8590504,0.77671474,0.15224718,0.90033585,0.026613388,-0.31460947,0.1474458,-0.38245484,0.6071777,-0.30383158,-0.43582806,0.8365611,0.457908,0.56155986
Mn,0.44019768,0.7879962,0.9032928,0.7167999,0.52910805,0.9779864,0.10807103,-0.5003706,0.82510006,-0.31677222,0.5628436,-0.23227979,-0.11678649,0.26493457,0.59252936,0.20028254
Fe,0.22544174,0.86852896,0.4922203,1.1385899,0.20758091,0.6931842,0.47302195,-0.42501488,0.031551514,-0.59073526,0.54388183,-0.34707838,-0.4828774,0.1474913,0.5362731,-0.26090014
Co,0.6705683,0.27229434,1.3555812,0.82221013,0.78813344,1.531445,0.37584192,-0.6401556,0.58976775,-1.0106618,0.72300404,-0.4414429,-0.5826904,0.790465,1.7472643,-0.12286927
Ni,0.4974688,0.29659146,0.57975847,0.8040624,0.2621835,0.7935044,0.65246016,-0.28390396,0.44745234,-0.5881654,0.44221961,-0.22658885,0.032086723,0.44931552,0.8282331,-0.637494
Cu,0.44556093,0.5319488,0.22320893,0.1551011,-0.31965494,0.60219973,0.45839846,0.08628296,0.01612151,-0.32229817,-0.17478018,0.39682078,0.13807547,-0.15315378,0.14461145,0.028300494
Zn,0.46407375,0.27982184,0.47020534,0.53369015,0.04151243,0.32362753,0.20936611,0.27344936,0.24974239,-0.1750795,0.12708552,0.27986097,-0.2909781,0.059779048,0.3710382,-0.84142184
Ga,-0.07611649,-0.9985193,0.77712786,-0.18149227,0.18289007,-0.2029528,-0.51339334,0.2944404,0.31155196,-0.027198397,-0.123071864,-0.31017882,-0.23059165,0.31426883,0.14776962,0.061242335
Ge,-0.11930896,-0.58400404,0.21374968,-0.5171209,0.28581145,-0.030207675,-0.061558057,0.15294638,1.0910457,0.2554707,0.19019407,-0.3981697,-0.098618396,-0.123004,0.10029256,0.45817056
As,0.06720891,0.08196661,-0.102993414,0.2327997,0.10961699,-0.3378581,0.10086782,0.307638,1.9144613,-0.2803308,-0.03833774,-0.05774213,-0.10811258,-0.12955737,0.5226101,-0.07568114
