Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,-0.29996455,-0.6097588,-0.5694741,-0.80386734,-0.22827251,-0.43997929,0.20734376,-0.5272024,-0.21495327,-0.8644655,0.17771588,-1.1033753,0.1021164,-0.12167455,0.2740278,-1.4354581,0.65877056,0.26508844,0.39921635,0.5233071,0.19605614,0.46779,0.11543836,0.25316244,0.2369327,-0.39812282,-0.09954803,-0.16866152,-0.90713215,0.018047336,-0.98904294,-0.45061603,-0.12889215,1.5042185,-0.6560419,-0.21471494,0.08058988,-0.6524108,-0.113322414,0.38377967,-0.6333491,0.0981497,-0.7554872,-0.077282906,0.7196931,0.6085679,-0.96958226,0.10868177,-1.0046196,0.49368444,0.044122793,0.44994336,0.04199911,-0.58312726,-0.40236068,-0.45696858,0.5482963,0.5931064,1.1508276,-0.17647022,0.6821799,0.1857791,0.081928425,-0.6624485
Li,-0.47482383,0.19986986,-0.38142055,-0.09626521,-0.4873983,-0.15684976,-0.084213525,0.050568547,-0.14263812,-0.74144375,0.21665594,-0.23949113,-0.1668587,-0.3549341,-0.07161124,-0.7055232,0.43774068,0.03050098,0.34161913,-0.37635654,-0.07152924,0.16999525,-0.27391034,1.0799407,0.008862566,0.20873725,-0.7576224,0.23414645,0.16886228,0.102040336,-0.36810264,-1.261634,-0.18438296,1.3069079,-0.1263342,-0.2676423,0.09545267,-0.088787116,-0.067420356,0.105064854,0.10396223,0.6658167,-0.4972769,0.731775,0.34094217,0.14794809,-0.73696184,0.050929125,-0.5650536,-0.3457597,-0.016210644,0.035096277,-0.028121226,-0.42068145,-0.35159886,0.08170968,0.04258343,0.51082253,1.3118517,0.053194117,0.5500039,-0.104164496,0.43741307,-0.325799
Be,1.1937963,0.360949,0.59296274,0.3789513,0.6660224,0.40745685,-0.8088472,0.2681294,-0.42057192,0.08185597,-0.12837319,-0.41249633,-0.0008768812,-0.34299722,0.22477831,-0.352855,-0.085102856,-1.2417054,0.053475387,-0.21646197,0.20141728,-0.56765676,0.948071,1.0300219,-0.6379416,-0.3946305,-0.041055664,0.8254478,0.19426918,-0.3611599,0.045693934,-0.17362987,-0.49755722,0.3974033,0.6168315,-0.109068125,-0.38255984,-0.32846272,-0.25399768,0.26509783,-0.6323478,0.051257733,-0.49234504,-0.13536572,0.17087835,-0.60126173,-0.14889395,-1.1593893,-0.79229784,-0.3637115,-0.37979406,0.043871168,-0.8339543,0.038621932,0.3833769,0.6598347,-0.05561898,-0.03076794,0.2791194,-0.21360767,-0.049496777,-0.5029948,0.3665853,0.015215889
B,0.45794767,0.45598465,0.33772835,0.13182814,0.5214763,0.21482985,-0.82116586,0.31820986,-0.5531627,0.5612377,-0.6800318,0.33761215,-0.64928436,-0.57031476,0.7211322,0.18069527,-0.66070485,-0.10231837,0.31754017,-0.3240965,0.6890092,-0.77937967,-0.47597778,-0.076900624,-0.3865878,0.45574954,-0.21443848,0.5224589,-0.47415274,0.12068364,0.85559183,0.52310205,-0.60462517,-0.44182408,0.5403803,0.61681354,-0.67526555,0.20236042,-0.30561987,-0.7315638,-1.0830978,-0.85870755,0.053601127,-0.026983945,-0.039670836,-0.6658043,0.4440901,-0.6251233,0.39257172,-0.039225366,-0.53491604,-0.39986145,-0.6753796,-0.8227206,0.5627011,-0.3643199,-0.20015237,-0.5660996,-0.5279506,-0.22147734,-0.4915206,-0.71882796,0.315726,0.17764765
C,0.929785,0.1355735,1.0100484,0.089537606,1.1799169,-0.585579,-1.240635,0.35279238,-0.25758576,1.2414273,-0.684093,0.37843657,0.034026593,-0.17317992,1.159505,0.5421639,-0.67401206,-0.52251154,0.5289623,-0.3223778,0.55362254,-0.4031328,0.13546486,0.77095133,-0.52453744,0.65843844,-0.42311656,0.5690559,-0.5402387,-0.21613759,1.1356021,0.50021195,-0.52273333,-0.8609018,0.6000748,0.3552994,-0.83739805,0.41383052,-0.47277746,-0.36763763,-1.0388675,-0.07569605,-0.7079692,-0.40737846,-0.044448156,-0.8793274,0.38337448,-1.0493678,0.17916006,-0.13403696,-0.65138274,-0.44712627,-0.7483583,-0.5123996,0.9143012,-0.29072028,0.09025573,-0.2844699,-1.1476934,0.091374665,-0.6313428,-0.62004584,0.1747368,0.45862937
N,0.47815293,0.2956258,0.30901906,0.4520413,0.19771437,-0.38725215,0.18779391,0.4008814,-0.010864131,0.6421218,-0.5080455,0.68556726,-0.29694894,0.13105842,-0.11103,0.296998,-0.816859,-0.534178,0.17059232,-0.059216667,0.0017577894,0.02208776,-0.36255175,0.0690385,-0.31825924,0.55786127,-0.0029898062,-0.31891644,-0.541073,0.59375846,0.9624042,0.83794427,-0.19126508,-0.7292652,0.494469,0.3370103,-0.27719668,-0.0021662246,-0.11669796,-0.27485093,-0.53204346,-0.65747947,0.07209803,-0.831749,-0.16211961,-0.49499196,0.57607967,-0.7791006,0.5493091,0.04300743,-0.27497494,-0.28703272,0.77165073,-0.058855847,0.33857915,0.10656901,-0.23935488,-0.36775085,-0.65162784,-0.12986483,-0.5074874,-0.17729731,0.0031977557,0.87632793
O,0.23085146,-0.25940716,-0.14424503,0.09415485,0.29838458,-0.41745114,0.090667084,0.3731171,0.058363475,0.47633466,-0.31643474,0.7344784,0.2005167,0.7345622,0.31390476,0.17216799,-0.66903293,-0.10880992,-0.03682114,0.13121939,0.023116391,0.005243212,0.11373271,0.16721413,-0.26809695,0.25462136,0.36539012,-0.37098467,-1.0112327,0.8529024,1.0621872,0.9006556,-0.059344776,-0.8666431,-0.0662826,-0.09731817,-0.16234756,-0.31474668,-0.08156109,-0.44604525,-0.48209307,-0.47921562,0.021985035,-0.69428617,0.28947452,-0.10812408,0.19979762,-0.45750335,0.55448496,0.48621538,-0.006530294,0.1333784,0.63142246,-0.12849039,0.09093592,0.039742615,0.35017568,0.045467146,-0.34773678,0.30422303,-0.32218882,-0.19819112,-0.44454986,0.4510978
F,-0.34780604,-0.5168688,-0.20332636,-0.29975426,0.6224966,-0.73626834,0.27286988,-0.48091045,0.27545154,0.11851135,-0.29770535,-0.43704784,0.70207256,0.736258,0.30140072,-0.29626974,0.018095672,0.17774765,-0.15130694,0.4928683,-0.082772434,0.22661826,0.22214945,0.15339679,0.5359889,0.17915997,-0.02730932,-0.28941944,-1.0264546,0.26575065,0.312306,-0.026189141,0.306859,0.06175928,-0.16667774,-0.3408538,-0.13955975,-0.3964011,-0.008974474,0.36041978,-0.7206892,-0.5393116,0.1525105,-0.0947528,0.48574385,0.103187256,-0.15277517,-0.64253384,-0.5711192,0.6925216,0.30034748,0.48620278,-0.027676187,0.032737747,-0.10459845,0.4073393,0.6869817,0.32593498,-0.26377466,0.4381791,0.1888439,0.45848015,-0.65098685,0.17969985
Na,-0.4031374,0.48307693,-0.51927054,-0.23886378,-0.40665057,0.119842574,0.1089921,-0.33932966,0.06665588,-0.97894585,0.41206792,-0.39380842,-0.2726513,-0.2807228,-0.32397896,-0.94943947,0.9876138,0.505219,0.007838845,-0.24864309,-0.21294434,0.5065829,-0.48623437,0.63220155,-0.08460584,-0.1409308,-0.7732588,-0.13034603,0.9585886,-0.11426066,-0.7573731,-1.4096338,0.23541576,1.4423301,-0.42427886,-0.39002982,0.5499437,0.027126158,-0.21133402,0.529801,0.67381567,0.66541123,-0.6331546,0.9713908,0.20802617,0.5520638,-0.73918253,0.6025915,-0.7542111,-0.55191475,0.20820813,0.12794518,-0.20723146,-0.39881402,-0.21956728,-0.110355094,0.13971609,0.66034883,1.3951268,0.06729022,0.97132254,-0.10468161,0.38316485,-0.14608364
Mg,-0.0065945685,0.21063082,0.1646111,0.24923202,0.25390962,0.515307,-0.24136293,-0.0635678,-0.22450694,-0.098908395,-0.10429256,-0.5921429,-0.14607763,-0.08829185,-0.29770058,-0.12670206,0.24693409,-0.4502716,-0.24515237,0.3485638,-0.17314129,0.06712936,-0.007819243,-0.17916167,-0.25458038,-0.646296,0.3643632,0.2960461,0.71205217,-0.06765713,-0.2600554,-0.43748617,0.17195052,0.49810284,0.33115378,-0.050684385,0.32142836,-0.23815241,-0.58555377,0.36669382,0.11766161,-0.492935,0.1589737,0.38919452,-0.13441513,-0.3382017,0.21319449,-0.83456826,-0.9368913,-0.06739047,0.13422698,0.09625415,-0.68300796,-0.46397522,0.48500663,0.5765653,0.06216564,-0.05120047,0.3772041,-0.12418191,0.4309658,-0.19389673,0.29113662,-0.1275081
