Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,1.085323,-0.18206114,0.20786898,-0.011380941,0.6898779,-0.6388928,-0.43177807,-0.3564655
Li,1.0179741,-0.043828808,-0.17877933,-0.33719462,0.3000401,-0.35505623,-1.1727386,0.0120659955
Be,0.04295844,0.21226592,-0.59701663,0.3234207,-0.05385085,0.0965795,-0.02572415,0.97477186
B,-0.7244905,0.574866,-0.06711976,0.8294211,-0.3802469,0.9166518,0.41772443,-0.579481
C,-0.6678076,0.502757,-0.18714546,1.0941122,-0.68776834,0.6943816,0.8629295,0.03846242
N,-0.8914044,0.15557088,0.6749423,1.1769614,-0.13643295,0.62857217,1.2363483,-0.36411554
O,-0.40660885,-0.10208129,0.22095592,0.3535809,0.70072764,-0.21006721,0.23971769,-0.21645421
F,0.023143187,-0.27121964,0.9323786,-0.23177907,0.95012033,-0.33066022,0.044465907,-0.19803804
Na,1.3636068,-0.47952852,-0.48748732,-0.38599974,-0.19670676,-0.60369414,-1.4176328,0.025394019
Mg,0.11333431,-0.039161302,-0.5069263,-0.049352653,-0.29987863,0.22294962,-0.17979944,0.09267487
Al,-0.13191968,0.33636302,-0.17004971,0.49668288,-0.3780056,0.75701964,-0.44683912,-0.15200137
Si,-0.23707959,0.3214613,-0.27473634,0.55930734,-0.6043463,0.8232605,0.12585896,0.082588226
P,-0.7141253,-0.5982246,0.52993566,1.0596454,0.029528398,-0.34027183,1.1311585,-0.1437197
S,-0.55779815,-0.6594507,0.72564536,0.6075996,0.12183671,-0.70751446,0.17862493,-0.48647758
Cl,0.85293055,-0.5832351,1.1506273,-0.48507074,0.92817533,-0.23667222,-0.56937224,-0.7950217
K,1.0847155,-0.9498308,-0.33753324,-0.57459766,-0.2071663,-1.5216565,-0.540714,0.16110088
Ca,0.93627393,0.072683044,-1.111083,-0.38711348,-0.24720176,-0.6951608,-0.4601127,0.8106064
Sc,-0.0177988,0.4900221,-1.0205501,-0.1716691,-0.47215375,0.33644998,-0.06203299,0.27737188
Ti,-0.2196666,0.64350086,-1.0304489,-0.004570298,-0.19948292,0.36619383,0.29514378,0.8610018
V,-0.31043324,0.37147868,-0.8754217,0.19868365,-0.34333083,0.4086402,0.19945003,1.392389
Cr,-0.076755375,0.648801,-1.0235926,0.2508263,-0.22120486,0.12170682,0.28683174,1.5429767
Mn,-0.52445555,0.73477906,-0.55185807,-0.07168279,0.17391141,0.39575666,0.13474256,1.0691155
Fe,-0.31896123,0.79295963,-0.5111391,0.2747527,0.41822714,0.25479668,0.24526393,1.4591299
Co,-0.3035655,0.2967768,-0.50736403,0.42193714,0.538592,0.055707227,0.5719389,1.5939951
Ni,0.23138335,0.62826085,-0.31808108,-0.34508356,0.7737637,0.2811947,0.080723904,0.9951177
Cu,0.30546987,0.1401373,-0.0710506,-0.26492998,1.1023436,-0.31540626,-0.13375092,1.1415304
Zn,0.24026999,0.04748501,-0.05169061,-0.038884766,0.24969979,-0.11259607,-0.25566953,0.72367
Ga,-0.001520101,0.11753627,-0.16037059,0.37375882,-0.3996347,0.4334333,-0.25469244,-0.25969943
Ge,-0.09550215,0.21820118,-0.07897328,0.29888675,-0.3306009,0.62993777,0.2915842,-0.18346679
As,-0.51071686,-0.3000473,0.3037876,0.85500664,-0.24232133,0.049447022,0.87146026,-0.010977026
Se,-0.42103887,-0.5545339,0.6650961,0.25184718,-0.07718429,-0.523243,-0.1803029,-0.5627511
Br,0.77537966,-0.8861943,1.2099817,-0.43517902,0.8403682,-0.74528915,-0.16857511,-0.60524625
Rb,0.985149,-0.9477397,-0.05620639,0.45208478,-0.7120728,-1.5525551,-0.33240062,-0.040432777
Sr,0.7763761,0.37661514,-0.97634524,-0.5348851,-0.5655256,-0.09118595,-1.1277418,0.33229327
Y,0.39139464,0.65759873,-1.2582302,-0.005531095,-0.4622832,0.5433656,-0.25541705,0.52562594
Zr,-0.124331534,0.5837591,-1.117686,0.13586459,-0.7170127,0.49711213,-0.16881317,0.68096906
Nb,-0.25748846,0.29611295,-1.0195498,0.28896847,-0.812695,0.5299753,-0.016131543,1.1570064
Mo,-0.34166977,0.8648122,-0.89271647,0.3365021,-0.46014866,0.75150466,-0.016626276,1.0924318
Tc,-0.75757575,0.89269227,-0.31835604,0.03697578,0.1774935,1.0078347,-0.19697979,0.5270167
Ru,-0.6009109,1.1352518,-0.19505937,0.47742438,0.55946404,1.2213322,-0.066234194,0.965753
Rh,-0.5799874,0.76783586,-0.29276228,0.3369941,0.46505135,0.8909488,-0.09702592,1.0977567
Pd,0.052806437,0.48964623,0.08304338,-0.08472604,0.42142162,0.65330255,-0.4373871,0.12880844
Ag,0.060397908,0.43139306,0.35422635,-0.33743268,1.0885468,0.4519113,-0.5307624,0.3412433
Cd,0.24228045,0.033155866,-0.0123912245,0.070645325,0.06350055,0.05707244,-0.4091356,0.37737787
In,-0.14051077,0.17010094,-0.2102551,0.2688578,-0.7353296,0.41462225,-0.5241016,-0.42621112
Sn,-0.14503188,0.074613,-0.030871078,0.24381664,-0.6581165,0.64628124,-0.08650347,-0.41228536
Sb,-0.24475369,-0.24727984,0.054241374,0.8995748,-0.62269294,0.32672852,0.44040224,0.05493078
Te,-0.108010896,-0.4272728,0.64405394,0.47921437,-0.18747582,-0.06010469,-0.1780625,-0.7027854
I,0.55595374,-0.98907214,1.2280613,-0.5079174,0.4752697,-1.0634873,-0.30166703,-0.6112301
Cs,1.25099,-1.0135183,-0.07366502,0.2009798,-0.60153246,-1.3372235,-0.4588784,-0.28819892
Ba,0.64574754,0.2668403,-0.87535876,-0.48375168,-0.8326086,0.081538215,-1.1251388,-0.05485795
La,0.8422636,0.28695393,-1.201032,-0.07346799,-0.7967953,0.14139342,-0.689669,0.6736544
Ce,0.8422636,0.28695393,-1.201032,-0.07346799,-0.7967953,0.14139342,-0.689669,0.6736544
Pr,0.6265944,0.24291469,-1.1302727,0.101155385,-0.91249174,0.21655896,-0.70827806,0.43479088
Nd,0.7197453,0.36118475,-0.98976356,-0.021607347,-0.9215286,0.19162525,-0.6732476,0.5563237
Pm,0.4578519,0.41995636,-0.95980674,-0.12205886,-0.5261117,0.26956734,-0.25460592,0.55304235
Sm,0.7595352,0.40608862,-1.1202303,-0.0772055,-0.75615615,0.20744662,-0.5992892,0.65429884
Eu,0.89201653,0.08176594,-1.068788,-0.3510294,-0.5352716,-0.2919058,-0.4654089,0.5897586
Gd,0.7595352,0.40608862,-1.1202303,-0.0772055,-0.75615615,0.20744662,-0.5992892,0.65429884
Tb,0.7073568,0.4928452,-1.1910648,-0.03732732,-0.5906831,0.37045813,-0.4187438,0.70254403
Dy,0.73467577,0.34552398,-1.2502242,0.031774938,-0.77779555,0.34226328,-0.22416133,0.65292484
Ho,0.65194726,0.4646587,-1.1694225,0.028037421,-0.73715645,0.40831643,-0.13378155,0.63356924
Er,0.65194726,0.4646587,-1.1694225,0.028037421,-0.73715645,0.40831643,-0.13378155,0.63356924
Tm,0.308059,0.67196244,-1.1449974,0.027976088,-0.54726696,0.5878247,-0.094145186,0.6189667
Yb,0.80255556,0.27791885,-1.1667749,-0.40086034,-0.5434509,-0.3270603,-0.3567304,0.65206546
Lu,-0.00270091,0.55429524,-0.90661407,-0.11135913,-0.60667366,0.50753164,-0.6268284,-0.0051379465
Hf,-0.11750664,0.6274374,-1.1177182,-0.032016777,-0.7512138,0.68554324,0.037497822,0.6929117
Ta,-0.16511875,0.4591595,-1.2337552,0.096547164,-0.95082706,0.7015256,0.27853793,0.96821207
W,-0.35456672,0.8695844,-0.83851415,0.3755125,-0.5547248,0.86758876,0.029846273,1.2071718
Re,-0.8089994,1.0325809,-0.545568,0.0069100186,-0.208427,1.0404308,-0.10394428,0.8149731
Os,-0.705317,1.1697493,-0.20217606,0.6830908,0.18680461,1.341597,0.071169734,0.8244293
Ir,-0.7086055,0.88392705,-0.18541452,0.60302055,0.24097215,1.1965393,0.35085422,0.78276855
Pt,-0.2320545,0.7763191,0.2481061,-0.06472381,-0.052616674,0.93595105,-0.23784024,0.17972933
Au,-0.08675277,0.19713064,0.5401245,-0.18818533,0.35373774,0.1838322,-0.72593623,0.12586936
Hg,0.28926358,-0.4103379,0.39126796,-0.1427949,0.17333665,-0.36903203,-0.15502395,-0.034602996
Tl,0.033990733,-0.091787525,-0.08204119,0.1951988,-0.87853676,0.5473354,-0.6115679,-0.6368057
Pb,0.31962213,-0.30808985,-0.2653231,0.26738068,-1.2663863,0.46847042,-0.2321625,-0.15267776
Bi,0.038292237,-0.6651744,0.05857086,0.5422639,-0.8679974,0.118523374,0.27004465,0.14323214
Ac,0.80683756,0.30972943,-1.422063,-0.4965147,-0.9285249,0.009074166,-1.5542347,0.15963978
Th,0.78792393,0.62411857,-1.5386732,-0.34868273,-0.63263994,0.23539737,-0.8006065,0.6068277
Pa,0.41686916,0.68916,-1.3372356,-0.4004013,-0.4909477,0.22770908,-0.70911324,0.4424854
U,0.3867282,0.84979105,-1.3563884,-0.2301873,-0.5852102,0.32401025,-0.7746626,0.7543153
Np,0.78792393,0.62411857,-1.5386732,-0.34868273,-0.63263994,0.23539737,-0.8006065,0.6068277
Pu,0.5655856,0.69349205,-1.4844276,-0.38175705,-0.51987135,0.32170323,-0.6883255,0.6070657
