Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,0.123083234,-0.88473976,0.855096,-0.55593413,-0.045458566,-0.56989115,1.2836461,0.41918737,-0.37401384,0.5713116,0.42894593,-0.50708634,-0.29212943,0.97255784,-0.16088411,0.77852994,-0.9651372,-0.27412525,0.8353907,0.74375665,0.18774861,0.4233367,-0.005976324,0.07701126,-0.06392594,0.2031321,-1.3325912,-0.3580348,-0.2430593,0.12922522,-0.48495358,1.2604059
Li,0.44285032,-0.16287604,0.7890198,-0.29914483,0.41595396,-0.34797654,0.2909269,0.49585623,0.6512048,0.27286494,0.625737,-0.5154929,-1.0629814,1.1399754,0.31563798,0.8736026,-0.27625385,0.21701157,-0.49903923,0.026019268,0.05914797,0.09209903,0.031256083,0.90866464,-0.054743268,0.21695843,-0.78346187,-0.7504281,-0.06253619,0.14293018,-0.07097389,0.35848325
Be,-0.26139367,-0.124496005,0.15230677,-0.28797886,0.32270008,-0.06773268,0.018455602,-0.04561019,0.70807254,0.620437,-0.04968843,-0.019015934,-0.37291783,0.6200764,-0.6109682,0.4271883,0.30281642,0.5798912,0.49601287,0.5807146,-0.29424763,0.8183907,0.7975084,-0.6180241,-0.3748175,-0.28618604,-0.35957137,-0.9664147,0.33917975,0.47387084,-0.48625883,0.41077137
B,-0.57689536,-0.1953508,0.15704656,0.2634754,-0.2803573,-0.2315356,-0.014606811,-0.38633406,-0.4806773,0.57227427,-0.22046906,-0.010284569,-0.008022349,0.5235317,-1.7124356,-0.018270826,-0.4273411,0.4434144,1.6126667,-0.36120844,-0.22596087,1.1535175,0.8235135,-0.8838899,-0.3693292,-0.3259827,0.44656596,0.026522966,0.38074496,0.8226205,-0.9384352,0.5985265
C,-0.67087394,-0.0070517138,-0.46102887,0.30512926,-0.69980514,0.2572995,-0.3343322,-0.036479473,-1.0865222,1.1500436,-0.00072340854,0.10658398,0.6194664,-0.052889116,-1.1437609,0.009442644,-0.63500243,0.4631605,1.1875756,-0.32158038,-0.5198228,1.0781808,0.9230239,-0.51223683,-0.51938754,-0.59007394,0.21147697,0.58238196,0.061404698,0.7022736,-1.4545938,0.7472295
N,-0.79640096,-0.31862596,-0.539363,0.27562407,-0.59971136,-0.00090237247,-0.26987103,-0.406457,-1.1955044,0.6706696,-0.0055931825,0.049152482,1.2242208,-0.43262237,-1.096502,-0.57369524,-0.013397247,0.62094414,1.2969233,-0.85977304,0.097761385,0.16406229,0.25832462,-0.9712964,-0.12602952,-0.29753697,0.5296747,0.52981025,0.21024841,0.21299678,-1.1912192,0.527357
O,-0.225501,0.30893123,-0.1769466,0.15454784,-0.044395488,-0.3453521,-0.8178383,0.1480895,-0.9164525,0.05256562,0.03215479,0.5567624,0.8805676,-0.36689493,-0.62983614,-0.5590834,-0.12784186,0.032480136,0.64115703,-1.0437545,-0.109737635,0.2569196,-0.114137605,-0.061990675,-0.21637167,0.020218857,0.5074847,1.0993053,-0.58580446,-0.044036128,-0.5914078,0.85386133
F,-0.19868755,-0.9737421,-0.1308129,0.09066564,0.108723715,-0.5517868,-0.1265688,0.2126591,-0.38705072,-0.16697109,-0.23736115,0.078225106,0.6371766,-0.15293507,-0.66542464,-0.044182755,-0.40201616,-0.36474705,0.6702462,-0.491587,0.03438708,-0.2499597,-0.2708806,-0.21009843,-0.074712224,0.08259338,0.49910703,0.6898351,-0.52091384,-0.61048293,-0.4316319,0.8205236
Na,0.43456382,0.024263658,0.4994751,-0.23504034,0.27190834,-0.49748227,0.42068425,0.7179248,0.78073585,0.32851893,0.3814584,-0.36565506,-1.0745916,0.9035572,0.9992963,0.8910356,-0.23381856,0.019653756,-1.0113789,0.5699971,0.15551363,-0.096053325,-0.3599922,1.1016986,0.15743397,0.19314393,-0.6616813,-0.72030574,-0.20868361,0.12783596,0.26337466,-0.25630862
Mg,-0.011896212,0.18274027,0.08037707,-0.09580439,0.0859666,-0.43930307,-0.09607015,0.25674534,0.3595521,0.5040757,-0.34449095,-0.20606366,-0.30142668,0.547714,0.113831565,0.5244311,0.1100715,0.22201866,-0.4658975,0.52134895,-0.22674663,0.33852312,0.05700009,0.68567705,-0.051380366,-0.14703146,-0.0013293693,-0.4740835,-0.032274105,0.263824,0.07298678,0.113455296
