Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,2.140492,0.071405396,0.29577073,0.5994373,1.2801285,-0.11107089,0.5793846,-0.9972945
Li,1.3168105,-0.49566782,-0.1988793,-0.62181735,0.15655454,-0.6487614,0.35391462,-0.25365788
Be,0.05727196,0.063911974,-0.13076515,-0.07880916,0.22892816,0.1449044,-0.34332907,0.31367564
B,-0.3300179,0.7477841,-0.15094931,1.0913368,0.07796096,0.6891516,-0.031040654,0.52001643
C,-0.7059626,0.6676064,0.03799044,1.8246576,0.26096487,0.6280785,0.27528423,0.6572936
N,-1.5991849,0.44164783,0.6206815,1.3549715,0.62741,0.42832583,0.6454102,0.15758638
O,-1.000346,0.5679569,0.37187323,1.2703023,1.2583966,-0.2661257,0.5073208,0.24489346
F,0.0009246655,0.33301544,1.0489795,1.0045983,1.2406029,0.35916597,0.9539284,-0.21518399
Na,1.6641321,-1.0961686,-0.33390468,-0.6996078,-0.20407522,-0.8853557,0.28578413,-0.3312997
Mg,0.08034614,-0.4616966,-0.49442822,-0.56284684,0.0059618605,-0.109394126,-0.21985666,-0.11135854
Al,0.57993597,0.07633515,-0.3932032,0.47760004,-0.36802977,0.22506475,-0.16292433,-0.34525186
Si,-0.18855897,-0.08010459,-0.28111517,0.69526476,-0.2677517,0.31422788,0.33908916,-0.23629959
P,-0.48025525,-0.14171462,-0.050697576,0.9624209,0.015866525,0.42772195,0.62533504,-0.40591758
S,-0.4841317,-0.480608,0.6712406,0.83776236,0.7828667,-0.6135533,0.69597363,-0.1438695
Cl,0.20008692,-0.4974051,1.2306392,-0.13614805,1.0591811,-0.19500911,1.1689028,-0.46959716
K,1.2979317,-0.8457666,-0.4946012,-1.1445414,0.55619735,-1.3698192,0.6496356,0.62068033
Ca,1.6694018,-0.02989753,-0.86344147,-1.0342687,0.361508,-0.67246246,-0.31801313,0.45469818
Sc,-0.19000243,-0.31033128,-0.67379904,-0.473678,-0.70254254,-0.23346943,0.025626473,0.2935116
Ti,-0.467522,0.097347915,-0.7377806,-0.3448754,-0.36742517,-0.10809199,-0.06096217,0.8865578
V,-0.23538558,0.43865317,-0.81744325,-0.07229404,-0.2443792,0.5788476,-0.4011442,0.7483769
Cr,0.026832614,0.823402,-1.1325841,0.4502921,-0.39855853,0.017098628,-0.42421925,1.6307462
Mn,0.106928796,0.4904142,-0.6461002,0.26212072,-0.12470091,0.7152704,-0.25252825,1.833225
Fe,-0.05711476,0.3097009,-0.39975134,0.09324835,-0.30918938,0.20918879,-0.7336897,2.3378148
Co,0.5162427,0.5839294,-1.4139688,-0.071410716,-0.3730772,0.77893114,-0.8766459,1.3823427
Ni,0.24294156,0.8167768,-0.6123518,-0.23467405,-0.22599784,0.8811916,-0.30695432,0.7182396
Cu,0.56473356,0.71666616,-0.3827338,-0.11470707,0.6208968,0.656983,-0.37744188,1.0740645
Zn,1.0647038,0.13803661,-0.06443237,0.31645024,0.2389392,-0.20497102,-0.28938174,0.91769075
Ga,0.5856335,-0.0075464062,-0.43010366,0.4404775,-0.21683666,-0.00087509304,0.36980337,-0.26192653
Ge,0.0003153123,-0.0069345683,-0.33065775,0.41113037,-0.19906163,0.23591122,0.70821285,-0.26304582
As,-0.2492556,-0.19321626,-0.14357023,0.6115768,-0.2611848,0.11928006,0.79586077,-0.33859554
Se,-0.2708601,-0.5743722,0.6765307,0.549129,0.6187554,-1.0163683,0.75355947,-0.11860369
Br,0.60919714,-0.7053045,1.1535473,-0.32751507,1.1749734,-0.49488807,1.5660572,-0.10503553
Rb,0.56802547,-1.2044138,-0.33803105,-1.2837528,-0.28785777,-1.3986865,0.5462644,-0.56008434
Sr,1.3236625,-0.009933379,-0.7813058,-0.8563259,-0.65110093,-0.2613242,-0.2722034,-0.6308741
Y,-0.018534627,-0.31383076,-0.61995053,-0.6612336,-0.959342,-0.08566203,-0.14437169,0.2636837
Zr,-0.6669072,-0.19675216,-0.78514254,-0.40537852,-0.7842273,-0.1791184,-0.3334278,0.12523346
Nb,-0.79404265,0.03446016,-0.76338995,-0.2792791,-0.519272,0.5722382,-0.14124703,0.20654686
Mo,-0.5907413,0.6335762,-0.98319185,0.2460119,-0.8790511,0.26453215,-0.37744665,0.45343328
Tc,-0.45047757,0.37165636,-0.59283257,0.07238786,-0.58618605,1.0381749,-0.27389526,0.6588346
Ru,-0.6561691,0.23284578,-0.24083744,-0.057286248,-0.4992463,0.5442406,-0.73192143,1.0733033
Rh,-0.1989591,0.47410607,-0.8264996,0.014765933,-0.4237041,0.69985735,-0.8280873,0.3182055
Pd,-0.07022354,0.4585091,-0.21727733,0.10111992,-0.39409322,0.7607447,-0.52451676,-0.16824017
Ag,0.007326264,0.57445234,0.014614295,-0.34030837,0.37713414,0.74228734,-0.16638571,-0.21676452
Cd,0.50808746,-0.09414901,0.053583164,0.1713807,0.09138321,-0.12857366,-0.081915975,0.41955265
In,0.22116557,-0.122783884,-0.1394251,0.3343343,-0.38826948,-0.025589235,0.19978799,-0.5227733
Sn,-0.30047542,-0.31428504,-0.164178,0.25725302,-0.42433426,0.20159203,0.54758483,-0.7117479
Sb,-0.4210591,-0.47316897,0.03261802,0.46198046,-0.5187264,0.12165733,0.66275907,-0.5210797
Te,-0.26510057,-0.6724454,0.6283971,0.087459415,0.18247485,-0.672233,0.84346384,-0.44203144
I,1.2244505,-1.0010412,1.2734885,-0.93070585,1.1978941,-0.6446286,1.3878673,-0.73234624
Cs,1.7042655,-1.1651286,-0.085412934,-1.5162449,0.17475486,-1.1775606,0.5324244,-0.4666866
Ba,1.3456348,-0.18987112,-0.49245262,-0.70055646,-0.98147124,-0.12402574,-0.20758285,-0.7897608
La,0.75539815,-0.09058057,-0.9479675,-0.49541378,-1.3134545,-0.047324173,-0.49352372,0.19823863
Ce,0.75539815,-0.09058057,-0.9479675,-0.49541378,-1.3134545,-0.047324173,-0.49352372,0.19823863
Pr,0.8136075,-0.23113753,-0.8996506,-0.4236936,-1.4905006,-0.055126615,-0.46701032,0.10840447
Nd,0.5817334,-0.081932,-0.65655386,-0.47737533,-1.2027773,-0.15415245,-0.45760494,0.2111323
Pm,0.36195505,0.019853711,-0.60691327,-0.42840368,-0.93923473,0.013478242,-0.28245175,0.03609201
Sm,0.69727117,0.01035884,-0.7878808,-0.44804567,-1.205125,-0.039788388,-0.4778155,0.23900813
Eu,0.86968416,-0.32648632,-0.640797,-0.98631006,-0.6228048,-0.42000234,-0.15597539,-0.05735938
Gd,0.69727117,0.01035884,-0.7878808,-0.44804567,-1.205125,-0.039788388,-0.4778155,0.23900813
Tb,0.3895741,-0.037017852,-0.63622546,-0.37565893,-0.9721378,-0.061818846,-0.24742465,0.0863782
Dy,0.3652145,-0.23743036,-0.74036586,-0.533213,-1.2529589,-0.0077853426,-0.29693508,0.11936319
Ho,0.3070875,-0.13649093,-0.5802791,-0.48584485,-1.1446294,-0.0002495572,-0.28122687,0.16013269
Er,0.3070875,-0.13649093,-0.5802791,-0.48584485,-1.1446294,-0.0002495572,-0.28122687,0.16013269
Tm,0.14183104,0.0013242904,-0.61055785,-0.45836544,-0.7868127,-0.016048506,-0.32838213,-0.032925364
Yb,0.806007,-0.13437329,-0.51659817,-0.9385759,-0.568965,-0.4103973,-0.16536279,0.13049582
Lu,0.21743599,-0.24124031,-0.47864932,-0.43238157,-1.1010004,-0.010382183,-0.30582654,-0.02558082
Hf,-0.7868217,-0.20712082,-0.42892748,-0.47691423,-0.85896206,0.09706288,-0.070543244,0.4108594
Ta,-1.0618683,0.05100343,-0.49012035,-0.48057896,-0.7049924,0.71029365,-0.18361937,0.39378643
W,-0.5325201,0.7482563,-0.65178776,0.6298855,-0.88585514,0.4116799,-0.53575224,0.6733285
Re,-0.45797414,0.5064421,-0.20119186,0.44208014,-0.6664873,1.111921,-0.38915688,1.0228931
Os,-0.8212206,0.30060038,0.0060506426,0.30686247,-0.7767061,0.6580711,-0.9095339,0.9862184
Ir,-0.25341427,0.6425464,-0.6999745,0.10670103,-0.6773612,0.9922826,-0.8451625,0.06139333
Pt,-0.51356614,0.59994346,0.2804456,0.12025634,-0.8342984,0.8783216,-0.3796128,-0.4584896
Au,-0.39478818,0.41709366,0.6035209,0.27452818,-0.030389704,0.556478,-0.46665633,-0.17819339
Hg,0.58026886,-0.15120012,0.5483488,0.47681195,0.4123766,-0.07944337,0.22752278,0.34447962
Tl,0.24860576,-0.35427767,-0.023087796,0.37064946,-0.5954336,0.10990659,0.24728248,-0.77968115
Pb,-0.020911273,-0.61036694,-0.026544135,0.50436354,-1.0246214,0.2739962,0.47315764,-0.38325605
Bi,-0.18886584,-0.77070785,0.22394972,0.46427488,-0.7456705,0.20285213,0.7745648,-0.38380867
Ac,0.80085295,-0.27421802,-1.3603404,-0.20184825,-1.678712,-0.31256709,-0.1882694,-0.7358422
Th,0.038439486,-0.016806265,-1.1426092,-0.06932598,-1.4044322,-0.107300915,-0.2847535,-0.3941802
Pa,-0.13774589,0.088872164,-1.0825595,-0.034042686,-1.1552247,-0.12978071,-0.31424022,-0.60343343
U,0.047893558,0.26732364,-1.0892568,0.23682994,-1.1819288,-0.018757008,-0.13020828,-0.6298141
Np,0.038439486,-0.016806265,-1.1426092,-0.06932598,-1.4044322,-0.107300915,-0.2847535,-0.3941802
Pu,0.021749262,0.07220209,-1.2036256,-0.12987454,-1.26292,-0.025322959,-0.33744913,-0.4282712
