Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,-0.15305759,-0.7145431,-0.48946357,-0.8394825,-0.065627754,-0.4634931,0.2782188,-0.35253477,-0.3481574,-0.8728429,0.23691174,-0.87460315,0.18326001,0.08085915,0.02181568,-1.2059431,0.31641766,0.25681436,0.24939984,0.7510627,-0.06997888,0.6989306,-0.32159242,-0.16067941,0.3812864,-0.6827766,0.28330112,-0.25559887,-0.7805769,0.045966387,-0.96038324,-0.08221423,-0.20890477,0.9326632,-0.7574355,-0.08620428,0.18020405,-0.62934947,-0.00884898,-0.017807096,-0.3168116,-0.31681675,-0.47038984,0.037773274,0.62608373,0.69991654,-0.32276553,0.14016971,0.49231625,0.7269855,0.27170295,0.42532468,0.3570138,-0.5305612,-0.5242488,-0.349059,0.7363328,0.4857045,0.47395736,0.12782638,0.6072392,0.12606645,0.022007998,-0.5494852
Li,-0.74039567,0.15467995,-0.723638,-0.32248044,-0.54110146,-0.20429143,0.28745663,0.12126483,-0.08965176,-0.6808624,0.34308016,-0.43609527,0.1798617,-0.090478,-0.54350495,-0.45436728,0.48050523,0.11665947,0.36364695,0.39610368,-0.2117413,0.27779457,-0.021596089,0.2786125,0.24492878,-0.27978352,-0.04940799,0.054018933,0.5885871,0.2407808,-0.695495,-1.2764491,0.1027535,1.222711,-0.24347469,-0.38028055,0.16449857,-0.36643675,0.12720643,-0.041381836,0.16584423,-0.22858655,-0.22610843,0.719231,0.25069538,0.30520755,-0.83411294,-0.04852167,-0.673087,-0.17573862,0.05226663,0.4387717,0.32208917,-0.39587787,-0.4899752,0.07819271,0.41539553,0.3129209,1.1363932,0.25524443,0.6954586,-0.056447778,0.44353312,-0.82198226
Be,0.3437881,0.37121245,0.19144921,0.21331106,-0.22029355,0.44825208,-0.08444068,0.3592803,-0.534297,-0.37720534,0.09119548,-0.5074979,-0.034963038,-0.7712381,0.38021955,-0.6161181,0.25885713,-0.25987446,0.076299675,0.06741324,0.24809387,-0.020899534,-0.18775243,0.35701972,-0.5416308,-0.62615955,-0.548947,0.6685645,0.8940069,-0.9374926,-0.59417623,-0.6895948,-0.6131154,0.70776016,0.2953966,-0.06712578,-0.17197625,-0.25792503,-0.34995592,-0.5108967,0.10341605,-0.171068,-0.47048792,0.29755196,-0.3648592,-0.11432053,-0.4342339,0.069785416,-0.37025362,-0.4339713,-0.30383208,0.13363211,-0.82353497,-0.46931782,-0.039168775,0.41633523,0.04658608,-0.13839114,0.48462903,-0.23229632,0.26691002,-0.36051348,0.8009975,-0.5870333
B,0.78766924,0.6523851,0.35088533,-0.29674202,0.5628683,0.54969513,-0.71690845,0.2953493,-0.9045393,0.05426953,0.18198523,-0.13161692,-0.6891011,-0.65907377,0.37713018,-0.4337631,-0.6832029,0.33623317,0.01919756,-0.036501236,0.55462027,-0.2408164,-0.56892127,0.033366412,-0.22403151,0.14852162,-0.20915818,0.32231224,-0.66536677,-0.5104693,0.15464917,0.6006095,-0.81667525,-0.317043,-0.12843259,0.32991645,-0.23450406,0.093798295,-0.5525401,-0.93918,-0.5625616,-1.3717682,0.0042809173,-0.4658935,-0.044084646,-0.21848728,0.46132874,0.492493,0.8916997,0.12655418,-0.40991142,-0.29187915,-0.92934537,-0.42879203,0.4166108,-0.51945907,-0.07102314,0.004882507,-0.94983304,-0.008469615,-0.29952547,-0.26870418,0.029405996,0.4533606
C,0.9231617,0.28448594,0.6985285,-0.39377666,0.5875056,-0.38563818,-1.0378437,0.15228604,-0.19216292,0.8195288,-0.3725287,0.32123816,-0.07376912,-0.18581177,0.8592583,0.1318551,-0.56116253,-0.32511923,0.26444212,-0.39367676,0.4013189,-0.4071145,0.06552554,0.37868202,-0.41183132,0.62715316,-0.46812075,0.30435693,-0.19594254,-0.5435232,0.7824841,0.7457951,-0.51119995,-0.65459955,0.43960667,0.117445774,-0.6340988,0.15434323,-0.42498642,-0.6425805,-0.4806582,0.6105875,-0.45718268,-0.31723994,0.052766167,-0.5763191,0.0056299083,-0.15983218,1.0998161,0.27064216,-0.43913707,-0.4149056,-0.7045014,-0.17069077,0.49671835,-0.60831976,-0.3118204,-0.28884944,-1.2245735,0.24450463,-0.49864346,-0.24136624,0.4135828,0.35981426
N,0.702592,0.5518023,0.13730095,0.1358298,-0.038275514,-0.20139836,-0.20112008,0.91661406,-0.49212202,-0.051658593,-0.39520517,0.49728474,-0.74770856,-0.31948215,-0.22176096,0.22868851,-1.3103637,-1.3268498,0.84107786,-0.3731339,0.26303917,-0.2367525,-0.23662257,0.011724405,-0.81249535,0.9594141,0.12681046,0.1800317,-0.4761525,0.75460446,0.64506453,1.1213127,-0.5009698,-0.23996238,0.26728323,0.42819145,-0.30359155,-0.072627306,-0.21475276,-0.46354786,-0.63380474,0.36688766,-0.2915254,-1.4929806,-0.19395167,-0.35869783,0.49398237,-0.7944396,0.71500707,0.08228698,-0.589388,-0.460752,0.4018619,-0.39775202,0.16041502,-1.2507312,-0.69958776,-0.20411155,-0.8179836,-0.24100271,-0.9495912,-0.334087,0.16829605,1.0151271
O,0.30880427,0.3004123,0.0035921559,0.18039359,0.04070444,-0.2601626,-0.16361384,0.4177432,-0.1260429,0.11126983,-0.58401775,0.6156555,-0.053744853,0.57486635,0.25989372,0.390347,-1.2070134,-0.010235393,-0.04757888,-0.49828988,0.025030777,-0.012478031,-0.10760339,-0.11514878,-1.1641014,0.38258275,0.19508654,-0.5308494,-1.2114648,1.2691187,0.6468887,1.2963594,-0.29928857,-0.5830542,-0.09506036,0.021719135,0.14170584,-0.34868518,0.10403663,-0.45640507,-0.37813693,-0.01320323,0.22871095,-1.0016114,0.29327154,-0.30395588,0.45296443,-0.2877913,0.66402996,0.3118714,0.033671506,0.006556172,0.6922012,-0.01210003,0.12666029,-1.0156091,-0.0012503862,-0.3377762,-0.59744895,0.17273465,-0.56900656,-0.29767314,-0.41540113,0.9830817
F,-0.31750435,-0.6808494,-0.20326655,-0.20948717,-0.13725975,-0.89279735,0.29175627,-0.19261302,-0.072169304,-0.25114423,-0.5854263,-0.32240754,0.45589206,0.68284,0.55466366,-0.19255279,-0.67852896,0.034695923,-0.21293819,0.16699938,-0.04559192,0.249588,-0.1802097,-0.6561055,-0.27230296,0.28646833,0.7296575,-0.4240562,-1.7827961,0.6629242,0.18518619,0.993584,-0.17614117,0.2642932,-0.32514575,-0.20658505,-0.15771855,-0.6740765,0.22813766,-0.35041744,-1.1194357,0.017976392,0.10191848,-0.80581516,0.56611764,-0.18431856,-0.006055787,-0.56507486,0.5266429,0.87722206,0.3563982,0.53961235,0.40667,0.09491974,-0.47422522,-0.9696906,0.35360178,-0.06442013,-0.51092875,0.3279434,-0.20981488,0.31116566,-0.8665485,0.37126482
Na,-0.74807245,0.3501392,-0.652735,-0.27975506,-0.10112178,-0.022126567,0.58574057,-0.26284662,0.4342093,-0.3697648,0.3810366,-0.057872973,0.19944218,0.22237845,-0.6813394,-0.20714964,0.9888846,0.45600623,-0.10705813,0.33676422,-0.4296974,0.68207014,0.07608847,0.50126874,0.42549598,-0.4539263,-0.28751674,-0.47661158,1.0255189,0.34318236,-0.5130537,-1.3006762,0.6594467,0.8326055,-0.30951232,-0.43069565,0.49788773,-0.17213163,0.119221434,0.6075665,0.7927601,-0.26091382,-0.006894052,0.95882493,0.24736743,0.42566305,-0.65172535,0.36344573,-0.8942418,-0.41867483,0.20618503,0.44381094,0.19157779,-0.1822655,-0.16237396,0.4365431,0.446833,0.59526634,1.0199419,0.2424979,1.0742159,0.019349944,0.3285414,-0.55313796
Mg,-0.42193192,0.35432592,-0.19634353,0.07312937,0.012179967,0.2122866,0.27822953,-0.1538924,0.058408353,0.11646352,-0.026988056,-0.07146747,0.056638706,-0.10129956,0.31171453,-0.145615,0.37428582,0.09601841,0.0918441,0.056337193,0.116345406,0.37114698,0.013535984,0.5183681,-0.20071852,-0.78320754,-0.31264123,0.31313455,0.89553154,-0.25130463,-0.14342587,-0.44293305,0.21451342,0.43253428,0.044915203,-0.1254138,0.21021841,-0.29252365,-0.2426948,0.2675937,0.53621036,0.5303276,-0.2658838,0.16369313,-0.21201678,0.17943414,-0.22360018,0.122496486,-0.52066696,-0.11440959,-0.053232104,0.1496863,-0.46691418,-0.31147292,-0.18163466,0.22467297,0.2946609,-0.24875882,0.29251584,0.017341224,0.43001184,-0.20524949,0.20326415,-0.26087138
