Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,0.13916638,-1.9757581,-0.6078124,-0.48972848,0.37073484,-0.29028288,0.6511186,0.2543723,2.193216,0.3398357,0.015263651,0.22376442,0.18300879,-0.9511821,0.28792423,-2.0246282
Li,0.57175636,-0.5619392,0.57620364,-0.49979523,-0.31068197,-0.37997553,1.1513394,0.76504457,-0.64104116,0.39329606,-0.3749337,-0.02357674,0.4764543,0.5038004,-0.21465135,-0.033543013
Be,0.23480622,-0.47970915,0.64660656,0.12459116,-0.02092595,0.46106517,0.5475356,0.15548927,-0.050103396,-0.41582394,-0.1448336,0.19612606,0.012160204,0.80011994,0.21549658,-0.7964064
B,-0.70218354,-0.23846695,1.1480105,0.9020172,0.45404992,0.38258818,-0.44854972,-0.38729873,-0.3974078,-0.423598,0.23107307,-0.7976288,0.07655022,0.13811639,0.2795663,-0.41096964
C,-0.9281086,0.098813064,0.48478988,0.7083203,0.75043726,0.5430622,-0.55953383,-0.41682324,0.34807792,-0.749144,0.33835393,-0.79416764,-0.2707427,-0.119572096,0.53689766,0.33704427
N,-1.4709696,-0.15942466,-0.116222546,1.0186019,0.9672065,-0.114723474,-1.0752562,-0.4541799,0.82784104,-0.5960933,0.26493692,-0.39055336,-0.42314884,-0.21130309,0.38344604,0.25228417
O,-1.1470702,0.26463458,-0.0732041,0.5690353,0.338814,-0.13582341,-0.9332696,-0.060971886,0.018100783,-0.18822245,0.059734207,-0.5537209,0.076441854,-0.8724706,-0.3589495,0.39448306
F,-0.96295214,-0.050829604,-0.49946317,0.21318252,0.26879597,-0.66942364,-1.2041966,0.34659043,0.5187155,0.04322408,-0.4823433,-0.29624835,0.13647851,-1.3441039,-0.34478784,0.08089333
Na,0.88196784,-0.5733897,0.4551505,-1.2069657,-0.3983716,-0.38026777,1.0480723,0.92431045,-0.6445658,0.7560389,-0.39147934,0.063273795,0.45772937,1.1582474,-0.14988703,0.47268257
Mg,0.39151764,-0.45564422,0.24196857,-0.65449744,-0.06949369,0.24416861,0.2002613,0.33419868,-0.6165968,0.12411766,-0.009892236,0.42201906,0.20138767,1.1674241,-0.0939928,-0.16711816
