Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,0.63010514,-0.122814834,0.73545474,2.4603307,0.30089015,-0.019551262,0.70532227,-0.12995034,-1.6353189,-0.008996757,0.008567818,0.19217093,0.66383266,0.29428047,1.032973,-0.1238162,0.18607056,-0.51986516,-0.5614858,-0.7543203,1.3895789,0.30410215,-0.6257425,0.2556368,0.017188001,-0.34888774,-0.9965508,-0.4555236,0.11521938,-0.47546428,0.0688595,-1.8212329
Li,1.6048973,-1.1207671,1.5214494,-0.25289783,0.21178351,0.90272844,0.16283932,0.3803169,-0.96673465,0.06862381,0.20771974,-1.537853,-0.097959146,-0.15419109,-0.8412554,-0.1223707,0.050308004,-0.10829951,-1.2207613,0.25427178,0.5344311,-0.45916343,-1.6098895,0.08152193,0.018735211,-0.23707327,-1.0856284,-0.25805497,-0.6642391,-1.8150699,-0.18491842,-2.2292056
Be,1.3710033,-0.5306293,1.3001144,-0.43509042,-0.27347422,1.134045,0.65453964,0.5851402,-0.23610522,0.09836488,0.62978524,0.030941844,0.406902,0.31118715,-0.8180006,-1.5776012,0.2851904,-0.6130032,-2.4343054,-0.13599515,-0.026675701,-1.1689818,-0.7090061,0.03761709,0.026594099,0.0015584454,0.34103236,0.9913812,-0.5040724,-0.32577327,-0.5234764,-0.021005495
B,0.9982693,0.5209963,0.049411837,-0.0861032,0.26652086,0.6869798,0.78259295,-0.47266424,0.39493945,-0.0039253477,0.0074368687,0.6915254,0.5783387,0.4839067,-0.07742156,-1.180157,-0.06014429,-1.030113,-2.2788157,-0.22941872,-0.04936552,-0.87751395,-0.10775314,-0.15934983,-0.047654275,-0.49453673,1.1985009,1.746444,-0.08504867,0.3922822,-0.8770617,0.3432479
C,0.25708127,0.7842423,-0.85092294,-0.48524594,0.11882508,-0.20244227,0.16523391,0.76108384,0.47155935,-0.010820786,-0.1532832,0.5286586,1.1523999,0.3938415,0.33137134,-1.221314,0.35134968,-0.34223434,-1.4341712,-1.048202,0.8438892,-1.1082599,0.30381876,-0.1950669,0.011287671,-0.39430317,0.65221596,0.773832,-0.037941404,0.19030261,0.5305694,1.3510878
N,-0.46007162,2.7019365,-0.31481707,-0.009795833,0.012028292,0.4187622,-0.38214836,0.69102055,-0.70431024,-0.018349918,-0.8583176,0.78008556,1.2835133,-0.15433809,0.05214359,-0.8088105,0.24824262,0.32659522,0.3176787,-0.5092913,0.79266286,0.39966875,-0.24031474,1.1760406,0.0014622919,-0.6239341,0.1610044,0.17544623,-0.20893036,0.26989913,0.494173,1.5421985
O,-0.37745327,0.5286509,-1.7330786,1.5049816,-0.0776972,0.7548048,-0.91321206,0.41754967,-0.4232959,-0.0030257273,0.15575568,0.56268716,-0.27017784,-0.0041242987,-0.09230091,0.99326026,-0.07803834,1.52577,0.4926386,0.3083032,0.6653163,0.6522553,-0.2631544,0.2025003,0.0017444007,-0.030872397,-1.6322643,-0.41117603,-0.049127914,0.29993445,0.24258249,1.1416315
F,-0.037751004,-0.2925149,-2.4430172,2.2633703,-0.11168413,2.224434,-1.3604169,-0.4038384,-0.1693249,0.0005679708,0.0345578,2.3975391,-2.0668683,-0.049663953,0.021277921,1.8780911,0.21330912,2.3111145,0.052235045,-0.29665425,-0.19463506,0.18854895,-1.18039,-1.2447038,-0.0003436543,-0.5774266,-2.4637523,1.845738,-0.067744225,1.6108322,-1.4229463,1.9051176
Na,2.4788358,-1.7276652,1.8624576,-0.3760271,0.28682995,-0.76268977,0.6956338,-0.36767673,-0.9846973,-0.055991083,0.32317963,-0.86372846,0.21301663,-0.12528135,-0.24033217,-0.10790963,-0.104527205,-0.82414335,-1.3569207,-0.8245943,-0.1949195,0.0485491,-1.1062421,0.007221762,0.08062415,0.5440879,-1.7702821,-1.100689,0.069373496,-1.3082602,0.17223884,-2.6594548
Mg,1.1376308,-1.7221372,1.132116,-0.48347527,-0.3613798,0.08284299,0.503019,-0.52554435,0.06877232,-0.0035171155,0.09036517,0.3157534,-0.15673283,-0.34006363,-0.6909847,-0.171098,0.2054909,-0.99889714,-1.1159029,-0.5365146,-0.30482358,0.10238907,0.1335025,-0.22836548,0.002671983,0.27081788,-0.5406076,-0.9226999,-0.354866,0.2934775,-0.25121343,-0.8157037
