Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,-0.07637223,0.89341,1.5349926,-0.26203185,0.8244669,0.44515628,-0.49044552,-0.17483774
Li,0.44031653,1.1484182,0.33224586,-0.4377039,2.5066721,0.024743918,-0.0959137,1.9012843
Be,2.9573245,-0.5149923,-0.27385432,0.3528192,0.70872444,0.5077322,0.94454384,1.366658
B,1.536572,-1.2689289,-0.6045911,-0.5464976,0.33811918,0.30969283,0.78978276,0.24844891
C,1.7890621,-1.2205516,-0.03248699,-0.31758392,-1.0193181,0.84453696,0.43675038,-0.59339446
N,-0.20084606,-0.63270825,-0.7927541,-1.6030294,-1.3360841,1.6268847,-1.6320783,-0.67649
O,-0.16985764,0.48603284,-1.2080606,-1.8892819,-0.4947027,-0.7245461,-0.9378338,-1.428883
F,-0.97366524,2.7642403,-1.9876679,-1.2413262,-1.5899142,-2.5186844,-0.66994035,-1.8285164
Na,-0.15821607,1.050788,0.7889224,0.87313926,2.334431,0.3877028,-0.49331048,2.687765
Mg,-0.04576289,0.16724128,-0.05983071,1.3795184,0.841293,-0.2888506,1.3525388,1.8363742
Al,-0.14590578,-0.48228335,0.6921284,0.6890894,0.04000814,-0.5012126,0.7824272,0.5574783
Si,0.35034424,0.2765386,-0.46628132,1.0116076,-0.0654569,-0.2731422,1.5840958,-0.39504716
P,0.01906995,-0.22229914,0.09684202,0.89602125,-0.57862926,-0.2459646,0.15630943,-0.9788558
S,-0.4011975,0.28329483,-0.8990917,0.48344076,-0.52736664,-0.20096682,-0.5857375,-1.2798514
Cl,-0.062206022,1.4656695,-0.5803618,-0.58337843,-0.9251687,-0.6219961,-1.3207558,-0.20998266
K,0.37298724,0.75872463,2.0314753,0.73862946,2.3703341,0.4150081,-0.44361147,3.4035504
Ca,2.4978619,-0.32602906,0.7379363,-0.5102242,2.120679,-0.5320315,1.29076,2.8249953
Sc,-0.18008682,-0.34496677,-0.1639739,0.4180122,-0.18407643,-2.0636349,1.5567048,1.1311089
Ti,1.3181475,0.40589792,-1.9420376,1.7889472,-0.013007227,-1.5127869,2.2582545,0.17312708
