Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,1.6135993,-0.36379308,0.7268519,-0.0004911758,0.22438686,-0.59416145,0.05577583,2.9003203,-1.1217633,0.0013353415,-0.53225386,-0.53327936,-0.41760105,-0.58277273,-0.04884343,0.0021892115,-0.84610385,-0.8012037,0.41065428,-0.66098106,0.37461746,0.04637094,-0.28865913,-0.7417741,-0.0014587259,-0.11304315,-0.24975993,0.79135096,-0.6988733,0.15767427,-0.1821259,-0.09376749,1.2783986,0.384305,-0.730973,0.40646487,0.5511751,-0.27702945,-0.6678826,0.69671035,-0.17125447,0.259859,0.002579838,-0.6581119,0.636113,-0.38200924,0.092813246,0.05278338,-0.41890606,0.14963952,-0.35142574,-0.23617628,0.9504106,-0.60841197,-0.687848,-1.2546797,0.7853343,1.0419848,-0.2199227,0.5402468,0.15203391,-0.3982525,-1.4633144,0.9309434
Li,2.7517161,0.13047615,1.7629863,-0.003490325,1.2125951,-0.096018545,0.5650089,2.0292993,0.3315121,0.0060016215,-0.2473095,-0.0139562115,0.71227795,0.2646366,-0.7669432,-0.0029247217,-1.1817261,-1.1819946,-0.24009648,-0.8971176,0.12660462,-0.072787344,0.0074009374,-0.28963873,-9.8123215e-05,-0.09067526,-0.47820845,-0.65097016,-0.032717355,-0.36136717,-0.54259276,-1.5590556,0.32153273,-0.48274297,-0.66291904,-0.3073331,-0.81880385,-0.18179967,0.29297027,-0.076483205,0.49593842,-0.101049304,-0.0027183145,0.75997573,-0.17530969,-0.5032439,0.6328433,0.5379449,0.09133433,-0.21606952,0.35087663,-0.36322019,0.6409708,-2.840404,-0.38799036,-0.5012268,-0.61221766,-0.47016096,-0.3476549,-0.26633286,-0.46419567,-0.23724695,-2.5291302,0.08579854
Be,-0.23291107,-0.28480697,0.6463255,-0.00022323988,1.1479802,0.5975186,0.06796095,2.4720094,1.1457559,0.0055122487,1.7874848,-0.18768692,-0.21238326,0.09103498,-0.47735572,-0.008112315,-0.85515654,0.68920213,0.31912753,0.6339243,0.32109073,0.050904587,-0.15372261,-2.254529,0.0045411857,-0.5182318,1.0189137,-1.9378488,-0.13556159,-0.81978256,-0.056847103,-1.279311,-0.3053555,-1.0641187,0.8402556,-0.008602612,-0.0043693036,-0.16304849,-0.047442086,-0.044062003,-0.96559894,0.3886671,-0.001982972,1.2195612,0.47600096,-0.819813,-0.64262193,0.015221272,0.49244216,-1.7386994,-0.6941303,-0.30926844,-0.8363896,0.5172009,-0.35304743,0.5933186,-0.49119633,-0.4572311,-0.5528378,-0.49491525,-0.14615415,-0.272712,-0.7972486,2.4944491
B,-0.9118312,0.09965984,0.20482054,0.004609149,0.10626961,0.6530474,0.20268795,1.012339,0.7221443,-0.0035710484,0.31674725,0.19156575,-0.8589904,0.16306761,0.3678031,0.003767129,-0.18127757,0.6156011,0.63902956,0.94591856,1.6055892,-0.14847313,-0.06756317,-1.1635562,-0.0018572798,0.13121691,0.025575723,-1.2319654,0.23551743,-0.1156267,0.13003615,0.3415108,-0.36744332,-1.4007013,1.3026412,-0.38310245,-0.7279963,-0.09350318,-0.34718487,0.56872404,-0.62156814,0.25296533,0.006027445,1.1954557,0.9605753,-0.09409216,-0.49590153,-0.4471923,0.6231759,-1.7216951,-0.078930736,-0.07157115,-1.3729572,1.2556514,-0.1463235,0.9821778,-0.25633484,0.09726089,-0.3333916,0.09847993,-0.3188991,-0.006701812,0.3198639,0.54699856
C,-1.1564679,0.11439077,-0.020367183,-0.0043830536,0.4055046,0.451483,-0.23844498,0.78889996,0.10559908,0.0011144951,-0.10856249,-0.19714901,-1.0380212,0.4163891,-0.31669474,-0.0016687848,0.3811225,-0.2598758,0.69213206,-0.31592602,0.8576013,0.13403961,0.36446935,-1.9107482,0.0019107694,-0.06668272,0.09531012,-0.6044589,-0.453197,-0.6329583,0.8926018,0.20498374,-0.30183798,0.42201492,1.3132603,-0.11970999,-0.514126,0.043391958,0.35643423,1.2910222,0.038730383,-0.0052722096,-0.0027371794,-0.0048879236,-0.18851927,0.02099796,-0.0031701084,-0.11071026,0.4833603,-0.8413653,-0.07515378,-0.27643165,-2.3061016,2.2335744,0.44292247,-0.27941054,0.17747416,0.65172786,-1.7181735,-0.34514666,-0.6725285,0.18811116,1.1103514,1.8355011
N,-0.45587477,-0.6649143,0.41546014,2.8874725e-05,0.10359754,-0.61789244,-0.27453163,-0.18667114,-1.5097543,0.00065040216,-1.3799881,0.25260797,-1.3043334,-0.39664447,-0.36371553,-5.4702163e-05,1.0893159,-0.6318595,0.57427114,-0.07774725,0.5058881,-0.009435803,0.014615692,-0.17564526,0.0014910111,0.101333626,0.27551836,-1.0257003,-1.246768,-1.0190057,-0.08837662,0.21236652,-0.017268818,0.6836757,0.68477833,-0.20184502,1.9347588,0.57794225,0.7113461,2.0486972,-0.55282027,-0.3005598,0.0012377352,0.10362982,0.46041322,0.6742072,0.25699553,-0.62061197,1.0585498,0.17626294,-0.033120766,0.4456561,-0.3364579,1.3890911,-0.6021984,-0.82481384,-0.35918602,1.4581518,-1.3114961,0.0049983524,0.5103144,0.26464403,2.1898015,-0.15089974
O,1.2558777,-1.270752,0.11420544,-0.002493512,-0.72566384,0.218266,0.11119695,0.032375894,-1.1861595,0.001807902,-2.433861,-0.9737884,-1.0092038,0.089080006,-0.19154452,-0.0006312765,0.9677722,0.05061422,-0.9338508,-1.2395508,0.15205038,-0.0019938499,0.02722583,-0.08781275,0.00084924046,-0.008256897,-0.504224,-0.017463043,-0.42592072,-0.05816681,0.08653433,0.33719385,-0.23696731,-0.24909198,0.4535945,0.000890024,-0.035306558,-0.0088710785,-0.19112933,0.5064095,0.013954617,-0.05159913,-0.0015412122,-0.24098647,-0.562632,0.045007687,-0.085600466,-0.24156035,-0.12483834,-0.68425846,0.08285357,-0.032381527,0.9477742,0.05872052,0.16531853,-1.0703632,0.56450415,0.4939242,-0.21472444,-0.05091161,0.93669176,-0.0034272224,1.1124902,-0.22989261
F,1.0896244,-2.2164435,-0.4202651,3.2175332e-05,-2.3941917,-0.28078508,-0.4712439,-0.2194671,0.47686064,0.00062469393,-0.3547388,-2.8615243,-1.6593546,-0.7111209,-0.70803887,0.00021275692,2.399938,-0.6521932,-2.045816,-1.0835915,-1.2778904,-0.008193448,-0.065254085,-0.7260536,0.0019282335,-0.040482573,-0.194313,-0.7006847,0.5858493,0.6872864,-0.6225576,0.071318515,-1.0349505,-0.607526,0.97494787,0.67569816,0.66766864,0.04379189,-0.14066023,-0.93403184,-1.3560771,0.69529265,0.00025053322,-0.22602582,-0.70102024,0.20739579,-1.0586969,-1.238498,-0.78487015,-1.0020308,-0.40690026,0.47243634,1.45802,0.16231865,1.1937139,0.6420411,-0.6560244,-0.82567364,-0.6821242,-0.24572672,2.6500907,-0.3266775,1.4682695,-0.048057903
Na,2.1711094,-0.330437,1.6851023,-0.0041834526,1.7250422,-0.053579763,0.21267866,1.9196826,0.3019973,0.00028254837,0.9110105,0.041227736,1.1192896,0.15027149,-0.43915433,8.381158e-05,-1.3074151,-0.29224426,0.011957012,0.24109729,-0.17238483,0.1191214,0.14813766,0.9222382,-0.005723781,0.20483357,0.5320944,-0.78429204,0.34662214,-0.43738955,-1.434267,-1.9422063,-0.25782496,0.3606239,-1.1730951,0.39084035,-1.3837632,-0.16418849,-0.27831462,-0.94568086,0.78287417,-0.59871674,-0.0037250519,0.33762234,0.03438984,-0.6396391,0.6163699,0.78826153,-0.24865083,0.5567758,0.05416964,0.053655483,1.3975976,-1.7054116,-0.19279857,-0.12974997,-0.48747376,-0.0560641,1.2700007,0.055430304,-1.3106321,0.11981593,-2.9169152,0.30382267
Mg,0.58101195,-0.6473126,0.9472471,0.00021390244,1.39128,-0.43909216,-0.33131674,0.98490304,1.2737585,0.0010525696,2.1113048,-0.00063665956,0.7789798,-0.7184799,-0.19871105,0.0034383684,-0.69277835,0.16132553,-0.08259452,0.88879657,0.24206343,-0.007659346,0.029077701,0.37230945,-0.0018507903,-0.034670077,0.8602315,-1.4886786,0.5274165,0.10149553,-0.86604875,-0.5232597,-0.2614962,-0.26787987,-0.21955167,0.51190525,-0.77917343,0.013134226,-0.12948596,-1.6596878,0.0028369725,-0.30378816,0.0008749813,0.03585445,0.37470472,-0.36763933,-0.07477912,-0.05246794,-0.14165872,0.39479855,-0.33644435,0.06926737,0.29108188,1.1332129,0.17697364,1.2585323,-0.2610652,-0.60240954,0.9948336,-0.074031815,-0.65042144,0.06840037,-1.2884787,0.7894009
