Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,-0.28214717,0.65182453,1.0109411,-1.0885041,-0.33413994,0.52735394,0.87355596,-0.37843156,1.7515503,-0.12089625,-0.73014253,1.0623256,1.5986052,-1.8528672,-0.42037365,-0.28320986
Li,0.32791364,0.2079562,0.04850536,0.83756065,-0.7074579,0.40146554,0.016340874,-0.2669077,1.2397416,-0.51180404,-0.38445812,0.6318176,1.1732813,-1.3003993,-0.024946164,1.9769694
Be,0.05589644,-0.592667,-1.1734337,0.9192862,-0.23738357,0.8988993,2.2302876,0.9991281,-0.04578578,-0.7185849,-0.5107832,0.11649841,0.3874504,-2.1618783,-0.26612312,0.37053668
B,-0.20003948,-0.68720686,-0.914622,-0.21648337,0.13770938,1.1331185,1.7778865,0.9654182,-1.3402876,-0.21586719,-0.37331077,0.13765238,-0.5094253,-1.6665806,0.22355747,-0.2973187
C,0.4228302,-0.9043691,-1.2318915,-1.6127001,0.58605886,0.8186081,0.45471567,1.1576533,-1.3063945,0.20301929,0.13073893,-0.19725218,-0.5376886,-1.7187682,-0.8730638,-0.36706403
N,-0.4647352,0.59324855,-0.22595237,-2.8052762,-0.55413115,0.05493773,-0.3827916,-0.5419492,-0.67582643,0.33236542,-0.3530835,1.0447854,-0.6869232,-1.2440796,-0.21113929,-0.20851672
O,-1.1146393,1.0639918,0.51936245,-0.71043533,-1.3331716,0.39173478,-0.057657756,-1.5987251,0.4500444,-0.08787672,0.82635576,-0.44022134,-1.0703812,0.12808241,0.08275075,-1.0140918
F,0.4425239,1.6898477,1.8663024,0.92268217,-1.7912118,1.041136,0.3031489,-0.4130721,1.9400445,1.2104123,2.0029712,-1.9475365,-1.5054641,1.598214,0.3693019,-1.5764688
Na,1.3403429,0.1266675,-0.55236846,1.2104138,-1.138798,-0.4137832,0.65629536,0.8702128,1.3818492,-1.0862608,-1.346156,0.9348937,1.7921169,-0.7559287,-0.6090394,1.3468513
Mg,0.82427543,-0.56541073,-0.30209172,1.6422669,-0.24709004,-0.17314161,1.22141,1.5857582,0.3666608,-0.6455985,-0.691495,0.20004734,0.6157745,-0.19191879,-0.5102627,0.65055746
Al,-0.18508871,-0.25320736,-0.042579673,0.9326973,0.3800799,0.41936785,1.2406547,0.7293155,-0.48841703,0.12904546,-0.20451473,0.092720985,-0.3195749,0.084328145,-0.1643717,-0.36722675
Si,0.58944154,-0.68760526,0.6745317,0.3775439,-0.1880297,1.1733423,0.33868006,1.2917287,-1.2462786,-0.082099006,0.44287738,-0.585955,-0.3646626,-0.003601104,-0.0064717345,0.5397793
P,0.045824498,-0.45073545,0.9715284,-0.692916,0.3581199,1.1416126,0.5222334,0.93704176,-1.3227187,0.50406504,0.34911543,-0.6018299,-0.59265274,0.41402328,-0.3479606,-0.7294915
S,-0.39224547,-0.2536576,1.0460453,-1.0990167,0.07446064,0.43084407,-0.61631197,0.57001734,-0.5906994,-0.13248192,0.3334192,-1.4816701,-0.8919458,0.3319065,-0.8609741,-1.2887244
Cl,0.23285006,0.51271015,1.1746016,-0.5090164,-0.9955689,-0.09975223,-0.74596316,-0.01803721,1.5071977,-0.4356512,0.09184124,-0.8061507,0.043403253,0.99442554,0.44845855,-0.61969066
K,1.3717847,-0.14484885,-1.2350835,0.78893226,-1.0646716,-1.2838763,0.016325355,-0.4289961,1.4749502,-0.45572752,-1.3146843,1.2982976,2.468172,-1.2227618,0.39318871,2.4648056
Ca,0.4097502,0.05861458,-1.0727444,2.1973197,0.35740986,-0.64896536,0.18501964,0.11147755,0.76107,0.11536294,-0.109628744,-0.7318243,0.9581063,-0.79135394,1.263783,0.47858328
Sc,-0.2846754,-0.25302207,0.20176777,2.055798,0.9010712,0.05470502,1.2490729,1.2253615,0.30398285,0.95932055,1.7310275,-0.20546368,-0.9424458,0.581295,0.6021017,-0.35999072
Ti,-0.26779965,-1.207252,1.6083535,1.8170537,1.0562458,1.3150969,0.34512368,1.0409096,-0.23746449,0.30008876,1.2666966,-1.2690241,-0.73999226,0.8087555,1.0230474,1.392271
V,-0.21461816,-1.7104473,0.6245504,0.46343452,1.8664234,0.7721895,0.3521156,0.21084866,-0.77890706,1.0280361,0.90097284,0.2624266,0.2527537,0.2889421,0.6177562,2.2599552
Cr,0.22542919,-2.346254,-0.876447,-0.10083248,1.7051315,-0.28293425,1.1459466,0.32974443,-1.3365282,0.75770265,-0.29509133,0.1759479,0.8554677,-0.8246601,-0.044316407,2.6374986
Mn,1.1252314,-2.463497,-0.17193519,-0.49253014,1.9951689,-0.11820364,-0.068112545,0.85428274,-0.8353364,0.10106853,-0.6823877,1.0980561,0.97472876,-0.65025747,0.6597511,3.210859
Fe,0.3213552,-1.9919835,-0.8190413,-0.52234536,2.2513106,0.2630808,0.45696566,0.7377008,-0.93673533,-0.5522731,-0.9128409,0.6525551,0.86413157,-1.6195661,-0.4720293,1.5448351
Co,0.047045782,-1.7750129,-0.99403757,-0.9862969,2.189782,-0.8258159,0.19032118,-0.031380363,-0.031660702,0.030430507,-1.421028,0.55268425,0.37850505,-1.9912285,-0.6855873,1.5737847
Ni,-0.5620089,-1.6132653,-0.092750676,-1.3610926,1.9739823,-0.8650043,0.70932573,-0.72779214,0.2621296,-0.89832276,-1.6296618,1.0360215,1.0009402,-1.073907,0.078466356,0.59909606
Cu,-0.65239525,-1.3093557,-1.3992178,-1.0996752,1.1029279,-1.2614465,1.7173971,-0.33324963,0.11248648,-0.23805785,-1.5611908,1.6385515,1.8263397,-1.4317076,-0.7734737,0.94713783
Zn,-0.45208192,-0.4483985,-0.45172253,-0.14955758,0.8727989,-0.60002756,1.3254093,-0.42407203,0.2301876,-0.4922456,-0.5484176,0.5678265,1.1094164,-0.59243727,-0.24611962,1.0028663
Ga,-0.6669158,-0.17001152,-0.3271992,0.26473942,0.46984252,-0.059704293,0.3094528,0.15751895,-0.07931921,0.5640685,-0.57521266,0.80813813,-0.13955022,-0.3781572,-0.13713692,0.72140825
Ge,0.40045515,-0.6609699,0.45136246,-0.36264023,0.5716295,0.82481414,-0.1447736,0.57376325,-0.63008505,0.19974826,0.2013189,0.076848924,0.39214015,-0.3181715,0.42638117,1.1489618
As,-0.42694932,-0.15865986,0.944633,-0.73619425,0.7273532,1.239808,-0.1684654,0.32882255,-0.8625422,1.3176134,0.27036113,0.37496215,-0.08694957,0.17871268,0.139064,1.3984203
Se,-0.54206663,0.17963856,0.98735154,-1.4180642,0.38753602,0.44032982,-0.97862417,-0.03139747,-0.060753282,0.5720313,0.09695173,-0.597216,0.004294634,-0.07030471,-0.36576232,0.6762556
Br,-0.015700804,0.3101539,0.7004225,-1.4245933,-0.12393975,-0.36478993,-1.2076337,-0.45057872,1.6131841,-0.120687336,-0.28565508,-0.33861554,0.30250353,0.58794487,0.16661324,0.068026185
Rb,2.0015113,0.4967305,-1.5631226,0.79688567,-0.61262894,-1.4993662,0.3062957,-0.3287831,1.1393348,-1.3792491,-1.5594742,1.9199244,2.405186,-0.9922694,0.5959353,2.8030639
Sr,1.2463007,0.30925745,-0.6692928,2.881255,0.009387687,-0.95216465,0.35310832,0.3649995,0.9184554,-0.30786946,-0.42380312,-0.32863533,0.8742004,-0.13017404,1.3213217,0.7094428
Y,0.26011357,-0.15042794,0.45867664,2.8915253,0.88638425,0.06940128,1.255643,2.1666315,-0.3710235,1.3876154,2.240446,-0.40371755,-0.7828013,1.4646127,1.1323142,-1.1134979
Zr,0.86278385,-0.71325207,0.5151632,1.8912336,1.8474419,-1.1380297,0.48640195,1.9382654,0.13342156,0.40061265,0.37798956,-0.154187,-0.70108587,1.3628322,0.18172419,-0.05763421
Nb,0.556747,-1.3755838,0.45692506,0.934969,1.5728103,-0.81887645,-0.17312038,1.1350464,-0.71300733,0.5917825,0.3622513,0.9545059,-0.19917698,0.87897086,0.26577842,1.6986889
Mo,0.5212855,-1.6246725,-0.01884491,0.22987162,2.3757591,-1.4887505,0.41191903,0.6558907,-0.75848824,0.19977361,-0.26297504,0.44924942,0.09634887,0.6635301,-0.4356474,0.6279262
Tc,1.4410918,-1.553193,0.8378005,-0.33038703,2.6283834,-0.8425645,-0.92432326,1.0823528,-0.39023983,-0.0272117,-0.3883652,1.2565758,0.3834815,0.64732206,0.3578632,1.4288341
Ru,0.5146074,-1.2866105,0.094982915,-0.7309035,3.0203865,-0.5359656,-0.22033432,0.8528689,-0.68817025,-0.5194097,-0.54092884,1.1597922,0.6208801,-0.2395494,-0.5983037,-0.19751802
Rh,-0.17377739,-0.57901996,0.5606214,-1.3356926,2.5591168,-0.8262492,-1.1126618,-0.23334235,0.6959972,-0.24706113,-0.81340164,0.6077051,0.16908674,-0.79716605,-0.91270185,0.5493896
Pd,-0.4155563,-0.039069526,0.7090978,-1.1017293,2.014617,-1.3304877,-0.30201295,-0.5534012,0.770919,-0.5215586,-1.0135365,1.0346979,0.25169992,-0.13435508,-0.34841084,-0.48416394
Ag,-0.57002985,-0.08421129,-0.110782586,-1.1173371,1.4340655,-1.4786729,0.66127586,-0.3916216,0.56706077,-0.4953112,-1.2695177,2.1003582,1.7957823,-0.25729465,-0.8593396,-0.07096872
Cd,0.028251303,-0.09673616,-0.16892666,0.0578775,0.5999731,-1.373266,0.6495288,0.23323196,0.04856539,-0.7579068,-0.78173643,0.99389625,0.8778178,-0.27288428,-0.34981966,0.7212721
In,-0.03589517,-0.01221423,-0.016330473,0.5717858,0.71949804,-0.96628124,0.50517416,0.7696403,-0.035436105,-0.71924764,-1.0272125,0.58247054,-0.21426202,-0.02418264,-0.13306487,-0.3052113
Sn,1.5422021,-0.31462905,0.22942351,-0.22609983,0.7708447,-0.77095634,0.07228687,1.3208152,-0.44116217,-0.43252242,-0.3991751,0.4888503,0.62354124,0.14589067,0.16243625,0.22722459
Sb,0.7276348,0.023847008,0.46630904,-0.6390503,0.74102247,-0.17244942,0.26892778,1.2854936,-0.81480235,0.38906246,-0.45092437,1.1267059,0.51616794,0.8893665,0.09750605,0.4434376
Te,0.30172145,0.26687503,0.72502357,-0.9775166,0.43995285,-0.2821835,-0.7734006,0.7951654,-0.6033882,-0.056653816,-0.47717106,0.38764226,0.6160677,0.5171246,-0.025981244,0.17016539
I,0.8754577,0.67820615,0.5912101,-1.5496277,0.42469952,-0.9725687,-1.5965891,0.05016022,0.6266217,0.1180433,-0.19961818,-0.38887203,1.0968294,0.09736125,0.4364397,0.17803058
Cs,1.9949982,1.1318431,-1.8157994,0.955395,-0.97995794,-1.3099343,-0.1901263,-0.52671516,1.4564191,-1.947036,-1.4311432,1.6201835,2.6385965,-0.56612515,0.39677352,3.0282235
Ba,1.0173539,-0.043436736,-0.6818195,2.8641942,-1.4068826,-0.5430303,0.12896433,-0.29281932,0.13911162,-1.3171672,-0.23330039,-0.8386344,0.6534671,0.0058905333,0.9999175,1.8453903
La,0.78306174,0.22815686,-0.8101723,3.132286,0.08494712,-0.8972927,-0.20114142,0.9847474,-0.6995088,1.2760689,0.9179826,-0.786227,-0.1007223,1.5481416,0.6885167,-0.5393995
Ce,0.78306174,0.22815686,-0.8101723,3.132286,0.08494712,-0.8972927,-0.20114142,0.9847474,-0.6995088,1.2760689,0.9179826,-0.786227,-0.1007223,1.5481416,0.6885167,-0.5393995
Pr,0.9979411,-0.009148957,-0.297865,3.1601493,-0.6382377,-0.5670115,-0.34756142,0.8239792,-0.9465017,0.64032036,1.0816256,-1.0305579,0.29271984,1.5395368,0.5939599,0.5104675
Nd,0.63467747,0.13947251,-0.48286936,3.0136101,0.13979307,-0.62194556,-0.27470976,1.0447372,-1.0167025,1.1150445,1.1589473,-1.1914647,0.25549895,1.5847471,1.2944665,-0.3387179
Pm,-0.031707242,-0.2860028,-0.5324272,2.9366567,0.5822823,-0.40411755,0.08845546,0.76547825,-0.91836953,0.8956703,1.2490488,-1.1242411,0.052743986,0.94217527,0.954297,-0.48780373
Sm,0.47202557,0.056233324,-0.51188457,3.0367477,0.14314735,-0.56092066,-0.22960299,0.81592995,-0.8140872,1.0170127,0.96147907,-0.93745494,-0.048261747,1.4682766,0.8473514,-0.4872748
Eu,0.7719632,0.8326321,-0.7513441,3.0278418,-0.17133999,-1.2006944,-0.33794355,0.47827846,-0.21729594,0.7542959,1.2753341,-1.3650327,0.5801793,0.69909376,1.5340359,-1.0239286
Gd,0.47202557,0.056233324,-0.51188457,3.0367477,0.14314735,-0.56092066,-0.22960299,0.81592995,-0.8140872,1.0170127,0.96147907,-0.93745494,-0.048261747,1.4682766,0.8473514,-0.4872748
Tb,0.21537946,-0.041805483,-0.6432594,2.7638028,0.14755778,-0.47129223,0.16510999,1.0779691,-0.92976844,0.83818287,1.0758353,-0.840377,0.06960893,1.3923635,0.7757111,-0.91366327
Dy,0.29292163,0.03364136,-0.4232259,3.0711396,0.27221382,-0.37921384,0.17947838,1.541752,-0.68626297,1.0191141,1.0558208,-0.8469155,-0.2289745,1.5575051,0.41855994,-0.7683611
Ho,-0.018114524,-0.1382822,-0.124938175,2.975601,0.33041406,-0.04284172,0.15101683,1.3729346,-0.8008414,0.76005787,1.0993173,-0.99814343,-0.1765139,1.4776402,0.5773946,-0.7162364
