Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,-0.39692044,0.74469334,-1.2837658,-0.1906449,0.7488775,1.1214368,2.8806884,0.4331535,0.49861953,0.78255105,-1.1648184,-0.27740765,-0.62903327,-1.4759219,-0.8965901,0.8830281,1.1307391,1.2205852,-3.748171,-0.46040198,0.93535835,-0.13314244,-0.14700535,1.574087,1.0168793,-0.33440155,-0.92203695,0.45029226,0.5312982,0.70070136,-0.6146035,0.57533884
Li,2.4184856,-1.0467871,-1.1671255,-1.521232,0.29724708,0.6897909,1.8358815,0.12690687,-0.78868,-0.8932771,-1.8632587,-0.9256358,1.3495816,0.57447934,-0.3419038,0.027621735,0.37712523,0.6593476,-3.1857476,-0.16906479,-0.1203026,-0.42117152,-1.0538846,0.21322905,-0.5519437,0.76750314,-0.74248016,0.17870294,1.226144,0.118345946,-1.0013596,-0.21701142
Be,1.3785981,-0.49421304,-0.56100863,0.35885486,1.0341921,1.9819628,1.1994734,1.9782717,-1.4483042,-1.9611154,-0.5388712,-0.77571476,2.1483898,0.66565365,0.67589897,-1.1106923,0.32307652,0.553318,-2.093243,1.2503784,-0.098584905,-0.6952285,-0.93715584,-0.29997453,-0.15702085,-0.619784,-1.1161728,0.30160156,-0.26485187,2.1858532,-2.8996906,-0.25527215
B,0.31671795,0.08971258,-0.31166837,0.034242347,-0.57659733,0.8640347,-0.7266557,0.63449675,-0.08084358,-1.8628232,0.04106949,0.19569236,1.4733313,0.044712234,0.826219,-0.11653485,0.35929874,-0.16624002,-1.3506627,-0.019660473,-0.77198005,-0.07759396,-0.06485471,-0.03125916,0.25506693,-0.6498241,-0.027514517,-0.47687694,-0.1693832,1.1368964,-1.1546044,0.019691654
C,0.25650543,0.6204263,-0.19880104,-0.39712414,-0.34945968,0.3881381,-0.26209715,0.64875096,-1.956585,-2.381228,-0.6922697,-0.16919315,3.1496701,0.004989255,0.28872475,-0.3904831,0.4005258,0.3791965,0.013139546,1.0224946,-1.4803602,-1.2610915,-0.894323,-0.8199676,1.1215125,0.5979097,-0.6565284,0.51816493,0.05990956,0.7688296,-1.7806779,0.0038390458
N,-0.26424384,1.7599972,-0.7647175,-0.13312994,-0.21507835,-0.040324055,-1.0581576,0.188568,-0.7992787,-1.2099872,-1.313326,-1.3441604,1.5854576,-1.1532347,-1.9043095,-0.28272587,1.3802968,-0.15646528,1.0583363,0.89355206,-0.62835,0.54480284,0.98867273,0.65624255,-0.05166228,-0.26332724,-0.61849594,0.12408135,0.46737257,-0.69144595,0.4373759,-0.21200976
O,1.0581605,2.6862338,-1.5556978,0.60447645,0.070663534,0.8233367,-0.40089816,0.5668903,0.57114214,-0.7387992,-0.5825596,-1.3505832,1.0248321,-1.1273725,-2.2540681,0.7301383,1.6126543,0.6770473,0.19788873,-0.70944333,0.4937291,0.06416055,0.10339349,1.2722492,0.58624476,0.49445957,-1.3745224,0.11382168,0.33994946,0.7642586,-0.98804617,0.0759258
F,1.20495,1.3521158,-2.6261377,2.5315857,-0.06444908,2.6441338,1.8280623,1.2294981,0.84259325,-1.3131661,0.41642368,-1.1956002,-0.33631325,-2.1379507,-2.6326137,0.6498581,1.6828457,1.5363653,-0.52654904,-0.77893615,-0.47963047,0.03466495,-0.58322567,1.5897223,0.7138087,-0.5863615,-1.8074965,0.62181664,0.14043668,2.2932765,-3.00354,-0.08162078
Na,1.9420247,-1.0323184,-0.7141547,-0.7374967,-1.3363332,-0.22812793,2.5704906,-1.1310652,-1.4284642,-1.4073671,-2.3442488,0.29044503,2.0352554,-0.50617194,-0.117181726,0.34997883,1.0884405,0.4957657,-2.2048914,-0.7164532,-0.25854236,-0.08080723,-1.2071205,0.6964669,0.5647258,0.76931334,-1.6062553,1.3807887,0.3463014,0.06128618,-0.77913284,-0.07553801
Mg,0.938139,-0.16211602,0.14003494,-0.33914044,-0.80638045,0.040144064,1.0615709,-0.36805332,-1.3808987,-1.1600373,-1.0056869,0.33613458,2.1059227,0.32335716,1.1694416,-0.63026196,0.6535206,-0.264247,-0.38752142,-0.0225351,1.4086607,0.10519721,-0.75434756,-0.00090508675,0.8486997,-0.2286277,-0.904672,1.0219737,-0.31869504,0.6754819,-0.64574707,-0.0151845515
