Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,0.94228536,0.40240142,-0.5099197,-0.4515381,1.2115709,-0.970465,0.05284612,1.6298586
Li,-0.12218903,1.3273486,0.051071145,-0.047314856,0.64631546,-1.450398,0.10719274,1.7515928
Be,0.3636408,2.0961561,0.97845423,-0.17909005,-0.14024204,-2.2747736,0.9058282,0.19433464
B,0.07938209,0.8987936,0.98530376,-0.13048553,-0.7657631,0.008566814,-0.1590131,0.05146743
C,-0.39500266,0.6927837,1.8096882,-0.7179751,0.15951335,0.90922636,-0.15095408,1.3158678
N,0.54194206,0.2619044,1.6388038,-1.8194271,1.5687706,0.99137646,-0.47747558,2.517904
O,0.91821593,0.8345551,0.25065637,-2.1413405,1.7741781,-0.5026754,-1.0535702,0.7651415
F,2.5928137,2.1731997,0.89026463,-4.107503,2.828842,-1.3575917,-2.936118,0.056032
Na,-0.45812124,1.5080881,0.7196636,0.6355528,0.1404944,-0.94966537,-0.7427462,2.095808
Mg,-0.051648937,1.5607066,0.9609467,1.0547664,-0.5495042,-1.0743583,0.43292433,1.3851913
Al,0.7462294,0.35041273,0.19935443,0.1320486,-0.4084743,-0.64113086,0.14266221,-0.46984577
Si,0.35601336,0.38461077,1.1204525,-0.3355575,0.015889078,-0.5683198,1.1125445,0.32011986
P,1.0944335,-0.044646997,0.74210817,-0.49573034,-0.21403158,0.18736552,-0.68045944,-0.3867537
S,0.6498607,0.6661206,0.48159057,-0.64061624,0.25280738,0.81450695,-1.9851315,0.58374125
Cl,2.0939908,0.59168345,1.9176317,-3.6600718,2.475713,1.0356096,-3.0578873,0.7971101
K,0.11798178,2.1771665,0.564719,1.1447735,0.37458056,-1.1167537,-0.33799404,3.9539902
Ca,0.037957087,1.3662534,-0.0010379609,0.90519303,-0.6729723,-0.6973323,0.74296635,0.56278944
Sc,-0.36411077,0.011018425,-0.76487887,1.5003936,-0.7427007,-0.5509564,1.0270758,0.6080498
Ti,-0.34045672,-0.1320342,-0.5173937,1.3673252,0.061809108,0.6117541,0.8171252,0.44802564
V,0.6212231,-0.65558016,-0.67688185,0.4736898,0.2022255,1.0150957,0.4099366,-0.658682
Cr,-0.5387964,-0.5832131,-0.7715658,0.7755031,0.3236489,1.7094591,0.46525878,-0.74982953
Mn,-0.48243552,-1.5572741,-1.9986231,0.8532563,-0.0033466816,2.014621,0.7483087,-1.6192445
Fe,-0.9677944,-0.40700507,-1.2611445,1.3084775,-0.25934702,0.47885376,1.2530181,-0.9816297
Co,-0.46266413,-1.3157902,-0.85792124,1.3474162,-0.08474755,1.3938895,1.6823698,-0.56232494
Ni,0.9409554,-1.0655051,-0.43389362,0.60781187,-0.69884574,0.63138896,0.66908383,-1.7414784
Cu,-0.719916,-1.939524,-1.6893262,1.9739219,-1.4829849,0.7849534,1.6117556,-2.3951907
Zn,0.9086641,0.49674296,-0.73520565,0.55444366,0.62400347,0.032558113,-0.9428244,0.37161058
Ga,0.16925932,0.27281988,-0.116163634,-0.25982645,0.87574965,0.20314386,1.3013568,0.43840942
Ge,0.9577732,-0.46662533,0.65698636,-0.5198493,0.6425195,0.5124595,1.2704445,0.16506848
As,1.3816375,-0.5464537,-0.21332358,-0.5983114,0.89783084,0.64067787,0.39546502,-0.5567866
Se,1.1388658,-0.028589282,-0.9276575,-0.66369104,1.5529017,1.7452587,-1.3924985,0.47238404
Br,1.7004076,0.49836877,1.4857076,-3.200072,2.7132592,2.1193867,-2.7676077,1.1936915
Rb,-0.6919976,2.0642586,0.35207075,0.81618017,-0.2306546,-1.4940723,-0.6495802,3.4862082
Sr,-1.0476468,1.2698836,0.86785096,1.56974,-1.2992156,-0.55625063,0.928791,1.5535824
Y,-0.18260135,0.024235364,-0.6460929,1.0797029,-1.2915735,-0.77526295,-0.004202187,-0.11748615
Zr,-1.0912411,-0.39674467,0.07834146,1.766821,-0.4689298,-0.0028531533,0.7522936,0.84246653
Nb,-0.8106446,-0.66147536,0.29187766,0.6421985,-0.24595672,0.7267861,1.4254785,0.14765121
Mo,0.3776905,-0.9324832,0.5768685,0.8276535,-0.96749985,0.76940536,-0.25717282,-0.85896796
Tc,0.6984973,-2.4538782,-1.3111681,0.6550209,-0.8962391,1.5108937,0.0132255405,-2.58839
Ru,0.6666461,-1.1683054,-0.442935,0.8082702,-1.2655733,-0.6739754,0.7263916,-2.095635
Rh,1.092751,-2.4320588,-1.4742161,0.87366873,-0.110007614,2.0583868,0.7255228,-1.116712
Pd,0.31015867,-1.4374816,-1.1046433,1.6596463,-1.5090148,0.0323174,-0.122270375,-2.115865
Ag,0.44590658,-3.1295953,-2.0327992,1.9308684,-2.1528902,1.0651735,0.70051324,-3.522208
Cd,-0.07871409,0.23629072,-0.54912674,0.48947865,0.36769176,-0.018589718,-0.19891681,0.47430968
In,-0.20612107,0.30771902,0.022044549,0.47916377,-0.18037209,0.24338847,0.65137976,1.063684
Sn,0.44582474,-0.76679724,1.0651964,0.009141381,-0.11221355,0.5775148,0.9612902,0.5930964
Sb,1.0753617,-0.6026964,0.31160027,-0.19837138,0.022662401,0.53813773,-0.17809603,-0.34858596
Te,0.68568563,-0.2202884,-0.45877612,-0.14603712,0.036726654,1.0181637,-1.7087977,-0.65435505
I,1.3829384,-0.83034223,0.6794498,-2.7034235,1.8180976,2.723012,-2.1006794,0.47081304
Cs,-0.6068667,1.7443182,0.2735237,0.9320105,-0.08534388,-2.0509994,-0.17387003,3.1255648
Ba,-1.6832879,1.6065055,1.0112485,1.505172,-1.3267384,-1.2816914,0.33917975,1.6201404
La,-0.806785,-0.5582185,-0.1558096,0.87300706,-0.3797282,-0.34618226,0.9394873,-0.5378057
Ce,-0.806785,-0.5582185,-0.1558096,0.87300706,-0.3797282,-0.34618226,0.9394873,-0.5378057
Pr,-0.9084596,-0.2778157,0.0043728966,0.9351884,-0.5766486,-0.6759916,0.20386939,-0.47933194
Nd,-0.6376576,-0.022074703,-0.2004653,1.0895586,-0.8539852,-0.55174065,0.13596432,-0.32231838
Pm,-0.5695824,-0.17551398,-0.22297865,1.0990598,-1.0953176,-1.2897713,0.7621783,-0.6078262
Sm,-0.6267414,-0.26544142,-0.277511,0.8899191,-0.58611405,-0.54534686,0.68050456,-0.3814326
Eu,-0.9763814,-0.8825257,-0.54020965,1.4089261,-1.5472274,-1.0377176,1.1558747,-1.4953105
Gd,-0.6267414,-0.26544142,-0.277511,0.8899191,-0.58611405,-0.54534686,0.68050456,-0.3814326
Tb,-0.31236458,-0.18483472,-0.13922286,0.7405079,-0.5746937,-1.1333746,0.7177537,-0.61624074
Dy,-0.7042013,-0.2749557,-0.22594567,1.1081057,-0.6178651,-0.9613027,0.3993513,-0.41390616
Ho,-0.52415764,0.017821368,-0.34764707,1.1250178,-0.82425094,-1.1604674,0.14036857,-0.2575331
Er,-0.52415764,0.017821368,-0.34764707,1.1250178,-0.82425094,-1.1604674,0.14036857,-0.2575331
Tm,-0.08980937,-0.16368946,-0.37775162,1.0193875,-0.9141029,-1.7432034,0.91699094,-0.4020511
Yb,-0.83981323,-0.5474546,-0.8102114,1.6189257,-1.8486161,-1.0625283,0.815052,-1.2980638
Lu,-0.71646667,0.01126286,-0.56681925,0.8002023,-1.1688607,-1.1927359,0.33734554,-0.058986526
Hf,-1.5881729,-0.18308392,0.32784763,1.6900604,-0.71175826,-0.19626164,1.1372687,0.8254621
Ta,-0.9312979,-0.43031603,-0.07627275,0.83615595,-0.49665454,0.2641081,0.8534252,0.32833767
W,-0.17239851,-0.45855135,-0.18138222,0.5408227,-0.44342095,0.2503565,-0.2234107,-0.9281921
Re,-0.15951301,-1.3903182,-1.55674,0.8116634,-0.8654193,0.7298724,-0.022200897,-1.7567334
Os,0.07388936,-0.863082,-0.597085,0.74556655,-1.1094489,-1.527253,0.67761177,-2.1829674
Ir,0.52043396,-2.0230403,-1.3730904,1.1327746,-0.8068651,0.34608433,0.848964,-1.8806604
Pt,0.81250435,-0.9195371,-0.9174115,0.90088326,-1.3157363,-0.0330579,-1.0616882,-2.0100288
Au,-0.40819472,-2.5696208,-2.4693346,1.8717912,-1.4097044,1.3401109,-0.4506272,-2.6134508
