Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,-0.18130538,0.5012622,-0.5469481,-0.9259086,-1.3859531,1.4488769,0.0895801,2.7656057,0.82420534,1.9121397,0.051875174,-1.8606256,-0.17020994,-2.8056326,-1.859909,-2.6900282
Li,-1.3011732,0.02377777,-0.32417265,0.82493824,-1.069206,0.21516022,-0.0015532691,1.2205198,0.011110159,1.1102934,0.4334192,-0.2698264,-0.018005729,-0.7402474,-1.7507503,-0.7973765
Be,0.97388566,1.0468253,0.06900036,1.800985,-0.028562363,1.4929212,0.08518665,2.6423593,2.1464107,1.0761331,1.0986055,-1.5148998,-0.74294615,-1.378504,-2.8162856,-0.948559
B,0.87761986,-0.14016494,0.37027618,-0.36217767,0.20186868,-0.054829206,0.4453631,1.1749578,1.2499269,-0.16965762,0.8538696,0.29668894,-0.46554482,-1.0113271,-1.4546279,0.029034892
C,2.5240576,-0.18255587,-0.41191566,0.37661207,0.038732592,-0.45799112,-0.9952731,1.53588,1.0099998,0.30980074,-0.07187657,0.15635766,-0.4821142,0.23908097,-1.4360026,0.33371368
N,-0.21119794,-0.0035232366,-0.044704646,-0.59899354,-0.76969266,-0.23036246,-0.975797,0.4637168,-1.0706667,0.81362355,-3.001319,-0.50460744,0.265738,-1.2575239,-0.29259056,-0.7952619
O,0.013997685,0.07415224,0.009178532,-1.244264,-2.3145278,0.2858476,-1.1214414,1.077373,0.2202917,1.063901,-1.4328932,-0.62893796,-1.5394764,-1.0964837,-1.56151,-1.7763076
F,1.9522477,0.05811601,-0.04601477,-3.3575466,-2.2872908,0.6388887,-3.6608248,2.8596935,0.9787919,1.7604067,-1.9878575,-2.112968,-2.6647446,-0.5237196,-2.270624,-1.3849523
Na,-0.9026317,0.022863196,0.1473093,2.164623,-1.0097753,-0.44413146,-0.9581419,1.3704718,0.15466143,0.9415338,-0.9700144,-0.43974447,-0.44419903,0.29728115,-2.0307593,-0.31990775
Mg,-0.04661851,-0.25015193,0.482798,2.978627,0.10518432,0.639565,-1.2599128,1.8028948,1.2114809,0.33768538,-0.74127746,-1.9882556,-0.9812664,1.4626948,-1.0950477,0.7793208
Al,-0.6974974,0.06392353,0.24726354,-0.6299057,0.23660499,0.5129603,0.26968208,0.13957156,1.0319796,-0.118605934,1.8943956,-0.40499195,-0.4295383,-0.42099133,-0.60951877,-0.09419561
Si,-0.5520805,0.025367359,-0.14266476,0.2285407,0.13280463,0.49870202,-0.96862507,0.812914,0.40791458,0.7002065,0.16538498,-0.81143194,-0.6424811,0.5869633,-0.58975387,0.25765094
P,0.73112434,-0.024853809,0.019476978,-0.98512805,1.1215036,-0.009494636,-0.33473083,0.16859584,0.3657415,-0.21819869,-0.6909142,-0.28855723,0.1022183,-0.7357368,0.2786055,-0.10874855
S,1.0721834,-0.2974816,0.7707457,-0.6280875,0.0340482,-0.81656814,-1.6328294,0.46915486,0.73626333,-0.84709996,-1.4412055,0.07652516,-0.77520835,0.4878257,-0.13360639,0.46470672
Cl,0.925021,0.009909065,0.20559634,-1.2405188,-0.50510865,-0.64210147,-3.173826,1.7128801,0.7217398,-0.14838222,-3.3404856,-1.0673219,-0.84250855,0.33389547,-0.56975067,0.10244853
K,0.33408225,0.13630836,-0.33699572,1.4519022,-1.125286,-0.2541215,-0.29224506,0.99860364,0.32135803,0.91768014,0.31858698,0.014566995,-0.5683611,0.0241061,-1.8157991,0.034573942
Ca,-0.6398582,-0.057071492,-0.90710485,1.289337,0.7825611,0.85546017,0.21836022,1.0386943,0.1930353,0.16349718,-0.66103005,-1.342585,0.7326827,0.10543072,0.11676206,-0.029240867
Sc,0.11711317,-0.16358866,0.0832048,1.5384446,0.7145496,0.15556875,0.6777869,-0.3288807,0.17084628,-1.0222446,1.642444,-0.491336,-0.70344514,0.14435862,0.20969747,0.77528596
Ti,-0.03390016,-0.33029753,-0.08465419,0.7146988,0.80690426,0.033866215,-0.42906585,-0.41146544,0.63478357,-1.082246,-0.24309151,0.28425416,-0.42445683,1.6486967,0.7677825,2.0198727
V,-0.7685131,0.37980545,0.030845722,-0.5637879,0.43220916,0.36234567,0.27576238,-1.5411708,0.096216835,-0.4959085,-0.15664415,1.227547,0.27368551,0.5231831,1.079718,1.2234341
Cr,-0.10846166,-0.38935125,0.54262114,0.54871225,-0.4654293,-0.31916228,0.487592,-1.2305038,-0.039704897,-0.87893426,-1.2748913,1.7853099,0.22370449,-0.27096087,0.7445636,1.4248655
Mn,0.6839247,-0.04157225,0.14172305,0.20928837,-0.34408534,-0.37146625,1.1322492,-1.6868505,-0.6310169,-0.94236517,0.46518,1.8964051,0.88586617,0.7439245,1.5317147,1.6473517
