Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,-0.13157673,0.08988678,1.1908875,-1.2700698,-1.2464969,-2.208625,-1.4961952,-0.26113334,-0.019672155,-0.05257021,0.40866035,-0.68219924,-0.9917201,-1.3530415,-0.87902987,0.10674152,0.43888995,-0.64819723,0.0035927445,-0.24198054,1.349284,0.04000243,0.84099996,0.69015586,-0.05114676,-0.5289691,0.21554168,-1.2128559,0.18160173,-0.028466698,1.1747959,-0.02034809,0.6205445,0.08425752,0.416753,-0.19343397,-1.7646736,-1.6376655,-2.2153225,-1.5279015,0.031811923,0.08388529,0.6037717,-1.6647326,-0.60476255,0.94622785,0.2575684,-0.2841994,0.005165183,-1.5518452,-0.26016217,-2.2167227,1.5705334,-0.18620984,0.36963624,-1.295244,-0.65698147,1.25813,0.79332346,0.8604853,1.3535832,-1.3086865,-1.775816,-0.24888995
Li,-0.029101769,-0.07249989,1.731352,-0.7855091,-0.535906,-1.2125715,-0.034692474,-0.47569063,-0.21900615,-0.11502103,0.54778105,-1.1287404,-0.019996354,0.04752288,-1.023861,0.011571031,0.19981745,-1.0055212,-0.06560942,-0.003677383,1.4345626,-0.04500245,1.1111761,-0.19373801,-0.80889195,-0.1343085,-0.20687227,-0.7338208,1.5839393,0.07067385,-0.47853205,0.009916473,-1.1154822,-0.118521504,-0.9414885,0.12743312,-1.7322354,-1.2557883,-0.9444273,4.195422e-05,0.15683004,0.34911868,1.8504558,-0.220024,-0.80507123,-0.46453345,0.46484113,-0.4535084,0.00751282,-0.23385477,-0.052503824,-1.5469491,-0.13011205,0.6933361,0.36500883,-1.1189272,-0.41830558,0.965405,-0.6314931,-0.70255816,0.3457591,-1.1765504,-0.12774213,-0.017431773
Be,0.18641926,-0.4834378,0.632381,0.7321789,0.9847483,-0.3168448,-0.12895,-0.85831684,-1.1474146,1.1310871,-0.42674887,0.40080363,-1.1407951,-0.67907894,-1.8243182,0.3312966,0.1389434,-1.4439363,0.7727087,-1.8255196,1.4035517,-0.3928354,0.7365973,1.2477556,-0.03021457,0.9220445,-1.7039477,-2.3463573,-0.0654374,-0.032583263,2.588723,-0.21334589,1.3263453,-0.30796894,1.7094531,0.22523922,-1.775482,0.1639368,-1.3047906,1.9470807,-0.09984893,-0.3172912,1.9436579,-0.21841109,-2.3582122,1.860471,0.045864,0.2857249,-0.08662096,-3.800264,0.060468152,-2.465655,1.0415918,-0.8427797,2.517727,-1.63605,-0.44822213,1.9086123,-0.35465345,-0.23969926,0.084867544,-1.6855627,-2.2310815,-0.56881577
B,0.022168389,0.6204407,0.11837286,-0.5290412,-0.1463286,0.8652356,-0.22716108,-0.99127775,0.019681469,0.05406695,-0.48831725,-0.42257372,-0.52848864,0.5749141,0.06865214,-0.06259334,0.61718285,-0.4063293,0.04886798,-0.03797674,-0.14813079,0.0017398708,-0.2156707,-0.24332967,-0.2877671,0.61693317,0.06283744,0.28800058,-0.21141109,-0.26372868,0.43756756,-0.019416697,-0.02080023,-0.029494949,-0.18477288,-0.004595097,-0.12836021,0.22482622,-0.066048406,0.44482747,-0.078476064,-0.069707714,1.0483028,0.88317287,-0.1280936,-0.14427416,0.28618094,-0.063683055,-0.033419203,-0.7263587,-0.23268926,-0.58627987,-0.2295511,-0.44823474,0.5978215,1.2537379,-0.0441901,-0.2623735,-0.56066453,0.4815336,-0.19590041,-0.6993289,-0.48199797,-0.023824804
C,-0.004627324,-0.15531376,-0.509391,-0.9568269,-0.8319617,1.0770202,-0.8260164,-1.873468,-0.26210675,0.06526522,-0.39920354,-0.8922845,-1.0593998,-0.31721303,-0.22343504,-0.112718,1.4139568,-0.79589593,0.062616475,-0.3627202,-0.18769814,0.05306953,-0.51179284,-0.4927189,0.7590974,0.60603863,-0.01541378,0.3416933,-0.02613061,-0.84914154,-0.18603647,0.0032718405,-0.40407905,0.13385768,0.29948744,0.065506235,0.7428711,0.43315712,0.05597224,-0.060469426,0.075059064,0.71434784,0.84950507,-0.5196095,-0.119877204,0.10185343,0.48661688,-0.2724701,-0.053649254,-0.13076621,-0.64007056,-0.06157136,-1.1715896,0.15909092,0.43190432,1.3816854,-0.31459144,-0.47965276,-0.7341971,0.6584842,0.23259145,-0.6458001,1.2201385,-0.17106926
N,-0.27214465,-0.8641014,-1.2400011,-1.8569685,-1.6489208,0.37872148,-0.3989359,-1.5213484,0.55941164,-0.018581718,-2.0179596,-1.168107,0.033938218,-0.80279744,0.45586976,-0.11149022,0.59739256,-0.22541544,-0.07742102,-0.70854807,-0.44991714,-0.010867912,-0.3907079,0.8929293,0.9549583,0.12792303,-0.3227974,1.7329204,-0.5224472,-1.3773026,0.7741337,0.0014399625,0.82745266,0.088363096,0.24011797,-0.5647335,1.3934804,-0.047760673,1.3660192,-1.1174923,-0.10124428,-0.13105547,-1.5204959,0.42264712,0.31694037,1.031953,-0.07825975,-0.3095465,-0.046092235,1.1281374,-0.21134102,1.9865768,1.0507256,-0.088674024,-0.92486477,2.7159317,0.4369585,-1.0791953,-0.17855291,1.4267299,0.90874165,1.5832901,2.3992932,0.15722215
O,0.00069185207,-0.96680933,0.22238192,-1.899593,-2.453111,-1.0218072,-1.7105631,0.07618855,1.3998182,-0.00093678385,-1.015368,-1.9802185,-1.0100679,-0.6844309,-0.39902502,0.040806364,1.626665,-1.1052679,0.07119175,-1.7334443,0.44863325,0.009941276,0.34597462,1.0354477,-0.29602236,-0.20182048,0.1528919,0.072646916,-1.3690548,-1.5674804,1.2421144,-0.00578491,0.63753325,-0.0069941804,0.48302668,-0.29099536,-0.1696417,-1.0809078,-0.8783008,-0.6257541,-0.030240096,-0.54951924,-1.172197,-1.6317883,-0.33795428,1.2513723,-0.307724,0.05537103,-0.020782987,0.5928153,-0.14049914,1.1958289,1.2425532,-0.64066225,0.53030634,-0.12789984,0.16467224,-0.0501451,0.5062833,1.4026695,1.79399,1.0142881,0.6613607,0.023231544
F,0.023282839,-0.37611493,1.0316665,-1.9940422,-2.6458633,-1.4118115,-2.0012727,1.1088792,3.3435323,-0.023336533,-0.61381316,-1.967396,-2.0806189,-0.6033581,-0.83124816,0.0040881485,1.7509934,-1.9128066,0.23404163,-2.4141726,1.2491528,0.03242593,0.7866765,0.3301565,-1.0204642,0.84053344,0.21702501,-1.4586948,-1.1174713,-1.3910701,1.890599,0.016638804,1.2054442,0.028388105,-0.8939544,-0.7586386,-0.36197147,-2.135927,-2.7512035,-1.1438679,-0.027687155,-1.3445071,1.260628,-0.89757574,-1.2419986,1.4068317,1.1052444,0.05694074,-0.0075091636,-1.333112,-0.32964912,-0.6057032,1.6133268,-1.2989277,1.2291859,-1.0370761,0.48043603,-0.13696192,-0.09855048,2.3976035,3.1323385,-0.7306982,-1.0157696,-0.010988392
Na,0.24060035,-1.0836111,1.2417213,-0.1302374,-0.46948555,-0.47891366,0.5455634,-0.14879717,-0.6730077,-0.22223327,0.86349475,-0.33501008,0.43459523,0.0881959,-1.4702541,0.12869696,0.049228348,-0.6765659,0.16250917,-0.384772,1.867395,0.07457371,1.3000603,-0.18810734,-0.677025,0.04433705,0.86818874,-0.8759571,3.23864,-0.5126241,-0.62684083,0.11890064,-1.6535912,-0.055778034,-0.26844913,0.87904096,-1.7560233,-1.4484789,-1.4935366,-0.5488312,0.06247644,2.0033598,2.687732,-0.9454154,-1.6631726,0.117219016,0.8785463,-0.116680905,-0.13639247,-0.9320567,-0.6437775,-2.9981465,0.2806576,2.6179562,0.05571682,-1.652493,-0.34880313,3.0434647,0.049673934,-0.6229874,0.19713724,-2.448617,1.1838224,0.26688564
Mg,-0.046938233,-1.5883642,-0.5595799,1.7657106,1.0201304,0.03947763,0.75941736,0.2856301,-0.26428336,0.20527059,0.6365613,0.8503376,-0.6271305,-0.88249093,-0.98840487,-0.0065835305,-0.7211142,-0.41154236,0.18403542,-1.3058013,0.9625816,0.13825849,0.26406923,0.60294336,0.26521295,-0.4286611,0.026029777,-1.8177956,1.3453377,-0.27635866,1.2605726,-0.028472606,0.9026446,0.09331217,1.8011079,0.16710964,0.29079172,-0.4677925,-1.9170332,0.5346159,-0.111498244,2.1422012,1.5273005,-1.0939056,-1.5662327,1.3245687,-0.12710309,-0.40558365,0.023716675,-2.2006907,-0.5844431,-3.2965426,0.5086804,1.8029543,0.61426187,-2.074322,0.6256687,3.2175725,1.200722,-0.40911186,0.70650923,-2.200618,0.5210066,0.2271288
